Date,open,high,low,close,volume
2015-04-27,15.63,15.76,15.56,15.56,52663239.0
2015-04-28,15.58,15.71,15.5,15.65,57379040.0
2015-04-29,15.6,16.04,15.57,15.98,123731648.0
2015-04-30,16.0,16.05,15.79,15.93,76878403.0
2015-05-01,16.0,16.15,15.92,16.11,77700466.0
2015-05-04,16.14,16.45,16.12,16.44,76288455.0
2015-05-05,16.42,16.61,16.33,16.35,105453291.0
2015-05-06,16.36,16.49,16.08,16.29,96101627.0
2015-05-07,16.23,16.33,16.09,16.24,73132671.0
2015-05-08,16.32,16.46,16.22,16.45,86087076.0
2015-05-11,16.45,16.59,16.43,16.49,55685157.0
2015-05-12,16.46,16.48,16.35,16.43,59331980.0
2015-05-13,16.44,16.52,16.36,16.47,46711546.0
2015-05-14,16.53,16.59,16.45,16.52,55194869.0
2015-05-15,16.52,16.52,16.3,16.35,54314870.0
2015-05-18,16.31,16.54,16.31,16.51,50531154.0
2015-05-19,16.59,16.78,16.58,16.77,88083709.0
2015-05-20,16.78,16.85,16.63,16.74,67134867.0
2015-05-21,16.71,16.75,16.56,16.73,51808941.0
2015-05-22,16.72,16.8,16.7,16.75,46183161.0
2015-05-26,16.73,16.73,16.43,16.5,74908263.0
2015-05-27,16.56,16.75,16.54,16.74,69430101.0
2015-05-28,16.72,16.73,16.58,16.67,60303433.0
2015-05-29,16.66,16.67,16.47,16.5,55953075.0
2015-06-01,16.58,16.64,16.47,16.55,62235620.0
2015-06-02,16.52,16.76,16.5,16.72,65124807.0
2015-06-03,16.79,17.02,16.74,16.93,89030434.0
2015-06-04,16.87,16.98,16.72,16.78,59735661.0
2015-06-05,17.04,17.35,16.96,17.19,118480878.0
2015-06-08,17.27,17.33,17.05,17.08,67740635.0
2015-06-09,17.05,17.35,17.0,17.31,80937240.0
2015-06-10,17.39,17.62,17.36,17.59,88577522.0
2015-06-11,17.62,17.67,17.44,17.49,76655951.0
2015-06-12,17.45,17.58,17.36,17.49,52818303.0
2015-06-15,17.33,17.5,17.25,17.47,67534165.0
2015-06-16,17.46,17.56,17.37,17.55,47150572.0
2015-06-17,17.59,17.59,17.3,17.37,88431651.0
2015-06-18,17.35,17.4,17.22,17.38,97311866.0
2015-06-19,17.28,17.39,17.12,17.17,80127855.0
2015-06-22,17.36,17.53,17.35,17.47,57679545.0
2015-06-23,17.56,17.72,17.56,17.67,63712212.0
2015-06-24,17.53,17.69,17.45,17.49,58745035.0
2015-06-25,17.57,17.62,17.35,17.37,59476728.0
2015-06-26,17.48,17.52,17.35,17.41,58642535.0
2015-06-29,17.13,17.25,16.86,16.89,97231962.0
2015-06-30,17.08,17.13,16.85,17.02,87088059.0
2015-07-01,17.25,17.31,17.09,17.22,61278687.0
2015-07-02,17.16,17.21,16.89,17.03,64318774.0
2015-07-06,16.78,17.01,16.71,16.94,58230933.0
2015-07-07,16.9,16.93,16.34,16.69,114850067.0
2015-07-08,16.42,16.5,16.22,16.25,81729598.0
2015-07-09,16.53,16.72,16.45,16.48,80643763.0
2015-07-10,16.79,16.84,16.66,16.7,58902347.0
2015-07-13,16.97,17.05,16.9,17.02,66986566.0
2015-07-14,16.93,17.15,16.86,17.13,66990149.0
2015-07-15,17.53,17.85,17.49,17.68,172665364.0
2015-07-16,17.91,18.07,17.86,17.95,116692588.0
2015-07-17,17.96,18.16,17.89,18.1,95508275.0
2015-07-20,18.15,18.23,18.08,18.12,70897828.0
2015-07-21,18.11,18.17,18.02,18.08,62696348.0
2015-07-22,18.03,18.48,18.03,18.45,108492769.0
2015-07-23,18.39,18.43,18.08,18.18,102874436.0
2015-07-24,18.2,18.23,17.84,17.9,84058783.0
2015-07-27,17.66,17.78,17.5,17.67,91230350.0
2015-07-28,17.79,17.89,17.6,17.88,81914702.0
2015-07-29,17.95,18.2,17.92,18.16,89663730.0
2015-07-30,18.2,18.29,18.05,18.13,65068404.0
2015-07-31,18.03,18.06,17.86,17.88,66016349.0
2015-08-03,17.91,17.96,17.64,17.77,62107009.0
2015-08-04,17.79,17.93,17.71,17.8,69557402.0
2015-08-05,17.93,18.04,17.8,17.87,65044706.0
2015-08-06,17.91,17.97,17.77,17.81,47496657.0
2015-08-07,17.92,18.07,17.6,17.75,70791044.0
2015-08-10,17.87,18.05,17.86,18.04,65574578.0
2015-08-11,17.85,17.97,17.72,17.79,65590055.0
2015-08-12,17.62,17.64,17.02,17.52,141600115.0
2015-08-13,17.56,17.69,17.44,17.62,67039890.0
2015-08-14,17.57,17.7,17.54,17.7,52591924.0
2015-08-17,17.61,17.81,17.56,17.77,42154525.0
2015-08-18,17.72,17.9,17.65,17.69,50233152.0
2015-08-19,17.55,17.69,17.44,17.46,78179137.0
2015-08-20,17.19,17.2,16.72,16.72,148463484.0
2015-08-21,16.19,16.66,16.1,16.1,147829150.0
2015-08-24,15.02,15.98,14.6,15.29,213010446.0
2015-08-25,16.2,16.2,15.25,15.26,192255045.0
2015-08-26,15.81,16.06,15.33,16.06,166038873.0
2015-08-27,16.38,16.45,16.09,16.44,122676108.0
2015-08-28,16.4,16.44,16.2,16.36,75481355.0
2015-08-31,16.33,16.37,16.18,16.34,65482088.0
2015-09-01,15.95,16.05,15.46,15.58,118407962.0
2015-09-02,15.82,15.86,15.57,15.85,74382444.0
2015-09-03,15.97,16.19,15.87,15.94,76501596.0
2015-09-04,15.79,15.86,15.5,15.65,103994159.0
2015-09-08,15.96,16.16,15.9,16.16,73221254.0
2015-09-09,16.37,16.46,15.83,15.9,69677456.0
2015-09-10,15.87,16.11,15.81,16.04,66760445.0
2015-09-11,15.99,16.06,15.9,16.04,53996673.0
2015-09-14,15.97,16.07,15.9,15.96,50299974.0
2015-09-15,16.04,16.39,16.01,16.31,61434326.0
2015-09-16,16.35,16.39,16.09,16.33,82103077.0
2015-09-17,16.29,16.48,15.78,15.86,116175254.0
2015-09-18,15.68,15.71,15.5,15.56,135287319.0
2015-09-21,15.67,15.75,15.57,15.7,60335272.0
2015-09-22,15.49,15.58,15.45,15.57,91345690.0
2015-09-23,15.6,15.85,15.58,15.72,77240298.0
2015-09-24,15.53,15.62,15.4,15.55,97752767.0
2015-09-25,15.88,16.02,15.81,15.89,88260041.0
2015-09-28,15.79,15.82,15.38,15.47,86826540.0
2015-09-29,15.5,15.53,15.25,15.35,79094298.0
2015-09-30,15.55,15.6,15.32,15.58,71074169.0
2015-10-01,15.52,15.64,15.36,15.55,71101066.0
2015-10-02,15.08,15.38,14.63,15.38,181351078.0
2015-10-05,15.45,15.79,15.44,15.69,74760017.0
2015-10-06,15.68,15.82,15.57,15.69,66919142.0
2015-10-07,15.78,15.93,15.57,15.75,66655569.0
2015-10-08,15.72,15.78,15.51,15.75,78960468.0
2015-10-09,15.75,15.82,15.5,15.58,76301975.0
2015-10-12,15.6,15.62,15.43,15.52,50467620.0
2015-10-13,15.45,15.59,15.4,15.52,72825971.0
2015-10-14,15.77,15.92,15.55,15.64,121288230.0
2015-10-15,15.81,16.28,15.72,16.19,126136685.0
2015-10-16,16.28,16.29,16.03,16.12,66791032.0
2015-10-19,16.0,16.21,15.98,16.14,57941812.0
2015-10-20,16.16,16.29,16.1,16.2,50692619.0
2015-10-21,16.26,16.29,15.9,15.9,64440408.0
2015-10-22,16.0,16.2,15.99,16.16,73688737.0
2015-10-23,16.29,16.55,16.25,16.52,82062329.0
2015-10-26,16.52,16.55,16.34,16.51,64744646.0
2015-10-27,16.4,16.47,16.3,16.4,55829352.0
2015-10-28,16.45,17.31,16.44,17.28,146131985.0
2015-10-29,17.16,17.44,16.97,17.09,94716596.0
2015-10-30,17.18,17.18,16.76,16.78,82908939.0
2015-11-02,16.9,17.14,16.87,17.06,56719442.0
2015-11-03,17.01,17.26,16.99,17.18,64536298.0
2015-11-04,17.3,17.31,16.96,17.01,78551477.0
2015-11-05,17.03,17.37,17.03,17.31,84880407.0
2015-11-06,17.84,18.09,17.76,17.95,157845522.0
2015-11-09,18.03,18.08,17.56,17.68,129760359.0
2015-11-10,17.63,17.94,17.56,17.85,58622254.0
2015-11-11,17.99,17.99,17.68,17.75,58893722.0
2015-11-12,17.58,17.63,17.35,17.37,76318506.0
2015-11-13,17.13,17.31,17.09,17.2,101673960.0
2015-11-16,17.13,17.46,17.01,17.43,69078202.0
2015-11-17,17.5,17.6,17.34,17.42,67535584.0
2015-11-18,17.43,17.87,17.43,17.84,84696371.0
2015-11-19,17.78,17.85,17.62,17.69,51517156.0
2015-11-20,17.81,17.83,17.59,17.65,56112050.0
2015-11-23,17.62,17.73,17.46,17.47,50317909.0
2015-11-24,17.26,17.57,17.25,17.47,57915349.0
2015-11-25,17.51,17.57,17.41,17.44,34786374.0
2015-11-27,17.46,17.5,17.33,17.48,22935528.0
2015-11-30,17.48,17.58,17.42,17.43,59863351.0
2015-12-01,17.52,17.81,17.48,17.81,74131628.0
2015-12-02,17.88,17.89,17.55,17.62,76677141.0
2015-12-03,17.68,17.76,17.25,17.3,95398748.0
2015-12-04,17.44,17.83,17.38,17.8,101792245.0
2015-12-07,17.79,17.8,17.44,17.54,81576173.0
2015-12-08,17.39,17.46,17.13,17.19,84627386.0
2015-12-09,17.11,17.38,16.87,17.1,80269002.0
2015-12-10,17.15,17.41,16.96,17.2,68327429.0
2015-12-11,16.97,17.06,16.64,16.73,91221668.0
2015-12-14,16.76,16.89,16.49,16.8,120671788.0
2015-12-15,17.02,17.49,16.99,17.42,99352230.0
2015-12-16,17.65,17.78,17.23,17.75,169228725.0
2015-12-17,17.8,17.83,17.3,17.3,94050619.0
2015-12-18,17.19,17.26,16.76,16.76,135513002.0
2015-12-21,16.98,17.03,16.77,16.97,64617414.0
2015-12-22,17.05,17.11,16.85,17.08,56085225.0
2015-12-23,17.16,17.34,17.09,17.34,65596286.0
2015-12-24,17.32,17.38,17.22,17.27,29369415.0
2015-12-28,17.22,17.23,16.98,17.13,41437807.0
2015-12-29,17.25,17.35,17.16,17.28,45594367.0
2015-12-30,17.2,17.24,17.04,17.05,34971512.0
