Date,open,high,low,close,volume
2015-04-27,144.53,144.59,141.67,142.04,831221.0
2015-04-28,142.03,143.32,140.02,143.27,930156.0
2015-04-29,142.35,143.15,140.97,142.18,1158203.0
2015-04-30,142.18,142.18,140.05,140.87,1294822.0
2015-05-01,141.05,142.34,141.05,142.19,772347.0
2015-05-04,142.86,144.56,142.7,143.94,1022875.0
2015-05-05,144.0,144.0,141.55,142.0,1071400.0
2015-05-06,142.18,142.53,140.52,141.08,1317845.0
2015-05-07,141.5,144.75,141.5,142.8,1168554.0
2015-05-08,143.16,143.51,141.28,142.01,1537441.0
2015-05-11,141.43,143.2,141.11,141.58,1443840.0
2015-05-12,140.36,141.26,139.04,139.16,1721624.0
2015-05-13,140.01,140.01,138.11,138.86,1384491.0
2015-05-14,139.76,141.12,139.12,141.04,793239.0
2015-05-15,140.99,141.48,140.55,141.48,806375.0
2015-05-18,141.35,142.11,140.88,141.61,731393.0
2015-05-19,141.35,142.13,141.09,141.42,842690.0
2015-05-20,141.26,142.06,141.05,141.38,641969.0
2015-05-21,141.23,142.68,140.95,142.41,872881.0
2015-05-22,142.28,143.0,141.61,141.94,807914.0
2015-05-26,141.51,141.93,139.93,140.28,1040525.0
2015-05-27,140.34,141.91,139.9,141.55,588208.0
2015-05-28,141.26,142.34,140.38,141.43,936693.0
2015-05-29,141.35,142.06,140.18,140.51,1185912.0
2015-06-01,141.4,141.92,139.79,140.82,925075.0
2015-06-02,140.01,141.22,139.11,140.51,1080421.0
2015-06-03,140.56,141.04,139.81,140.58,930403.0
2015-06-04,139.84,140.79,139.5,140.19,817238.0
2015-06-05,139.45,140.17,139.0,140.03,996352.0
2015-06-08,140.33,140.94,139.47,139.57,1048434.0
2015-06-09,139.3,139.73,137.82,137.93,1299052.0
2015-06-10,138.11,140.28,137.87,140.05,1425658.0
2015-06-11,140.62,141.29,140.14,140.86,979364.0
2015-06-12,140.28,140.55,139.54,139.6,990507.0
2015-06-15,138.9,139.74,137.7,138.58,1325759.0
2015-06-16,138.42,139.48,137.81,139.24,900891.0
2015-06-17,139.75,140.14,139.08,139.76,650734.0
2015-06-18,140.06,141.27,140.06,140.81,942157.0
2015-06-19,140.69,142.39,140.69,141.83,1919874.0
2015-06-22,142.95,143.53,142.43,142.97,1208640.0
2015-06-23,143.08,143.84,142.76,143.17,936384.0
2015-06-24,142.81,142.99,141.7,141.7,1006875.0
2015-06-25,141.79,142.36,141.09,141.91,908864.0
2015-06-26,142.3,142.51,141.28,142.04,661973.0
2015-06-29,142.5,143.75,141.72,141.78,1166616.0
2015-06-30,143.0,143.0,141.33,141.65,1029690.0
2015-07-01,143.06,143.65,142.16,143.22,995425.0
2015-07-02,143.86,143.98,142.15,143.18,1114479.0
2015-07-06,141.81,143.54,141.6,142.65,1409300.0
2015-07-07,143.03,143.49,141.39,143.24,976626.0
2015-07-08,142.54,142.99,140.77,141.14,1151382.0
2015-07-09,142.74,143.32,141.79,141.83,699085.0
2015-07-10,143.2,144.91,142.7,144.27,1057115.0
2015-07-13,144.61,146.07,144.27,145.95,947032.0
2015-07-14,146.3,147.35,145.79,147.23,824296.0
2015-07-15,147.33,147.99,146.59,146.75,755005.0
2015-07-16,147.39,148.33,146.9,148.0,624708.0
2015-07-17,148.0,148.23,147.28,148.05,575315.0
2015-07-20,148.45,148.45,147.38,148.16,455723.0
2015-07-21,147.99,148.93,146.8,147.51,857014.0
2015-07-22,147.6,148.31,147.47,148.01,625900.0
2015-07-23,148.18,148.93,147.53,148.17,714799.0
2015-07-24,148.02,148.65,147.12,147.3,720238.0
2015-07-27,147.07,147.15,146.0,146.33,902828.0
2015-07-28,147.18,149.96,146.59,149.88,1168501.0
2015-07-29,149.99,152.08,149.61,151.99,1453603.0
2015-07-30,151.77,152.49,151.42,152.0,1043013.0
2015-07-31,152.61,152.88,151.88,152.15,1010633.0
2015-08-03,151.79,152.76,151.05,152.43,1386431.0
2015-08-04,152.52,153.04,151.46,152.35,971474.0
2015-08-05,153.82,154.98,152.07,153.86,1291144.0
2015-08-06,153.27,153.36,148.68,150.19,1930123.0
2015-08-07,149.95,149.95,146.71,148.92,1482744.0
2015-08-10,150.4,150.84,149.6,150.3,1208347.0
2015-08-11,149.15,149.89,147.26,148.6,1145178.0
2015-08-12,148.29,148.3,145.71,147.93,1628878.0
2015-08-13,147.78,148.29,146.75,147.6,720375.0
2015-08-14,147.41,148.49,146.9,148.27,663671.0
2015-08-17,147.65,148.65,147.0,148.6,611886.0
2015-08-18,148.1,148.47,146.71,147.08,945860.0
2015-08-19,146.58,147.39,145.16,146.51,1017533.0
2015-08-20,145.66,145.79,143.52,143.58,1569739.0
2015-08-21,142.78,143.92,141.88,141.92,1797885.0
2015-08-24,138.47,140.9,133.5,138.2,2903063.0
2015-08-25,141.07,141.88,137.62,137.62,2210000.0
2015-08-26,139.76,140.33,136.75,139.94,1529450.0
2015-08-27,141.16,143.04,140.49,142.95,1188933.0
2015-08-28,142.43,143.11,141.53,142.83,841088.0
2015-08-31,142.72,143.63,140.39,141.02,1007300.0
2015-09-01,138.5,139.23,134.29,134.89,1791719.0
2015-09-02,136.23,137.0,134.73,136.72,1170472.0
2015-09-03,137.0,138.23,136.02,136.53,1025491.0
2015-09-04,135.42,135.97,133.18,134.32,1177175.0
2015-09-08,135.75,138.03,135.26,138.02,1377309.0
2015-09-09,139.22,139.98,135.63,135.9,835199.0
2015-09-10,136.09,136.53,134.8,135.2,1115895.0
2015-09-11,134.97,136.78,134.32,135.98,961254.0
2015-09-14,136.18,136.39,135.24,136.26,1142270.0
2015-09-15,136.4,137.82,135.98,137.18,562138.0
2015-09-16,137.5,139.16,137.14,138.87,943713.0
2015-09-17,138.81,141.33,138.65,139.8,1069039.0
2015-09-18,138.59,139.39,138.12,138.33,2064244.0
2015-09-21,139.07,140.28,138.5,139.11,1042657.0
2015-09-22,137.64,138.5,137.05,138.26,778216.0
2015-09-23,138.06,139.45,137.46,139.28,1035743.0
2015-09-24,138.23,139.11,137.69,138.84,1224851.0
2015-09-25,139.23,140.46,135.41,136.15,1109336.0
2015-09-28,135.28,135.44,128.87,130.4,2080288.0
2015-09-29,129.9,131.8,128.95,130.89,1444504.0
2015-09-30,132.28,133.67,131.4,132.66,997051.0
2015-10-01,132.49,132.82,130.22,132.19,1298952.0
2015-10-02,130.95,135.45,130.2,135.37,1462683.0
2015-10-05,136.32,137.3,135.85,136.99,1359674.0
2015-10-06,136.79,136.9,132.93,134.59,1438532.0
2015-10-07,135.5,137.27,134.17,137.24,1059267.0
2015-10-08,136.89,137.32,135.12,137.12,682812.0
2015-10-09,137.1,138.25,136.85,137.76,691775.0
2015-10-12,137.51,138.95,137.27,138.46,426784.0
2015-10-13,137.58,138.49,136.62,136.91,520161.0
2015-10-14,136.78,137.81,135.58,135.76,567769.0
2015-10-15,136.58,137.09,135.49,137.07,968212.0
2015-10-16,137.85,139.65,137.19,139.56,717834.0
2015-10-19,139.4,140.09,138.83,139.95,465200.0
2015-10-20,139.3,140.54,139.3,139.76,605412.0
2015-10-21,140.52,140.76,138.11,139.76,736532.0
2015-10-22,140.32,141.16,137.64,138.45,923275.0
2015-10-23,138.94,141.24,137.9,140.22,1251804.0
2015-10-26,140.14,140.47,139.28,139.9,747827.0
2015-10-27,139.84,141.07,139.82,140.75,506632.0
2015-10-28,141.06,141.98,139.32,141.97,749698.0
2015-10-29,142.0,143.76,142.0,143.23,792523.0
2015-10-30,143.13,143.99,142.52,142.52,1095354.0
2015-11-02,143.47,145.05,143.06,144.81,1064164.0
2015-11-03,144.51,146.7,143.83,146.63,1272223.0
2015-11-04,151.0,151.89,149.01,151.01,1480615.0
2015-11-05,151.5,152.58,151.1,152.24,1156334.0
2015-11-06,151.66,152.85,151.53,152.5,950527.0
2015-11-09,152.52,152.76,151.33,152.41,811137.0
2015-11-10,152.26,152.75,151.75,152.11,715026.0
2015-11-11,152.29,153.25,151.88,151.96,673598.0
2015-11-12,150.81,151.93,148.36,148.43,913620.0
2015-11-13,148.52,149.76,148.0,148.68,696048.0
2015-11-16,148.79,150.86,148.58,150.79,847710.0
2015-11-17,150.8,151.8,149.69,150.96,735303.0
2015-11-18,151.22,151.69,150.47,151.54,1131497.0
2015-11-19,151.13,151.41,149.52,149.96,932652.0
2015-11-20,150.72,152.46,149.96,151.22,1302450.0
2015-11-23,151.31,152.05,150.44,150.92,585980.0
2015-11-24,147.84,150.72,147.84,150.55,659857.0
2015-11-25,150.53,150.95,149.63,150.12,747085.0
2015-11-27,150.84,152.2,150.1,151.29,645674.0
2015-11-30,151.58,151.99,150.23,150.25,951664.0
2015-12-01,151.1,152.82,151.1,152.67,1093689.0
2015-12-02,152.89,153.0,151.57,151.78,798082.0
2015-12-03,152.06,152.43,149.35,149.93,1127396.0
2015-12-04,150.18,154.88,150.11,154.81,1066374.0
2015-12-07,154.32,154.81,152.8,153.62,1223773.0
2015-12-08,154.0,154.76,152.43,154.7,1554803.0
2015-12-09,154.1,155.53,151.61,152.87,1367545.0
2015-12-10,152.73,154.79,152.05,154.35,935906.0
2015-12-11,152.57,153.9,150.95,151.68,874512.0
2015-12-14,152.48,153.68,150.95,153.19,1288863.0
2015-12-15,154.09,155.5,152.97,153.29,1536067.0
2015-12-16,154.6,156.11,153.13,155.89,1153901.0
2015-12-17,156.11,157.5,155.35,155.91,1229556.0
2015-12-18,155.05,155.59,153.11,153.12,1763799.0
2015-12-21,153.8,154.6,152.66,153.59,800330.0
2015-12-22,154.6,155.37,152.31,154.37,1105818.0
2015-12-23,155.28,156.04,154.59,155.87,654571.0
2015-12-24,155.84,156.56,155.48,155.91,269596.0
2015-12-28,155.59,155.77,154.82,155.37,598616.0
2015-12-29,156.66,156.77,155.81,156.53,967384.0
2015-12-30,156.69,156.89,155.01,155.43,1134707.0
2015-12-31,154.73,155.45,154.08,154.09,1087662.0
2016-01-04,150.62,151.45,146.02,147.95,2813897.0
2016-01-05,148.65,149.69,147.8,148.42,1080429.0
2016-01-06,145.84,147.73,144.93,146.94,1774032.0
2016-01-07,144.52,145.51,143.43,144.53,1586579.0
2016-01-08,145.19,146.01,142.03,142.36,1272703.0
2016-01-11,143.09,143.45,139.23,141.15,1280800.0
2016-01-12,142.4,143.53,140.38,142.45,972452.0
2016-01-13,143.46,144.41,140.92,141.38,1318542.0
2016-01-14,141.67,145.77,141.39,145.41,1738947.0
2016-01-15,142.35,144.51,141.7,142.43,1801425.0
2016-01-19,143.83,144.35,141.38,142.5,1258430.0
2016-01-20,140.85,141.96,137.69,140.86,1323261.0
2016-01-21,140.9,142.1,139.13,141.65,1118661.0
2016-01-22,143.37,144.99,143.07,144.76,867155.0
2016-01-25,145.12,146.7,144.69,144.9,974431.0
2016-01-26,144.77,145.86,143.67,145.51,775817.0
2016-01-27,145.63,148.18,144.92,146.04,982039.0
2016-01-28,146.61,146.95,141.76,142.28,1447719.0
2016-01-29,143.31,145.37,143.0,145.37,1679342.0
2016-02-01,144.11,146.46,140.53,146.02,1571582.0
2016-02-02,144.92,145.9,143.91,145.05,1505061.0
2016-02-03,147.0,147.0,139.57,141.08,2324348.0
2016-02-04,140.47,140.99,137.41,137.91,1812656.0
2016-02-05,137.5,137.95,134.71,135.25,1227482.0
2016-02-08,134.24,134.96,129.79,132.88,1854401.0
2016-02-09,129.58,135.38,129.5,134.34,1701011.0
2016-02-10,136.22,139.22,135.89,136.14,1124714.0
2016-02-11,135.63,136.36,134.21,135.33,1589178.0
2016-02-12,136.87,139.95,136.39,139.81,1625444.0
2016-02-16,141.19,142.49,140.49,142.12,1394283.0
2016-02-17,143.31,144.21,142.06,144.11,764539.0
2016-02-18,144.5,144.8,142.73,143.18,753212.0
2016-02-19,143.36,145.0,142.38,144.9,913330.0
2016-02-22,145.63,146.3,144.98,145.68,652130.0
2016-02-23,145.98,147.07,145.5,146.46,1026668.0
2016-02-24,145.0,147.9,144.73,147.47,938864.0
2016-02-25,147.74,148.98,146.89,148.67,826446.0
2016-02-26,149.0,150.17,148.91,149.64,1228704.0
2016-02-29,149.29,150.12,147.23,147.45,1490270.0
2016-03-01,148.6,150.12,147.23,150.12,1418620.0
2016-03-02,149.82,151.19,149.24,150.72,1151824.0
2016-03-03,150.65,150.65,148.03,149.5,951927.0
2016-03-04,149.85,149.85,148.31,149.15,1081986.0
2016-03-07,148.88,149.38,147.9,148.68,967152.0
2016-03-08,147.58,148.13,146.55,147.19,869925.0
2016-03-09,147.69,147.91,145.78,147.11,1203654.0
2016-03-10,147.69,148.96,147.24,148.51,1219323.0
2016-03-11,149.13,150.13,148.23,149.78,1320254.0
2016-03-14,149.1,151.23,149.1,150.76,735883.0
2016-03-15,149.7,150.54,149.0,149.29,977647.0
2016-03-16,149.36,150.08,148.2,149.78,905379.0
2016-03-17,149.52,149.7,146.12,147.71,1137841.0
2016-03-18,148.54,150.45,146.57,150.24,2110488.0
2016-03-21,150.18,150.46,149.03,149.17,884058.0
2016-03-22,148.92,150.13,148.34,149.55,1002162.0
2016-03-23,149.65,150.15,149.06,149.24,541619.0
2016-03-24,148.49,149.28,147.74,149.13,642882.0
2016-03-28,149.56,149.56,148.26,149.03,702763.0
2016-03-29,149.21,151.72,148.59,151.52,707233.0
2016-03-30,152.47,152.82,151.38,152.54,713707.0
2016-03-31,152.2,152.75,151.37,151.82,894995.0
2016-04-01,151.24,153.75,150.71,153.49,882424.0
2016-04-04,153.99,155.98,153.55,154.92,888318.0
2016-04-05,154.03,155.96,152.56,152.86,1087604.0
2016-04-06,152.86,155.47,152.54,155.42,818330.0
2016-04-07,154.84,155.57,153.7,155.03,936566.0
2016-04-08,156.0,156.36,154.04,154.64,838047.0
2016-04-11,154.63,155.6,153.55,153.91,1080324.0
2016-04-12,154.4,157.93,154.27,157.67,1120413.0
2016-04-13,158.62,159.22,157.51,158.98,768703.0
2016-04-14,158.92,159.37,157.78,158.19,716168.0
2016-04-15,158.21,159.25,157.1,159.15,716753.0
2016-04-18,158.66,159.49,158.17,159.48,791204.0
2016-04-19,159.5,159.5,157.62,157.99,718485.0
2016-04-20,158.35,159.86,158.04,158.72,886650.0
2016-04-21,158.7,159.96,157.88,158.73,871933.0
2016-04-22,159.05,159.98,158.19,159.88,444700.0
2016-04-25,159.56,160.26,159.1,160.26,540561.0
2016-04-26,160.5,160.89,159.43,159.55,757144.0
2016-04-27,159.72,161.85,159.43,161.45,660615.0
2016-04-28,160.6,162.98,159.92,161.93,1275951.0
2016-04-29,161.01,161.32,159.81,161.26,1344251.0
2016-05-02,160.67,162.24,157.6,160.9,1277475.0
2016-05-03,160.87,161.37,159.45,160.43,1320522.0
2016-05-04,159.94,162.25,159.25,161.6,1602930.0
2016-05-05,163.07,165.96,160.93,165.21,1823357.0
2016-05-06,163.0,165.0,162.47,164.84,1545913.0
2016-05-09,165.17,167.0,164.71,165.98,1438456.0
2016-05-10,165.85,168.32,165.07,167.64,1228904.0
2016-05-11,167.78,169.08,167.03,167.05,812267.0
2016-05-12,167.64,167.91,166.18,167.15,808801.0
2016-05-13,167.1,167.58,165.82,166.29,790182.0
2016-05-16,166.29,168.86,166.18,168.57,1000764.0
2016-05-17,167.74,168.55,164.72,165.43,1181205.0
2016-05-18,165.37,166.3,163.84,165.45,973618.0
2016-05-19,164.58,165.37,162.25,163.94,1127548.0
2016-05-20,164.92,165.61,163.89,165.0,1110456.0
