Date,open,high,low,close,volume
2015-04-27,218.6,223.95,218.26,220.46,4323363.0
2015-04-28,222.67,223.3,217.25,219.19,2423541.0
2015-04-29,219.0,220.0,215.21,219.0,3056840.0
2015-04-30,209.37,211.33,199.6,200.28,11014983.0
2015-05-01,200.9,202.98,196.13,202.47,6129800.0
2015-05-04,204.99,206.9,203.52,203.7,4381404.0
2015-05-05,201.82,201.99,192.74,194.74,7336707.0
2015-05-06,194.47,196.0,188.61,190.05,6717968.0
2015-05-07,192.09,194.62,191.07,193.63,4148049.0
2015-05-08,195.79,195.9,191.63,193.48,2840741.0
2015-05-11,194.72,196.99,190.49,190.83,3536778.0
2015-05-12,189.92,191.48,188.75,189.97,3708671.0
2015-05-13,190.29,190.67,188.6,189.18,2587105.0
2015-05-14,190.97,192.95,189.52,190.27,3365396.0
2015-05-15,191.73,193.78,189.2,192.98,3766341.0
2015-05-18,192.99,193.68,190.05,191.32,2475806.0
2015-05-19,191.61,194.5,190.9,193.14,2193813.0
2015-05-20,194.0,196.71,192.75,195.51,2600857.0
2015-05-21,195.65,200.64,195.64,200.19,3939269.0
2015-05-22,201.83,204.41,200.59,203.8,4288484.0
2015-05-26,204.0,204.5,198.64,200.19,3515724.0
2015-05-27,200.55,202.54,198.9,201.45,2024336.0
2015-05-28,197.66,201.84,197.0,200.27,2405051.0
2015-05-29,201.03,201.21,197.19,197.4,2655710.0
2015-06-01,198.94,202.62,197.58,201.56,2385518.0
2015-06-02,199.68,203.37,199.35,203.36,2301090.0
2015-06-03,203.0,206.5,201.06,203.8,2870699.0
2015-06-04,202.93,204.5,201.0,204.33,2775135.0
2015-06-05,203.67,209.26,203.16,205.89,2983569.0
2015-06-08,206.8,207.89,201.82,203.15,2427114.0
2015-06-09,201.97,203.85,200.69,202.56,2176848.0
2015-06-10,202.77,206.71,202.43,204.55,2513880.0
2015-06-11,204.89,208.0,204.89,206.77,2196501.0
2015-06-12,206.85,209.84,206.06,207.6,2535701.0
2015-06-15,204.11,205.92,202.55,205.73,1368670.0
2015-06-16,204.0,206.69,203.69,204.93,1680433.0
2015-06-17,207.9,211.36,207.71,209.51,4254672.0
2015-06-18,209.89,210.78,208.02,210.76,1977859.0
2015-06-19,211.56,212.15,209.52,210.9,2495830.0
2015-06-22,212.5,214.22,209.13,209.64,1981171.0
2015-06-23,211.0,212.16,208.81,211.98,1876286.0
2015-06-24,211.89,212.33,209.12,210.32,1637882.0
2015-06-25,209.44,210.49,207.2,207.55,1646201.0
2015-06-26,205.0,206.32,202.75,203.57,3037903.0
2015-06-29,199.93,202.99,198.2,200.46,2394365.0
2015-06-30,203.59,204.33,198.89,199.08,2484975.0
2015-07-01,200.59,200.67,196.07,198.7,2868791.0
2015-07-02,198.36,198.78,195.35,197.03,1810010.0
2015-07-06,193.0,194.07,188.02,188.92,4550739.0
2015-07-07,185.29,188.6,180.54,187.47,6232929.0
2015-07-08,179.53,187.4,178.81,184.6,6429887.0
2015-07-09,192.7,192.98,187.18,187.57,5387139.0
2015-07-10,191.29,191.5,187.69,187.75,3026335.0
2015-07-13,189.9,194.83,188.08,193.4,4008196.0
2015-07-14,193.27,194.46,191.22,191.27,1754459.0
2015-07-15,189.91,190.71,185.75,186.58,4000120.0
2015-07-16,189.02,190.66,187.83,190.1,2290545.0
2015-07-17,194.68,200.8,194.38,198.31,5813930.0
2015-07-20,199.55,201.64,197.23,199.61,2876972.0
2015-07-21,199.49,203.48,198.23,202.4,2560315.0
2015-07-22,201.66,206.84,200.52,205.74,3394244.0
2015-07-23,207.32,209.75,206.5,207.63,3442141.0
2015-07-24,209.91,210.0,205.25,206.23,3424481.0
2015-07-27,197.85,199.94,195.11,197.69,7828649.0
2015-07-28,172.6,172.81,162.0,168.03,27365215.0
2015-07-29,169.2,170.24,167.14,170.0,8279100.0
2015-07-30,172.5,175.68,171.34,174.57,6990192.0
2015-07-31,174.5,175.75,172.51,172.66,4155594.0
2015-08-03,170.82,171.67,166.1,169.14,5319530.0
2015-08-04,168.6,170.45,167.78,170.32,2608178.0
2015-08-05,171.68,173.76,171.3,172.74,3224968.0
2015-08-06,172.7,176.23,172.56,174.46,4321871.0
2015-08-07,175.21,177.22,173.75,176.19,3934158.0
2015-08-10,177.83,179.06,175.0,176.85,3041863.0
