Date,open,high,low,close,volume
2021-07-16,20.0,21.04,19.2,20.9,10160357.0
2021-07-19,20.4,20.68,17.75,17.93,4593548.0
2021-07-20,18.0,18.8,17.15,17.5,1279584.0
2021-07-21,17.75,17.85,17.05,17.54,1572124.0
2021-07-22,17.53,18.48,17.05,17.26,1251183.0
2021-07-23,17.26,17.48,16.05,17.48,745824.0
2021-07-26,17.92,18.11,17.37,17.6,728176.0
2021-07-27,17.72,17.9,16.76,17.0,489731.0
2021-07-28,17.05,18.0,17.0,17.8,485138.0
2021-07-29,17.8,18.39,17.8,18.07,319852.0
2021-07-30,18.07,18.34,17.4,18.06,403652.0
2021-08-02,18.24,18.25,17.69,18.0,231020.0
2021-08-03,17.97,18.07,17.79,17.9,169043.0
2021-08-04,17.96,18.21,17.64,18.08,677558.0
2021-08-05,18.1,18.71,17.86,18.0,451693.0
2021-08-06,18.1,18.47,18.0,18.45,233564.0
2021-08-09,18.6,19.83,18.55,19.5,891320.0
2021-08-10,19.81,20.15,18.0,18.09,1024264.0
2021-08-11,18.13,18.95,18.13,18.23,530179.0
2021-08-12,18.65,18.85,18.2,18.32,438317.0
2021-08-13,18.54,18.77,17.52,18.0,744233.0
2021-08-16,18.25,18.46,18.06,18.43,305479.0
2021-08-17,18.34,18.77,18.01,18.73,501036.0
2021-08-18,18.5,19.51,18.15,19.5,848076.0
2021-08-19,19.38,20.35,19.38,19.78,965423.0
2021-08-20,17.66,18.48,17.36,18.05,2163457.0
2021-08-23,18.06,18.18,16.86,17.43,964103.0
2021-08-24,17.37,17.6,16.8,16.95,583317.0
2021-08-25,17.08,17.18,15.72,15.92,920730.0
2021-08-26,15.92,16.49,15.91,16.36,727070.0
2021-08-27,16.36,16.36,15.78,15.92,442910.0
2021-08-30,15.92,16.35,15.61,16.16,254914.0
2021-08-31,16.23,16.33,15.95,16.19,318337.0
2021-09-01,16.1,17.48,16.02,17.13,1009998.0
2021-09-02,17.52,17.81,16.89,16.97,1033943.0
2021-09-03,16.88,17.63,16.87,17.46,701833.0
2021-09-07,17.5,17.65,16.05,16.11,813097.0
2021-09-08,16.15,16.33,15.55,15.88,752489.0
2021-09-09,16.0,16.8,15.71,16.7,721716.0
2021-09-10,16.88,17.15,16.34,16.4,565734.0
2021-09-13,16.5,16.78,16.1,16.28,468333.0
2021-09-14,16.28,16.41,15.92,16.29,449186.0
2021-09-15,16.23,16.29,15.81,15.95,508510.0
2021-09-16,15.79,16.16,15.7,16.11,411393.0
2021-09-17,16.13,16.35,15.83,16.1,1276710.0
2021-09-20,15.72,15.8,15.01,15.19,663152.0
2021-09-21,15.25,15.66,14.85,15.16,585759.0
2021-09-22,15.36,15.59,14.96,15.24,670245.0
2021-09-23,15.35,15.37,14.64,14.64,839355.0
2021-09-24,14.64,14.75,14.34,14.47,372949.0
2021-09-27,14.36,14.85,14.01,14.49,436304.0
2021-09-28,14.33,14.49,13.75,13.8,565073.0
2021-09-29,14.18,14.65,14.03,14.1,554496.0
2021-09-30,14.06,14.23,13.48,13.48,776780.0
2021-10-01,13.59,13.91,13.26,13.81,535449.0
2021-10-04,13.68,13.81,12.92,13.11,485241.0
2021-10-05,13.09,13.56,13.08,13.38,392427.0
2021-10-06,13.38,13.6,13.0,13.1,343322.0
2021-10-07,13.26,13.68,13.26,13.52,300321.0
2021-10-08,13.5,14.0,13.13,13.25,332374.0
2021-10-11,13.06,14.21,13.06,13.83,450723.0
2021-10-12,13.85,14.23,13.42,13.57,237750.0
2021-10-13,13.82,13.92,13.56,13.56,240657.0
2021-10-14,13.83,14.0,13.23,13.53,448771.0
2021-10-15,13.65,13.93,12.91,13.0,552639.0
2021-10-18,13.12,13.25,12.63,13.12,589139.0
2021-10-19,13.25,14.18,13.25,14.01,694242.0
2021-10-20,13.98,14.25,13.77,13.89,319663.0
2021-10-21,13.88,14.64,13.82,14.31,351602.0
2021-10-22,14.32,14.34,13.82,14.09,238105.0
2021-10-25,14.23,14.4,13.42,13.95,444677.0
2021-10-26,13.96,14.36,13.84,14.04,326292.0
2021-10-27,14.01,14.13,13.74,13.8,261368.0
2021-10-28,13.77,13.92,13.62,13.87,204131.0
2021-10-29,13.96,14.84,13.83,14.5,1252099.0
2021-11-01,14.5,14.63,13.67,14.2,1758358.0
2021-11-02,14.24,14.88,14.0,14.51,783177.0
2021-11-03,14.56,15.03,14.46,14.77,500215.0
2021-11-04,14.7,15.55,14.7,15.5,603077.0
2021-11-05,15.49,15.98,15.2,15.53,580007.0
2021-11-08,15.67,15.72,15.06,15.67,640027.0
2021-11-09,15.84,16.26,15.21,15.55,422431.0
2021-11-10,15.33,15.5,14.63,15.45,1034330.0
2021-11-11,13.19,13.82,12.6,12.96,3311621.0
2021-11-12,13.21,13.32,12.43,12.76,940331.0
2021-11-15,12.88,13.16,12.81,12.98,776807.0
2021-11-16,13.0,13.17,12.0,12.05,1605037.0
2021-11-17,12.1,12.49,11.88,12.39,433815.0
2021-11-18,12.29,12.38,11.87,12.01,661545.0
2021-11-19,12.1,12.35,11.55,11.66,549076.0
2021-11-22,11.88,12.0,10.39,10.9,2536175.0
2021-11-23,10.81,11.45,10.45,10.6,784770.0
2021-11-24,10.57,11.05,10.31,11.05,477536.0
2021-11-26,10.83,11.04,10.53,10.9,312727.0
2021-11-29,11.01,11.26,10.78,11.03,705927.0
2021-11-30,11.04,11.47,10.79,11.44,526650.0
2021-12-01,11.49,11.69,10.5,10.5,766794.0
2021-12-02,10.4,10.78,10.12,10.51,1107631.0
2021-12-03,10.33,10.39,9.06,9.74,2367576.0
2021-12-06,9.61,9.66,8.86,9.35,1696400.0
2021-12-07,9.49,9.52,8.98,9.15,2966981.0
2021-12-08,9.16,9.32,8.82,9.27,1484460.0
2021-12-09,9.15,9.31,8.65,8.72,1419341.0
2021-12-10,8.69,8.69,8.09,8.21,1218619.0
2021-12-13,8.13,8.21,7.8,8.05,1675655.0
2021-12-14,7.88,8.06,7.4,7.61,1793897.0
2021-12-15,7.54,7.68,7.13,7.55,3212104.0
2021-12-16,7.65,7.77,7.07,7.29,1827270.0
2021-12-17,7.05,7.69,6.73,7.62,2522079.0
2021-12-20,7.53,7.64,7.13,7.46,3334888.0
2021-12-21,7.51,7.76,7.32,7.61,1617811.0
2021-12-22,7.6,7.67,7.27,7.38,1728989.0
2021-12-23,7.36,7.62,7.1,7.53,1259435.0
2021-12-27,7.5,7.85,7.45,7.72,1698548.0
2021-12-28,7.71,7.76,7.25,7.36,907218.0
2021-12-29,7.33,7.41,7.15,7.25,893462.0
2021-12-30,7.21,7.64,7.19,7.5,1340891.0
2021-12-31,7.5,7.68,7.17,7.34,1602665.0
2022-01-03,7.42,7.66,7.39,7.43,534645.0
2022-01-04,7.46,7.54,6.75,7.15,1329299.0
2022-01-05,7.09,7.29,6.76,6.85,1806440.0
2022-01-06,6.85,7.1,6.45,6.83,1336600.0
2022-01-07,6.89,7.14,6.83,7.02,909535.0
2022-01-10,6.95,7.11,6.72,7.09,1288165.0
2022-01-11,7.09,7.54,7.0,7.38,1169296.0
2022-01-12,7.47,7.6,7.24,7.35,750154.0
2022-01-13,7.25,7.41,7.04,7.07,2150015.0
2022-01-14,6.99,7.29,6.95,7.07,1858939.0
2022-01-18,7.0,7.24,6.92,7.03,1701205.0
2022-01-19,7.06,7.31,6.98,7.17,1842012.0
2022-01-20,7.6,8.07,7.22,7.25,3162170.0
2022-01-21,7.21,7.25,6.87,7.04,2858201.0
2022-01-24,6.94,7.49,6.56,7.46,3014783.0
2022-01-25,7.29,7.62,7.08,7.22,2523101.0
2022-01-26,7.32,7.82,7.18,7.24,2741900.0
2022-01-27,7.25,7.34,7.06,7.15,2197726.0
2022-01-28,7.15,7.55,6.86,7.52,2532758.0
2022-01-31,7.44,8.04,7.43,7.96,2367274.0
2022-02-01,8.0,8.62,7.93,8.57,2335094.0
2022-02-02,8.73,8.76,8.41,8.52,2041889.0
2022-02-03,8.11,8.42,7.99,8.26,1901689.0
2022-02-04,8.36,8.7,8.2,8.63,922566.0
2022-02-07,8.68,8.99,8.6,8.86,988434.0
2022-02-08,8.93,9.04,8.73,9.0,910612.0
2022-02-09,9.14,9.71,9.12,9.71,1437505.0
2022-02-10,9.43,10.22,9.32,9.9,2560587.0
2022-02-11,9.86,10.02,9.54,9.87,2221606.0
2022-02-14,9.87,10.15,9.4,9.41,2461660.0
2022-02-15,9.37,10.02,9.0,10.01,2073947.0
2022-02-16,10.0,10.17,9.83,9.95,2777063.0
2022-02-17,9.86,10.06,9.68,9.75,1461822.0
2022-02-18,9.74,9.94,9.11,9.21,5555826.0
