Date,open,high,low,close,volume
2015-04-27,43.41,43.6,43.02,43.04,7572960.0
2015-04-28,43.77,43.83,43.26,43.48,8695401.0
2015-04-29,43.39,43.69,43.09,43.59,7159640.0
2015-04-30,43.43,43.5,43.14,43.16,5602275.0
2015-05-01,42.82,43.36,42.45,43.23,7241119.0
2015-05-04,43.37,43.63,43.32,43.41,5045086.0
2015-05-05,43.49,43.85,43.07,43.1,6181602.0
2015-05-06,42.82,42.91,42.36,42.5,4028052.0
2015-05-07,42.02,42.04,41.4,41.83,4983960.0
2015-05-08,42.77,42.84,42.26,42.71,5240309.0
2015-05-11,42.95,43.03,42.53,42.58,4210292.0
2015-05-12,42.48,42.95,42.48,42.69,3793442.0
2015-05-13,43.07,43.1,42.69,42.77,3354028.0
2015-05-14,43.1,43.2,42.93,42.96,4639575.0
2015-05-15,42.65,42.99,42.44,42.81,3916274.0
2015-05-18,42.43,42.57,42.31,42.39,3901770.0
2015-05-19,42.22,42.23,41.75,41.83,5728932.0
2015-05-20,42.07,42.3,41.95,42.08,3032149.0
2015-05-21,42.6,43.07,42.51,42.9,4200246.0
2015-05-22,42.68,42.74,42.45,42.5,2587271.0
2015-05-26,41.94,41.96,41.45,41.63,4342289.0
2015-05-27,41.63,42.03,41.58,41.79,3172748.0
2015-05-28,41.61,41.61,41.26,41.55,3132883.0
2015-05-29,41.41,41.72,41.2,41.46,3142988.0
2015-06-01,41.18,41.25,40.66,40.95,4053749.0
2015-06-02,41.25,41.71,41.24,41.5,3736660.0
2015-06-03,41.51,41.62,41.21,41.23,2797514.0
2015-06-04,40.68,40.98,40.5,40.62,5148434.0
2015-06-05,40.13,40.84,40.05,40.56,5563684.0
2015-06-08,40.47,40.74,40.42,40.53,2793356.0
2015-06-09,40.49,40.74,40.28,40.55,3341057.0
2015-06-10,41.27,41.43,41.16,41.28,4902372.0
2015-06-11,41.36,41.65,41.28,41.42,4073071.0
2015-06-12,41.08,41.09,40.7,40.8,3083072.0
2015-06-15,40.35,40.99,40.34,40.92,4136877.0
2015-06-16,40.41,40.94,40.37,40.91,6815738.0
2015-06-17,41.2,41.42,40.8,41.21,3251103.0
2015-06-18,41.3,41.59,41.17,41.26,3577991.0
2015-06-19,41.21,41.37,41.02,41.15,3020629.0
2015-06-22,41.49,41.76,41.34,41.52,3399334.0
2015-06-23,41.33,41.61,41.33,41.54,2625696.0
2015-06-24,41.29,42.03,41.29,41.83,6347585.0
2015-06-25,41.91,42.2,41.63,41.89,6680525.0
2015-06-26,41.6,41.79,41.22,41.35,4221975.0
2015-06-29,40.76,41.0,40.23,40.31,5989516.0
2015-06-30,40.05,40.15,39.7,39.96,7112937.0
2015-07-01,39.65,39.66,39.13,39.27,6479194.0
2015-07-02,40.73,41.52,40.72,41.29,11764117.0
2015-07-06,40.48,40.63,39.85,39.91,8429444.0
2015-07-07,39.3,39.87,38.74,39.71,10547031.0
2015-07-08,39.28,39.42,38.95,39.15,5866882.0
2015-07-09,39.61,39.71,39.12,39.13,5427770.0
2015-07-10,40.09,40.2,39.47,39.9,5792210.0
2015-07-13,40.05,40.11,39.88,39.96,3428023.0
2015-07-14,39.97,40.36,39.91,40.33,3438767.0
2015-07-15,40.15,40.2,39.76,40.04,3988718.0
2015-07-16,39.79,39.82,39.47,39.54,4578771.0
2015-07-17,39.43,39.44,39.0,39.12,4239192.0
2015-07-20,39.04,39.07,38.75,38.75,4131316.0
2015-07-21,38.69,38.95,38.67,38.73,5657525.0
2015-07-22,38.4,38.42,37.81,37.91,6759959.0
2015-07-23,37.62,37.71,37.07,37.3,8556779.0
2015-07-24,37.07,37.14,36.41,36.57,7179504.0
2015-07-27,36.15,36.37,35.87,36.05,9041258.0
2015-07-28,36.89,37.33,36.59,37.29,8098912.0
2015-07-29,37.06,37.52,36.87,37.39,6763232.0
2015-07-30,37.87,38.06,37.45,37.68,4706115.0
2015-07-31,37.33,37.36,36.9,36.97,5585456.0
2015-08-03,36.63,36.83,36.33,36.48,5540839.0
2015-08-04,36.73,36.85,36.42,36.54,6376468.0
2015-08-05,36.55,36.67,35.86,35.87,6776956.0
2015-08-06,35.64,35.91,35.44,35.88,8023543.0
2015-08-07,35.9,36.29,35.65,35.68,4804857.0
2015-08-10,35.66,36.3,35.52,36.28,6411625.0
2015-08-11,35.84,36.06,35.6,36.05,6104659.0
2015-08-12,35.96,36.5,35.75,36.44,6346117.0
2015-08-13,36.04,36.07,35.8,35.92,5333827.0
2015-08-14,35.54,35.86,35.52,35.77,4643682.0
2015-08-17,35.48,35.56,35.15,35.53,5531437.0
2015-08-18,35.29,35.32,35.14,35.25,4421054.0
2015-08-19,35.06,35.15,34.45,34.66,6579543.0
2015-08-20,35.01,35.3,34.38,34.38,6505051.0
2015-08-21,34.26,34.41,33.16,33.17,8649876.0
2015-08-24,31.5,32.22,30.89,31.19,18479988.0
2015-08-25,31.96,32.03,30.69,30.71,12881067.0
2015-08-26,31.64,31.65,30.53,31.1,11875089.0
2015-08-27,31.93,33.03,31.88,33.03,12913431.0
2015-08-28,32.6,33.57,32.6,33.26,9068079.0
2015-08-31,32.98,33.63,32.49,33.54,7099891.0
2015-09-01,32.37,32.63,31.93,32.14,10775474.0
2015-09-02,32.47,32.48,31.56,32.2,10634280.0
2015-09-03,32.19,32.89,32.08,32.41,7434320.0
2015-09-04,31.2,31.36,30.54,30.7,16901607.0
2015-09-08,31.61,31.63,31.22,31.41,22876469.0
2015-09-09,31.88,32.05,30.88,30.9,12863614.0
2015-09-10,31.1,31.43,30.79,31.21,10553538.0
2015-09-11,31.05,31.09,30.78,31.01,6213974.0
2015-09-14,30.74,30.81,30.44,30.68,5628714.0
2015-09-15,30.93,31.3,30.9,31.11,5602127.0
2015-09-16,31.65,32.25,31.65,32.13,7824185.0
2015-09-17,32.0,32.62,31.94,32.11,8014692.0
2015-09-18,31.51,31.68,30.97,31.09,7814931.0
2015-09-21,31.04,31.17,30.9,31.06,5506222.0
2015-09-22,30.11,30.46,30.02,30.39,10302044.0
2015-09-23,30.63,30.66,29.88,29.92,7474766.0
2015-09-24,29.69,30.32,29.5,30.16,9738726.0
2015-09-25,30.5,30.65,30.25,30.43,6894216.0
2015-09-28,29.88,29.88,29.35,29.38,7856472.0
2015-09-29,29.87,29.95,29.46,29.63,8062927.0
2015-09-30,30.18,30.57,30.08,30.56,6143723.0
2015-10-01,31.66,31.88,30.78,30.96,9546593.0
2015-10-02,31.48,32.53,31.42,32.52,12201623.0
2015-10-05,33.19,33.6,33.18,33.49,10611598.0
2015-10-06,33.79,34.62,33.76,34.31,12414768.0
2015-10-07,35.72,36.1,35.33,35.71,24908772.0
2015-10-08,35.31,36.06,35.28,35.96,8488684.0
2015-10-09,36.28,36.31,35.78,35.96,8812034.0
2015-10-12,35.74,35.76,35.23,35.37,6986311.0
2015-10-13,34.4,35.16,34.31,34.73,7082157.0
2015-10-14,35.06,35.43,34.9,35.32,7451307.0
2015-10-15,35.36,35.68,35.03,35.68,6105961.0
2015-10-16,35.9,35.91,35.36,35.86,5580419.0
2015-10-19,35.34,35.38,34.71,34.94,4918164.0
2015-10-20,34.49,35.08,34.46,34.97,5364587.0
2015-10-21,35.31,35.47,35.05,35.14,6497615.0
2015-10-22,35.63,35.99,35.56,35.92,8120234.0
2015-10-23,35.84,36.0,35.52,35.72,4748836.0
2015-10-26,35.6,35.64,35.05,35.05,5105127.0
2015-10-27,34.82,35.19,34.6,34.82,10123188.0
2015-10-28,35.09,36.09,35.07,35.74,9410009.0
2015-10-29,35.38,36.01,35.33,35.71,6965609.0
2015-10-30,35.62,36.0,35.33,35.7,5440485.0
2015-11-02,35.64,36.34,35.54,36.28,7170543.0
2015-11-03,36.36,37.53,36.32,37.23,9907638.0
2015-11-04,36.99,37.04,36.1,36.36,8853030.0
2015-11-05,35.9,36.19,35.52,35.55,6412345.0
2015-11-06,35.02,35.37,34.77,35.13,5820408.0
2015-11-09,35.14,35.39,34.69,34.88,5713600.0
2015-11-10,34.62,35.01,34.53,34.77,4701052.0
2015-11-11,34.77,34.85,34.35,34.39,4630226.0
2015-11-12,33.86,34.05,33.35,33.5,6098476.0
2015-11-13,33.24,33.59,32.89,33.38,4777621.0
2015-11-16,33.39,34.5,33.39,34.48,5826415.0
2015-11-17,34.54,34.62,34.08,34.18,4823806.0
2015-11-18,34.8,35.13,34.57,35.1,7394607.0
2015-11-19,35.12,35.38,34.99,35.25,5796744.0
2015-11-20,35.01,35.17,34.42,34.43,5266412.0
2015-11-23,34.38,34.65,34.28,34.42,5145604.0
2015-11-24,34.47,35.08,34.47,34.99,6466685.0
2015-11-25,34.84,35.12,34.56,34.99,5217030.0
2015-11-27,34.82,34.94,34.74,34.83,2849642.0
2015-11-30,34.92,35.03,34.56,34.6,5587703.0
