Date,open,high,low,close,volume
2015-04-27,46.87,46.95,45.79,45.82,2862677.0
2015-04-28,45.54,45.63,45.01,45.42,2560609.0
2015-04-29,45.44,45.47,43.76,44.4,7723505.0
2015-04-30,44.72,44.75,43.69,43.97,4190441.0
2015-05-01,43.88,44.58,43.88,44.53,2697399.0
2015-05-04,44.64,44.88,44.29,44.33,2498234.0
2015-05-05,43.96,44.15,43.34,43.4,2453816.0
2015-05-06,43.41,43.7,43.1,43.45,3425447.0
2015-05-07,44.17,44.71,44.03,44.48,4357554.0
2015-05-08,45.57,46.27,45.51,46.16,4731076.0
2015-05-11,46.77,46.91,46.2,46.23,2806472.0
2015-05-12,46.05,46.09,45.59,45.8,2015348.0
2015-05-13,46.28,46.45,45.71,45.77,3468338.0
2015-05-14,46.37,47.39,46.33,47.37,4364500.0
2015-05-15,47.81,48.07,47.63,47.9,3587955.0
2015-05-18,47.81,48.22,47.71,47.91,2196933.0
2015-05-19,47.95,48.56,47.94,48.36,3270367.0
2015-05-20,47.89,48.11,47.51,47.52,3367087.0
2015-05-21,47.41,47.71,47.26,47.4,2271753.0
2015-05-22,47.3,47.65,47.09,47.35,2363601.0
2015-05-26,47.27,47.34,46.83,46.95,2768324.0
2015-05-27,47.5,47.75,47.27,47.59,1960412.0
2015-05-28,47.39,47.39,46.93,47.15,2112376.0
2015-05-29,46.97,47.17,46.31,46.33,3695400.0
2015-06-01,46.49,46.89,46.25,46.78,2316206.0
2015-06-02,46.72,47.26,46.66,47.03,2134093.0
2015-06-03,47.49,47.92,47.39,47.82,2713424.0
2015-06-04,47.37,47.79,47.27,47.39,3013301.0
2015-06-05,47.19,47.52,46.93,47.25,2070840.0
2015-06-08,47.0,47.4,46.91,47.02,1965566.0
2015-06-09,46.92,47.24,46.78,47.2,2048852.0
2015-06-10,47.33,47.63,46.98,47.0,4135846.0
2015-06-11,47.17,47.85,47.02,47.83,2797296.0
2015-06-12,47.25,47.65,47.2,47.42,1887307.0
2015-06-15,46.91,47.29,46.55,47.23,2252182.0
2015-06-16,47.12,47.63,46.88,47.45,2121658.0
2015-06-17,47.21,47.69,46.99,47.58,2215021.0
2015-06-18,47.59,48.71,47.47,48.62,4044112.0
2015-06-19,48.63,49.12,48.53,48.92,6273705.0
2015-06-22,50.42,50.65,49.52,49.92,6126617.0
2015-06-23,49.91,50.11,49.06,49.48,5846160.0
2015-06-24,50.29,50.94,49.81,49.84,5371627.0
2015-06-25,50.56,51.0,49.97,50.04,5083365.0
2015-06-26,50.52,50.81,50.42,50.6,4394586.0
2015-06-29,50.06,50.22,48.9,48.95,3188201.0
2015-06-30,49.54,49.76,49.02,49.39,3234234.0
2015-07-01,49.91,50.16,49.41,49.63,3995606.0
2015-07-02,49.88,50.07,49.43,49.86,2884692.0
2015-07-06,49.45,49.96,49.01,49.36,3429048.0
2015-07-07,49.33,50.26,48.57,50.2,3986512.0
2015-07-08,49.6,49.71,48.92,48.93,3990362.0
2015-07-09,49.95,50.02,49.18,49.2,2722597.0
2015-07-10,50.51,50.76,50.15,50.58,4459208.0
2015-07-13,51.59,52.11,51.56,51.83,4248955.0
2015-07-14,52.2,52.4,52.03,52.2,2715290.0
2015-07-15,52.17,52.26,51.7,51.84,3569295.0
2015-07-16,52.33,52.39,51.92,52.21,3576873.0
2015-07-17,52.15,52.33,52.01,52.1,2870247.0
2015-07-20,52.34,52.38,52.03,52.15,2956098.0
2015-07-21,52.39,52.47,51.72,51.96,2464971.0
2015-07-22,51.87,52.39,51.85,52.37,2266394.0
2015-07-23,52.31,52.42,51.7,51.81,2276734.0
2015-07-24,51.68,51.81,50.83,51.12,2637568.0
2015-07-27,50.93,51.11,50.53,50.85,2389973.0
2015-07-28,50.83,51.38,50.68,51.34,2494783.0
2015-07-29,51.83,52.45,51.78,52.1,3376923.0
2015-07-30,51.56,52.0,51.16,51.88,2910818.0
2015-07-31,53.6,54.05,53.15,53.29,5490284.0
2015-08-03,53.15,53.18,51.88,52.22,4061069.0
2015-08-04,52.44,52.55,51.68,51.87,3396019.0
2015-08-05,52.38,53.08,52.32,52.63,3720967.0
2015-08-06,52.96,53.06,51.84,52.09,4136161.0
2015-08-07,52.15,52.23,51.56,52.13,3478771.0
2015-08-10,52.8,53.01,52.22,52.42,3812829.0
2015-08-11,51.92,52.33,51.67,52.19,3557693.0
2015-08-12,51.78,51.85,50.91,51.16,3985453.0
2015-08-13,51.46,52.44,51.31,52.11,3382383.0
2015-08-14,52.23,52.52,51.99,52.44,2204941.0
2015-08-17,52.26,53.07,52.21,52.89,2247068.0
2015-08-18,52.94,53.07,52.64,52.8,1880301.0
2015-08-19,52.09,52.69,51.92,52.3,2267942.0
2015-08-20,51.55,51.6,49.89,49.93,5181926.0
2015-08-21,49.46,49.7,48.26,48.38,6384380.0
2015-08-24,46.54,48.38,44.72,46.48,8346630.0
2015-08-25,48.42,48.94,47.32,47.34,7917621.0
2015-08-26,48.78,49.0,47.37,48.85,5920842.0
2015-08-27,49.03,49.82,48.6,49.74,5518926.0
2015-08-28,49.27,49.66,49.04,49.5,3563903.0
2015-08-31,49.42,49.77,49.03,49.23,3514774.0
2015-09-01,48.11,48.52,47.42,47.78,5112716.0
2015-09-02,48.66,49.44,48.37,49.44,3930300.0
2015-09-03,49.84,50.2,49.24,49.4,2958395.0
2015-09-04,48.81,49.21,48.47,48.93,3206657.0
2015-09-08,49.93,50.68,49.75,50.68,3911281.0
2015-09-09,50.87,51.45,50.41,50.53,2988058.0
2015-09-10,50.63,50.99,50.24,50.72,3078622.0
2015-09-11,50.4,51.4,50.33,51.38,2481613.0
2015-09-14,50.81,51.83,50.77,51.38,3833112.0
2015-09-15,51.4,52.16,51.1,51.94,3749618.0
2015-09-16,52.57,52.96,52.19,52.87,3629757.0
2015-09-17,52.76,53.54,52.46,52.74,3541628.0
2015-09-18,52.73,52.74,51.95,52.07,8365342.0
2015-09-21,52.65,53.01,52.11,52.68,6628896.0
2015-09-22,52.02,52.05,49.55,49.79,9960305.0
2015-09-23,50.81,51.57,49.79,51.5,6742241.0
2015-09-24,50.83,51.13,50.54,50.88,4957887.0
2015-09-25,51.41,51.62,50.41,50.7,3976089.0
2015-09-28,50.54,50.65,48.09,48.64,5484111.0
2015-09-29,48.81,48.84,47.79,48.23,4450588.0
2015-09-30,49.81,49.94,48.91,49.7,4962643.0
2015-10-01,50.01,50.44,48.98,49.51,4627967.0
2015-10-02,49.21,49.77,48.41,49.76,4512824.0
2015-10-05,50.17,50.47,49.75,50.38,5146932.0
2015-10-06,50.53,50.74,48.95,49.16,5189027.0
2015-10-07,48.31,49.32,48.24,49.25,5557690.0
2015-10-08,48.99,49.77,48.89,49.62,4441879.0
2015-10-09,48.89,49.49,48.65,49.36,4875258.0
2015-10-12,49.08,50.48,49.05,50.36,3367598.0
2015-10-13,49.85,50.61,49.78,49.87,2582619.0
2015-10-14,50.11,50.22,48.27,48.36,4487332.0
2015-10-15,49.13,50.68,48.9,50.61,4663832.0
2015-10-16,50.72,51.16,50.54,51.1,4153977.0
2015-10-19,50.97,51.94,50.75,51.86,4471437.0
2015-10-20,51.89,52.25,51.32,51.67,2967092.0
2015-10-21,51.88,52.15,51.2,51.46,3056297.0
2015-10-22,51.7,52.4,51.51,52.38,2989684.0
2015-10-23,53.05,53.83,52.85,53.58,5562883.0
2015-10-26,53.44,53.64,53.12,53.51,3206294.0
2015-10-27,53.28,53.91,53.23,53.84,2088798.0
2015-10-28,53.87,54.09,52.73,53.29,3512637.0
2015-10-29,53.37,54.21,53.14,54.08,2303356.0
2015-10-30,53.8,54.59,53.73,54.08,2758896.0
2015-11-02,54.29,54.56,53.43,53.55,3407083.0
2015-11-03,53.15,53.18,51.83,52.98,5460464.0
2015-11-04,52.62,53.13,52.25,52.8,3595086.0
2015-11-05,51.66,53.09,51.63,52.9,3667985.0
2015-11-06,52.73,53.36,52.47,53.36,3367760.0
2015-11-09,52.86,52.99,51.78,52.57,3077393.0
2015-11-10,52.31,53.2,52.24,53.13,2879068.0
2015-11-11,53.33,53.46,52.82,52.83,2238463.0
2015-11-12,52.51,52.66,52.06,52.17,2565637.0
2015-11-13,51.9,52.04,51.28,51.56,2652357.0
2015-11-16,50.61,50.98,49.86,50.77,5170179.0
2015-11-17,51.1,51.4,50.07,50.23,4577230.0
2015-11-18,50.2,50.4,49.74,50.29,4758795.0
2015-11-19,50.94,51.67,50.6,51.54,6165332.0
2015-11-20,51.72,51.93,51.41,51.58,4425497.0
2015-11-23,51.36,51.69,51.26,51.39,2412643.0
2015-11-24,50.12,50.54,49.73,50.39,7722455.0
2015-11-25,51.06,51.59,50.84,50.99,2842962.0
2015-11-27,51.11,51.17,50.62,50.84,1345845.0
2015-11-30,51.04,51.04,50.39,50.53,3178866.0
2015-12-01,51.13,51.53,50.79,51.46,5021515.0
2015-12-02,51.39,51.66,51.07,51.18,3015632.0
2015-12-03,51.41,51.48,49.14,49.31,4994977.0
2015-12-04,49.8,50.76,49.74,50.69,4126341.0
2015-12-07,51.01,51.25,50.28,50.67,3551283.0
2015-12-08,49.65,50.38,49.54,50.16,3428434.0
2015-12-09,50.14,50.82,50.03,50.31,4775804.0
2015-12-10,50.73,51.21,50.57,50.96,3931966.0
2015-12-11,50.19,51.24,50.11,50.69,6697567.0
2015-12-14,50.93,51.4,50.31,50.79,4265227.0
2015-12-15,51.61,52.37,51.29,52.16,4618201.0
2015-12-16,52.1,52.3,50.88,52.2,7289019.0
2015-12-17,52.0,52.23,50.33,50.46,5840996.0
2015-12-18,51.65,53.0,51.06,52.41,8626081.0
2015-12-21,53.43,54.16,53.33,53.94,5531276.0
2015-12-22,54.4,54.49,53.34,54.27,4726513.0
2015-12-23,54.49,54.62,53.95,54.08,3744348.0
2015-12-24,54.46,54.55,54.04,54.12,1684014.0
2015-12-28,53.87,54.42,53.81,54.19,2868255.0
2015-12-29,54.71,55.36,54.57,55.14,2660632.0
2015-12-30,55.52,55.77,55.0,55.04,2947044.0
2015-12-31,54.94,55.27,54.46,54.48,2269864.0
2016-01-04,54.16,54.22,53.22,54.2,4764560.0
2016-01-05,54.02,54.18,53.62,53.68,4545386.0
2016-01-06,52.91,54.1,52.86,53.52,5091902.0
2016-01-07,52.65,53.51,52.25,52.39,4906808.0
2016-01-08,53.65,53.68,51.91,52.05,4932733.0
2016-01-11,53.0,54.5,53.0,53.94,7022738.0
2016-01-12,54.44,54.9,53.95,54.68,6031436.0
2016-01-13,54.38,54.68,52.03,52.38,7727171.0
2016-01-14,51.65,52.18,50.19,51.94,8825450.0
2016-01-15,49.76,50.48,49.47,49.83,9104177.0
2016-01-19,50.83,51.26,48.59,49.07,10713458.0
2016-01-20,49.0,49.03,46.86,48.31,10085400.0
2016-01-21,48.48,49.86,48.28,49.57,8299616.0
2016-01-22,50.18,50.38,49.39,49.57,4910630.0
2016-01-25,49.55,49.8,48.68,48.8,4936678.0
2016-01-26,49.22,50.07,48.85,49.82,5488520.0
2016-01-27,50.47,50.57,47.75,48.05,7411311.0
2016-01-28,48.44,48.49,45.81,46.86,12679347.0
2016-01-29,46.94,48.13,46.91,48.13,8603672.0
2016-02-01,48.1,49.13,47.77,48.97,7057091.0
2016-02-02,47.25,47.31,44.51,45.08,16122354.0
2016-02-03,45.61,45.93,44.94,45.39,8646326.0
2016-02-04,45.5,45.71,44.82,45.51,7697677.0
2016-02-05,44.85,45.03,42.88,43.04,9093620.0
2016-02-08,42.3,42.49,40.82,41.92,12096525.0
2016-02-09,40.77,43.64,40.52,42.97,9800448.0
2016-02-10,43.44,44.57,43.31,43.41,7325389.0
2016-02-11,42.71,43.69,42.67,43.19,6703008.0
2016-02-12,43.28,44.14,42.84,44.06,4834862.0
2016-02-16,44.62,45.59,44.06,45.02,5145144.0
2016-02-17,45.23,46.15,45.13,45.92,5846072.0
2016-02-18,45.94,46.05,45.16,45.34,4360275.0
2016-02-19,45.36,46.55,44.83,46.39,4931571.0
2016-02-22,46.49,47.78,46.44,47.73,6755987.0
2016-02-23,47.75,48.58,47.63,48.1,6061061.0
2016-02-24,46.98,48.07,46.6,48.03,5282360.0
2016-02-25,48.04,48.62,47.96,48.51,4297398.0
2016-02-26,48.66,48.86,47.73,48.34,4829972.0
2016-02-29,48.33,48.82,47.94,47.96,4114941.0
2016-03-01,48.59,48.97,48.02,48.96,4368497.0
2016-03-02,48.69,48.87,47.94,48.16,3922444.0
2016-03-03,47.39,48.06,46.83,48.05,7237683.0
2016-03-04,48.03,48.18,47.43,47.97,5087348.0
2016-03-07,47.54,47.8,46.84,47.05,4609979.0
2016-03-08,46.88,47.13,46.32,46.36,5538926.0
2016-03-09,46.51,46.68,45.98,46.47,3974962.0
2016-03-10,46.39,47.39,45.74,46.3,4791646.0
2016-03-11,46.87,47.92,46.65,47.91,3653358.0
2016-03-14,48.08,48.65,47.99,48.12,3275256.0
2016-03-15,47.71,48.38,47.6,47.91,2472591.0
2016-03-16,47.74,49.04,47.54,48.83,3835435.0
2016-03-17,48.84,49.33,48.46,48.97,4459699.0
2016-03-18,48.95,49.91,48.91,49.63,6236705.0
2016-03-21,49.63,49.81,49.31,49.78,2932015.0
2016-03-22,47.94,48.84,47.94,48.75,7002058.0
2016-03-23,48.89,49.09,47.91,48.06,5313669.0
2016-03-24,48.21,49.02,47.9,48.92,4338722.0
2016-03-28,48.98,49.43,48.79,49.02,4199467.0
2016-03-29,49.11,49.76,49.04,49.64,4379469.0
2016-03-30,50.78,52.39,50.78,52.37,9515606.0
2016-03-31,52.29,53.05,52.15,52.77,7716663.0
2016-04-01,52.2,52.9,52.01,52.75,5386658.0
2016-04-04,52.8,53.2,52.52,53.03,3586908.0
2016-04-05,52.19,52.31,51.32,51.5,5511451.0
2016-04-06,51.92,52.07,51.42,51.99,3961323.0
2016-04-07,51.84,51.84,50.96,51.18,2975431.0
2016-04-08,51.71,51.71,51.01,51.14,2961662.0
2016-04-11,51.46,51.67,50.76,50.8,3977134.0
2016-04-12,51.28,51.39,50.82,51.23,3538649.0
2016-04-13,51.52,51.79,51.17,51.68,4515483.0
2016-04-14,51.66,51.97,51.04,51.57,2772597.0
2016-04-15,51.53,51.74,50.92,51.02,4737799.0
2016-04-18,51.86,51.97,50.2,50.84,5266829.0
2016-04-19,51.08,51.23,50.52,50.6,3253094.0
2016-04-20,50.61,50.75,49.91,50.04,3742000.0
2016-04-21,49.69,50.04,49.05,49.18,5332688.0
2016-04-22,49.1,49.99,48.13,48.51,4882292.0
2016-04-25,48.74,49.7,48.66,49.24,3606215.0
2016-04-26,49.17,49.69,48.83,49.13,3125697.0
2016-04-27,49.21,49.76,49.1,49.49,3450170.0
2016-04-28,48.79,49.47,48.61,48.71,4475601.0
2016-04-29,49.15,49.79,48.25,49.05,5878513.0
2016-05-02,49.33,49.82,49.32,49.53,3541347.0
2016-05-03,49.05,49.93,48.93,49.49,3738605.0
2016-05-04,49.11,49.39,48.95,49.16,3199895.0
2016-05-05,49.01,49.18,48.32,48.39,3216267.0
2016-05-06,48.42,49.28,48.15,49.22,3628383.0
2016-05-09,49.3,49.94,49.24,49.74,3313189.0
2016-05-10,49.13,50.49,48.37,50.39,6062223.0
2016-05-11,50.28,51.14,50.24,50.28,4072400.0
2016-05-12,50.88,51.29,50.51,51.05,4010301.0
2016-05-13,50.56,51.1,49.59,49.6,4532188.0
2016-05-16,49.69,50.18,49.64,49.99,4432486.0
2016-05-17,50.12,50.3,49.78,49.93,2483071.0
2016-05-18,49.94,50.51,49.82,50.33,3569508.0
2016-05-19,49.94,50.09,49.25,49.55,3408722.0
2016-05-20,49.9,50.31,49.79,50.03,3088564.0
2016-05-23,50.24,50.31,49.83,49.91,2182745.0
2016-05-24,50.22,51.05,50.16,50.83,2411708.0
2016-05-25,50.23,50.23,49.5,49.63,5194818.0
2016-05-26,48.68,48.77,47.3,47.59,10709157.0
2016-05-27,48.18,48.96,48.02,48.6,5430558.0
2016-05-31,48.6,48.83,47.52,47.74,6066080.0
2016-06-01,47.28,48.12,47.17,48.05,4547240.0
2016-06-02,47.88,48.34,47.69,48.33,3438086.0
2016-06-03,47.91,48.01,47.22,47.75,3349391.0
2016-06-06,47.1,47.39,46.83,47.07,4198131.0
2016-06-07,47.51,47.93,47.42,47.5,5053971.0
2016-06-08,47.41,47.85,47.23,47.68,3046433.0
2016-06-09,47.69,48.34,47.58,48.03,3516693.0
2016-06-10,47.13,47.34,46.92,47.15,3790340.0
2016-06-13,46.5,47.24,46.29,46.64,3660137.0
2016-06-14,46.07,46.62,46.03,46.52,4327418.0
2016-06-15,47.19,47.8,47.08,47.26,4193653.0
2016-06-16,46.77,47.52,46.36,47.47,3061257.0
2016-06-17,47.47,47.86,47.41,47.81,5882260.0
2016-06-20,49.52,49.65,48.37,48.5,5550963.0
2016-06-21,48.75,49.0,48.59,48.65,3073636.0
2016-06-22,48.86,49.39,48.75,48.86,3174409.0
2016-06-23,50.0,50.0,49.25,49.36,4210619.0
2016-06-24,45.46,47.19,44.96,45.65,10969080.0
2016-06-27,43.66,44.07,43.55,43.92,1931150.0
2016-06-28,45.15,46.16,42.94,43.73,14381485.0
2016-06-29,43.81,45.12,43.36,44.47,7536620.0
2016-06-30,44.12,44.35,43.77,44.2,6541759.0
2016-07-01,44.72,45.31,44.65,44.86,5651655.0
2016-07-05,44.41,44.41,43.56,43.75,6251890.0
2016-07-06,43.5,43.77,43.06,43.18,6195041.0
2016-07-07,43.64,44.37,43.55,43.82,4953545.0
2016-07-08,44.5,44.97,44.42,44.52,4181684.0
2016-07-11,44.96,45.69,44.95,45.63,5547531.0
2016-07-12,46.13,47.08,46.1,46.71,4912227.0
2016-07-13,47.05,47.38,46.55,46.65,3608802.0
2016-07-14,47.08,47.41,46.31,46.32,4006079.0
2016-07-15,45.78,45.8,44.75,45.32,6204266.0
2016-07-18,45.43,45.97,45.42,45.62,3071742.0
2016-07-19,45.67,45.88,45.02,45.13,3866780.0
2016-07-20,45.98,46.17,45.62,46.02,4224480.0
2016-07-21,45.93,46.08,45.17,45.32,2986205.0
2016-07-22,45.53,46.01,45.41,45.94,3842148.0
2016-07-25,45.91,46.5,45.9,46.31,2964808.0
2016-07-26,46.46,46.74,46.1,46.17,2750006.0
2016-07-27,46.33,46.48,46.06,46.32,3431473.0
2016-07-28,46.22,46.65,45.99,46.5,2588667.0
2016-07-29,46.7,46.95,46.48,46.72,3887060.0
2016-08-01,46.58,46.9,46.52,46.71,4294017.0
2016-08-02,46.18,46.65,45.08,45.26,7242682.0
2016-08-03,45.1,46.09,45.08,45.63,2826374.0
2016-08-04,45.66,46.4,45.66,46.16,2772610.0
2016-08-05,46.34,47.12,46.31,47.05,2566263.0
2016-08-08,46.82,47.11,46.41,46.48,2822964.0
2016-08-09,45.76,46.34,45.02,45.05,7586447.0
2016-08-10,45.2,45.45,45.01,45.44,4840125.0
2016-08-11,45.71,46.32,45.62,45.92,4630654.0
2016-08-12,45.92,46.18,45.81,46.04,3423913.0
2016-08-15,45.9,46.36,45.8,46.15,3446741.0
2016-08-16,46.14,46.65,46.08,46.58,3012283.0
2016-08-17,46.51,47.01,46.23,46.99,3467868.0
2016-08-18,46.86,46.9,46.33,46.77,3709434.0
2016-08-19,46.45,46.7,46.08,46.63,3132476.0
2016-08-22,46.54,46.95,46.31,46.91,3481940.0
2016-08-23,47.2,47.98,47.15,47.79,5136540.0
2016-08-24,47.47,47.68,47.23,47.29,5564640.0
2016-08-25,46.93,47.31,46.86,47.19,2753781.0
2016-08-26,47.3,47.66,46.9,47.1,5077004.0
2016-08-29,47.08,47.43,47.0,47.18,2366147.0
2016-08-30,47.05,47.45,47.05,47.41,2694391.0
2016-08-31,47.22,47.92,47.19,47.8,5858934.0
2016-09-01,48.05,48.7,48.01,48.7,4118454.0
2016-09-02,46.69,47.15,46.08,46.39,12104306.0
2016-09-06,45.88,46.27,45.7,45.87,5300929.0
2016-09-07,45.6,45.85,45.22,45.3,5082978.0
2016-09-08,45.19,45.45,44.75,44.86,6042901.0
2016-09-09,44.75,44.85,44.32,44.37,4629780.0
2016-09-12,44.15,45.37,44.11,45.22,3509985.0
2016-09-13,45.62,45.88,45.02,45.63,9740613.0
2016-09-14,45.67,46.39,45.29,46.23,6266886.0
2016-09-15,46.22,46.63,46.1,46.47,6366814.0
2016-09-16,46.48,46.64,45.99,46.25,7241229.0
2016-09-19,46.38,46.63,45.64,45.9,4709023.0
2016-09-20,46.1,46.54,45.93,46.19,4927154.0
2016-09-21,46.3,46.35,45.46,45.82,4510931.0
2016-09-22,46.19,46.87,46.19,46.84,4370218.0
2016-09-23,46.53,47.54,46.37,47.26,8273065.0
2016-09-26,47.96,48.25,45.8,46.47,10294936.0
2016-09-27,47.28,48.54,47.25,48.35,7843325.0
2016-09-28,48.59,48.84,48.07,48.78,6649072.0
2016-09-29,48.5,48.75,48.1,48.26,4539464.0
2016-09-30,48.55,49.23,48.46,48.82,4481352.0
2016-10-03,48.74,49.48,48.74,49.13,4338467.0
2016-10-04,49.31,49.64,49.02,49.19,4205755.0
2016-10-05,48.88,49.05,48.61,48.77,4068246.0
2016-10-06,48.7,49.14,48.69,48.83,3812543.0
2016-10-07,48.26,48.6,47.74,47.75,5032102.0
2016-10-10,47.54,47.9,47.48,47.51,3202663.0
2016-10-11,47.51,47.73,46.65,46.85,3510257.0
2016-10-12,46.45,47.01,46.23,46.7,4538875.0
2016-10-13,46.4,46.91,46.23,46.79,3698984.0
2016-10-14,46.83,46.99,46.11,46.15,4002767.0
2016-10-17,46.23,46.51,45.91,46.11,2997329.0
2016-10-18,46.64,46.99,46.5,46.52,2587678.0
2016-10-19,46.28,46.63,46.05,46.62,2529646.0
2016-10-20,46.5,47.25,46.42,47.2,4188416.0
2016-10-21,46.82,46.88,46.43,46.71,2850823.0
2016-10-24,46.64,47.13,46.59,47.0,3293115.0
2016-10-25,46.78,47.06,46.71,46.92,2818398.0
2016-10-26,46.55,47.17,46.53,47.15,3221001.0
2016-10-27,47.06,47.11,46.11,46.53,4670403.0
2016-10-28,47.48,48.86,47.06,48.45,5902497.0
2016-10-31,48.65,49.26,48.33,49.1,4371294.0
2016-11-01,49.09,49.29,47.93,48.42,3648126.0
2016-11-02,48.47,48.82,48.16,48.27,2304912.0
2016-11-03,48.68,48.88,48.13,48.32,2797553.0
2016-11-04,48.15,48.65,47.99,48.04,1644917.0
2016-11-07,48.57,49.03,48.36,48.99,2428502.0
2016-11-08,48.81,49.97,48.73,49.82,2510863.0
2016-11-09,48.94,49.55,48.44,49.36,4594334.0
2016-11-10,49.36,50.22,49.13,49.92,4968023.0
2016-11-11,49.72,50.16,49.5,49.82,3722799.0
2016-11-14,49.59,50.97,49.5,50.78,5577975.0
2016-11-15,51.0,51.0,50.4,50.97,2512739.0
2016-11-16,50.48,50.97,50.04,50.94,3681718.0
2016-11-17,50.94,51.65,50.86,51.5,3088744.0
2016-11-18,51.14,51.64,51.03,51.5,2278694.0
2016-11-21,51.46,51.63,51.12,51.26,3345230.0
2016-11-22,51.02,51.86,50.9,51.77,3730219.0
2016-11-23,52.02,52.43,51.73,52.3,3324123.0
2016-11-25,52.25,52.59,51.9,52.55,1498895.0
2016-11-28,52.09,52.27,51.59,52.06,2336218.0
2016-11-29,52.35,53.27,52.2,53.22,4152852.0
2016-11-30,52.39,52.42,51.29,51.41,5548391.0
2016-12-01,50.85,51.11,49.73,49.88,5822320.0
2016-12-02,50.02,50.63,49.84,50.4,5594701.0
2016-12-05,51.32,52.39,51.19,51.63,3794313.0
2016-12-06,51.96,52.69,51.83,52.58,3510807.0
2016-12-07,52.15,53.29,52.1,53.16,3853758.0
2016-12-08,53.01,53.37,52.78,52.92,4104130.0
2016-12-09,52.79,53.4,52.78,53.34,3135507.0
2016-12-12,52.48,52.54,51.68,52.13,3895686.0
2016-12-13,52.39,52.68,52.05,52.15,5356840.0
2016-12-14,52.55,53.0,52.29,52.41,3521956.0
2016-12-15,52.76,53.67,51.95,52.96,6992845.0
2016-12-16,52.45,52.53,51.4,51.5,6317600.0
2016-12-19,50.9,51.6,50.77,51.32,5038369.0
2016-12-20,51.76,53.11,51.38,52.49,6362477.0
2016-12-21,52.27,53.25,52.07,53.09,4559454.0
2016-12-22,52.99,53.16,52.08,52.41,2693191.0
2016-12-23,52.63,53.12,52.35,53.03,2351836.0
2016-12-27,53.0,53.41,52.64,52.64,1290502.0
2016-12-28,52.55,52.63,52.08,52.19,1949245.0
2016-12-29,52.34,52.46,51.97,51.99,1639972.0
2016-12-30,52.25,52.37,51.7,52.06,2323803.0
2017-01-03,52.23,52.52,51.74,52.14,3451117.0
2017-01-04,52.45,52.92,52.24,52.82,3169335.0
2017-01-05,53.05,53.99,52.82,53.71,4022336.0
