Date,open,high,low,close,volume
2015-04-27,73.75,74.44,72.91,73.06,1411100.0
2015-04-28,72.96,73.5,72.17,73.13,1493200.0
2015-04-29,72.8,73.5,72.25,73.03,989900.0
2015-04-30,73.01,73.46,71.54,71.81,1702500.0
2015-05-01,72.32,72.87,71.57,72.11,1274000.0
2015-05-04,72.3,73.18,72.28,73.06,1442000.0
2015-05-05,72.52,72.95,71.86,72.08,1352900.0
2015-05-06,71.68,72.46,70.57,70.85,2231100.0
2015-05-07,71.07,71.66,70.66,71.25,1945200.0
2015-05-08,70.89,70.94,67.57,68.02,8342700.0
2015-05-11,67.67,68.61,66.92,68.1,3503700.0
2015-05-12,67.78,67.99,66.95,67.24,2075000.0
2015-05-13,67.46,67.93,67.14,67.27,1837300.0
2015-05-14,67.87,68.21,67.39,68.14,4797300.0
2015-05-15,68.2,68.34,67.25,67.34,1921700.0
2015-05-18,67.3,68.36,67.06,68.26,1305700.0
2015-05-19,68.19,68.86,68.12,68.5,2107600.0
2015-05-20,68.46,68.81,68.13,68.19,1232700.0
2015-05-21,68.07,68.25,67.52,67.83,1935400.0
2015-05-22,67.66,68.75,67.37,68.33,2064000.0
2015-05-26,67.9,68.1,67.33,67.78,1597600.0
2015-05-27,67.88,68.74,67.62,68.47,1987300.0
2015-05-28,68.47,68.72,68.29,68.33,1709800.0
2015-05-29,67.92,68.42,67.25,67.29,2093100.0
2015-06-01,67.67,67.98,67.16,67.81,1880500.0
2015-06-02,67.27,67.7,67.09,67.14,1740900.0
2015-06-03,67.27,67.83,67.07,67.75,1683200.0
2015-06-04,67.37,67.72,66.66,67.06,1951200.0
2015-06-05,67.01,67.18,65.98,66.24,2847900.0
2015-06-08,66.06,66.5,65.99,66.09,2211700.0
2015-06-09,66.24,66.39,65.67,65.77,1422000.0
2015-06-10,66.0,67.33,65.79,67.17,1810700.0
2015-06-11,67.45,68.09,67.26,67.87,1775900.0
2015-06-12,67.39,68.03,67.31,67.85,2140000.0
2015-06-15,67.32,67.44,66.62,67.17,2970000.0
2015-06-16,67.0,67.75,66.55,67.51,1035200.0
2015-06-17,67.79,68.07,67.39,67.81,1123200.0
2015-06-18,68.28,69.83,68.0,69.39,1693500.0
2015-06-19,69.29,69.6,68.87,69.43,2882900.0
2015-06-22,69.81,70.66,69.8,70.27,1575700.0
2015-06-23,70.28,70.61,69.74,69.92,1327000.0
2015-06-24,69.94,69.95,68.44,69.12,1311400.0
2015-06-25,69.25,69.45,68.9,69.19,1187900.0
2015-06-26,69.37,69.9,68.85,69.11,1295900.0
2015-06-29,68.86,69.06,68.18,68.23,2058100.0
2015-06-30,68.97,69.39,68.34,69.06,3168800.0
2015-07-01,69.39,69.47,68.56,69.4,2174700.0
2015-07-02,69.41,70.15,68.12,68.48,1696000.0
2015-07-06,68.05,68.62,67.68,68.23,2039200.0
2015-07-07,68.41,68.65,67.37,68.59,1277700.0
2015-07-08,68.4,68.67,67.72,67.81,1484000.0
2015-07-09,68.8,69.0,68.24,68.47,1377700.0
2015-07-10,68.93,70.15,68.71,69.92,1064400.0
2015-07-13,70.12,70.76,70.0,70.63,2503700.0
2015-07-14,70.54,71.65,70.28,71.3,1587800.0
2015-07-15,71.32,72.01,71.1,71.6,1503300.0
2015-07-16,71.76,71.98,71.25,71.3,1751100.0
2015-07-17,71.15,71.41,70.84,71.33,1241100.0
2015-07-20,71.42,72.63,71.13,71.95,1664700.0
2015-07-21,73.21,73.52,71.21,71.54,1047200.0
2015-07-22,71.58,72.25,71.55,72.05,992600.0
2015-07-23,72.03,72.13,69.8,70.0,2303900.0
2015-07-24,70.31,70.42,67.95,68.12,2338600.0
2015-07-27,68.12,68.12,67.26,67.66,1932200.0
2015-07-28,68.0,68.61,67.7,68.49,1371600.0
2015-07-29,68.28,75.0,68.0,73.4,5535900.0
2015-07-30,72.69,72.7,71.5,71.96,3574400.0
2015-07-31,72.39,72.73,71.42,71.72,2021300.0
2015-08-03,71.91,72.06,69.95,70.9,2290100.0
2015-08-04,70.65,71.28,70.02,70.32,1943700.0
2015-08-05,66.0,67.59,63.25,67.3,11450900.0
2015-08-06,67.42,67.55,65.23,65.3,4588400.0
2015-08-07,65.26,65.33,63.34,63.59,3763800.0
2015-08-10,63.78,64.14,62.61,63.21,2971000.0
2015-08-11,62.28,62.96,62.12,62.81,3337600.0
2015-08-12,62.03,63.61,62.0,63.12,2919800.0
2015-08-13,63.01,63.52,62.48,62.89,2569700.0
2015-08-14,62.76,64.29,62.53,64.25,3598600.0
2015-08-17,64.27,64.77,64.0,64.54,2361100.0
2015-08-18,64.5,65.65,64.32,65.6,2497000.0
2015-08-19,65.6,65.87,64.74,65.0,2769100.0
2015-08-20,64.55,65.04,63.11,63.27,1794500.0
2015-08-21,62.77,63.31,61.7,61.72,2946300.0
2015-08-24,58.75,62.15,57.42,60.63,5898100.0
2015-08-25,61.92,62.37,60.19,60.24,3597300.0
2015-08-26,61.61,61.86,59.76,61.63,3307400.0
2015-08-27,62.3,62.55,60.73,61.44,3010500.0
2015-08-28,61.22,63.2,61.12,63.13,2615800.0
2015-08-31,62.86,63.27,61.67,61.76,2180500.0
2015-09-01,60.79,61.21,59.39,59.87,2649700.0
2015-09-02,60.82,61.6,60.08,60.96,1797300.0
2015-09-03,61.22,61.61,60.65,60.81,1478700.0
2015-09-04,60.02,60.51,59.54,59.83,1500400.0
2015-09-08,61.59,62.96,61.45,62.38,2486800.0
2015-09-09,62.96,63.23,61.29,61.43,1735500.0
2015-09-10,61.52,62.86,61.21,61.81,2637300.0
2015-09-11,61.74,62.64,61.5,62.52,1567400.0
2015-09-14,62.5,62.5,61.64,61.75,1460300.0
2015-09-15,61.92,63.01,61.71,62.64,1731000.0
2015-09-16,62.5,63.95,62.42,63.39,1785300.0
2015-09-17,63.64,65.56,63.4,64.52,2520300.0
2015-09-18,63.99,64.47,63.06,63.24,2898300.0
2015-09-21,63.64,64.45,62.85,63.48,1672500.0
2015-09-22,62.48,64.0,62.09,62.92,2275900.0
2015-09-23,63.28,64.05,62.68,63.02,928400.0
2015-09-24,63.15,63.15,61.54,62.33,3040800.0
2015-09-25,62.62,62.85,60.44,60.71,2274400.0
2015-09-28,60.63,60.75,58.01,58.15,3230900.0
2015-09-29,58.75,60.68,58.51,59.48,2945900.0
2015-09-30,59.99,61.28,59.52,59.96,3379000.0
2015-10-01,60.17,60.3,58.71,60.15,2755200.0
2015-10-02,59.32,61.35,58.54,61.34,2497700.0
2015-10-05,61.66,62.22,61.46,62.12,1473100.0
2015-10-06,62.28,62.45,61.24,61.48,1548300.0
2015-10-07,61.72,62.98,61.32,62.87,1481600.0
2015-10-08,62.54,63.49,62.39,63.42,1231600.0
2015-10-09,63.41,64.16,63.02,64.08,1404000.0
2015-10-12,63.87,65.24,63.82,65.2,2160500.0
2015-10-13,64.69,65.88,64.61,65.07,2153700.0
2015-10-14,65.06,65.71,64.39,64.53,1269700.0
2015-10-15,64.25,64.64,63.44,64.5,1916500.0
2015-10-16,65.0,65.28,64.08,65.25,1373200.0
2015-10-19,65.07,66.0,64.84,65.44,1675900.0
2015-10-20,65.43,65.72,65.0,65.69,1155100.0
2015-10-21,66.36,66.81,65.41,65.7,1431900.0
2015-10-22,65.88,66.1,61.95,63.16,3559100.0
2015-10-23,64.3,64.83,63.3,64.63,3661400.0
2015-10-26,64.63,65.05,64.34,64.99,1638500.0
2015-10-27,64.83,66.87,64.36,66.48,2406700.0
2015-10-28,66.45,67.52,65.3,67.47,1925500.0
2015-10-29,67.32,68.31,66.63,67.32,1839400.0
2015-10-30,67.54,67.6,66.16,66.29,1581700.0
2015-11-02,66.8,66.94,65.68,66.16,2779600.0
2015-11-03,65.88,66.59,65.31,66.09,3131400.0
2015-11-04,61.0,62.73,60.51,61.63,9102400.0
2015-11-05,61.6,61.78,60.93,61.28,4024400.0
2015-11-06,61.16,61.58,59.53,60.17,4328500.0
2015-11-09,59.82,60.17,59.03,59.38,2846800.0
2015-11-10,59.31,59.55,58.57,59.3,2494600.0
2015-11-11,59.66,59.66,58.44,58.52,3294400.0
2015-11-12,58.3,59.0,57.66,57.7,2583900.0
2015-11-13,57.53,58.07,55.82,56.55,4348500.0
2015-11-16,56.68,57.35,56.45,57.27,2790200.0
2015-11-17,57.66,57.94,57.26,57.36,2802400.0
2015-11-18,57.36,58.68,57.35,58.32,2859000.0
2015-11-19,58.26,58.71,57.89,57.9,2543700.0
2015-11-20,58.44,58.81,58.09,58.75,3104600.0
2015-11-23,58.7,59.28,58.5,58.9,2185700.0
2015-11-24,58.62,59.21,58.62,59.18,3652900.0
2015-11-25,59.15,59.86,58.95,59.51,2153700.0
2015-11-27,59.41,59.96,59.38,59.61,856600.0
2015-11-30,59.82,60.11,59.29,59.6,2703300.0
2015-12-01,59.75,60.21,59.28,60.16,3106500.0
2015-12-02,60.58,61.18,60.2,60.33,3751800.0
2015-12-03,60.3,60.34,58.99,59.23,2533700.0
2015-12-04,59.28,60.31,58.91,60.13,2104500.0
2015-12-07,59.83,60.12,59.39,59.96,1503900.0
2015-12-08,59.45,60.54,59.31,60.26,1941000.0
2015-12-09,59.65,60.89,59.65,60.0,2365100.0
2015-12-10,59.66,60.44,59.12,60.11,1508300.0
2015-12-11,59.06,60.29,59.0,60.0,2992100.0
2015-12-14,60.1,60.6,59.11,59.94,2200100.0
2015-12-15,60.35,60.83,59.92,60.42,1681000.0
2015-12-16,60.71,61.24,60.28,61.16,2203000.0
2015-12-17,61.16,61.34,60.37,60.38,2278300.0
2015-12-18,60.08,60.19,58.92,59.02,3325100.0
2015-12-21,59.43,60.01,59.06,59.68,1499900.0
2015-12-22,61.33,61.5,59.31,60.43,1355700.0
2015-12-23,60.74,61.24,60.44,60.75,1261400.0
2015-12-24,60.69,60.95,60.31,60.69,501200.0
2015-12-28,60.6,60.65,59.91,60.62,1213500.0
2015-12-29,60.94,61.94,60.92,61.85,1270300.0
2015-12-30,61.82,61.96,60.59,60.63,1181300.0
2015-12-31,60.51,61.01,60.08,60.17,1513800.0
2016-01-04,59.05,59.25,57.76,58.16,3212900.0
2016-01-05,58.09,58.65,57.81,58.08,1415200.0
2016-01-06,57.3,57.95,57.11,57.62,1839900.0
2016-01-07,57.31,58.84,57.22,57.67,2553300.0
2016-01-08,58.09,59.34,57.85,58.74,2971600.0
2016-01-11,58.97,59.48,56.55,57.26,2547500.0
2016-01-12,57.4,59.17,57.2,59.16,2051400.0
2016-01-13,59.3,59.92,58.23,58.33,2560500.0
2016-01-14,58.53,58.75,57.53,58.19,1817700.0
2016-01-15,56.67,57.18,55.85,56.77,2362800.0
2016-01-19,57.36,57.76,56.02,56.39,2498600.0
