Date,open,high,low,close,volume
2015-04-27,87.99,88.14,87.08,87.38,883629.0
2015-04-28,87.63,87.79,86.87,87.32,673293.0
2015-04-29,87.0,87.68,85.42,85.72,1303587.0
2015-04-30,85.38,86.09,83.39,83.48,1883624.0
2015-05-01,83.77,84.52,83.51,83.94,2280010.0
2015-05-04,84.28,84.68,83.98,83.99,2060308.0
2015-05-05,83.57,84.37,83.09,84.11,1499657.0
2015-05-06,84.55,84.72,83.85,84.54,1053151.0
2015-05-07,84.34,85.35,84.07,85.01,685083.0
2015-05-08,86.04,87.01,85.68,85.7,1117226.0
2015-05-11,84.94,86.45,84.5,86.25,1097505.0
2015-05-12,85.85,86.6,85.61,86.01,975306.0
2015-05-13,86.69,87.13,86.02,86.9,957974.0
2015-05-14,86.93,88.07,86.9,88.03,769590.0
2015-05-15,88.42,88.49,86.82,86.86,763480.0
2015-05-18,86.58,86.9,85.11,86.71,1053479.0
2015-05-19,87.11,87.34,86.65,86.83,740348.0
2015-05-20,86.86,87.9,86.41,87.36,1000767.0
2015-05-21,87.34,87.34,86.44,86.7,716674.0
2015-05-22,86.55,87.5,86.42,87.22,607450.0
2015-05-26,87.2,87.2,85.56,85.78,1340710.0
2015-05-27,84.24,84.52,82.23,83.84,3339728.0
2015-05-28,83.74,85.79,83.5,85.19,1675075.0
2015-05-29,85.3,85.3,83.63,84.74,932226.0
2015-06-01,85.44,85.44,84.09,84.68,861307.0
2015-06-02,84.61,84.66,83.36,83.63,1278437.0
2015-06-03,84.23,84.23,83.39,83.7,1353592.0
2015-06-04,83.76,84.24,83.18,83.66,989075.0
2015-06-05,83.9,84.57,82.94,83.79,1236530.0
2015-06-08,83.98,84.25,82.94,83.21,818078.0
2015-06-09,83.94,83.94,82.55,83.59,906821.0
2015-06-10,84.12,84.97,83.83,84.76,857188.0
2015-06-11,85.0,85.3,84.55,84.76,751326.0
2015-06-12,84.6,84.85,83.47,83.71,873708.0
2015-06-15,83.12,83.53,82.1,82.82,1219872.0
2015-06-16,82.88,83.75,82.62,83.49,756951.0
2015-06-17,83.84,84.36,83.37,83.96,1501127.0
2015-06-18,84.34,85.08,84.05,84.71,1258498.0
2015-06-19,84.77,85.2,83.68,83.74,1075992.0
2015-06-22,84.69,84.82,83.67,83.94,729606.0
2015-06-23,84.46,84.59,83.1,83.16,1215102.0
2015-06-24,83.13,83.13,80.94,81.52,2003423.0
2015-06-25,81.93,81.97,80.51,80.73,1538185.0
2015-06-26,80.71,80.91,79.44,79.68,1578172.0
2015-06-29,78.99,79.41,78.12,78.23,1214366.0
2015-06-30,78.64,80.18,78.4,79.54,1472744.0
2015-07-01,80.2,80.75,79.74,80.2,1167026.0
2015-07-02,79.88,80.48,79.86,80.3,990642.0
2015-07-06,79.52,80.36,79.13,79.8,1016927.0
2015-07-07,79.86,80.07,78.67,79.34,1593949.0
2015-07-08,78.87,79.34,78.5,78.7,1508565.0
