Date,open,high,low,close,volume
2015-04-27,26.61,26.73,26.3,26.46,208369.0
2015-04-28,26.36,26.59,26.11,26.18,168192.0
2015-04-29,26.16,26.96,26.11,26.61,183401.0
2015-04-30,26.61,26.66,25.93,26.1,357674.0
2015-05-01,25.98,26.08,25.5,25.73,186626.0
2015-05-04,25.73,26.18,25.6,25.83,191690.0
2015-05-05,26.26,26.56,25.44,25.54,281810.0
2015-05-06,25.66,26.3,25.04,25.55,500304.0
2015-05-07,25.55,25.62,24.35,24.63,463053.0
2015-05-08,25.12,25.62,24.48,25.59,371525.0
2015-05-11,25.51,25.59,24.6,24.71,356175.0
2015-05-12,24.85,25.2,24.37,24.4,350997.0
2015-05-13,24.68,24.94,24.38,24.78,347330.0
2015-05-14,24.88,25.13,24.5,24.53,280621.0
2015-05-15,24.28,24.5,23.94,24.39,245832.0
2015-05-18,24.39,24.39,23.79,24.0,244909.0
2015-05-19,24.0,24.0,23.4,23.51,338102.0
2015-05-20,23.69,23.88,23.5,23.67,297702.0
2015-05-21,23.95,25.07,23.95,25.01,318270.0
2015-05-22,24.64,24.82,24.33,24.42,277180.0
2015-05-26,24.04,24.25,23.71,23.99,324391.0
2015-05-27,22.75,22.8,22.44,22.61,865213.0
2015-05-28,22.51,22.66,22.25,22.59,402883.0
2015-05-29,22.52,22.8,22.35,22.69,308931.0
2015-06-01,22.64,22.67,22.21,22.36,269996.0
2015-06-02,22.57,23.03,22.57,22.92,582966.0
2015-06-03,22.67,22.96,22.46,22.51,272289.0
2015-06-04,22.35,22.36,21.82,21.86,391573.0
2015-06-05,21.6,22.06,21.44,21.95,426502.0
2015-06-08,21.98,21.98,21.13,21.38,398509.0
2015-06-09,21.73,22.06,21.72,21.98,337548.0
2015-06-10,22.61,22.67,22.25,22.39,239229.0
2015-06-11,22.38,22.4,21.98,22.22,291019.0
2015-06-12,21.99,22.0,21.77,21.88,238308.0
2015-06-15,21.62,21.95,21.47,21.93,293309.0
2015-06-16,22.01,22.54,21.93,22.44,308311.0
2015-06-17,22.65,22.81,22.05,22.25,359050.0
2015-06-18,22.45,22.58,22.2,22.36,294689.0
2015-06-19,22.06,22.27,21.77,21.82,396577.0
2015-06-22,21.9,21.94,21.62,21.65,355628.0
2015-06-23,21.53,22.16,21.53,22.11,316513.0
2015-06-24,22.07,22.3,21.73,22.02,366887.0
2015-06-25,22.03,22.17,21.82,21.84,372282.0
2015-06-26,21.54,21.58,21.19,21.3,473632.0
2015-06-29,20.88,21.0,20.51,20.59,488241.0
2015-06-30,20.75,20.89,20.44,20.48,740225.0
2015-07-01,20.44,20.48,19.55,19.77,484144.0
2015-07-02,20.1,20.57,19.99,20.37,477812.0
2015-07-06,19.87,20.47,19.75,20.18,561536.0
2015-07-07,20.18,20.57,19.51,20.49,745964.0
2015-07-08,20.22,20.57,19.75,19.83,457261.0
2015-07-09,20.24,20.35,19.64,19.68,497861.0
2015-07-10,19.87,19.89,18.81,18.87,722219.0
2015-07-13,18.92,18.92,17.72,17.89,1057620.0
2015-07-14,17.84,18.51,17.77,18.35,1088042.0
2015-07-15,18.22,18.42,17.7,17.89,1126889.0
2015-07-16,18.12,18.14,17.53,17.58,553006.0
2015-07-17,17.61,17.65,16.98,17.27,794423.0
2015-07-20,17.24,17.24,16.7,16.74,463108.0
2015-07-21,16.92,17.23,16.73,16.86,513865.0
2015-07-22,16.42,16.53,16.0,16.11,608621.0
2015-07-23,16.25,16.34,15.38,15.68,817846.0
2015-07-24,15.56,15.65,15.09,15.18,687741.0
2015-07-27,14.95,14.98,14.32,14.39,817702.0
2015-07-28,14.6,14.95,14.22,14.78,756520.0
2015-07-29,14.59,15.2,14.35,15.01,706883.0
2015-07-30,15.01,15.52,14.66,15.5,775267.0
2015-07-31,15.6,15.6,15.08,15.18,551764.0
2015-08-03,15.02,15.19,14.5,14.68,342114.0
2015-08-04,14.76,15.26,14.3,14.43,639589.0
2015-08-05,14.59,15.0,13.87,14.0,782748.0
2015-08-06,13.91,14.49,13.52,14.46,889309.0
2015-08-07,14.27,14.72,13.73,13.82,742358.0
2015-08-10,13.89,14.61,13.67,14.58,952827.0
2015-08-11,14.07,14.07,13.41,13.77,1039625.0
2015-08-12,13.82,14.06,13.67,13.8,932793.0
2015-08-13,13.47,14.17,13.43,13.48,1147930.0
2015-08-14,13.43,13.71,12.62,12.71,1052172.0
2015-08-17,12.51,12.65,12.22,12.5,595439.0
2015-08-18,12.47,12.51,11.94,12.1,814751.0
2015-08-19,11.93,11.95,10.92,11.25,1486768.0
2015-08-20,11.08,11.24,10.76,10.76,1427094.0
2015-08-21,10.54,10.77,10.11,10.15,1741249.0
2015-08-24,9.01,9.93,8.53,9.55,1957791.0
2015-08-25,10.22,10.37,9.57,9.59,1536554.0
2015-08-26,9.87,10.25,9.53,10.24,1333537.0
2015-08-27,10.63,11.64,10.54,11.14,1887917.0
2015-08-28,11.08,11.98,10.98,11.62,1704401.0
2015-08-31,11.47,12.81,11.04,12.78,1788339.0
2015-09-01,12.25,12.61,11.84,12.18,1513768.0
2015-09-02,12.34,12.48,11.54,12.18,1369717.0
2015-09-03,12.24,12.81,12.03,12.45,1709823.0
2015-09-04,12.19,12.86,12.1,12.52,1393831.0
2015-09-08,12.66,13.0,12.4,12.51,1519430.0
2015-09-09,12.67,12.78,12.31,12.37,1185449.0
2015-09-10,12.34,12.79,12.25,12.6,1040096.0
2015-09-11,12.36,12.56,12.3,12.49,701490.0
2015-09-14,12.37,12.51,12.24,12.29,511262.0
2015-09-15,12.33,12.65,12.15,12.3,501264.0
2015-09-16,12.52,13.08,12.44,13.07,1147067.0
2015-09-17,13.03,13.4,12.9,13.12,950559.0
2015-09-18,12.85,13.14,12.73,12.88,929350.0
2015-09-21,13.08,13.46,13.02,13.25,637849.0
2015-09-22,12.9,13.04,12.69,12.8,540740.0
2015-09-23,12.91,12.96,11.86,11.9,736621.0
2015-09-24,11.68,12.0,11.58,11.74,1046395.0
2015-09-25,11.92,11.99,11.6,11.67,544738.0
2015-09-28,11.32,11.36,10.93,11.13,745250.0
2015-09-29,11.2,11.29,11.01,11.19,796192.0
2015-09-30,11.22,11.6,11.07,11.43,601472.0
2015-10-01,11.8,12.06,11.42,11.69,704360.0
2015-10-02,11.56,12.6,11.49,12.56,613119.0
2015-10-05,12.86,13.63,12.82,13.47,954720.0
2015-10-06,13.62,14.98,13.51,14.51,1720915.0
2015-10-07,15.14,15.52,14.69,15.22,1532775.0
2015-10-08,15.26,15.76,15.04,15.7,900996.0
2015-10-09,15.93,16.08,15.36,15.54,802930.0
2015-10-12,15.55,15.67,14.85,15.15,331445.0
2015-10-13,14.82,15.59,14.6,14.87,722417.0
2015-10-14,14.8,15.34,14.75,15.29,662057.0
2015-10-15,15.08,15.31,14.64,15.29,701235.0
2015-10-16,15.38,15.64,14.98,15.14,856123.0
2015-10-19,14.77,14.86,13.92,13.99,684456.0
2015-10-20,14.0,14.75,13.96,14.18,832903.0
2015-10-21,14.09,14.09,13.36,13.75,995928.0
2015-10-22,13.96,14.34,13.8,14.07,830532.0
2015-10-23,13.93,14.09,13.56,13.83,703275.0
2015-10-26,13.74,13.82,13.42,13.59,680473.0
2015-10-27,13.26,13.26,12.9,13.17,979192.0
2015-10-28,13.23,13.99,13.19,13.7,938457.0
2015-10-29,13.89,14.32,13.55,13.55,866362.0
2015-10-30,13.62,13.74,13.16,13.63,916856.0
2015-11-02,13.52,14.08,13.39,13.97,689735.0
2015-11-03,14.18,15.15,14.17,14.97,1149384.0
2015-11-04,14.95,15.05,14.24,14.45,1069237.0
2015-11-05,14.18,14.6,14.03,14.13,930210.0
2015-11-06,13.86,13.86,13.34,13.85,842837.0
2015-11-09,13.88,14.15,13.57,13.63,939217.0
2015-11-10,13.54,13.91,13.43,13.77,690607.0
2015-11-11,13.82,13.9,13.23,13.28,751795.0
2015-11-12,13.01,13.32,12.7,12.71,794752.0
2015-11-13,12.64,13.04,12.45,12.9,687398.0
2015-11-16,12.86,13.59,12.77,13.56,832797.0
2015-11-17,13.39,13.62,13.14,13.35,784659.0
2015-11-18,13.46,13.73,13.15,13.51,895730.0
2015-11-19,13.38,13.58,13.05,13.08,547736.0
2015-11-20,13.06,13.24,12.62,12.65,669572.0
2015-11-23,12.61,13.1,12.5,12.95,901775.0
2015-11-24,13.21,13.58,13.17,13.49,1241412.0
2015-11-25,13.28,13.63,13.11,13.36,819566.0
2015-11-27,13.16,13.19,12.77,12.89,429972.0
2015-11-30,12.96,13.24,12.91,13.04,1202133.0
2015-12-01,13.07,13.45,12.99,13.42,731934.0
2015-12-02,13.23,13.62,13.06,13.18,1202116.0
2015-12-03,13.31,13.53,13.09,13.29,693957.0
2015-12-04,12.96,12.98,12.61,12.74,942147.0
2015-12-07,12.24,12.29,11.52,11.57,1238786.0
2015-12-08,11.19,12.02,11.05,11.42,1334473.0
2015-12-09,11.54,12.12,11.28,11.62,1052535.0
2015-12-10,11.47,11.78,11.38,11.59,720582.0
2015-12-11,11.35,11.4,10.99,11.26,891282.0
2015-12-14,11.05,11.21,10.73,10.9,952522.0
2015-12-15,11.14,11.62,11.12,11.49,1196063.0
2015-12-16,11.43,11.65,11.04,11.43,1505425.0
2015-12-17,11.2,11.33,10.75,10.92,1211137.0
2015-12-18,10.89,11.44,10.85,11.27,3064208.0
