Date,open,high,low,close,volume
2015-04-27,88.36,89.06,88.28,88.93,2081226.0
2015-04-28,88.9,89.3,88.27,88.89,2742152.0
2015-04-29,88.41,90.26,88.38,89.87,2270425.0
2015-04-30,89.66,91.0,89.42,90.52,2702728.0
2015-05-01,91.0,91.64,90.74,91.39,2671731.0
2015-05-04,91.38,91.57,90.6,90.89,2504515.0
2015-05-05,90.85,91.44,89.95,90.14,1747268.0
2015-05-06,90.48,90.75,89.64,89.97,1414580.0
2015-05-07,89.75,89.87,89.03,89.63,1637540.0
2015-05-08,90.1,90.45,89.07,89.89,2210918.0
2015-05-11,90.21,91.44,90.06,91.14,2836049.0
2015-05-12,90.56,90.85,90.01,90.41,1584975.0
2015-05-13,90.83,91.5,90.44,90.64,1775065.0
2015-05-14,90.93,92.36,90.92,92.21,1944383.0
2015-05-15,90.3,90.65,88.13,89.13,6641338.0
2015-05-18,89.0,89.55,88.63,89.18,2514751.0
2015-05-19,89.08,89.41,88.46,89.17,2119966.0
2015-05-20,89.19,89.41,88.58,88.98,1939600.0
2015-05-21,89.18,89.79,89.05,89.46,3028026.0
2015-05-22,91.81,93.54,91.76,93.35,8548928.0
2015-05-26,92.58,94.24,92.5,93.8,5513401.0
2015-05-27,93.89,94.88,93.7,94.36,3952073.0
2015-05-28,93.92,93.92,93.08,93.5,2975957.0
2015-05-29,93.42,94.11,93.11,93.68,5417218.0
2015-06-01,93.82,93.84,92.58,92.64,2901950.0
2015-06-02,92.73,93.23,92.34,92.75,2574335.0
2015-06-03,93.08,93.25,92.3,92.74,2148941.0
2015-06-04,92.24,92.47,91.66,91.87,2475154.0
2015-06-05,91.59,92.46,91.24,92.13,1742918.0
2015-06-08,91.93,92.15,91.49,91.61,1667065.0
2015-06-09,91.88,92.89,91.46,91.85,1779164.0
2015-06-10,92.11,93.27,91.95,92.94,2033150.0
2015-06-11,92.92,93.59,92.74,93.21,2234361.0
2015-06-12,92.83,93.4,92.34,92.56,1364768.0
2015-06-15,91.76,92.73,91.58,92.46,1791217.0
2015-06-16,92.15,92.3,91.69,92.12,2310962.0
2015-06-17,92.19,92.62,91.78,92.25,2088365.0
2015-06-18,91.65,92.78,91.46,92.6,1750587.0
2015-06-19,92.42,92.95,92.26,92.56,3654780.0
2015-06-22,93.23,94.15,93.09,93.55,2083033.0
2015-06-23,93.39,93.99,93.18,93.68,1708937.0
2015-06-24,93.52,94.28,93.45,94.0,2210706.0
2015-06-25,94.19,94.39,93.08,94.0,3679651.0
2015-06-26,94.0,96.89,93.55,96.44,7067941.0
2015-06-29,95.57,96.64,94.91,94.96,3862506.0
2015-06-30,95.63,98.23,95.22,97.05,6559594.0
2015-07-01,97.53,97.7,95.51,96.19,3732965.0
2015-07-02,96.16,97.01,95.7,96.35,2894046.0
2015-07-06,95.79,96.46,95.25,95.57,2402490.0
2015-07-07,95.57,96.41,94.62,96.28,2867389.0
2015-07-08,95.9,96.11,94.43,94.96,2786817.0
2015-07-09,96.02,96.61,94.51,94.54,2606344.0
2015-07-10,95.4,95.95,94.77,95.17,2956714.0
2015-07-13,95.65,96.46,95.17,96.27,2317817.0
2015-07-14,96.13,96.66,95.52,96.4,2272686.0
2015-07-15,96.21,96.82,95.9,96.52,2085489.0
2015-07-16,96.97,97.56,96.81,97.33,2989184.0
2015-07-17,97.05,97.09,96.5,96.97,1807503.0
2015-07-20,96.87,97.23,96.2,96.22,1993423.0
2015-07-21,96.19,96.49,95.38,95.51,2021253.0
2015-07-22,95.48,95.54,94.63,94.82,1961363.0
2015-07-23,94.22,94.77,92.41,93.26,3390651.0
2015-07-24,93.41,93.41,92.3,92.42,2237722.0
2015-07-27,91.82,92.5,90.64,91.25,2771034.0
2015-07-28,91.98,92.7,91.79,92.47,3432968.0
2015-07-29,92.25,93.77,91.82,93.63,2423645.0
2015-07-30,93.28,93.98,92.92,93.51,1470514.0
2015-07-31,93.85,94.64,93.65,94.57,1897191.0
2015-08-03,94.5,94.5,92.86,93.42,2612007.0
2015-08-04,93.59,93.67,92.71,93.11,1673795.0
2015-08-05,93.7,95.85,93.7,95.52,2437878.0
2015-08-06,95.16,95.98,94.84,95.6,1561133.0
2015-08-07,95.44,95.99,95.29,95.85,1756181.0
2015-08-10,96.25,97.49,95.9,97.14,2152193.0
2015-08-11,96.44,96.8,95.63,96.24,1972919.0
2015-08-12,95.87,95.95,91.71,93.64,4867765.0
2015-08-13,93.55,93.92,91.56,93.1,2133502.0
2015-08-14,92.88,94.48,92.88,94.34,2223186.0
2015-08-17,93.86,94.26,93.07,94.18,1598795.0
2015-08-18,93.87,94.35,93.36,93.91,1786349.0
2015-08-19,93.23,93.28,91.22,91.98,4091472.0
2015-08-20,91.31,92.45,90.37,90.65,4472423.0
2015-08-21,85.91,86.39,81.89,83.29,15142436.0
2015-08-24,78.24,83.03,76.76,80.77,7966618.0
2015-08-25,83.01,83.01,79.02,79.09,6264572.0
2015-08-26,81.01,81.4,79.84,81.23,5208541.0
2015-08-27,82.01,82.47,80.87,82.39,3610452.0
2015-08-28,81.8,82.68,81.79,82.47,2644352.0
2015-08-31,82.3,82.53,81.62,81.78,2664038.0
2015-09-01,80.27,81.11,79.67,80.0,4779537.0
2015-09-02,80.98,81.18,79.63,80.78,2846625.0
2015-09-03,80.72,81.95,80.14,80.99,3004560.0
2015-09-04,79.81,80.16,79.0,79.22,3120438.0
2015-09-08,80.42,80.45,79.3,80.1,3058005.0
2015-09-09,80.99,81.66,79.4,79.57,2883133.0
2015-09-10,79.55,80.59,79.03,80.07,2911513.0
2015-09-11,80.01,80.25,78.9,79.25,3838166.0
2015-09-14,79.25,79.75,78.79,79.68,3125666.0
2015-09-15,79.19,81.77,79.19,81.41,3455127.0
2015-09-16,81.44,81.89,81.13,81.35,2968532.0
2015-09-17,80.94,81.41,80.09,80.43,3809115.0
2015-09-18,79.49,80.27,79.22,79.54,7534513.0
2015-09-21,79.61,79.7,78.73,79.16,3281699.0
2015-09-22,78.2,79.27,78.1,78.84,3317145.0
2015-09-23,78.81,78.96,77.43,77.69,3190763.0
2015-09-24,75.37,76.02,74.3,75.76,7801537.0
2015-09-25,76.1,76.27,74.74,75.81,3719914.0
2015-09-28,74.49,75.01,73.7,73.76,5476546.0
2015-09-29,73.71,74.44,73.42,73.62,2942549.0
2015-09-30,74.21,74.55,73.37,74.0,3202736.0
2015-10-01,73.37,73.63,72.19,72.89,4845353.0
2015-10-02,72.05,73.66,71.85,73.57,3842891.0
2015-10-05,74.47,78.41,74.2,78.21,6188071.0
2015-10-06,78.25,78.95,77.92,78.44,3346136.0
2015-10-07,78.94,79.93,77.8,78.89,4082834.0
