Date,open,high,low,close,volume
2015-04-27,84.02,84.3,83.02,83.09,4359186.0
2015-04-28,82.83,83.28,82.58,83.26,2477528.0
2015-04-29,82.96,83.21,82.61,82.8,2915538.0
2015-04-30,82.7,82.83,81.59,81.88,2892722.0
2015-05-01,82.09,82.74,81.94,82.52,2591718.0
2015-05-04,82.6,83.2,82.53,82.69,1891051.0
2015-05-05,82.71,82.97,82.23,82.4,2734065.0
2015-05-06,82.68,82.95,81.87,82.34,3088675.0
2015-05-07,82.27,83.47,82.22,83.19,3749819.0
2015-05-08,83.85,84.42,83.74,84.03,2542761.0
2015-05-11,83.84,84.13,83.56,83.56,2257960.0
2015-05-12,83.3,86.35,83.27,86.0,9727460.0
2015-05-13,90.0,90.25,86.46,87.35,18835676.0
2015-05-14,87.98,88.36,87.41,87.84,9567674.0
2015-05-15,87.78,88.08,86.34,86.45,8065610.0
2015-05-18,86.56,87.6,86.56,87.26,4272818.0
2015-05-19,87.27,87.44,86.36,86.49,3608094.0
2015-05-20,86.51,87.24,86.1,87.02,4090315.0
2015-05-21,86.99,87.28,86.67,86.9,3815069.0
2015-05-22,86.95,87.56,86.58,86.61,2936337.0
2015-05-26,86.56,86.91,85.96,86.18,2686353.0
2015-05-27,86.17,87.46,86.03,87.42,3573257.0
2015-05-28,87.35,87.5,86.78,87.32,3151442.0
2015-05-29,87.1,87.38,85.99,86.32,3030502.0
2015-06-01,86.5,87.15,86.05,86.9,2874388.0
2015-06-02,86.45,86.92,86.12,86.79,2483564.0
2015-06-03,86.83,87.43,86.66,87.24,2379880.0
2015-06-04,86.56,86.9,85.61,85.8,2742161.0
2015-06-05,85.62,85.99,85.46,85.89,1998006.0
2015-06-08,85.59,85.81,84.85,84.91,3162680.0
2015-06-09,85.03,85.79,84.7,85.2,2611419.0
2015-06-10,85.46,86.11,85.2,86.02,2389365.0
2015-06-11,86.25,86.4,85.75,85.93,2272327.0
2015-06-12,85.82,85.89,84.92,85.05,3203073.0
2015-06-15,84.6,84.75,84.12,84.46,2398444.0
2015-06-16,84.35,84.85,84.33,84.63,1909849.0
2015-06-17,84.68,85.11,84.42,84.73,2747304.0
2015-06-18,84.97,86.43,84.78,85.95,3461129.0
2015-06-19,85.95,86.28,85.64,85.84,3713498.0
2015-06-22,86.25,86.68,86.15,86.25,2498020.0
2015-06-23,86.15,86.38,85.66,85.72,2264257.0
2015-06-24,85.58,85.93,85.33,85.42,2923934.0
2015-06-25,85.72,85.79,84.89,85.43,2548600.0
2015-06-26,85.86,86.03,85.36,85.76,9478750.0
2015-06-29,85.14,85.54,84.56,84.75,5995779.0
2015-06-30,85.27,85.88,85.05,85.59,5614148.0
2015-07-01,86.0,86.34,85.7,86.34,5669271.0
2015-07-02,86.52,86.93,86.28,86.8,3774799.0
2015-07-06,85.93,86.35,85.72,85.87,7216928.0
2015-07-07,86.21,87.26,85.18,87.07,4991870.0
2015-07-08,86.63,86.76,85.65,85.74,5117279.0
2015-07-09,86.61,86.87,85.72,85.74,5154858.0
2015-07-10,86.45,86.92,86.06,86.65,5154491.0
2015-07-13,87.17,88.1,86.99,88.0,4938879.0
2015-07-14,88.25,89.02,88.11,88.96,14028705.0
2015-07-15,89.13,89.2,88.29,88.33,5655558.0
2015-07-16,88.68,88.85,88.0,88.7,4355642.0
2015-07-17,88.48,88.76,88.24,88.72,2056728.0
2015-07-20,88.72,88.84,88.41,88.58,2914869.0
2015-07-21,88.3,88.54,87.65,87.79,3112202.0
2015-07-22,87.72,88.29,87.53,87.86,3819652.0
2015-07-23,89.0,89.64,88.22,89.05,7142696.0
2015-07-24,88.84,89.06,87.54,87.78,3817226.0
2015-07-27,87.42,87.88,86.53,87.22,3021342.0
2015-07-28,87.96,88.41,87.55,88.4,4084329.0
2015-07-29,88.91,90.99,88.37,90.91,5979736.0
2015-07-30,90.53,92.04,90.53,91.86,4511752.0
2015-07-31,91.96,92.18,91.31,91.56,3278618.0
2015-08-03,91.52,91.85,90.56,91.33,2358640.0
2015-08-04,91.26,92.42,91.08,91.76,2474743.0
2015-08-05,92.4,92.92,91.99,92.26,2149765.0
2015-08-06,92.33,92.64,91.3,91.57,1659147.0
2015-08-07,91.11,91.52,90.26,91.06,1690077.0
2015-08-10,91.68,92.43,91.66,91.95,1780828.0
2015-08-11,91.11,91.52,90.9,91.06,2120141.0
2015-08-12,90.36,90.42,89.16,90.29,3003241.0
