Date,open,high,low,close,volume
2018-04-27,38.0,40.89,37.0,39.73,16392446.0
2018-04-30,39.9,40.19,37.53,38.63,3312463.0
2018-05-01,38.7,39.89,37.85,39.45,1285573.0
2018-05-02,39.85,40.5,38.75,39.32,1251440.0
2018-05-03,39.69,42.56,38.81,41.96,2783655.0
2018-05-04,42.4,42.66,41.01,41.09,763525.0
2018-05-07,41.65,41.91,41.04,41.31,630844.0
2018-05-08,41.5,43.68,40.5,43.22,821183.0
2018-05-09,44.44,44.87,43.25,44.1,1178122.0
2018-05-10,44.88,46.7,43.66,44.01,1467879.0
2018-05-11,44.56,45.89,44.01,44.37,762193.0
2018-05-14,44.99,45.73,43.37,44.19,1032010.0
2018-05-15,44.39,45.73,43.5,45.46,423001.0
2018-05-16,45.34,45.65,44.56,45.23,299008.0
2018-05-17,45.2,46.4,44.55,44.9,339527.0
2018-05-18,44.75,45.0,44.36,44.78,350812.0
2018-05-21,45.5,45.5,41.72,42.98,804373.0
2018-05-22,43.24,44.72,42.85,43.05,1062700.0
2018-05-23,43.64,45.62,43.1,45.42,1125441.0
2018-05-24,45.94,47.7,45.3,46.8,1011734.0
2018-05-25,47.23,48.9,46.11,46.37,678083.0
2018-05-29,46.67,49.33,45.86,48.43,931091.0
2018-05-30,48.9,51.0,48.56,49.99,830985.0
2018-05-31,50.13,51.2,49.53,49.81,867073.0
2018-06-01,50.28,50.74,49.76,50.12,564739.0
2018-06-04,51.0,54.15,50.54,53.65,1121220.0
2018-06-05,54.29,58.28,52.0,54.59,2463590.0
2018-06-06,55.63,57.38,54.36,57.36,989487.0
2018-06-07,58.95,59.86,53.5,55.99,3617122.0
2018-06-08,58.25,60.45,55.31,57.92,7147612.0
2018-06-11,58.3,60.0,58.2,59.54,2131421.0
2018-06-12,60.49,63.35,60.0,61.82,2408591.0
2018-06-13,63.28,64.97,62.0,63.77,2126685.0
2018-06-14,64.99,65.82,63.1,63.53,1932240.0
2018-06-15,63.09,64.58,62.3,63.95,3584226.0
2018-06-18,63.51,66.19,61.65,63.9,1557289.0
2018-06-19,62.14,64.7,57.6,63.87,3791386.0
2018-06-20,64.67,66.8,62.03,62.46,2381465.0
2018-06-21,63.06,63.19,57.47,57.59,3209053.0
2018-06-22,58.9,58.99,55.0,57.55,4039279.0
2018-06-25,55.58,55.66,52.05,55.0,2847085.0
2018-06-26,55.49,56.97,54.9,56.47,1601609.0
2018-06-27,56.95,57.2,51.74,51.77,2266959.0
2018-06-28,51.62,54.0,50.34,53.04,2311962.0
2018-06-29,53.67,54.0,51.83,52.95,1636890.0
2018-07-02,52.46,53.16,50.5,52.34,1933451.0
2018-07-03,52.46,53.5,51.85,51.97,721656.0
2018-07-05,52.49,55.39,51.59,54.62,2171958.0
2018-07-06,54.75,55.96,54.07,54.95,1177586.0
2018-07-09,55.28,56.49,54.87,55.35,901392.0
2018-07-10,55.77,55.77,52.19,52.37,1583095.0
2018-07-11,52.0,53.76,51.61,51.98,1120288.0
2018-07-12,52.24,56.44,51.5,55.37,2377655.0
2018-07-13,55.38,56.0,54.68,55.33,1038908.0
2018-07-16,55.25,57.28,54.9,55.05,831103.0
2018-07-17,54.5,55.4,52.94,54.09,1461329.0
2018-07-18,53.93,54.6,52.91,53.05,939139.0
2018-07-19,52.93,53.81,51.93,52.36,1209115.0
2018-07-20,52.25,52.77,51.71,52.21,663053.0
2018-07-23,51.97,55.85,51.75,55.53,1260325.0
2018-07-24,56.12,57.5,52.9,53.79,1763749.0
2018-07-25,53.76,55.66,53.76,54.69,559543.0
2018-07-26,54.01,55.88,53.77,55.51,1622956.0
2018-07-27,56.73,57.0,53.5,54.82,1317612.0
2018-07-30,54.92,55.24,50.06,51.71,2140130.0
2018-07-31,51.89,54.96,51.51,53.9,1178245.0
2018-08-01,54.3,56.15,54.19,55.75,895808.0
2018-08-02,55.39,59.18,55.0,58.91,1361061.0
2018-08-03,59.15,59.6,56.25,57.01,858334.0
2018-08-06,57.16,60.39,57.16,60.0,957615.0
2018-08-07,60.75,60.95,59.46,59.89,919697.0
2018-08-08,59.45,61.81,59.2,61.35,855024.0
2018-08-09,61.67,62.15,60.18,60.45,820272.0
2018-08-10,60.3,60.45,57.12,58.2,1525797.0
2018-08-13,58.1,58.38,55.57,56.14,965146.0
2018-08-14,56.56,58.23,55.73,57.85,590765.0
2018-08-15,57.25,57.8,55.3,56.15,779498.0
2018-08-16,56.96,57.91,56.06,57.69,620177.0
2018-08-17,57.47,59.4,56.36,58.68,611193.0
2018-08-20,58.91,62.0,57.9,61.22,1395594.0
2018-08-21,61.69,63.8,61.56,62.5,1381150.0
2018-08-22,62.3,63.37,60.34,61.84,870236.0
2018-08-23,61.86,64.94,61.86,63.9,1279716.0
2018-08-24,64.25,67.21,64.0,65.54,1133392.0
2018-08-27,66.99,67.71,64.63,65.53,1053263.0
2018-08-28,66.0,68.35,65.72,66.3,1225362.0
2018-08-29,66.5,68.02,65.75,67.87,862216.0
2018-08-30,67.3,67.4,64.55,65.0,1578680.0
2018-08-31,64.47,65.36,62.19,62.44,2944308.0
2018-09-04,62.8,65.7,60.83,64.85,2579998.0
2018-09-05,64.69,65.87,62.55,63.1,3291462.0
2018-09-06,59.08,59.9,56.79,57.85,4455890.0
2018-09-07,56.8,59.67,56.26,56.94,2294619.0
2018-09-10,58.0,58.24,53.64,53.93,3048116.0
2018-09-11,53.75,54.8,52.83,53.96,1875951.0
2018-09-12,53.02,57.56,53.02,57.18,2644050.0
2018-09-13,57.25,57.49,55.06,55.37,2103911.0
2018-09-14,55.3,55.3,53.43,53.79,6557206.0
2018-09-17,53.85,54.89,51.6,52.18,2705887.0
2018-09-18,52.23,53.4,51.65,53.03,1750408.0
2018-09-19,52.77,53.1,51.5,51.73,1229963.0
2018-09-20,52.32,52.69,51.12,52.23,1521545.0
2018-09-21,52.93,53.32,51.78,52.54,2218784.0
2018-09-24,52.1,52.33,51.4,51.83,1570905.0
2018-09-25,52.16,53.71,51.62,53.4,1783237.0
2018-09-26,53.51,54.02,52.44,52.54,1608683.0
2018-09-27,52.64,53.75,52.25,52.82,1914917.0
2018-09-28,52.77,53.03,52.1,52.57,1560175.0
2018-10-01,52.98,53.0,48.56,48.85,4153290.0
2018-10-02,49.19,49.24,45.04,46.4,5206150.0
2018-10-03,46.4,47.74,45.3,47.11,2895219.0
2018-10-04,46.9,47.55,44.9,45.8,1631764.0
2018-10-05,45.65,46.03,43.52,45.27,1629723.0
2018-10-08,44.63,45.0,42.25,43.23,2104090.0
2018-10-09,42.98,45.0,41.33,41.51,2133548.0
2018-10-10,42.03,42.03,38.28,40.6,3680972.0
2018-10-11,39.82,41.65,39.34,40.25,2719975.0
2018-10-12,42.09,45.0,41.71,44.64,3386507.0
2018-10-15,44.44,45.16,42.64,43.83,1208186.0
2018-10-16,44.75,48.01,44.52,47.72,2432750.0
2018-10-17,48.0,48.15,46.5,47.52,1559003.0
2018-10-18,47.03,48.3,45.55,46.24,1453619.0
2018-10-19,46.3,46.5,41.6,42.01,2709986.0
2018-10-22,42.72,43.7,41.8,42.46,1326329.0
2018-10-23,41.33,42.28,40.71,41.33,2047249.0
2018-10-24,40.5,41.16,39.12,39.17,4252326.0
2018-10-25,39.1,40.82,38.55,40.32,2772069.0
2018-10-26,39.51,41.34,38.55,41.18,2737834.0
2018-10-29,42.28,43.0,39.05,40.35,1765927.0
2018-10-30,40.16,42.0,39.81,41.74,1640607.0
2018-10-31,42.05,43.2,41.47,41.94,2353079.0
2018-11-01,42.14,42.56,40.35,41.85,1741577.0
2018-11-02,42.0,43.36,41.21,42.82,1813221.0
2018-11-05,42.63,42.99,40.9,42.41,1394245.0
2018-11-06,41.98,42.9,41.47,42.55,917427.0
2018-11-07,43.0,44.6,42.57,43.88,2883805.0
2018-11-08,43.99,45.15,43.8,44.82,2081230.0
2018-11-09,44.32,45.0,43.36,44.43,994731.0
2018-11-12,44.45,44.45,40.74,41.34,2260092.0
2018-11-13,41.7,43.08,41.38,42.59,931455.0
2018-11-14,43.07,43.15,39.68,39.86,2109890.0
2018-11-15,39.64,40.44,38.3,40.37,2064164.0
2018-11-16,40.0,40.01,38.6,39.0,1612408.0
2018-11-19,38.85,39.77,36.14,37.41,2643216.0
2018-11-20,35.55,38.58,35.06,38.33,3089359.0
2018-11-21,39.6,41.36,38.9,40.76,2087526.0
2018-11-23,40.42,41.24,40.02,40.82,425393.0
2018-11-26,41.33,42.0,40.27,41.11,1262460.0
2018-11-27,40.77,41.25,39.84,40.64,997184.0
2018-11-28,41.03,42.5,40.92,41.82,1766644.0
2018-11-29,41.75,42.51,41.11,41.77,1355079.0
2018-11-30,41.91,42.41,40.14,41.76,1190083.0
2018-12-03,42.72,42.92,41.77,42.52,1920214.0
2018-12-04,42.15,42.94,41.16,41.47,2656570.0
2018-12-06,40.06,41.98,40.05,41.77,3002346.0
2018-12-07,42.0,43.22,38.75,39.66,4744653.0
2018-12-10,38.76,41.06,38.76,40.69,2797895.0
2018-12-11,39.67,41.66,39.4,41.66,4912341.0
2018-12-12,41.66,43.32,41.66,42.4,4112877.0
2018-12-13,42.23,43.32,42.14,43.15,3293791.0
2018-12-14,42.27,43.32,41.61,42.89,3513384.0
2018-12-17,42.51,43.35,41.23,41.75,4276128.0
2018-12-18,41.83,42.57,40.88,41.87,5487278.0
2018-12-19,41.21,42.02,40.76,41.11,4239230.0
2018-12-20,40.9,41.74,39.02,39.91,4337466.0
2018-12-21,39.82,40.87,37.27,37.99,8328269.0
2018-12-24,37.29,37.96,36.25,37.48,1374789.0
2018-12-26,37.83,39.72,37.57,39.65,1532911.0
2018-12-27,39.1,41.0,39.0,40.99,1549638.0
2018-12-28,40.99,41.05,39.89,40.5,2522659.0
2018-12-31,40.6,40.98,39.15,40.08,2255919.0
2019-01-02,39.27,40.83,39.14,40.82,1674698.0
2019-01-03,40.0,40.52,38.8,38.83,987078.0
2019-01-04,39.52,41.41,39.42,40.9,1852562.0
2019-01-07,40.04,42.2,39.5,41.69,2630909.0
2019-01-08,41.96,42.32,40.93,42.08,3192569.0
2019-01-09,42.0,42.99,41.84,42.67,2035814.0
2019-01-10,42.2,44.6,42.16,44.03,7249487.0
2019-01-11,43.85,44.1,43.1,43.48,1656075.0
2019-01-14,43.13,43.3,42.4,43.22,708637.0
2019-01-15,44.5,45.19,43.5,44.99,2879504.0
2019-01-16,45.0,45.0,42.52,43.06,3720823.0
2019-01-17,42.64,45.02,42.22,44.9,2914735.0
2019-01-18,45.12,47.21,45.08,47.0,3420395.0
2019-01-22,46.45,46.6,45.6,45.85,1758373.0
2019-01-23,45.88,47.0,44.54,45.4,1748115.0
2019-01-24,45.68,46.75,45.25,46.71,1291272.0
2019-01-25,47.22,48.6,47.0,48.57,1937175.0
2019-01-28,47.94,48.88,47.55,48.82,1977001.0
2019-01-29,48.99,49.38,47.54,48.3,1616454.0
2019-01-30,48.78,49.43,48.24,49.37,2217170.0
2019-01-31,49.46,50.03,49.11,49.45,2556705.0
2019-02-01,49.33,49.99,48.21,49.96,2802541.0
2019-02-04,49.99,51.23,49.76,51.04,2422527.0
2019-02-05,51.26,52.6,50.75,52.45,2583712.0
2019-02-06,52.45,52.45,50.54,51.3,1812943.0
2019-02-07,50.9,51.55,49.77,50.71,1954133.0
2019-02-08,50.05,51.94,49.55,51.77,1065613.0
2019-02-11,51.51,52.25,50.4,51.63,1143487.0
2019-02-12,52.0,52.84,51.81,52.66,2389974.0
2019-02-13,53.15,54.08,52.75,53.65,3384059.0
2019-02-14,53.5,53.6,52.56,53.33,2836616.0
2019-02-15,53.5,54.04,53.39,53.63,1433592.0
2019-02-19,53.78,54.86,53.4,54.33,1895036.0
2019-02-20,54.33,54.89,53.85,54.11,1591256.0
2019-02-21,54.11,54.49,53.64,53.83,1021089.0
2019-02-22,54.06,54.29,53.61,53.99,1224757.0
2019-02-25,54.5,54.97,54.09,54.74,1584259.0
2019-02-26,54.5,55.25,54.29,55.01,2335184.0
2019-02-27,54.95,56.23,54.66,55.54,3678671.0
2019-02-28,55.2,55.69,54.47,55.15,1575973.0
2019-03-01,55.91,56.69,55.73,56.29,3229194.0
2019-03-04,56.77,56.89,54.44,55.56,3009776.0
