Date,open,high,low,close,volume
2015-04-27,106.8,107.1,106.65,106.74,3902.0
2015-04-28,107.01,107.44,106.75,106.96,7408.0
2015-04-29,105.35,105.67,104.24,105.25,4934.0
2015-04-30,101.53,101.89,99.65,99.74,13389.0
2015-05-01,100.62,102.27,100.61,101.93,10060.0
2015-05-04,102.19,103.16,102.18,103.05,7768.0
2015-05-05,102.13,102.23,98.82,99.09,9998.0
2015-05-06,99.52,99.52,98.3,99.05,2380.0
2015-05-07,98.62,99.07,98.49,98.84,1750.0
2015-05-08,102.76,103.99,102.76,103.99,4365.0
2015-05-11,101.7,101.75,101.11,101.11,10304.0
2015-05-12,100.14,100.77,100.07,100.72,6077.0
2015-05-13,102.94,102.94,101.91,101.91,1252.0
2015-05-14,101.9,102.85,101.65,102.85,3457.0
2015-05-15,103.62,103.92,103.62,103.85,852.0
2015-05-18,105.51,105.86,105.29,105.86,4502.0
2015-05-19,106.15,106.48,105.71,105.71,4604.0
2015-05-20,105.48,106.54,105.31,106.37,1127.0
2015-05-21,106.13,106.45,106.12,106.45,1019.0
2015-05-22,105.55,106.27,105.55,106.11,2875.0
2015-05-26,104.48,104.48,102.95,103.5,7724.0
2015-05-27,104.28,104.77,104.16,104.77,3055.0
2015-05-28,103.73,104.31,102.87,104.2,9294.0
2015-05-29,102.38,102.47,102.01,102.35,3786.0
2015-06-01,103.37,104.43,103.37,103.48,8159.0
2015-06-02,102.54,103.28,102.14,103.01,4397.0
2015-06-03,103.1,103.78,103.09,103.73,3744.0
2015-06-04,102.16,102.82,101.91,102.39,6697.0
2015-06-05,100.66,101.55,100.56,101.06,2434.0
2015-06-08,99.17,99.82,99.17,99.82,2168.0
2015-06-09,97.94,98.13,97.25,97.96,3693.0
2015-06-10,98.94,101.32,98.94,100.9,7161.0
2015-06-11,101.83,102.2,101.66,102.01,4131.0
2015-06-12,100.2,100.77,100.12,100.74,1104.0
2015-06-15,100.49,101.51,100.22,101.5,8667.0
2015-06-16,100.24,100.66,100.24,100.41,1192.0
2015-06-17,99.4,99.4,97.13,98.69,6623.0
2015-06-18,97.89,99.52,97.89,99.34,3360.0
2015-06-19,99.77,99.77,99.27,99.27,20162.0
2015-06-22,102.08,102.95,102.08,102.26,3839.0
2015-06-23,103.96,104.6,103.96,104.49,4959.0
2015-06-24,102.77,102.77,102.05,102.43,3329.0
2015-06-25,103.44,103.55,102.77,102.77,2340.0
2015-06-26,103.58,103.81,103.52,103.57,2491.0
2015-06-29,100.29,100.29,98.67,98.67,3337.0
2015-06-30,100.7,100.7,99.38,99.38,5730.0
2015-07-01,101.27,101.28,100.54,100.86,2335.0
2015-07-02,100.08,100.83,100.08,100.83,3875.0
2015-07-06,99.36,100.37,98.99,99.53,7742.0
2015-07-07,99.76,100.13,97.89,99.9,7267.0
2015-07-08,94.4,94.56,91.5,91.73,8188.0
2015-07-09,92.64,94.75,92.64,93.91,12600.0
2015-07-10,96.44,97.12,95.82,97.12,5064.0
2015-07-13,98.09,99.57,98.09,99.28,2664.0
2015-07-14,99.8,100.79,99.8,100.79,1659.0
2015-07-15,100.33,101.0,100.2,100.34,1173.0
2015-07-16,101.51,101.51,101.26,101.26,1018.0
2015-07-17,101.69,101.69,101.63,101.65,1334.0
2015-07-20,101.89,102.36,101.65,101.65,1518.0
2015-07-21,100.95,101.14,100.39,101.07,1946.0
2015-07-22,100.24,100.24,100.04,100.07,936.0
2015-07-23,100.67,100.75,99.67,99.67,967.0
2015-07-24,99.67,99.72,98.05,98.05,4011.0
2015-07-27,96.56,97.11,96.35,97.1,4061.0
2015-07-28,97.11,97.23,97.11,97.19,1586.0
2015-07-29,97.57,99.25,97.57,99.25,2210.0
2015-07-30,98.63,99.39,98.63,99.38,2402.0
2015-07-31,100.71,100.71,100.21,100.46,1301.0
2015-08-03,100.17,100.17,99.24,99.52,1466.0
2015-08-04,99.15,99.87,99.15,99.71,2497.0
2015-08-05,100.65,101.33,100.65,101.09,1452.0
2015-08-06,100.15,100.16,100.0,100.03,643.0
2015-08-10,101.0,103.97,101.0,103.9,5467.0
2015-08-11,100.42,100.6,100.09,100.46,4740.0
2015-08-12,97.83,99.09,96.49,98.85,4410.0
2015-08-13,99.05,100.77,99.05,100.1,7935.0
2015-08-14,100.13,100.69,99.96,100.69,798.0
2015-08-17,99.97,100.92,99.97,100.92,536.0
2015-08-18,99.34,99.55,99.25,99.25,2007.0
2015-08-19,97.15,97.7,97.15,97.3,1594.0
2015-08-20,93.94,93.95,91.87,91.87,6376.0
2015-08-21,90.33,90.86,85.39,86.02,15647.0
2015-08-24,76.51,81.81,74.01,80.33,26197.0
2015-08-25,85.8,85.82,80.31,81.14,10722.0
2015-08-26,84.05,86.78,82.78,86.57,13081.0
2015-08-27,87.64,90.31,87.64,89.82,10332.0
2015-08-28,90.03,91.15,89.91,90.8,9220.0
2015-08-31,88.46,88.8,87.61,87.81,5327.0
2015-09-01,80.22,81.54,79.76,80.04,14971.0
2015-09-02,82.8,83.06,81.03,82.42,7471.0
2015-09-03,83.8,85.05,83.8,84.46,3964.0
2015-09-04,79.66,79.72,78.11,78.13,13737.0
2015-09-08,81.5,82.35,81.0,82.33,5819.0
2015-09-09,85.0,85.03,82.52,82.77,17634.0
2015-09-10,82.02,82.63,81.28,81.56,6791.0
2015-09-11,81.32,81.32,80.71,80.71,2950.0
2015-09-14,81.07,81.55,81.01,81.27,1134.0
2015-09-15,81.31,83.17,81.31,83.17,10781.0
2015-09-16,83.83,84.48,83.78,84.29,5807.0
2015-09-17,83.4,85.42,83.19,84.38,2757.0
2015-09-18,79.63,80.19,79.06,79.47,6707.0
2015-09-21,79.7,80.22,79.16,79.85,4588.0
2015-09-22,76.82,77.0,76.54,76.68,1141.0
2015-09-23,77.84,77.84,76.77,77.58,2400.0
