Date,open,high,low,close,volume
2015-04-27,81.87,82.93,81.63,81.91,25446000.0
2015-04-28,81.83,81.9,80.23,80.68,23775300.0
2015-04-29,80.01,81.39,79.52,80.47,26430300.0
2015-04-30,80.01,80.96,78.32,78.77,28999000.0
2015-05-01,79.24,79.76,78.11,78.99,24136400.0
2015-05-04,79.33,79.69,78.63,78.81,14692000.0
2015-05-05,78.55,78.8,77.22,77.56,22311300.0
2015-05-06,77.97,78.81,77.05,78.1,28663000.0
2015-05-07,78.0,78.94,77.56,78.43,19749400.0
2015-05-08,79.1,79.23,78.03,78.51,19943600.0
2015-05-11,78.48,79.03,77.93,78.01,18874100.0
2015-05-12,77.87,77.89,76.79,77.46,21285300.0
2015-05-13,77.72,78.53,77.65,78.44,21512300.0
2015-05-14,78.94,81.85,78.67,81.37,49438000.0
2015-05-15,81.41,81.52,80.18,80.42,27069900.0
2015-05-18,80.33,81.38,80.23,80.88,21613700.0
2015-05-19,81.25,81.69,80.55,80.63,17955400.0
2015-05-20,80.47,81.1,79.46,80.55,23056900.0
2015-05-21,80.19,80.92,80.08,80.48,13402700.0
2015-05-22,80.35,81.31,80.25,80.54,19567900.0
2015-05-26,80.43,80.6,79.08,79.33,16321300.0
2015-05-27,79.6,80.66,79.43,80.55,14160900.0
2015-05-28,80.25,81.07,80.0,80.15,11982000.0
2015-05-29,79.95,80.07,78.88,79.19,16134600.0
2015-06-01,79.3,80.38,78.66,80.29,18119000.0
2015-06-02,79.76,81.35,79.56,80.44,18923300.0
2015-06-03,81.35,82.53,81.25,82.44,31775000.0
2015-06-04,82.14,82.95,81.51,82.05,20863900.0
2015-06-05,81.87,82.46,81.51,82.14,16143100.0
2015-06-08,81.82,82.0,80.13,80.67,16915500.0
2015-06-09,80.6,81.19,79.32,80.67,16497500.0
2015-06-10,80.83,82.6,80.81,82.16,21531200.0
2015-06-11,82.31,82.9,81.36,81.83,18656800.0
2015-06-12,81.37,82.09,81.2,81.53,11417900.0
2015-06-15,80.55,80.93,80.07,80.71,18805100.0
2015-06-16,80.82,81.51,80.45,81.06,13693700.0
2015-06-17,81.76,82.22,81.34,81.79,18350300.0
2015-06-18,81.64,83.19,81.57,82.91,26782600.0
2015-06-19,82.83,82.98,82.12,82.51,23353200.0
2015-06-22,83.41,84.97,83.31,84.74,29383100.0
2015-06-23,84.96,87.97,84.76,87.88,50667900.0
2015-06-24,87.66,89.25,87.45,88.86,41370200.0
2015-06-25,89.26,89.4,87.84,87.98,27302000.0
2015-06-26,88.12,88.34,86.83,88.01,38214600.0
2015-06-29,86.61,87.5,85.73,85.8,35957900.0
2015-06-30,86.6,86.7,85.57,85.77,23016500.0
2015-07-01,86.77,87.95,86.49,86.91,25260000.0
2015-07-02,87.4,87.44,86.34,87.29,16908800.0
2015-07-06,86.49,88.19,86.39,87.55,24635900.0
2015-07-07,87.8,87.85,85.23,87.22,33059900.0
2015-07-08,86.29,86.75,85.45,85.65,24399300.0
2015-07-09,86.73,87.6,85.65,85.88,23307400.0
2015-07-10,87.35,88.22,86.77,87.95,23245900.0
2015-07-13,88.66,90.22,88.42,90.1,29976700.0
2015-07-14,90.46,90.8,89.65,89.68,26627800.0
2015-07-15,90.0,90.99,89.42,89.76,30886600.0
2015-07-16,90.28,90.86,89.77,90.85,21804100.0
2015-07-17,92.55,95.39,92.54,94.97,54001600.0
2015-07-20,95.85,98.6,95.36,97.91,54860500.0
2015-07-21,98.95,99.24,97.14,98.39,39453300.0
2015-07-22,96.74,97.58,95.92,97.04,28299500.0
2015-07-23,96.96,97.45,94.81,95.44,29418800.0
2015-07-24,97.35,97.76,95.88,96.95,33444900.0
2015-07-27,96.58,96.61,93.83,94.17,38585400.0
2015-07-28,94.84,95.56,93.31,95.29,35236000.0
2015-07-29,96.32,97.28,94.74,96.99,64648300.0
2015-07-30,94.91,95.81,91.8,95.21,86211300.0
2015-07-31,94.95,96.33,93.95,94.01,46509000.0
2015-08-03,93.53,95.08,92.8,94.14,29343100.0
2015-08-04,93.79,94.73,93.33,94.06,20136000.0
2015-08-05,95.25,97.09,95.18,96.44,29813200.0
2015-08-06,97.18,98.74,94.42,95.12,42271300.0
2015-08-07,95.38,95.4,93.61,94.3,23199100.0
2015-08-10,95.68,95.9,93.63,94.15,21624200.0
2015-08-11,93.73,94.76,92.9,93.62,22491000.0
2015-08-12,92.7,94.44,91.19,94.19,27050500.0
2015-08-13,94.05,94.73,93.35,93.43,17451800.0
2015-08-14,93.54,94.72,93.21,94.42,15929700.0
2015-08-17,94.42,94.46,93.39,93.93,18313500.0
2015-08-18,94.08,95.85,94.04,95.17,22278800.0
2015-08-19,94.63,96.1,94.16,95.31,23251300.0
2015-08-20,93.54,94.77,90.46,90.56,44598200.0
2015-08-21,87.52,89.18,85.61,86.06,62778700.0
2015-08-24,77.03,82.09,72.0,82.09,83710700.0
2015-08-25,86.95,87.67,83.0,83.0,52021200.0
2015-08-26,85.95,87.46,83.26,87.19,45124300.0
2015-08-27,89.1,90.06,87.19,89.73,42431400.0
2015-08-28,89.88,91.48,89.79,91.01,33215900.0
2015-08-31,90.6,91.05,88.89,89.43,32850700.0
2015-09-01,86.85,89.39,86.5,87.23,36097400.0
2015-09-02,88.81,89.89,87.63,89.89,27190500.0
2015-09-03,89.76,89.82,87.73,88.15,27048200.0
2015-09-04,87.2,88.39,86.7,88.26,27328700.0
2015-09-08,89.69,90.24,88.83,89.53,27012500.0
2015-09-09,90.78,91.98,90.17,90.44,32551100.0
2015-09-10,90.07,92.06,89.63,91.98,26437400.0
2015-09-11,91.68,92.08,91.13,92.05,21185000.0
2015-09-14,92.31,92.62,91.6,92.31,20127900.0
2015-09-15,92.37,93.25,91.79,92.9,18859400.0
2015-09-16,92.9,93.6,92.63,93.45,16321200.0
2015-09-17,93.37,95.51,92.9,94.34,27841800.0
2015-09-18,93.2,95.19,93.05,94.4,62300000.0
2015-09-21,94.62,96.49,94.52,95.55,28790000.0
2015-09-22,93.77,94.68,91.92,92.96,36888900.0
2015-09-23,93.4,94.32,92.8,93.97,21701400.0
2015-09-24,93.06,94.77,92.24,94.41,29106000.0
2015-09-25,95.79,95.85,92.06,92.77,28961600.0
2015-09-28,92.08,92.29,88.18,89.21,41199900.0
2015-09-29,89.1,90.06,85.72,86.67,42281800.0
2015-09-30,88.44,90.02,88.01,89.9,36169100.0
2015-10-01,90.05,90.95,88.36,90.95,29283700.0
2015-10-02,88.9,92.2,88.37,92.07,37881700.0
2015-10-05,92.94,94.27,92.66,94.01,27292500.0
2015-10-06,94.08,94.17,92.34,92.8,22172800.0
2015-10-07,93.11,93.66,91.37,92.4,24129300.0
2015-10-08,91.89,93.22,90.47,92.47,27290500.0
2015-10-09,92.9,93.74,92.24,93.24,20012900.0
2015-10-12,93.32,94.6,92.67,94.26,18449600.0
2015-10-13,93.66,95.37,93.55,94.12,19480300.0
2015-10-14,94.08,95.2,93.61,94.07,19253400.0
2015-10-15,94.99,96.3,94.9,95.96,27557500.0
2015-10-16,96.18,97.59,95.35,97.54,25412900.0
2015-10-19,97.18,98.57,96.92,98.47,23729900.0
2015-10-20,98.73,99.59,96.56,97.0,30881800.0
2015-10-21,97.37,98.18,96.47,97.11,21917800.0
2015-10-22,97.79,99.73,97.55,99.67,26392100.0
2015-10-23,101.91,102.85,100.16,102.19,42809700.0
2015-10-26,102.2,103.81,101.55,103.77,25961200.0
2015-10-27,102.94,104.1,102.4,103.7,23795500.0
2015-10-28,103.9,104.48,102.92,104.2,24081500.0
