Date,open,high,low,close,volume
2015-07-14,23.95,24.09,23.85,23.93,40627.0
2015-07-15,23.63,23.63,23.13,23.13,3037.0
2015-07-16,24.0,24.05,23.53,23.88,5367.0
2015-07-17,24.17,24.87,24.1,24.17,31035.0
2015-07-20,24.03,24.41,24.02,24.34,4363.0
2015-07-21,24.01,24.42,24.01,24.42,885.0
2015-07-22,24.06,24.11,24.06,24.11,893.0
2015-07-23,23.94,24.87,23.85,23.85,47234.0
2015-07-24,24.3,24.3,23.58,23.63,4205.0
2015-07-27,22.61,22.61,21.79,22.15,14321.0
2015-07-28,22.23,22.65,22.23,22.45,24924.0
2015-07-29,22.99,23.42,22.99,23.31,20748.0
2015-07-30,22.9,23.07,22.88,23.07,5872.0
2015-08-03,22.59,22.59,22.13,22.13,200.0
2015-08-04,22.7,22.7,22.63,22.63,1134.0
2015-08-05,22.73,22.96,22.73,22.93,130606.0
2015-08-06,22.4,22.72,22.4,22.72,1500.0
2015-08-07,22.65,22.97,22.63,22.97,1049.0
2015-08-10,23.9,23.9,23.6,23.6,49100.0
2015-08-11,23.12,23.12,23.12,23.12,257.0
2015-08-12,22.89,22.89,22.89,22.89,278.0
2015-08-13,23.23,23.23,22.88,22.98,17252.0
2015-08-14,23.1,23.1,23.1,23.1,380.0
2015-08-17,22.76,23.0,22.76,23.0,6887.0
2015-08-18,22.47,22.47,22.05,22.06,71128.0
2015-08-19,21.52,21.68,21.52,21.68,350.0
2015-08-20,21.03,21.09,20.85,20.97,7341.0
2015-08-21,20.57,20.57,20.14,20.37,3029.0
2015-08-24,17.43,18.35,17.43,18.0,2453.0
2015-08-25,19.21,19.53,18.79,18.79,3392.0
2015-08-26,18.99,18.99,18.47,18.84,5782.0
2015-08-27,19.8,20.38,19.8,19.96,2095.0
2015-08-28,20.42,20.44,20.42,20.44,5160.0
2015-08-31,19.75,19.75,19.75,19.75,398.0
2015-09-01,19.14,19.14,18.54,18.62,8681.0
2015-09-02,18.86,18.86,18.86,18.86,122.0
2015-09-03,19.43,19.43,19.3,19.3,117775.0
2015-09-04,18.59,18.59,18.59,18.59,294.0
2015-09-08,19.87,20.0,19.77,20.0,823.0
2015-09-09,20.45,20.45,19.81,19.81,2035.0
2015-09-11,20.32,20.32,20.32,20.32,308.0
2015-09-14,20.15,20.15,19.87,19.87,684.0
2015-09-15,19.91,20.24,19.91,20.22,1667.0
2015-09-16,20.38,20.79,20.38,20.62,1818.0
2015-09-18,20.59,20.59,20.22,20.22,2631.0
2015-09-23,20.07,20.07,20.07,20.07,608.0
2015-09-25,19.81,19.88,19.68,19.69,695.0
2015-09-28,19.11,19.27,19.07,19.27,683.0
2015-09-29,19.21,19.21,19.21,19.21,289.0
2015-09-30,19.78,19.94,19.78,19.94,3155.0
2015-10-01,19.83,19.89,19.83,19.89,336.0
2015-10-02,20.98,21.0,20.98,21.0,4771.0
2015-10-05,20.99,21.13,20.99,21.13,161959.0
2015-10-06,20.88,20.88,20.7,20.7,1663.0
2015-10-07,21.45,21.45,21.45,21.45,166.0
2015-10-08,21.2,21.26,21.2,21.26,7473.0
2015-10-09,21.59,21.59,21.19,21.19,3652.0
2015-10-13,21.37,21.37,21.37,21.37,103.0
2015-10-15,22.17,22.24,22.13,22.21,6876.0
2015-10-16,22.19,22.21,22.19,22.21,240.0
2015-10-19,21.82,21.82,21.82,21.82,242.0
2015-10-20,21.82,21.82,21.82,21.82,445.0
2015-10-21,21.48,21.48,21.34,21.43,693.0
2015-10-22,22.06,22.06,21.88,21.88,235.0
2015-10-23,22.24,22.24,22.24,22.24,27526.0
2015-10-26,22.06,22.06,21.91,21.91,649.0
2015-10-27,21.78,21.78,21.78,21.78,210.0
2015-10-28,21.6,21.6,21.35,21.35,510.0
2015-11-02,21.68,21.68,21.48,21.55,1871.0
2015-11-03,21.92,21.97,21.9,21.97,5900.0
2015-11-04,22.3,22.31,21.79,21.79,200751.0
2015-11-05,22.04,22.28,22.04,22.28,2658.0
2015-11-06,21.88,21.89,21.85,21.86,750.0
2015-11-09,21.71,21.71,21.43,21.5,4157.0
2015-11-10,21.3,21.3,21.3,21.3,598.0
2015-11-12,21.59,21.59,21.59,21.59,200.0
2015-11-18,21.29,21.46,21.26,21.46,5840.0
2015-11-19,21.51,21.51,21.35,21.43,407.0
2015-11-20,21.89,21.89,21.89,21.89,230.0
2015-11-24,21.64,21.64,21.64,21.64,200.0
2015-11-27,20.98,21.04,20.94,21.04,833.0
2015-11-30,20.91,20.98,20.9,20.98,1500.0
2015-12-03,21.35,21.37,21.06,21.3,24700.0
2015-12-04,21.48,21.48,21.25,21.42,12790.0
2015-12-07,21.05,21.05,21.05,21.05,1083.0
2015-12-08,20.82,20.82,20.82,20.82,600.0
2015-12-11,20.82,20.82,19.7,19.7,935.0
2015-12-15,20.24,20.29,20.24,20.29,642.0
2015-12-16,20.67,20.67,20.67,20.67,267.0
2015-12-17,20.27,20.27,20.27,20.27,235.0
2015-12-21,20.8,20.8,20.8,20.8,1253.0
2015-12-22,20.74,20.8,20.74,20.8,587.0
2015-12-23,21.17,21.18,20.97,21.11,139841.0
2015-12-29,20.78,20.78,20.67,20.68,1767.0
2015-12-30,20.62,20.62,20.62,20.62,297.0
2015-12-31,20.84,20.84,20.51,20.51,13621.0
2016-01-04,20.05,21.2,19.67,19.67,2821.0
2016-01-05,19.82,19.82,19.82,19.82,242.0
2016-01-06,19.56,19.58,19.56,19.58,2259.0
2016-01-07,18.55,18.93,18.54,18.9,3430.0
2016-01-08,18.86,18.86,18.44,18.44,121143.0
2016-01-11,18.26,18.26,18.26,18.26,307.0
2016-01-12,18.38,18.41,18.37,18.41,4800.0
2016-01-13,18.38,18.38,17.59,17.59,1660.0
2016-01-14,17.14,18.48,17.09,17.8,1036.0
2016-01-19,18.13,18.13,17.8,17.8,2154.0
2016-01-20,17.04,17.04,17.04,17.04,671.0
2016-01-21,16.85,16.93,16.8,16.8,751.0
2016-01-22,17.55,17.55,17.31,17.31,1247.0
2016-01-25,17.18,17.3,17.14,17.3,3961.0
2016-01-26,17.21,17.21,17.09,17.09,2797.0
2016-01-28,17.09,17.09,16.96,16.96,4643.0
2016-01-29,17.75,17.75,17.75,17.75,150.0
2016-02-01,17.48,17.6,17.48,17.6,1213.0
2016-02-02,17.24,17.24,17.0,17.01,4000.0
2016-02-04,17.0,17.0,17.0,17.0,132.0
2016-02-08,17.0,17.0,16.36,16.36,1150.0
2016-02-11,16.22,16.27,16.17,16.25,24787.0
2016-02-12,16.34,16.44,16.34,16.44,201.0
2016-02-17,17.46,17.46,17.46,17.46,236.0
2016-02-22,17.82,17.82,17.79,17.79,501.0
