Date,open,high,low,close,volume
2023-07-13,26.3,26.39,26.3,26.33,1398.0
2023-07-14,26.09,26.09,26.01,26.02,1419.0
2023-07-17,25.99,26.09,25.99,26.09,585.0
2023-07-18,26.49,26.49,26.42,26.43,635.0
2023-07-19,26.58,26.63,26.51,26.55,4186.0
2023-07-20,26.55,26.55,26.55,26.55,107.0
2023-07-21,26.63,26.65,26.62,26.62,1054.0
2023-07-24,26.69,26.73,26.69,26.73,829.0
2023-07-25,26.78,26.94,26.78,26.94,287.0
2023-07-26,26.83,27.02,26.83,26.93,446.0
2023-07-27,26.58,26.58,26.58,26.58,104.0
2023-07-28,26.98,26.98,26.98,26.98,113.0
2023-07-31,27.12,27.12,27.12,27.12,10.0
2023-08-01,27.03,27.06,27.01,27.06,501.0
2023-08-02,26.89,26.89,26.89,26.89,28.0
2023-08-03,26.67,26.8,26.67,26.8,180.0
2023-08-04,27.13,27.13,26.86,26.86,672.0
2023-08-07,26.91,27.14,26.91,27.14,308.0
2023-08-08,27.1,27.1,27.1,27.1,22.0
2023-08-09,27.23,27.23,27.16,27.16,322.0
2023-08-10,27.53,27.53,27.19,27.19,687.0
2023-08-11,27.35,27.35,27.26,27.26,1534.0
2023-08-14,27.21,27.31,27.21,27.31,549.0
2023-08-15,27.03,27.03,26.91,26.91,432.0
2023-08-16,26.73,26.73,26.73,26.73,143.0
2023-08-17,26.8,26.8,26.59,26.59,525.0
2023-08-18,26.71,26.71,26.71,26.71,231.0
2023-08-21,26.9,26.9,26.7,26.72,408.0
2023-08-22,26.67,26.68,26.59,26.59,455.0
2023-08-23,26.53,26.61,26.53,26.61,549.0
2023-08-24,26.62,26.62,26.42,26.42,373.0
2023-08-25,26.5,26.54,26.5,26.54,197.0
2023-08-29,27.01,27.01,27.01,27.01,1.0
2023-08-30,27.12,27.12,27.05,27.05,1393.0
2023-08-31,27.04,27.04,27.04,27.04,16.0
2023-09-01,27.26,27.26,27.26,27.26,29.0
2023-09-05,26.98,26.98,26.98,26.98,23.0
2023-09-06,26.84,26.84,26.84,26.84,115.0
2023-09-07,26.73,26.73,26.73,26.73,118.0
2023-09-08,26.92,26.92,26.92,26.92,9.0
2023-09-11,26.95,26.95,26.84,26.84,137.0
2023-09-12,26.93,26.93,26.93,26.93,74.0
2023-09-13,26.73,26.73,26.73,26.73,10.0
2023-09-14,27.1,27.1,27.09,27.09,164.0
2023-09-15,26.86,26.86,26.76,26.76,161.0
2023-09-18,26.77,26.77,26.77,26.77,131.0
2023-09-19,26.72,26.72,26.72,26.72,21.0
2023-09-20,26.95,26.95,26.52,26.52,508.0
2023-09-21,26.17,26.17,26.17,26.17,168.0
2023-09-22,26.13,26.13,26.13,26.13,22.0
2023-09-25,26.21,26.36,26.21,26.36,547.0
2023-09-26,26.27,26.27,26.1,26.1,133.0
2023-09-27,26.34,26.34,26.34,26.34,127.0
2023-09-28,26.58,26.58,26.58,26.58,3.0
2023-09-29,26.62,26.62,26.41,26.41,4008.0
2023-10-02,26.13,26.13,26.13,26.13,35.0
2023-10-03,25.83,25.83,25.83,25.83,31.0
2023-10-04,25.56,25.71,25.56,25.71,313.0
2023-10-05,25.71,25.71,25.53,25.61,1186.0
2023-10-06,25.79,25.79,25.79,25.79,90.0
2023-10-09,26.23,26.23,26.23,26.23,89.0
2023-10-10,26.4,26.4,26.4,26.4,20.0
2023-10-11,26.37,26.46,26.37,26.42,698.0
2023-10-12,26.43,26.43,26.09,26.09,463.0
2023-10-13,26.18,26.18,26.18,26.18,67.0
2023-10-16,26.41,26.41,26.41,26.41,171.0
2023-10-17,26.33,26.69,26.33,26.57,28243.0
2023-10-18,26.42,26.42,26.3,26.31,8483.0
2023-10-19,26.23,26.23,26.08,26.09,3419.0
2023-10-20,25.86,25.86,25.8116,25.8116,173.0
2023-10-25,25.67,25.67,25.4696,25.47,9209.0
2023-10-26,25.332,25.3637,25.332,25.3637,365.0
2023-10-27,24.995,25.02,24.995,25.0035,409.0
2023-10-30,25.24,25.24,25.1846,25.1846,248.0
2023-10-31,25.37,25.42,25.37,25.3918,671.0
2023-11-01,25.63,25.63,25.6,25.6,2813.0
2023-11-06,26.15,26.2005,26.13,26.2005,811.0
2023-11-07,26.08,26.08,26.02,26.0274,769.0
2023-11-08,25.97,25.97,25.8851,25.8851,653.0
2023-11-09,25.84,25.89,25.6466,25.6466,635.0
2023-11-10,25.69,25.956,25.69,25.956,2001.0
2023-11-21,26.68,26.68,26.68,26.6526,312.0
2023-11-29,27.005,27.005,27.005,26.8436,301.0
2023-12-04,27.26,27.26,27.26,27.3186,358.0
2023-12-05,27.15,27.15,27.15,27.0492,1572.0
2023-12-06,27.05,27.05,27.04,26.9338,295.0
2023-12-07,27.07,27.07,27.03,27.0938,687.0
2023-12-08,27.16,27.24,27.16,27.2621,268.0
2023-12-11,27.43,27.43,27.43,27.417,192.0
2023-12-12,27.23,27.27,27.23,27.241,411.0
2023-12-13,27.1,27.63,27.1,27.6574,1812.0
2023-12-14,28.17,28.23,28.16,28.2856,467.0
2023-12-18,28.2598,28.2598,28.2598,28.2173,458.0
2023-12-20,28.57,28.57,28.2,28.1566,1058.0
2023-12-21,28.3999,28.3999,28.3999,28.4244,210.0
2023-12-22,28.64,28.64,28.41,28.5212,363.0
2023-12-26,28.64,28.7,28.64,28.6755,984.0
2023-12-27,28.61,28.61,28.61,28.6218,251.0
2023-12-29,28.27,28.37,28.27,28.3676,1438.0
2024-01-02,28.4,28.455,28.3841,28.4863,400.0
2024-01-03,28.2947,28.5399,28.2947,28.3875,408.0
2024-01-04,28.25,28.25,28.23,28.1846,496.0
2024-01-05,28.33,28.33,28.18,28.2683,365.0
2024-01-08,28.185,28.3899,28.185,28.5109,676.0
2024-01-09,28.3,28.3,28.275,28.2643,393.0
2024-01-11,28.18,28.18,28.105,28.2948,554.0
2024-01-16,27.9,28.02,27.9,27.9618,2484.0
2024-01-18,27.72,27.72,27.58,27.7738,454.0
2024-01-19,27.78,27.95,27.69,27.9816,2329.0
2024-01-24,27.93,27.93,27.93,27.8811,283.0
2024-01-26,28.19,28.345,28.19,28.3576,425.0
2024-01-31,28.52,28.555,28.21,28.2386,1982.0
2024-02-01,28.38,28.38,28.38,28.4244,289.0
2024-02-07,28.43,28.43,28.26,28.39,2860.0
2024-02-09,28.42,28.44,28.3,28.3693,1656.0
2024-02-12,28.7,28.7,28.66,28.6636,310.0
2024-02-13,28.32,28.32,28.06,28.1684,461.0
2024-02-14,28.32,28.42,28.32,28.3885,234.0
2024-02-16,28.79,28.89,28.6998,28.6641,1138.0
2024-02-21,28.4982,28.67,28.4982,28.696,1074.0
2024-02-22,28.85,28.85,28.85,29.02,15697.0
2024-02-28,29.16,29.16,29.15,29.1183,674.0
2024-02-29,29.33,29.37,29.33,29.339,1617.0
2024-03-01,29.7016,29.75,29.7016,29.7728,459.0
2024-03-04,29.86,29.88,29.74,29.6253,586.0
2024-03-05,29.44,29.44,29.44,29.5291,202.0
2024-03-06,29.64,29.66,29.64,29.6877,458.0
2024-03-07,29.96,29.96,29.92,29.9833,1054.0
2024-03-08,30.0888,30.0888,29.96,29.9595,723.0
2024-03-11,29.96,29.96,29.905,30.0282,685.0
2024-03-12,30.125,30.125,30.125,30.1643,202.0
2024-03-13,30.43,30.475,30.43,30.4044,695.0
2024-03-15,30.3748,30.3748,30.3748,30.3374,238.0
2024-03-18,30.3459,30.43,30.3301,30.3321,1218.0
2024-03-20,30.7,30.97,30.7,30.9873,892.0
2024-03-21,31.23,31.36,31.185,31.2562,654.0
2024-03-22,31.075,31.075,31.075,31.0902,316.0
2024-03-26,31.1375,31.1375,31.1375,31.0108,233.0
2024-03-27,31.19,31.44,31.19,31.44,729.0
2024-03-28,31.435,31.52,31.435,31.6265,349.0
2024-04-01,31.585,31.72,31.585,31.6397,663.0
2024-04-03,31.53,31.64,31.455,31.5491,2247.0
2024-04-04,31.72,31.72,31.72,31.2497,447.0
2024-04-05,31.21,31.61,31.21,31.41,938.0
2024-04-08,31.3,31.4994,31.3,31.3832,1121.0
2024-04-09,31.39,31.42,31.39,31.3859,501.0
2024-04-10,31.086,31.102,30.97,31.0071,2166.0
2024-04-11,31.08,31.08,31.08,30.9957,681.0
2024-04-15,30.81,30.81,30.4137,30.2161,897.0
2024-04-16,29.9407,29.9407,29.82,29.9495,635.0
2024-04-17,29.96,30.16,29.96,29.999,1991.0
2024-04-18,30.12,30.12,29.84,29.7878,1092.0
2024-04-19,29.9,30.0699,29.9,29.9296,2981.0
2024-04-22,30.08,30.2999,29.945,30.0756,1464.0
2024-04-23,30.37,30.37,30.33,30.3036,1453.0
2024-04-24,30.26,30.28,30.23,30.2448,921.0
2024-04-26,30.2,30.2,30.2,30.2249,243.0
2024-04-29,30.52,30.52,30.5199,30.5003,300.0
2024-04-30,30.38,30.38,30.0,29.8752,784.0
2024-05-02,29.54,29.88,29.54,29.68,1401.0
2024-05-09,30.34,30.34,30.34,30.3498,251.0
2024-05-15,30.73,30.73,30.62,30.7682,766.0
2024-05-16,30.6577,30.6577,30.6577,30.5946,539.0
2024-05-17,30.4801,30.4801,30.4801,30.619,166.0
2024-05-28,30.365,30.44,30.365,30.203,1140.0
2024-05-30,30.1203,30.275,30.1203,30.3315,1028.0
2024-06-03,30.62,30.63,30.62,30.2437,549.0
2024-06-04,30.22,30.22,30.0,29.9365,2078.0
2024-06-05,30.11,30.11,29.97,29.97,269.0
2024-06-06,30.05,30.08,30.05,29.9909,715.0
2024-06-10,29.76,29.99,29.76,29.98,614.0
2024-06-11,29.84,29.99,29.82,29.99,1669.0
2024-06-12,30.41,30.41,30.2199,30.0163,1652.0
2024-06-13,29.99,29.99,29.99,29.8976,851.0
2024-06-14,29.65,29.66,29.65,29.5805,503.0
2024-06-17,29.72,29.88,29.72,29.7717,769.0
2024-06-18,29.84,30.0,29.84,29.9257,2543.0
2024-06-20,30.04,30.18,30.04,30.13,1470.0
2024-06-21,29.98,30.14,29.98,30.05,1032.0
2024-06-26,30.05,30.05,29.8801,30.0262,1645.0
2024-06-28,30.1,30.1,30.06,29.9989,792.0
2024-07-02,29.79,29.85,29.79,29.771,732.0
2024-07-03,29.84,29.84,29.8,29.8,391.0
2024-07-05,29.54,29.54,29.54,29.4714,755.0
2024-07-08,29.6,29.635,29.51,29.5695,1747.0
2024-07-10,29.45,29.46,29.45,29.6659,999.0
2024-07-12,30.6475,30.6475,30.6475,30.5393,244.0
2024-07-16,30.9833,30.9833,30.9833,31.3299,294.0
2024-07-17,31.26,31.525,31.26,31.3356,1453.0
2024-07-23,30.975,30.975,30.94,30.951,359.0
2024-07-24,30.9212,30.94,30.7811,30.6988,1110.0
2024-07-25,30.94,31.34,30.94,30.9989,2350.0
2024-07-29,31.89,31.89,31.79,31.7193,1195.0
2024-07-30,31.8997,31.91,31.8997,31.94,3010.0
2024-07-31,31.95,31.95,31.945,31.9238,861.0
2024-08-02,30.55,30.56,30.4299,30.4989,2619.0
2024-08-05,29.49,29.85,29.455,29.6809,9633.0
2024-08-06,29.7299,30.055,29.7299,29.8808,2461.0
2024-08-07,30.13,30.13,30.0,29.6473,15794.0
2024-08-08,30.0,30.0,30.0,30.1175,275.0
2024-08-12,30.045,30.05,29.9385,29.9598,2027.0
2024-08-13,30.09,30.3,30.09,30.3823,1547.0
2024-08-15,30.55,30.8,30.52,30.7531,1129.0
2024-08-16,30.76,30.76,30.76,30.8021,415.0
2024-08-19,30.901,31.1299,30.85,31.0494,3001.0
2024-08-20,30.82,30.84,30.82,30.8048,294.0
2024-08-21,31.07,31.07,30.99,31.1134,786.0
2024-08-26,32.0676,32.0676,32.0676,31.7509,455.0
2024-08-29,31.7,31.7,31.7,31.64,467.0
2024-08-30,31.78,31.79,31.69,31.79,621.0
2024-09-03,31.59,31.59,31.46,31.3456,637.0
2024-09-06,30.81,30.81,30.4,30.4,909.0
2024-09-09,30.43,30.8197,30.43,30.4782,1730.0
2024-09-10,30.11,30.12,30.04,30.3119,1255.0
2024-09-11,29.9,30.1825,29.9,30.2884,4935.0
2024-09-12,30.51,30.51,30.45,30.5327,357.0
2024-09-13,31.19,31.19,31.16,31.099,4144.0
2024-09-16,31.2,31.22,31.2,31.2853,233.0
2024-09-17,31.48,31.48,31.48,31.4064,214.0
2024-09-19,31.83,31.8801,31.83,31.9062,910.0
2024-09-23,31.81,31.81,31.712,31.8281,680.0
2024-09-24,31.92,31.92,31.92,31.9238,269.0
2024-09-25,31.7301,31.7301,31.54,31.552,4367.0
2024-09-30,31.92,32.1699,31.92,32.1152,1851.0
2024-10-01,32.12,32.12,32.03,32.0899,938.0
2024-10-02,32.0499,32.08,32.0499,31.9975,724.0
2024-10-03,31.89,31.89,31.89,31.9561,302.0
2024-10-04,32.17,32.17,32.1019,32.2155,410.0
2024-10-07,32.26,32.26,32.2599,32.1462,341.0
2024-10-08,31.93,32.0,31.9299,31.8938,3176.0
2024-10-09,31.81,31.8101,31.81,32.0617,330.0
2024-10-14,32.01,32.01,32.01,32.2885,228.0
2024-10-15,32.3125,32.3125,32.3125,32.0308,1570.0
2024-10-16,32.3155,32.3155,32.3076,32.3017,391.0
2024-10-21,32.54,32.54,32.29,32.0784,646.0
2024-10-22,32.05,32.05,31.8892,31.9425,456.0
2024-10-24,31.78,31.82,31.78,31.7498,270.0
2024-10-25,31.89,31.89,31.78,31.6595,346.0
2024-10-28,31.72,31.8999,31.7,31.8401,2131.0
2024-10-29,31.49,31.5437,31.49,31.7076,1602.0
2024-11-01,31.86,31.86,31.86,31.6439,171.0
2024-11-04,31.9,32.12,31.9,31.831,2188.0
2024-11-07,33.05,33.17,33.05,33.0481,7916.0
2024-11-08,33.0117,33.0117,33.0117,32.9959,431.0
2024-11-14,32.975,32.975,32.975,32.9419,1060.0
2024-11-15,32.585,32.585,32.585,32.589,207.0
2024-11-18,32.67,32.6701,32.67,32.7248,599.0
2024-11-19,32.59,32.59,32.59,32.5771,346.0
2024-11-20,32.6075,32.6075,32.6075,32.794,504.0
2024-11-22,33.47,33.5732,33.47,33.5733,1178.0
2024-11-25,34.0552,34.0552,33.87,33.8613,1046.0
2024-11-26,33.86,33.86,33.51,33.6573,974.0
2024-11-27,33.5612,33.5612,33.5612,33.4969,232.0
2024-12-03,33.758,33.77,33.6901,33.7462,1196.0
2024-12-04,33.6086,33.65,33.6,33.5966,828.0
2024-12-05,33.69,33.69,33.4375,33.4182,4930.0
2024-12-06,33.44,33.46,33.4,33.4057,3263.0
2024-12-09,33.68,33.68,33.48,33.3626,2102.0
2024-12-10,33.195,33.195,33.08,33.0082,1051.0
2024-12-11,33.11,33.17,33.05,33.17,885.0
2024-12-12,33.05,33.06,32.9894,32.9463,604.0
2024-12-13,33.03,33.03,32.78,32.7456,320.0
2024-12-16,32.62,32.62,32.4898,32.4164,1337.0
2024-12-18,32.3,32.3,31.8,31.296,2395.0
2024-12-19,31.15,31.1501,31.06,31.0677,486.0
2024-12-20,30.99,31.51,30.99,31.4387,681.0
2024-12-23,31.2944,31.34,31.26,31.5367,2065.0
2024-12-24,31.42,31.67,31.41,31.6699,1452.0
2024-12-26,31.77,31.87,31.74,31.8044,2806.0
2024-12-27,31.36,31.55,31.36,31.5239,1469.0
2024-12-30,30.96,31.37,30.96,31.3273,1425.0
2025-01-02,31.33,31.3527,31.285,31.4276,577.0
2025-01-03,31.335,31.335,31.335,31.6317,207.0
2025-01-06,31.93,31.9301,31.93,31.6727,607.0
2025-01-07,31.725,31.725,31.646,31.6203,589.0
2025-01-08,31.26,31.27,31.26,31.5144,1037.0
2025-01-10,31.3499,31.4099,31.23,31.2663,1228.0
2025-01-13,31.42,31.592,31.3212,31.5393,4913.0
2025-01-15,32.12,32.12,32.08,32.0671,1107.0
2025-01-16,32.04,32.12,31.8001,32.075,3061.0
2025-01-17,32.3351,32.4,32.25,32.2483,1775.0
2025-01-21,32.27,32.53,32.27,32.4067,1037.0
2025-01-22,32.13,32.3,32.13,32.2276,656.0
