Date,open,high,low,close,volume
2015-04-27,34.02,34.27,33.66,33.81,2444800.0
2015-04-28,33.74,34.0,33.59,33.79,1814800.0
2015-04-29,33.53,34.31,33.53,33.785,2460600.0
2015-04-30,33.6,33.87,33.14,33.35,1920200.0
2015-05-01,33.32,33.83,33.29,33.645,2233400.0
2015-05-04,33.73,33.78,33.44,33.58,1937500.0
2015-05-05,33.47,33.7,33.18,33.2,2481300.0
2015-05-06,33.22,33.3,32.79,33.025,2901600.0
2015-05-07,32.74,33.94,31.81,32.335,18743900.0
2015-05-08,32.59,32.76,32.42,32.44,9682600.0
2015-05-11,32.45,32.71,32.43,32.51,6446700.0
2015-05-12,32.46,32.59,32.13,32.37,8933700.0
2015-05-13,32.41,32.75,32.35,32.65,2189400.0
2015-05-14,32.97,33.08,32.83,33.06,2522600.0
2015-05-15,33.22,33.64,33.15,33.63,1724500.0
2015-05-18,33.63,33.97,33.47,33.48,2292300.0
2015-05-19,33.98,34.23,33.76,34.18,4066200.0
2015-05-20,34.17,34.37,33.99,34.22,2255900.0
2015-05-21,34.13,34.56,34.07,34.43,1928600.0
2015-05-22,34.34,34.42,33.97,34.11,1917500.0
2015-05-26,33.96,34.12,33.54,33.8,2228200.0
2015-05-27,33.78,34.07,33.7,34.01,2590600.0
2015-05-28,33.94,33.94,33.53,33.77,2672400.0
2015-05-29,33.83,33.83,33.29,33.44,2457300.0
2015-06-01,33.62,33.7,33.22,33.46,2880700.0
2015-06-02,33.36,33.7,33.27,33.35,2239300.0
2015-06-03,33.53,33.7,33.26,33.57,2518600.0
2015-06-04,33.21,33.65,33.12,33.51,2280000.0
2015-06-05,33.42,33.54,32.94,33.11,2650300.0
2015-06-08,33.15,33.16,32.85,33.0,1624500.0
2015-06-09,33.06,33.08,32.61,32.72,2702800.0
2015-06-10,32.92,33.15,32.73,32.85,1898800.0
2015-06-11,32.88,33.08,32.47,32.82,3001600.0
2015-06-12,32.66,32.74,32.48,32.59,2402300.0
2015-06-15,32.27,32.41,32.08,32.26,3841400.0
2015-06-16,32.37,32.42,32.05,32.17,3609100.0
2015-06-17,32.18,32.59,32.08,32.49,3046400.0
2015-06-18,32.57,32.89,32.47,32.79,2683400.0
2015-06-19,32.85,33.07,32.6,32.72,2692800.0
2015-06-22,32.85,33.22,32.85,32.99,2270300.0
2015-06-23,33.0,33.15,32.9,33.06,2756800.0
2015-06-24,32.94,33.0,32.51,32.52,2583700.0
2015-06-25,32.59,32.8,32.49,32.61,2554700.0
2015-06-26,32.67,32.97,32.59,32.8,5458400.0
2015-06-29,32.45,32.6,31.77,31.88,4139500.0
2015-06-30,32.09,32.43,31.87,32.22,3975600.0
2015-07-01,32.48,32.72,32.4,32.46,2769700.0
2015-07-02,32.51,32.69,32.11,32.22,2386800.0
2015-07-06,31.91,32.42,31.91,32.24,2399400.0
2015-07-07,32.29,32.51,31.67,32.47,2476500.0
2015-07-08,32.25,32.42,31.7,31.8,2926200.0
2015-07-09,32.17,32.31,31.93,31.94,1905800.0
2015-07-10,32.28,32.73,32.23,32.54,1408800.0
2015-07-13,32.75,33.15,32.6,33.11,1125200.0
2015-07-14,33.15,33.24,33.02,33.12,1088400.0
2015-07-15,33.05,33.33,32.95,33.18,2298800.0
2015-07-16,33.49,33.55,33.34,33.47,1868700.0
2015-07-17,33.47,33.47,32.73,33.2,2458400.0
2015-07-20,32.42,33.25,32.42,33.14,1942600.0
2015-07-21,33.15,33.19,32.74,32.75,2170400.0
2015-07-22,33.22,33.22,32.71,32.95,1498500.0
2015-07-23,32.89,32.89,32.36,32.48,1430400.0
2015-07-24,32.53,32.95,32.47,32.83,1973100.0
2015-07-27,32.7,32.96,32.22,32.29,2258300.0
2015-07-28,32.26,32.79,32.19,32.72,2733700.0
2015-07-29,32.72,33.12,32.61,32.99,2402100.0
