Date,open,high,low,close,volume
2023-05-22,4.21,6.0,4.2,5.18,36197.0
2023-05-23,5.18,5.49,4.61,5.08,32412.0
2023-05-24,5.06,5.2,4.79,4.99,9547.0
2023-05-25,5.16,5.16,4.65,4.77,16125.0
2023-05-26,4.95,4.97,4.3,4.57,20066.0
2023-05-30,4.83,4.83,4.3,4.39,13167.0
2023-05-31,4.2,4.36,4.0,4.23,8974.0
2023-06-01,4.14,4.44,4.13,4.23,4993.0
2023-06-02,4.5,4.75,4.21,4.59,40636.0
2023-06-05,4.48,4.57,4.37,4.48,12759.0
2023-06-06,4.49,4.58,4.22,4.29,5864.0
2023-06-07,4.49,4.49,4.3,4.39,8678.0
2023-06-08,4.31,4.49,4.24,4.49,3430.0
2023-06-09,4.43,4.49,4.0,4.04,19028.0
2023-06-12,4.15,4.16,4.14,4.15,2767.0
2023-06-13,4.17,4.34,4.13,4.13,1334.0
2023-06-14,4.03,4.1,3.66,3.96,16645.0
2023-06-15,3.79,3.97,3.27,3.93,15021.0
2023-06-16,3.93,3.93,3.73,3.85,3457.0
2023-06-20,3.85,3.85,3.65,3.7,2471.0
2023-06-21,3.42,4.21,3.42,4.2,11307.0
2023-06-22,4.16,4.16,3.82,4.08,5947.0
2023-06-23,3.95,4.29,3.9,4.29,5753.0
2023-06-26,4.04,4.25,4.03,4.06,8103.0
2023-06-27,4.02,4.2,3.92,4.2,13980.0
2023-06-28,4.02,4.25,4.01,4.25,4824.0
2023-06-29,4.08,4.15,3.94,3.94,7329.0
2023-06-30,4.19,4.2,3.92,4.16,13596.0
2023-07-03,4.19,4.19,4.19,4.19,173.0
2023-07-05,4.31,4.31,3.9,4.16,4972.0
2023-07-06,3.92,4.1,3.9,4.0,3684.0
2023-07-07,3.61,3.97,3.61,3.97,1332.0
2023-07-10,3.81,4.35,3.62,4.17,19569.0
2023-07-11,4.3,4.45,3.93,4.16,11880.0
2023-07-12,4.1,4.2,3.7,4.14,8655.0
2023-07-13,3.9,4.17,3.77,3.77,8848.0
2023-07-14,3.76,4.14,3.76,3.99,8201.0
2023-07-17,3.89,4.15,3.78,4.15,4155.0
2023-07-18,4.03,4.18,3.88,3.9,2769.0
2023-07-19,3.8,4.15,3.78,4.04,8341.0
2023-07-20,4.0,4.15,3.95,4.03,15393.0
2023-07-21,4.0,4.1,3.8,3.8,16937.0
2023-07-24,3.86,4.09,3.8,3.86,21147.0
2023-07-25,3.91,4.05,3.81,3.84,18902.0
2023-07-26,3.92,3.93,3.8,3.93,4852.0
2023-07-27,3.88,3.9,3.7,3.7,8114.0
2023-07-28,3.83,3.83,3.72,3.72,1813.0
2023-07-31,3.77,3.79,3.6,3.64,10692.0
2023-08-01,3.66,3.69,3.45,3.61,10789.0
2023-08-02,3.45,3.75,3.29,3.46,14962.0
2023-08-03,3.51,3.73,3.4,3.4,6295.0
2023-08-04,3.26,3.44,3.22,3.27,2975.0
2023-08-07,3.23,3.27,2.52,2.52,16211.0
2023-08-08,2.65,3.4,2.53,3.3,44983.0
2023-08-09,3.71,3.71,2.79,3.25,38987.0
2023-08-10,3.22,3.22,2.9,3.21,21937.0
2023-08-11,3.14,3.17,2.72,3.15,39542.0
2023-08-14,2.89,3.09,2.74,2.92,32709.0
2023-08-15,2.9,2.99,2.55,2.74,74641.0
2023-08-16,2.78,2.88,2.55,2.7,60207.0
2023-08-17,2.6,2.7,2.57,2.58,17328.0
2023-08-18,2.55,2.58,2.15,2.23,81725.0
2023-08-21,2.2,2.35,1.6,1.82,127092.0
2023-08-22,2.09,2.21,1.86,2.15,29392.0
2023-08-23,2.01,2.09,1.85,2.08,20324.0
2023-08-24,2.07,2.07,1.8,2.07,21327.0
2023-08-25,1.98,2.2,1.85,2.19,22676.0
2023-08-28,2.07,2.11,1.91,2.04,21630.0
2023-08-29,2.01,2.33,1.83,2.31,33770.0
2023-08-30,2.18,3.33,2.02,2.79,53380.0
