Date,open,high,low,close,volume
2015-04-27,52.68,52.85,52.42,52.71,21786603.0
2015-04-28,52.64,52.77,52.38,52.71,14091662.0
2015-04-29,52.07,52.22,51.68,51.98,23783985.0
2015-04-30,51.57,51.66,51.27,51.33,22344525.0
2015-05-01,51.5,51.96,51.42,51.8,14416522.0
2015-05-04,51.64,52.37,51.58,52.21,24508513.0
2015-05-05,50.75,50.9,50.25,50.33,23653308.0
2015-05-06,50.36,50.45,49.23,49.31,25335500.0
2015-05-07,49.0,49.32,48.88,49.29,19685922.0
2015-05-08,50.39,50.72,50.27,50.51,18070163.0
2015-05-11,50.75,50.79,50.03,50.07,17088134.0
2015-05-12,49.38,49.86,49.34,49.79,17015295.0
2015-05-13,49.4,49.66,49.16,49.21,13705838.0
2015-05-14,49.45,49.73,49.4,49.66,12501322.0
2015-05-15,50.28,50.66,50.22,50.6,23840881.0
2015-05-18,49.79,49.99,49.65,49.85,16368690.0
2015-05-19,50.53,50.6,50.33,50.53,15700074.0
2015-05-20,49.99,50.18,49.76,50.04,14129855.0
2015-05-21,49.76,49.91,49.65,49.84,10776250.0
2015-05-22,51.13,51.58,50.98,51.34,26533217.0
2015-05-26,52.06,52.08,51.41,51.6,20461227.0
2015-05-27,51.26,51.63,51.13,51.55,16959988.0
2015-05-28,49.61,49.85,49.34,49.68,29520970.0
2015-05-29,49.48,49.55,48.71,48.76,24830867.0
2015-06-01,49.54,49.58,49.15,49.3,17654968.0
2015-06-02,49.22,49.56,49.16,49.31,10679430.0
2015-06-03,49.46,49.79,49.35,49.65,11308970.0
2015-06-04,49.61,49.65,49.24,49.34,11297844.0
2015-06-05,48.72,49.05,48.51,48.96,15036111.0
2015-06-08,49.34,49.54,49.3,49.41,16998486.0
2015-06-09,48.4,48.76,48.36,48.73,25815897.0
2015-06-10,47.87,48.39,47.85,48.27,27102532.0
2015-06-11,48.62,48.85,48.47,48.69,32768196.0
2015-06-12,49.06,49.21,48.97,49.1,16546283.0
2015-06-15,47.73,47.77,47.5,47.61,18190306.0
2015-06-16,46.73,47.06,46.64,46.99,19248668.0
2015-06-17,47.16,47.39,46.81,47.13,15620749.0
2015-06-18,46.85,47.3,46.81,47.22,16319224.0
2015-06-19,46.72,46.99,46.68,46.79,19932011.0
2015-06-22,47.44,47.65,47.24,47.4,17463478.0
2015-06-23,48.44,48.59,48.39,48.5,16083983.0
2015-06-24,48.59,48.77,48.28,48.36,15344814.0
2015-06-25,47.9,47.91,47.53,47.56,14049997.0
2015-06-26,46.54,46.8,46.16,46.24,25711577.0
2015-06-29,45.44,45.67,44.98,45.0,23776541.0
2015-06-30,46.22,46.24,45.75,46.1,24739563.0
2015-07-01,45.7,46.06,45.5,45.73,17569675.0
2015-07-02,46.02,46.34,45.73,45.81,15736067.0
2015-07-06,43.93,44.33,43.6,43.84,35756062.0
2015-07-07,41.52,42.07,40.71,41.95,84014551.0
2015-07-08,39.67,40.17,38.88,38.95,96446091.0
2015-07-09,41.35,41.47,40.79,40.9,48293947.0
2015-07-10,42.8,42.83,42.15,42.76,49925795.0
2015-07-13,43.16,43.21,42.8,42.91,27095532.0
2015-07-14,42.41,42.78,42.34,42.72,16731590.0
2015-07-15,42.17,42.25,41.7,41.73,31299070.0
2015-07-16,42.31,42.56,42.21,42.54,17897621.0
2015-07-17,42.93,42.96,42.68,42.84,13123229.0
2015-07-20,42.57,42.75,42.35,42.57,12152435.0
2015-07-21,42.95,43.06,42.71,42.75,16463302.0
2015-07-22,42.35,42.49,42.25,42.31,13653572.0
2015-07-23,42.63,42.68,42.23,42.3,16124622.0
2015-07-24,42.15,42.17,41.47,41.73,23318481.0
2015-07-27,40.04,40.47,39.79,40.13,50073917.0
2015-07-28,40.5,40.8,40.15,40.79,25512321.0
2015-07-29,40.72,41.41,40.6,41.28,36644503.0
2015-07-30,40.53,40.73,40.36,40.65,16859414.0
2015-07-31,40.72,40.9,40.34,40.48,23272177.0
2015-08-03,40.08,40.12,39.67,39.88,18851895.0
2015-08-04,40.16,40.42,39.98,40.17,18187561.0
2015-08-05,40.65,40.82,40.29,40.44,15680077.0
2015-08-06,40.36,40.43,39.96,40.1,14568724.0
2015-08-07,40.69,40.75,40.37,40.53,12519909.0
2015-08-10,41.12,41.55,41.09,41.44,21012091.0
2015-08-11,40.65,40.94,40.45,40.9,23902867.0
2015-08-12,39.78,40.14,39.65,40.02,41092454.0
2015-08-13,40.41,40.64,40.25,40.3,20974940.0
2015-08-14,40.31,40.46,40.26,40.43,9587586.0
2015-08-17,39.83,40.19,39.74,40.17,13788207.0
2015-08-18,39.3,39.53,39.22,39.36,19063047.0
2015-08-19,38.91,38.95,38.11,38.46,40107892.0
2015-08-20,37.78,37.96,37.45,37.47,35276975.0
2015-08-21,37.24,37.5,36.43,36.57,50904368.0
2015-08-24,33.42,35.69,32.8,34.22,55037488.0
2015-08-25,36.6,36.68,34.97,35.01,44124504.0
2015-08-26,35.44,35.81,34.45,35.78,56756714.0
2015-08-27,36.65,37.66,36.55,37.47,54605157.0
2015-08-28,36.43,36.68,36.16,36.37,32989187.0
2015-08-31,36.09,36.34,35.73,35.92,32532245.0
2015-09-01,34.61,34.8,34.0,34.29,51459350.0
2015-09-02,34.59,34.68,34.1,34.67,23898001.0
2015-09-03,34.92,35.52,34.77,34.87,23862483.0
2015-09-04,33.83,33.99,33.35,33.61,39656143.0
2015-09-08,35.86,36.02,35.56,35.97,42542973.0
2015-09-09,36.81,36.98,35.95,36.0,27583770.0
2015-09-10,35.88,36.41,35.83,36.08,23008026.0
2015-09-11,35.86,36.35,35.75,36.33,22817851.0
2015-09-14,35.92,36.01,35.63,35.98,17585632.0
2015-09-15,36.03,36.57,35.95,36.46,14548174.0
2015-09-16,37.16,37.65,37.09,37.55,29226453.0
2015-09-17,36.76,37.94,36.66,37.09,28463004.0
2015-09-18,36.68,36.92,36.18,36.32,30376066.0
2015-09-21,36.75,36.99,36.56,36.81,20003147.0
2015-09-22,36.08,36.23,35.87,36.17,18847517.0
2015-09-23,35.92,35.96,35.55,35.66,16564233.0
2015-09-24,35.04,35.53,34.82,35.38,25828048.0
2015-09-25,35.92,36.03,35.19,35.26,22004387.0
2015-09-28,34.98,35.02,34.46,34.61,26895938.0
2015-09-29,34.44,34.84,34.32,34.59,26826117.0
2015-09-30,35.35,35.54,35.03,35.46,29146201.0
2015-10-01,35.75,35.84,35.33,35.71,21898595.0
2015-10-02,35.93,37.1,35.85,37.02,37108256.0
2015-10-05,37.36,37.71,37.26,37.67,29552956.0
2015-10-06,37.16,37.35,37.02,37.11,20964573.0
2015-10-07,38.55,38.91,38.22,38.66,42250696.0
2015-10-08,38.23,38.91,38.18,38.84,22369407.0
2015-10-09,38.85,38.99,38.42,38.66,16999358.0
2015-10-12,38.99,39.02,38.64,38.69,12938528.0
2015-10-13,38.37,38.72,38.19,38.2,17394957.0
2015-10-14,38.48,38.75,38.29,38.35,19668170.0
2015-10-15,39.28,39.63,39.02,39.61,25798062.0
2015-10-16,39.49,39.76,39.37,39.75,21041091.0
2015-10-19,39.5,39.5,39.2,39.38,11219175.0
2015-10-20,39.33,39.51,39.23,39.43,13919678.0
2015-10-21,39.24,39.34,38.75,38.85,18247812.0
2015-10-22,39.2,39.81,39.2,39.7,21996270.0
2015-10-23,40.35,40.59,40.05,40.37,29940057.0
2015-10-26,39.51,39.61,39.33,39.49,15424003.0
2015-10-27,39.15,39.27,38.99,39.18,16496244.0
2015-10-28,39.07,39.25,38.35,38.76,27565059.0
2015-10-29,38.31,38.49,38.25,38.38,16973605.0
2015-10-30,38.47,38.47,38.24,38.27,13546191.0
2015-11-02,38.2,38.63,38.2,38.59,13466307.0
2015-11-03,38.26,38.83,38.24,38.63,19782768.0
2015-11-04,39.56,39.61,38.95,39.12,19573478.0
2015-11-05,39.33,39.54,39.16,39.31,15261299.0
2015-11-06,38.74,39.03,38.49,38.95,19823119.0
2015-11-09,38.62,38.69,38.02,38.17,29498521.0
2015-11-10,38.06,38.06,37.76,37.91,19083828.0
2015-11-11,38.15,38.22,37.83,37.92,11545061.0
2015-11-12,38.23,38.34,37.84,37.89,21586797.0
2015-11-13,37.33,37.34,36.89,37.13,36606440.0
2015-11-16,37.14,37.76,37.1,37.69,23838391.0
2015-11-17,37.68,37.78,37.41,37.52,21074513.0
2015-11-18,37.4,37.79,37.36,37.78,18961633.0
2015-11-19,37.86,38.05,37.74,37.83,15604901.0
2015-11-20,38.3,38.59,38.3,38.47,25935623.0
2015-11-23,38.19,38.26,37.96,38.05,16538421.0
2015-11-24,37.52,38.21,37.5,38.06,21228584.0
2015-11-25,37.97,38.06,37.8,37.97,12736396.0
2015-11-27,37.0,37.1,36.81,36.93,20426996.0
2015-11-30,36.85,37.45,36.8,37.45,45737379.0
2015-12-01,37.49,37.67,37.45,37.63,16973999.0
2015-12-02,37.7,37.71,37.19,37.31,19337026.0
2015-12-03,37.43,37.46,36.84,37.04,20010910.0
2015-12-04,36.88,37.48,36.88,37.36,20130142.0
2015-12-07,36.96,37.01,36.58,36.8,22693050.0
2015-12-08,35.89,36.27,35.76,36.24,27714152.0
2015-12-09,35.94,36.38,35.74,35.86,26247995.0
2015-12-10,35.61,35.82,35.37,35.52,28934080.0
2015-12-11,34.77,34.89,34.47,34.53,34148807.0
2015-12-14,34.9,35.09,34.51,35.04,31167912.0
2015-12-15,35.57,35.86,35.56,35.64,33793073.0
2015-12-16,36.17,36.49,35.68,36.27,26798757.0
2015-12-17,36.39,36.39,35.78,35.83,29857151.0
2015-12-18,36.07,36.38,35.88,36.17,45900982.0
2015-12-21,35.81,35.86,35.43,35.77,32027104.0
2015-12-22,35.57,35.9,35.47,35.83,18333732.0
2015-12-23,36.26,36.56,36.23,36.54,22271551.0
2015-12-24,36.38,36.55,36.34,36.46,6706961.0
2015-12-28,35.74,35.97,35.68,35.87,17170233.0
2015-12-29,36.11,36.14,35.88,35.99,12663248.0
2015-12-30,35.56,35.67,35.38,35.41,13678724.0
2015-12-31,35.29,35.56,35.23,35.29,13700706.0
2016-01-04,34.14,34.22,33.75,34.15,37578509.0
2016-01-05,33.99,34.05,33.78,33.96,25290320.0
2016-01-06,33.19,33.44,33.07,33.22,25589767.0
2016-01-07,32.16,32.8,31.94,31.95,53721092.0
2016-01-08,32.26,32.3,31.6,31.62,47940056.0
2016-01-11,31.68,31.8,31.11,31.45,39136359.0
2016-01-12,31.58,31.75,31.17,31.4,30003653.0
2016-01-13,31.52,31.62,30.66,30.82,33312730.0
2016-01-14,30.79,31.36,30.5,31.26,35667664.0
2016-01-15,29.64,29.94,29.3,29.79,63875277.0
2016-01-19,30.86,30.87,30.23,30.54,38420136.0
2016-01-20,29.37,29.81,28.81,29.46,47489108.0
2016-01-21,29.44,30.05,29.25,29.66,37811963.0
2016-01-22,30.58,30.74,30.38,30.73,34745929.0
2016-01-25,30.35,30.43,29.98,29.98,28267099.0
2016-01-26,29.86,30.28,29.85,30.2,23384041.0
2016-01-27,29.9,30.35,29.64,29.78,36028770.0
2016-01-28,30.38,30.49,29.96,30.22,31031248.0
2016-01-29,30.87,31.23,30.78,31.2,31306629.0
2016-02-01,30.43,30.62,30.28,30.53,29167631.0
2016-02-02,30.28,30.31,29.62,29.75,29698340.0
2016-02-03,29.87,30.25,29.31,30.23,39056309.0
2016-02-04,30.14,30.41,29.77,29.95,40683369.0
2016-02-05,30.22,30.23,29.59,29.73,24039126.0
2016-02-08,29.32,29.38,28.7,29.14,35693767.0
2016-02-09,28.63,29.13,28.56,28.87,33597369.0
2016-02-10,29.26,29.65,28.98,29.07,42768970.0
2016-02-11,28.13,28.66,28.1,28.44,38735256.0
2016-02-12,28.61,29.1,28.46,29.07,39417993.0
2016-02-16,30.13,30.29,29.96,30.29,37917300.0
2016-02-17,30.35,30.82,30.32,30.76,36462136.0
2016-02-18,30.91,30.97,30.4,30.47,25834940.0
2016-02-19,30.47,30.64,30.29,30.46,19641422.0
2016-02-22,30.98,31.37,30.97,31.32,21172027.0
2016-02-23,30.9,30.98,30.52,30.54,19198955.0
2016-02-24,29.95,30.56,29.77,30.45,28183393.0
2016-02-25,29.99,30.38,29.81,30.35,20348595.0
2016-02-26,30.75,30.76,30.38,30.42,21068726.0
2016-02-29,30.37,30.65,30.28,30.28,17144656.0
2016-03-01,30.85,31.42,30.82,31.37,33924635.0
2016-03-02,31.69,32.06,31.58,32.05,27622029.0
2016-03-03,31.76,32.12,31.69,32.08,24972958.0
2016-03-04,32.39,33.1,32.3,32.99,42535954.0
2016-03-07,32.33,32.79,32.33,32.61,24881334.0
2016-03-08,32.11,32.17,31.82,31.86,25287763.0
2016-03-09,31.98,32.2,31.89,31.98,14383659.0
2016-03-10,32.1,32.21,31.37,31.73,29486731.0
2016-03-11,32.45,32.87,32.43,32.86,28790806.0
2016-03-14,32.87,33.06,32.72,32.9,17724694.0
2016-03-15,32.49,32.74,32.36,32.7,14999709.0
2016-03-16,32.34,33.14,32.27,33.07,28137559.0
2016-03-17,33.0,33.51,32.96,33.45,28887755.0
2016-03-18,33.69,33.88,33.62,33.68,25094279.0
2016-03-21,33.73,33.91,33.62,33.71,15135638.0
2016-03-22,33.39,33.64,33.3,33.44,15093811.0
2016-03-23,33.36,33.37,32.91,32.97,25830485.0
2016-03-24,32.48,32.74,32.35,32.74,17791281.0
2016-03-28,32.7,33.04,32.69,33.01,16103055.0
2016-03-29,32.77,33.37,32.63,33.34,18629800.0
2016-03-30,33.94,34.12,33.81,33.84,23327025.0
2016-03-31,33.89,34.03,33.69,33.76,17008377.0
2016-04-01,33.02,33.71,32.84,33.58,19320619.0
2016-04-04,33.58,33.68,33.13,33.17,14552637.0
2016-04-05,32.65,32.76,32.37,32.42,22556331.0
2016-04-06,32.57,33.04,32.47,33.03,17887381.0
2016-04-07,32.65,32.69,32.25,32.4,20313481.0
2016-04-08,33.07,33.12,32.73,32.82,18606520.0
2016-04-11,33.4,33.58,33.18,33.21,18483809.0
2016-04-12,33.38,33.87,33.19,33.67,19347920.0
2016-04-13,34.9,35.03,34.76,34.99,37868035.0
2016-04-14,34.94,35.04,34.85,34.92,14575562.0
2016-04-15,34.68,34.73,34.46,34.48,21139337.0
2016-04-18,34.43,34.89,34.36,34.7,18276434.0
2016-04-19,34.83,35.19,34.8,35.12,18448498.0
2016-04-20,34.58,35.0,34.45,34.72,27289482.0
2016-04-21,34.74,34.81,34.41,34.48,20198002.0
2016-04-22,34.39,34.71,34.22,34.35,24133751.0
2016-04-25,34.01,34.07,33.8,33.94,21698964.0
2016-04-26,34.03,34.17,33.92,34.14,16565929.0
2016-04-27,33.94,34.49,33.94,34.39,17150480.0
2016-04-28,34.14,34.42,34.01,34.07,18527790.0
2016-04-29,33.67,33.78,33.3,33.53,22388797.0
2016-05-02,33.68,33.68,33.31,33.47,16295683.0
2016-05-03,32.96,33.01,32.61,32.65,31467934.0
2016-05-04,32.44,32.57,32.13,32.25,28157119.0
2016-05-05,32.54,32.6,32.2,32.3,32500578.0
2016-05-06,31.96,32.29,31.94,32.11,22910109.0
2016-05-09,31.97,32.03,31.62,31.62,31099167.0
2016-05-10,31.86,32.35,31.86,32.35,24519345.0
2016-05-11,31.93,32.14,31.81,31.81,23342967.0
2016-05-12,32.06,32.12,31.67,31.75,21212200.0
2016-05-13,31.52,31.63,31.05,31.24,32725684.0
2016-05-16,31.65,31.99,31.64,31.85,22117758.0
2016-05-17,31.78,31.92,31.55,31.65,23884891.0
2016-05-18,31.5,31.88,31.26,31.41,28815527.0
2016-05-19,31.26,31.33,31.04,31.24,27314881.0
2016-05-20,31.58,31.77,31.55,31.64,16973482.0
2016-05-23,31.61,31.78,31.53,31.57,15279906.0
2016-05-24,31.78,32.25,31.75,32.18,29065030.0
2016-05-25,32.53,32.82,32.48,32.77,25181231.0
2016-05-26,32.67,32.73,32.53,32.65,15589242.0
2016-05-27,32.91,32.99,32.64,32.84,20918832.0
2016-05-31,33.26,33.73,33.12,33.65,63515905.0
2016-06-01,33.26,33.52,33.22,33.43,22795984.0
2016-06-02,33.41,33.78,33.37,33.73,20820899.0
2016-06-03,33.69,33.89,33.47,33.77,23420302.0
2016-06-06,33.99,34.33,33.94,34.2,26464307.0
2016-06-07,34.6,34.77,34.59,34.64,29459437.0
2016-06-08,34.66,34.81,34.64,34.74,15660834.0
2016-06-09,34.39,34.58,34.37,34.54,17728283.0
2016-06-10,33.6,33.8,33.46,33.61,35795260.0
2016-06-13,33.0,33.27,32.86,32.9,29851384.0
2016-06-14,32.83,33.06,32.58,32.99,28124720.0
2016-06-15,33.18,33.46,33.02,33.04,27387323.0
2016-06-16,32.45,33.05,32.24,32.94,33593467.0
2016-06-17,32.8,32.9,32.59,32.81,17527355.0
2016-06-20,33.52,33.65,33.35,33.39,24451933.0
2016-06-21,33.4,33.59,33.2,33.48,17153436.0
2016-06-22,33.89,34.04,33.72,33.76,23886076.0
2016-06-23,34.25,34.6,34.19,34.58,21941387.0
2016-06-24,32.73,33.39,32.42,32.49,56230384.0
2016-06-27,32.61,32.64,32.35,32.35,2146974.0
2016-06-28,33.04,33.23,32.84,33.16,27207257.0
2016-06-29,33.73,33.82,33.67,33.76,28029310.0
2016-06-30,34.04,34.43,33.88,34.22,36203626.0
2016-07-01,34.4,34.62,34.38,34.48,18797113.0
2016-07-05,33.89,33.93,33.6,33.7,18878570.0
2016-07-06,33.2,33.67,33.09,33.62,19984804.0
2016-07-07,33.74,33.85,33.36,33.46,18076574.0
2016-07-08,33.79,34.24,33.77,34.18,24660710.0
2016-07-11,34.35,34.6,34.25,34.44,21548034.0
2016-07-12,35.01,35.2,34.91,35.14,27755436.0
2016-07-13,35.06,35.07,34.82,34.99,16901572.0
2016-07-14,35.4,35.61,35.35,35.56,21521660.0
2016-07-15,35.54,35.57,35.37,35.46,16608423.0
2016-07-18,35.37,35.76,35.32,35.75,13150471.0
2016-07-19,35.31,35.34,35.04,35.08,20069687.0
2016-07-20,35.46,35.53,35.32,35.5,15859521.0
2016-07-21,35.5,35.61,35.33,35.47,12719260.0
2016-07-22,35.55,35.69,35.48,35.66,9232440.0
2016-07-25,35.58,35.58,35.36,35.37,12890927.0
2016-07-26,35.65,35.82,35.6,35.79,13396632.0
2016-07-27,35.7,35.81,35.42,35.65,15743245.0
2016-07-28,35.5,35.53,35.35,35.46,11196369.0
2016-07-29,35.19,35.54,35.15,35.43,20483771.0
2016-08-01,35.58,35.66,35.27,35.31,13899611.0
2016-08-02,35.19,35.36,34.94,35.2,20209240.0
2016-08-03,34.97,35.34,34.96,35.32,14587569.0
2016-08-04,35.32,35.51,35.22,35.4,11143727.0
2016-08-05,35.75,35.98,35.72,35.94,15792514.0
2016-08-08,36.16,36.26,36.13,36.14,8369876.0
2016-08-09,36.39,36.64,36.38,36.48,15256659.0
2016-08-10,36.48,36.49,36.21,36.27,13354406.0
2016-08-11,36.78,37.09,36.76,37.04,20711097.0
2016-08-12,37.08,37.21,37.04,37.12,15700438.0
2016-08-15,37.73,37.99,37.7,37.95,26369520.0
2016-08-16,37.84,37.9,37.67,37.79,17991218.0
2016-08-17,37.48,37.58,37.15,37.53,23072045.0
2016-08-18,37.74,37.88,37.68,37.86,12335233.0
2016-08-19,37.59,37.7,37.4,37.65,13771788.0
2016-08-22,37.45,37.5,37.24,37.31,17897141.0
2016-08-23,37.51,37.66,37.25,37.3,15723593.0
2016-08-24,37.11,37.24,37.02,37.12,19764797.0
2016-08-25,36.98,37.14,36.93,37.09,12871487.0
2016-08-26,37.24,37.67,36.67,36.93,34069434.0
2016-08-29,37.03,37.3,37.0,37.21,12917818.0
2016-08-30,37.48,37.61,37.34,37.45,12718664.0
2016-08-31,37.21,37.21,36.84,37.05,22296830.0
2016-09-01,37.35,37.46,37.09,37.33,16027348.0
2016-09-02,37.98,38.24,37.87,38.08,24376372.0
2016-09-06,38.65,38.75,38.44,38.66,22588907.0
2016-09-07,38.61,38.71,38.56,38.65,13427485.0
2016-09-08,38.83,39.13,38.81,39.02,37196720.0
2016-09-09,38.92,38.92,38.19,38.23,33442673.0
2016-09-12,37.5,38.39,37.47,38.28,29013420.0
2016-09-13,37.49,37.6,36.91,37.26,40523587.0
2016-09-14,37.45,37.68,37.25,37.26,24486401.0
2016-09-15,37.61,38.07,37.48,37.95,25348533.0
2016-09-16,37.68,37.81,37.44,37.73,21740929.0
2016-09-19,37.98,38.1,37.75,37.81,16969490.0
2016-09-20,38.11,38.17,37.89,37.89,13309674.0
2016-09-21,38.35,38.86,38.13,38.82,29226052.0
2016-09-22,38.93,39.07,38.85,38.96,19453637.0
2016-09-23,38.39,38.54,38.28,38.31,16478053.0
2016-09-26,37.74,37.81,37.52,37.52,21302684.0
2016-09-27,37.9,38.02,37.73,38.0,17986999.0
2016-09-28,38.16,38.34,37.77,38.32,16664699.0
2016-09-29,38.27,38.43,37.77,37.92,21940290.0
2016-09-30,37.83,38.19,37.75,38.01,19192902.0
2016-10-03,37.83,38.07,37.73,38.05,13187501.0
2016-10-04,38.21,38.24,37.66,37.74,17799296.0
2016-10-05,38.42,38.69,38.33,38.66,23217586.0
2016-10-06,38.58,38.86,38.51,38.8,12100034.0
2016-10-07,38.62,38.74,38.24,38.49,18520099.0
2016-10-10,38.73,39.16,38.68,39.04,20311383.0
2016-10-11,38.14,38.19,37.73,37.88,26877482.0
2016-10-12,37.71,37.89,37.61,37.83,16034054.0
2016-10-13,37.05,37.38,36.81,37.23,26440791.0
2016-10-14,37.67,37.78,37.48,37.59,20872328.0
2016-10-17,37.29,37.4,37.19,37.25,13330809.0
2016-10-18,37.98,38.0,37.79,37.86,15693686.0
2016-10-19,37.83,38.01,37.7,37.9,9950899.0
2016-10-20,37.77,37.97,37.71,37.85,8927109.0
2016-10-21,37.65,37.89,37.61,37.83,9429032.0
2016-10-24,38.23,38.3,38.02,38.11,9859674.0
2016-10-25,38.11,38.15,37.92,37.97,10770852.0
2016-10-26,37.59,37.76,37.45,37.59,13053835.0
2016-10-27,37.41,37.45,37.18,37.26,14736947.0
2016-10-28,36.96,37.15,36.65,36.85,24365349.0
2016-10-31,36.87,37.05,36.84,36.86,11416993.0
2016-11-01,37.47,37.51,36.78,37.1,24502702.0
2016-11-02,36.82,36.91,36.34,36.62,24420346.0
2016-11-03,36.76,36.81,36.45,36.56,15621299.0
2016-11-04,36.32,36.41,36.14,36.24,19377721.0
2016-11-07,37.14,37.51,37.12,37.36,24788256.0
2016-11-08,37.14,37.9,37.09,37.63,23073022.0
2016-11-09,36.6,37.13,36.56,36.74,48909335.0
2016-11-10,36.74,36.8,36.02,36.39,46039225.0
2016-11-11,35.74,36.09,35.53,35.98,28498628.0
2016-11-14,35.74,35.98,35.48,35.76,26510203.0
2016-11-15,35.97,36.4,35.93,36.26,24990904.0
2016-11-16,35.77,35.94,35.66,35.83,19616167.0
2016-11-17,35.86,36.11,35.84,35.97,14094453.0
2016-11-18,35.97,36.02,35.79,35.94,13194426.0
2016-11-21,36.22,36.33,36.15,36.24,11379132.0
2016-11-22,36.89,36.93,36.73,36.88,14964145.0
2016-11-23,36.64,36.81,36.6,36.74,12015139.0
2016-11-25,37.17,37.23,37.06,37.09,8110130.0
