Date,open,high,low,close,volume
2015-04-27,134.49,134.66,133.37,133.56,1069862.0
2015-04-28,133.28,133.66,132.19,133.48,1163439.0
2015-04-29,136.69,140.19,136.18,138.53,2788618.0
2015-04-30,137.91,139.16,136.79,137.32,2876880.0
2015-05-01,137.82,140.31,137.81,140.14,1885635.0
2015-05-04,139.84,140.99,138.93,140.6,1697224.0
2015-05-05,140.55,140.55,137.56,137.98,1649564.0
2015-05-06,138.6,138.72,137.16,137.63,1792779.0
2015-05-07,137.5,138.39,137.06,138.3,1156594.0
2015-05-08,140.1,141.96,138.75,141.66,1727624.0
2015-05-11,141.5,141.5,140.17,140.22,968213.0
2015-05-12,139.14,139.86,138.45,139.43,804107.0
2015-05-13,140.0,140.38,138.76,139.02,953333.0
2015-05-14,140.0,141.12,139.9,140.94,875464.0
2015-05-15,141.0,141.42,139.87,140.11,1277514.0
2015-05-18,140.2,140.73,139.87,140.28,1074534.0
2015-05-19,140.22,140.8,139.71,140.05,881124.0
2015-05-20,140.54,140.9,139.9,139.95,951451.0
2015-05-21,139.96,141.1,139.84,140.87,1248105.0
2015-05-22,139.88,140.36,138.77,139.64,1182935.0
2015-05-26,139.46,139.49,137.51,137.99,1092150.0
2015-05-27,138.65,140.99,138.53,140.56,1611697.0
2015-05-28,139.96,140.52,139.35,140.41,1134582.0
2015-05-29,140.51,140.53,138.77,140.16,1696860.0
2015-06-01,140.35,140.86,138.79,140.25,1221481.0
2015-06-02,139.62,141.09,138.55,140.6,932173.0
2015-06-03,140.79,141.85,140.25,140.68,1036886.0
2015-06-04,139.81,140.98,138.43,138.98,1586166.0
2015-06-05,138.5,139.62,137.58,139.22,873680.0
2015-06-08,139.17,140.0,138.32,138.34,1017968.0
2015-06-09,138.34,139.43,137.83,138.68,1274731.0
2015-06-10,138.68,141.9,138.68,141.54,1335415.0
2015-06-11,141.68,142.67,141.12,142.25,1414752.0
2015-06-12,141.76,142.29,140.23,142.05,1202175.0
2015-06-15,140.74,142.5,140.18,142.02,1403498.0
2015-06-16,141.71,144.19,141.66,143.23,1888190.0
2015-06-17,143.52,144.79,142.88,144.5,1391882.0
2015-06-18,144.66,147.03,144.66,145.99,1717453.0
2015-06-19,145.59,146.29,145.02,145.09,1453509.0
2015-06-22,145.7,146.07,144.35,145.37,1223415.0
2015-06-23,146.02,146.02,144.63,145.37,1293512.0
2015-06-24,145.25,146.1,144.69,145.52,1580167.0
2015-06-25,146.0,146.0,144.08,144.13,1140496.0
2015-06-26,144.56,146.04,144.29,145.74,2087418.0
2015-06-29,144.37,144.89,141.76,141.84,1617820.0
2015-06-30,142.41,142.79,140.68,141.69,1363378.0
2015-07-01,142.43,144.29,142.36,143.17,1217125.0
2015-07-02,143.8,144.12,142.71,143.15,1095407.0
2015-07-06,142.24,144.02,141.72,143.34,1304919.0
2015-07-07,143.56,143.7,141.45,143.65,1539348.0
2015-07-08,142.73,143.56,141.82,142.26,1561580.0
2015-07-09,143.8,144.73,143.69,143.88,1787038.0
2015-07-10,145.87,146.97,145.21,146.1,1703487.0
2015-07-13,147.23,147.56,145.9,146.23,1720532.0
2015-07-14,146.57,147.63,146.57,146.97,1787181.0
2015-07-15,147.15,147.74,146.73,147.25,1645967.0
2015-07-16,148.0,148.67,147.73,148.45,1315581.0
2015-07-17,148.6,148.84,146.99,148.65,1064755.0
2015-07-20,148.64,149.34,148.38,149.01,983125.0
2015-07-21,148.54,148.61,145.39,146.29,1439230.0
2015-07-22,146.11,146.37,144.16,145.22,2009485.0
2015-07-23,145.62,146.33,144.59,144.8,1467369.0
2015-07-24,144.81,144.83,142.31,142.62,1658988.0
2015-07-27,142.12,142.93,141.8,142.41,1466035.0
2015-07-28,142.94,145.87,142.87,144.29,2057727.0
2015-07-29,149.27,153.4,149.07,149.96,3997100.0
2015-07-30,149.95,151.21,149.65,150.28,1603612.0
2015-07-31,150.56,150.63,148.75,149.11,1260248.0
2015-08-03,149.13,149.58,147.66,148.85,916907.0
2015-08-04,148.7,149.91,147.64,148.8,895510.0
2015-08-05,149.75,150.83,149.53,149.82,809707.0
2015-08-06,150.11,150.4,148.48,149.46,813882.0
2015-08-07,149.28,149.98,148.43,149.72,951344.0
2015-08-10,150.67,152.37,150.67,151.96,1003986.0
2015-08-11,150.67,150.96,149.49,150.6,949166.0
2015-08-12,149.11,150.69,147.67,150.39,1227481.0
2015-08-13,150.13,151.08,149.54,150.54,842063.0
2015-08-14,150.41,151.7,149.7,151.61,712925.0
2015-08-17,151.08,153.0,150.83,152.85,1182074.0
2015-08-18,152.3,153.52,151.89,153.28,982175.0
2015-08-19,152.79,153.76,151.78,152.75,1284340.0
2015-08-20,151.85,152.11,148.86,148.93,1292536.0
2015-08-21,147.74,147.74,145.13,145.17,2646197.0
2015-08-24,136.01,146.07,132.02,140.81,2981692.0
2015-08-25,144.09,144.75,138.74,138.84,2161394.0
2015-08-26,141.85,144.15,139.2,144.05,1799329.0
2015-08-27,144.82,145.91,142.59,145.17,2050037.0
2015-08-28,144.53,145.37,143.39,144.53,1199739.0
2015-08-31,143.76,144.0,141.51,142.03,1219015.0
2015-09-01,139.94,140.63,138.28,138.89,2284218.0
2015-09-02,140.31,142.45,140.2,142.45,1098459.0
2015-09-03,142.66,144.54,142.46,143.41,1348106.0
2015-09-04,141.61,141.99,140.5,141.18,970198.0
2015-09-08,143.41,144.39,142.69,144.39,1365451.0
2015-09-09,145.58,145.85,142.18,142.47,1199141.0
2015-09-10,142.47,142.48,140.06,140.71,1587607.0
2015-09-11,140.25,141.9,140.02,141.88,1188468.0
2015-09-14,142.0,142.46,140.28,140.65,1055529.0
2015-09-15,141.01,142.09,140.13,141.79,1121295.0
2015-09-16,141.83,142.0,140.93,141.84,1146054.0
2015-09-17,142.01,143.76,141.27,141.56,1198559.0
2015-09-18,139.97,140.49,138.71,139.24,3049771.0
2015-09-21,139.54,140.58,138.89,139.72,892435.0
2015-09-22,138.02,138.79,137.42,137.95,1386528.0
2015-09-23,137.96,138.32,136.02,136.57,950789.0
2015-09-24,135.67,138.98,134.64,138.51,1966099.0
2015-09-25,139.23,139.82,137.4,138.02,1064055.0
2015-09-28,136.81,137.64,135.04,135.11,1757815.0
2015-09-29,134.83,135.85,134.1,135.59,1869612.0
2015-09-30,137.38,138.51,136.29,137.95,1552030.0
2015-10-01,138.0,138.79,136.42,138.18,1224414.0
2015-10-02,135.99,139.15,135.77,139.13,1167453.0
2015-10-05,140.48,144.41,140.24,144.12,1762518.0
2015-10-06,143.51,144.59,140.48,140.66,1780685.0
2015-10-07,140.82,142.14,139.59,140.36,1405777.0
2015-10-08,139.59,142.18,138.62,141.91,1097102.0
2015-10-09,141.91,143.49,141.87,142.72,1262925.0
2015-10-12,143.07,144.01,142.73,143.69,582520.0
2015-10-13,142.16,143.57,141.59,141.71,700053.0
2015-10-14,141.77,142.41,139.22,139.5,865365.0
2015-10-15,140.55,141.29,139.55,141.29,749848.0
2015-10-16,141.06,142.01,140.38,141.7,1055401.0
2015-10-19,140.93,141.32,140.37,141.25,952962.0
2015-10-20,141.19,141.71,140.54,141.25,978247.0
2015-10-21,142.0,144.83,141.66,143.09,1099568.0
2015-10-22,144.0,147.68,143.89,147.25,1330085.0
2015-10-23,148.25,148.8,147.39,148.28,1198439.0
2015-10-26,148.22,148.88,147.58,148.15,851775.0
2015-10-27,147.68,149.07,147.4,148.4,1612540.0
2015-10-28,150.87,152.51,147.21,150.78,2619362.0
2015-10-29,150.47,150.93,147.5,149.97,1677112.0
2015-10-30,150.35,150.94,147.28,148.58,2121347.0
2015-11-02,149.24,149.38,147.67,148.72,1647005.0
2015-11-03,147.58,148.1,146.17,147.17,1868015.0
2015-11-04,147.29,147.88,146.83,147.28,890712.0
2015-11-05,147.21,147.68,145.54,147.07,1272736.0
2015-11-06,146.69,146.99,144.84,145.92,1742141.0
2015-11-09,145.46,145.68,143.66,144.29,1164113.0
2015-11-10,143.73,144.73,142.5,143.94,1453165.0
2015-11-11,144.43,144.79,143.26,143.31,1219907.0
2015-11-12,143.01,143.01,141.62,141.85,1667462.0
2015-11-13,141.23,142.24,140.18,140.6,1578333.0
2015-11-16,141.25,143.36,141.08,143.28,1721071.0
2015-11-17,143.71,144.45,142.5,142.87,1424065.0
2015-11-18,143.29,143.97,142.28,143.71,1036844.0
2015-11-19,144.83,145.92,144.28,145.2,1486617.0
2015-11-20,146.25,146.72,145.39,145.5,1644218.0
2015-11-23,145.76,146.0,144.36,144.59,1011766.0
2015-11-24,143.87,146.01,143.64,145.53,1257064.0
2015-11-25,145.63,145.95,144.9,145.18,1157692.0
2015-11-27,145.53,145.99,145.14,145.56,542084.0
2015-11-30,146.5,147.59,146.0,146.46,1890229.0
2015-12-01,147.23,148.4,146.83,147.6,1616551.0
2015-12-02,147.41,147.49,145.23,145.35,1576407.0
2015-12-03,145.44,145.72,141.58,141.96,2988323.0
2015-12-04,142.45,144.27,142.37,143.84,1882766.0
2015-12-07,143.76,144.19,141.53,143.09,1782824.0
2015-12-08,142.17,142.57,140.85,142.0,1423159.0
2015-12-09,141.9,142.62,139.32,140.17,1653601.0
2015-12-10,140.2,141.04,139.51,140.0,1355323.0
2015-12-11,138.91,139.25,137.57,137.84,1301973.0
2015-12-14,138.33,139.3,137.06,139.19,1236947.0
2015-12-15,139.83,140.48,137.95,138.04,2178500.0
2015-12-16,137.74,140.09,136.42,139.64,2154028.0
2015-12-17,139.57,140.08,138.01,138.16,1180915.0
2015-12-18,137.4,138.12,136.08,136.71,2542124.0
2015-12-21,137.28,139.14,136.66,138.09,938450.0
2015-12-22,139.13,140.51,138.5,139.94,1278928.0
2015-12-23,140.43,140.87,139.44,139.89,967337.0
2015-12-24,139.73,140.19,139.49,139.84,358100.0
2015-12-28,139.75,140.16,138.3,139.59,731183.0
2015-12-29,140.64,141.29,139.74,140.34,776869.0
2015-12-30,140.23,140.61,138.85,139.26,765974.0
2015-12-31,138.5,138.74,136.62,137.36,786531.0
2016-01-04,135.62,136.1,134.81,136.07,1411618.0
2016-01-05,136.1,137.35,135.53,136.64,1525076.0
2016-01-06,135.0,136.13,134.08,135.26,1576185.0
2016-01-07,133.69,133.97,130.42,130.8,2096078.0
2016-01-08,130.94,132.21,129.87,130.19,2120855.0
2016-01-11,131.4,132.17,130.15,131.29,2080123.0
2016-01-12,132.44,132.89,131.03,132.49,1512600.0
2016-01-13,132.52,132.83,128.82,129.05,1398516.0
2016-01-14,129.13,130.15,127.36,129.04,1713322.0
2016-01-15,125.83,127.11,124.57,125.99,2844081.0
2016-01-19,126.9,128.1,126.1,127.38,1643680.0
2016-01-20,125.4,126.09,121.6,124.18,2161233.0
2016-01-21,124.38,125.61,123.69,124.32,1568315.0
2016-01-22,125.5,126.49,124.76,126.37,1195840.0
2016-01-25,126.01,126.33,124.43,124.6,1787858.0
2016-01-26,124.29,127.81,123.93,127.38,1777387.0
2016-01-27,124.11,135.34,122.67,129.0,5841527.0
2016-01-28,128.85,130.04,127.36,128.65,2504550.0
2016-01-29,129.15,134.23,129.15,133.77,3751566.0
2016-02-01,132.3,134.38,130.83,133.62,2793393.0
2016-02-02,132.68,133.94,131.99,133.53,2896669.0
2016-02-03,134.09,134.41,131.46,133.79,2046872.0
2016-02-04,133.76,136.09,133.14,135.35,2306265.0
2016-02-05,135.21,136.13,133.84,134.2,1799121.0
2016-02-08,132.32,132.73,130.73,132.26,1941097.0
2016-02-09,130.47,132.92,130.47,132.13,2205426.0
2016-02-10,132.53,134.37,132.5,133.07,1337243.0
2016-02-11,130.59,131.17,125.74,128.58,2580369.0
2016-02-12,129.64,130.55,127.68,130.18,1722094.0
2016-02-16,131.48,132.59,130.25,131.51,1620433.0
2016-02-17,132.24,135.48,132.24,135.03,1566343.0
2016-02-18,134.62,136.27,134.2,135.05,1359083.0
2016-02-19,134.89,136.0,134.32,135.26,1370409.0
2016-02-22,136.32,137.72,135.71,136.62,1209063.0
2016-02-23,135.94,137.19,135.27,135.91,1221869.0
2016-02-24,135.0,135.63,132.85,135.15,1371843.0
2016-02-25,135.52,137.35,135.31,137.24,1091439.0
2016-02-26,137.61,138.53,137.01,137.11,1752840.0
2016-02-29,136.9,137.55,135.55,136.27,2944268.0
2016-03-01,136.97,138.36,136.64,138.24,1291376.0
2016-03-02,137.69,138.12,133.57,135.61,2665237.0
2016-03-03,135.74,136.53,134.67,135.74,2012552.0
2016-03-04,135.74,136.52,134.88,135.28,1710244.0
2016-03-07,134.17,134.95,131.51,132.33,2097984.0
2016-03-08,131.28,132.27,130.74,131.4,1782193.0
2016-03-09,131.62,132.34,130.63,131.91,1503346.0
2016-03-10,132.8,134.26,131.94,133.57,2234647.0
2016-03-11,134.55,136.04,134.32,135.52,1496187.0
2016-03-14,134.94,135.56,134.13,134.21,1418190.0
2016-03-15,134.09,134.09,132.38,133.29,1468155.0
2016-03-16,133.28,134.43,132.54,133.99,1146604.0
2016-03-17,134.26,134.46,133.52,134.12,1617006.0
2016-03-18,134.49,136.08,134.17,135.45,2581235.0
2016-03-21,134.9,135.41,134.39,134.78,1152108.0
2016-03-22,134.68,135.98,134.02,135.24,954882.0
2016-03-23,135.2,135.52,134.09,134.32,785580.0
2016-03-24,132.4,132.4,127.74,129.08,3344361.0
2016-03-28,129.5,131.11,128.99,130.82,1786060.0
2016-03-29,130.79,132.19,130.06,131.86,1633783.0
2016-03-30,132.13,132.4,131.24,131.73,1400252.0
2016-03-31,131.57,131.82,130.42,131.37,1820296.0
2016-04-01,130.38,132.62,129.69,132.34,2060940.0
2016-04-04,132.29,133.06,131.52,131.69,1555301.0
2016-04-05,131.34,132.33,130.62,130.84,1488732.0
2016-04-06,129.79,131.85,129.55,131.72,1455082.0
2016-04-07,131.28,133.0,130.84,131.39,1419792.0
2016-04-08,132.42,133.8,132.29,132.91,1120784.0
2016-04-11,133.38,134.07,131.86,131.9,901837.0
2016-04-12,131.94,133.85,131.82,133.55,826841.0
2016-04-13,134.48,134.99,133.5,134.32,1387821.0
2016-04-14,134.12,134.44,132.9,133.57,1159867.0
2016-04-15,133.69,135.14,133.51,134.81,1158525.0
2016-04-18,134.62,136.51,134.34,136.29,1283500.0
2016-04-19,136.55,136.94,135.58,136.69,1568010.0
2016-04-20,136.74,139.04,136.6,136.71,1639002.0
2016-04-21,136.86,138.77,136.69,137.72,1493144.0
2016-04-22,138.03,138.43,136.44,137.9,1140928.0
2016-04-25,137.05,137.75,136.5,136.79,951482.0
2016-04-26,137.51,139.0,137.23,138.71,1468734.0
2016-04-27,139.0,144.15,138.6,143.61,2888131.0
2016-04-28,142.21,143.45,140.67,141.16,1782892.0
2016-04-29,140.1,140.83,139.0,140.52,1893673.0
2016-05-02,140.72,142.8,139.97,141.83,1529099.0
2016-05-03,141.14,142.82,140.07,142.34,1288867.0
2016-05-04,141.99,142.35,140.66,141.43,958214.0
2016-05-05,141.66,142.6,141.01,142.2,1429049.0
2016-05-06,141.99,143.67,141.73,143.44,1780881.0
2016-05-09,143.28,144.76,142.71,142.97,1399873.0
2016-05-10,143.74,145.8,143.59,145.71,1564991.0
2016-05-11,145.74,146.31,144.71,144.96,1380383.0
2016-05-12,144.74,145.98,144.29,145.31,1281287.0
2016-05-13,144.87,145.68,144.17,144.37,991235.0
2016-05-16,144.06,145.81,144.0,145.37,934433.0
2016-05-17,145.43,147.16,144.26,145.0,1557506.0
2016-05-18,144.31,145.92,143.41,144.31,1154389.0
2016-05-19,143.46,143.96,142.31,143.59,1234757.0
2016-05-20,144.48,144.94,143.72,144.62,1192121.0
2016-05-23,144.28,144.62,142.25,142.25,1627476.0
2016-05-24,142.75,143.36,142.72,142.96,1975627.0
2016-05-25,143.45,143.56,142.55,142.97,1349529.0
2016-05-26,142.95,143.28,142.47,142.83,951435.0
2016-05-27,142.8,143.43,142.79,143.13,761207.0
2016-05-31,143.54,143.91,141.54,141.87,1687433.0
2016-06-01,141.38,141.81,140.97,141.47,5111248.0
2016-06-02,140.92,141.47,139.99,140.13,2087039.0
2016-06-03,140.01,140.87,138.76,140.23,2602400.0
2016-06-06,140.53,141.25,140.04,140.34,976787.0
2016-06-07,140.75,141.81,140.56,141.06,1827114.0
2016-06-08,140.87,141.67,140.6,141.49,870546.0
2016-06-09,141.19,142.13,141.0,141.98,1347258.0
2016-06-10,141.17,142.09,141.02,141.53,1400764.0
2016-06-13,141.2,141.61,139.03,139.11,1388236.0
2016-06-14,138.99,139.46,138.3,139.43,1079252.0
2016-06-15,139.75,140.81,139.53,140.11,1462240.0
2016-06-16,139.54,140.65,138.43,139.76,943704.0
2016-06-17,139.9,140.08,138.08,138.99,1520400.0
2016-06-20,140.42,141.56,139.97,140.92,1897386.0
2016-06-21,141.22,141.58,139.41,139.41,1597285.0
2016-06-22,139.78,140.39,138.61,138.79,1359968.0
2016-06-23,140.15,140.15,138.87,139.78,1017859.0
2016-06-24,135.89,138.88,135.03,136.14,4483525.0
2016-06-27,135.0,135.45,133.81,134.23,140493.0
2016-06-28,134.56,134.56,132.81,133.94,1907529.0
2016-06-29,134.74,135.8,133.25,135.63,1299856.0
2016-06-30,135.82,139.54,135.81,139.24,2677003.0
2016-07-01,139.52,141.54,139.5,141.34,3942954.0
2016-07-05,140.93,141.0,137.79,138.41,1948706.0
2016-07-06,138.14,140.03,136.71,139.89,1998622.0
2016-07-07,139.69,140.9,138.36,138.69,1439251.0
2016-07-08,139.56,140.8,139.1,140.48,2033872.0
2016-07-11,140.56,141.95,140.56,141.19,1331416.0
2016-07-12,142.1,142.69,141.44,141.54,1853713.0
2016-07-13,141.7,142.42,141.41,141.73,1099008.0
2016-07-14,142.81,143.2,142.05,142.56,1111819.0
2016-07-15,142.91,143.0,142.04,142.09,1448430.0
2016-07-18,142.05,142.29,140.92,141.0,1278037.0
2016-07-19,141.0,143.68,140.87,143.31,2447383.0
2016-07-20,143.71,144.69,143.42,144.54,1511745.0
2016-07-21,144.61,144.62,142.18,142.86,986870.0
2016-07-22,142.59,143.89,142.13,143.77,827683.0
2016-07-25,143.28,143.96,142.53,143.72,1142034.0
2016-07-26,143.99,144.61,143.49,144.51,1312900.0
2016-07-27,146.07,147.67,143.58,146.63,2743009.0
2016-07-28,146.5,147.49,145.05,147.1,2150502.0
2016-07-29,146.46,147.19,145.69,146.89,1591399.0
2016-08-01,147.15,149.37,146.93,149.09,2237844.0
2016-08-02,148.59,149.31,147.37,148.22,1711312.0
2016-08-03,148.18,148.44,147.19,147.81,1192525.0
2016-08-04,147.96,148.38,146.82,147.37,1398653.0
2016-08-05,147.57,149.01,147.45,148.89,1138379.0
2016-08-08,148.56,149.16,147.8,148.11,833867.0
2016-08-09,148.14,148.87,148.1,148.57,918432.0
2016-08-10,149.59,151.6,149.59,151.47,2666258.0
2016-08-11,151.38,151.76,150.55,151.3,2151772.0
2016-08-12,150.73,151.75,150.73,151.47,1045005.0
2016-08-15,151.43,153.8,151.37,153.4,2128704.0
2016-08-16,152.75,153.35,152.02,152.4,1206312.0
2016-08-17,152.55,153.09,151.77,152.97,1155748.0
2016-08-18,152.91,153.2,151.77,152.43,1514050.0
2016-08-19,151.94,152.57,151.34,152.38,1152229.0
2016-08-22,152.37,152.58,151.79,152.22,1086274.0
2016-08-23,153.0,153.0,151.65,152.15,1352161.0
2016-08-24,151.83,152.53,151.42,152.29,1040471.0
2016-08-25,152.29,153.01,151.81,152.68,907970.0
2016-08-26,152.93,153.19,150.96,151.58,1153766.0
2016-08-29,151.48,152.9,151.39,152.82,954411.0
2016-08-30,152.69,153.0,151.89,152.56,665378.0
2016-08-31,152.56,152.7,151.61,152.22,1054206.0
2016-09-01,152.63,153.15,151.58,152.84,597431.0
2016-09-02,153.2,153.93,152.99,153.81,1041870.0
2016-09-06,153.74,154.98,153.59,154.63,992738.0
2016-09-07,154.48,154.74,152.79,153.11,1054164.0
2016-09-08,152.87,152.87,151.35,152.4,1000475.0
2016-09-09,151.6,151.68,149.9,149.91,1193578.0
2016-09-12,149.14,152.23,149.14,151.81,1006157.0
2016-09-13,150.99,151.63,150.1,150.6,920233.0
2016-09-14,150.57,151.97,149.48,149.83,1427659.0
2016-09-15,150.15,152.24,149.85,152.16,1221650.0
2016-09-16,151.55,151.66,149.57,150.75,1869328.0
2016-09-19,151.68,152.87,151.59,152.17,886944.0
2016-09-20,152.41,152.89,151.47,151.86,726799.0
2016-09-21,152.0,153.19,151.67,153.1,800701.0
2016-09-22,153.88,154.88,153.47,154.86,1161076.0
2016-09-23,152.04,154.36,150.0,153.81,876828.0
2016-09-26,153.47,154.88,153.07,153.87,1252583.0
2016-09-27,153.72,155.7,153.54,155.28,1412974.0
2016-09-28,155.77,156.2,155.1,156.01,1083328.0
2016-09-29,155.16,156.97,154.82,155.61,1771143.0
2016-09-30,156.36,156.95,154.69,155.16,1856826.0
2016-10-03,154.58,155.65,154.21,154.71,1325952.0
2016-10-04,155.46,155.61,152.87,153.55,1412952.0
2016-10-05,153.39,154.48,153.28,153.72,1142718.0
2016-10-06,153.8,154.43,153.13,154.14,1685067.0
2016-10-07,151.83,153.22,150.26,152.96,2063780.0
2016-10-10,153.53,154.26,152.58,152.89,1247717.0
2016-10-11,152.06,152.36,149.04,149.6,1693971.0
2016-10-12,149.61,150.56,149.55,150.0,1149844.0
2016-10-13,149.49,151.46,149.49,151.01,951293.0
2016-10-14,152.79,152.79,151.31,151.34,862647.0
2016-10-17,151.28,151.61,150.35,150.48,971613.0
2016-10-18,151.35,152.29,151.24,151.88,703763.0
2016-10-19,152.1,152.7,151.41,151.42,706846.0
2016-10-20,151.48,151.78,150.23,150.71,944035.0
2016-10-21,149.58,150.32,149.13,150.18,1245660.0
2016-10-24,151.17,152.18,151.0,151.44,905534.0
2016-10-25,151.21,153.05,151.21,152.59,1448672.0
2016-10-26,149.67,152.95,149.05,151.14,2783409.0
2016-10-27,151.58,151.67,149.1,150.13,1594045.0
2016-10-28,150.46,152.49,150.09,151.5,1500929.0
2016-10-31,152.03,152.21,150.72,150.74,1568305.0
2016-11-01,151.07,152.12,149.48,149.98,1529944.0
2016-11-02,149.69,151.12,149.56,149.67,1309433.0
2016-11-03,150.0,150.49,148.76,150.03,1458172.0
2016-11-04,150.03,151.1,149.66,149.81,1059625.0
2016-11-07,151.31,152.43,150.9,152.39,1425313.0
2016-11-08,152.26,154.33,152.06,153.78,1214892.0
2016-11-09,157.67,163.56,157.67,162.09,5322540.0
2016-11-10,162.47,166.81,162.47,166.51,3251792.0
2016-11-11,165.99,168.6,164.09,168.55,1725623.0
2016-11-14,169.86,171.19,168.56,170.19,2587448.0
2016-11-15,169.97,170.82,166.37,168.02,2508821.0
2016-11-16,167.72,167.89,165.29,165.84,1611686.0
2016-11-17,165.82,166.91,165.22,165.63,1553250.0
2016-11-18,165.51,167.36,164.97,166.62,1596944.0
2016-11-21,166.95,168.7,166.81,168.43,1523992.0
2016-11-22,169.7,170.38,168.42,170.18,1446399.0
2016-11-23,170.4,171.19,169.87,170.55,1432556.0
2016-11-25,170.78,172.23,170.46,172.08,627023.0
2016-11-28,172.24,173.55,172.0,172.67,1834339.0
2016-11-29,172.97,175.7,172.97,175.13,1640307.0
2016-11-30,175.42,176.45,174.7,175.35,2326611.0
2016-12-01,175.81,177.39,175.59,176.4,1691748.0
2016-12-02,176.5,178.73,176.3,178.67,1715405.0
2016-12-05,179.8,180.09,178.25,178.52,1744551.0
2016-12-06,177.59,178.77,176.34,178.09,1919295.0
