Date,open,high,low,close,volume
2015-04-27,47.43,47.75,46.79,46.85,5460281.0
2015-04-28,47.02,47.21,46.56,47.03,5253662.0
2015-04-29,46.8,47.08,46.56,46.79,3331348.0
2015-04-30,46.37,46.59,46.09,46.15,3811484.0
2015-05-01,46.11,46.12,45.76,45.97,3573188.0
2015-05-04,46.1,46.59,46.1,46.34,2664115.0
2015-05-05,46.36,46.44,45.56,45.6,3408156.0
2015-05-06,46.74,46.76,45.81,46.02,7365620.0
2015-05-07,44.66,44.68,44.0,44.22,9183392.0
2015-05-08,45.46,45.68,45.19,45.28,6011343.0
2015-05-11,45.97,46.05,45.61,45.72,4882904.0
2015-05-12,45.22,45.39,45.08,45.27,3592201.0
2015-05-13,44.9,45.03,44.52,44.53,3841928.0
2015-05-14,45.03,45.15,44.79,44.99,3076740.0
2015-05-15,44.64,44.81,44.44,44.77,2341655.0
2015-05-18,44.57,44.91,44.55,44.66,2577003.0
2015-05-19,44.53,44.86,44.49,44.68,2630739.0
2015-05-20,44.98,45.03,44.74,44.88,2616510.0
2015-05-21,45.64,45.65,45.36,45.56,3751727.0
2015-05-22,45.54,45.65,45.22,45.26,2915643.0
2015-05-26,44.53,44.56,43.72,43.84,4933320.0
2015-05-27,44.09,44.61,44.0,44.61,2956632.0
2015-05-28,44.49,44.81,44.39,44.79,1880458.0
2015-05-29,44.68,44.69,44.26,44.37,3180935.0
2015-06-01,44.41,44.46,44.0,44.15,2987493.0
2015-06-02,44.19,44.45,44.03,44.24,2432297.0
2015-06-03,44.02,44.25,44.0,44.03,5109157.0
2015-06-04,43.6,43.83,43.02,43.13,6695035.0
2015-06-05,42.76,42.79,42.52,42.56,5343908.0
2015-06-08,42.57,42.59,42.17,42.24,4173162.0
2015-06-09,42.22,42.34,41.95,42.16,3179992.0
2015-06-10,42.63,43.02,42.58,42.93,6211101.0
2015-06-11,43.13,43.35,42.92,43.2,3963811.0
2015-06-12,42.77,42.94,42.58,42.71,1811960.0
2015-06-15,41.99,42.22,41.91,42.15,3021317.0
2015-06-16,42.67,42.92,42.58,42.9,6114405.0
2015-06-17,42.86,42.97,42.53,42.89,3768494.0
2015-06-18,42.89,43.44,42.89,43.22,4567072.0
2015-06-19,43.12,43.23,43.02,43.06,3836750.0
2015-06-22,43.5,43.62,43.36,43.45,4818653.0
2015-06-23,43.41,43.54,43.25,43.38,3063219.0
2015-06-24,43.18,43.47,43.18,43.34,3488205.0
2015-06-25,43.23,43.57,43.1,43.51,5472806.0
2015-06-26,43.3,43.33,42.81,42.89,3694128.0
2015-06-29,42.59,42.77,42.0,42.03,2405139.0
2015-06-30,42.2,42.21,41.51,41.65,5270774.0
2015-07-01,42.22,42.36,41.95,42.14,2908839.0
2015-07-02,42.33,42.4,42.07,42.26,2103693.0
2015-07-06,41.94,42.16,41.78,41.95,2043273.0
2015-07-07,41.68,41.87,41.18,41.81,6787802.0
2015-07-08,41.59,41.64,41.27,41.36,2330868.0
2015-07-09,42.21,42.29,41.79,41.8,8898419.0
2015-07-10,42.47,42.6,42.25,42.45,4565555.0
2015-07-13,43.02,43.05,42.81,42.89,3699025.0
2015-07-14,43.27,43.4,43.06,43.34,6120609.0
2015-07-15,43.27,43.28,43.01,43.12,3715976.0
2015-07-16,43.03,43.2,43.0,43.1,2223094.0
2015-07-17,42.67,43.01,42.59,42.96,2789991.0
2015-07-20,42.98,43.17,42.84,43.02,4964684.0
2015-07-21,42.66,42.8,42.56,42.63,2846096.0
2015-07-22,42.27,42.4,42.15,42.3,2052208.0
2015-07-23,42.19,42.25,41.89,42.0,3088460.0
2015-07-24,41.98,41.99,41.28,41.39,2735432.0
2015-07-27,41.47,41.64,41.28,41.6,2638411.0
2015-07-28,41.45,41.77,41.25,41.71,3856219.0
2015-07-29,42.9,43.07,42.6,42.62,9238651.0
2015-07-30,43.27,43.65,43.1,43.59,7674843.0
2015-07-31,43.68,43.71,43.37,43.44,4171873.0
2015-08-03,43.6,43.7,43.2,43.51,2863286.0
2015-08-04,43.88,43.95,43.35,43.45,3037567.0
2015-08-05,43.86,44.3,43.76,44.17,3662239.0
2015-08-06,45.46,45.49,44.85,44.9,9319383.0
2015-08-07,44.66,44.85,44.44,44.82,3793565.0
2015-08-10,44.94,45.32,44.9,45.14,3820248.0
2015-08-11,44.59,44.83,44.56,44.78,4091576.0
2015-08-12,43.95,44.11,43.46,44.07,3732562.0
2015-08-13,44.12,44.2,43.8,43.89,4383475.0
2015-08-14,43.76,43.99,43.72,43.97,1868223.0
2015-08-17,43.86,44.21,43.76,44.16,1872748.0
2015-08-18,44.03,44.13,43.91,43.94,1884713.0
2015-08-19,43.59,43.62,43.13,43.3,2503810.0
2015-08-20,43.08,43.18,42.7,42.71,3136858.0
2015-08-21,42.15,42.3,41.21,41.23,3930613.0
2015-08-24,39.94,41.11,39.35,40.17,6125058.0
2015-08-25,41.08,41.11,39.41,39.41,4718831.0
2015-08-26,40.48,40.5,39.27,40.47,4751735.0
2015-08-27,40.76,41.33,40.68,41.21,3894015.0
2015-08-28,40.56,41.27,40.56,41.25,2737443.0
2015-08-31,41.1,41.38,40.91,40.93,1673016.0
2015-09-01,39.94,40.03,39.35,39.47,4560239.0
2015-09-02,40.68,40.76,40.16,40.64,4218050.0
2015-09-03,40.98,41.06,40.47,40.62,2419161.0
2015-09-04,39.72,39.86,39.45,39.69,2252622.0
2015-09-08,40.96,41.07,40.08,40.57,5637833.0
2015-09-09,40.7,40.77,39.75,39.85,3559260.0
2015-09-10,40.0,40.49,39.94,40.24,3259172.0
2015-09-11,40.07,40.28,39.98,40.26,2144769.0
2015-09-14,39.77,39.95,39.58,39.78,2328854.0
2015-09-15,39.63,40.08,39.52,40.04,4480281.0
2015-09-16,40.13,40.66,39.99,40.52,2794369.0
2015-09-17,40.1,40.81,40.03,40.41,2961583.0
2015-09-18,39.9,40.31,39.77,39.97,3092623.0
2015-09-21,40.29,40.4,39.65,39.81,4079683.0
2015-09-22,38.74,38.93,38.41,38.69,6752353.0
2015-09-23,39.15,39.2,38.75,38.83,2687555.0
2015-09-24,38.71,38.92,38.33,38.79,2919687.0
2015-09-25,39.4,39.45,38.22,38.48,3698875.0
2015-09-28,38.51,38.51,37.43,37.58,4591229.0
2015-09-29,37.41,37.86,37.24,37.56,4438886.0
2015-09-30,38.16,38.48,38.09,38.45,2980120.0
2015-10-01,39.02,39.13,38.28,38.74,3273320.0
2015-10-02,38.61,39.5,38.38,39.5,3370766.0
2015-10-05,39.64,39.98,39.63,39.96,2706414.0
2015-10-06,39.98,40.05,39.52,39.77,2652725.0
2015-10-07,39.69,39.85,39.3,39.72,3684231.0
2015-10-08,39.53,40.16,39.49,40.16,2772344.0
2015-10-09,40.09,40.32,39.86,40.22,5236294.0
2015-10-12,40.0,40.59,39.9,40.38,3978264.0
2015-10-13,40.31,40.7,40.04,40.11,12899074.0
2015-10-14,40.44,40.77,40.4,40.62,3140937.0
2015-10-15,41.0,41.54,40.85,41.54,3319832.0
2015-10-16,41.35,41.97,41.35,41.96,3037182.0
2015-10-19,41.72,41.98,41.46,41.74,3868944.0
2015-10-20,41.94,41.95,41.04,41.16,3218474.0
2015-10-21,41.07,41.13,40.52,40.86,4412501.0
2015-10-22,41.36,41.55,41.05,41.44,3159945.0
2015-10-23,41.89,42.28,41.84,42.11,3206115.0
2015-10-26,42.17,42.4,41.96,42.07,2756550.0
2015-10-27,41.9,42.17,41.65,41.75,3697880.0
2015-10-28,43.28,43.67,43.04,43.53,7897199.0
2015-10-29,42.87,43.0,42.63,42.79,8474252.0
2015-10-30,43.19,43.48,42.96,43.06,5615289.0
2015-11-02,43.06,43.28,42.97,43.11,3013014.0
2015-11-03,42.57,42.79,42.31,42.5,6821702.0
2015-11-04,43.07,43.15,42.43,42.6,4438490.0
2015-11-05,42.53,42.53,42.05,42.28,2567172.0
2015-11-06,41.96,42.03,41.54,41.92,5322511.0
2015-11-09,41.6,41.66,41.28,41.54,3592070.0
2015-11-10,40.84,41.05,40.59,40.96,3087734.0
2015-11-11,41.25,41.34,40.97,40.97,2290971.0
2015-11-12,40.63,40.72,40.05,40.05,3272792.0
2015-11-13,39.67,39.99,39.62,39.87,2899013.0
2015-11-16,39.85,40.26,39.78,40.23,2910507.0
2015-11-17,40.63,40.96,40.54,40.63,2988611.0
2015-11-18,40.8,41.03,40.69,41.0,3311345.0
2015-11-19,41.39,41.41,41.08,41.19,2932473.0
2015-11-20,41.48,41.6,41.1,41.12,2642719.0
2015-11-23,40.8,40.99,40.34,40.41,2937167.0
2015-11-24,40.04,40.44,40.01,40.39,3884136.0
2015-11-25,40.84,40.88,40.62,40.7,2925727.0
2015-11-27,41.03,41.16,40.94,40.96,1559866.0
2015-11-30,40.88,40.96,40.49,40.51,2944987.0
2015-12-01,40.71,40.94,40.51,40.92,3234986.0
