Date,open,high,low,close,volume
2015-04-27,48.21,48.87,48.17,48.43,12470450.0
2015-04-28,48.26,48.92,48.2,48.59,9286867.0
2015-04-29,48.49,49.57,48.24,49.21,13524672.0
2015-04-30,49.31,49.7,48.76,48.95,11358014.0
2015-05-01,48.89,49.3,48.42,49.11,10990943.0
2015-05-04,49.29,49.65,48.86,49.2,10512070.0
2015-05-05,49.72,50.2,47.99,48.04,18637312.0
2015-05-06,48.71,48.94,47.32,47.67,13152061.0
2015-05-07,47.17,47.21,46.08,46.35,18292400.0
2015-05-08,47.0,48.2,46.27,48.11,14689794.0
2015-05-11,47.98,48.0,46.93,47.19,13481484.0
2015-05-12,47.28,47.69,46.67,47.49,8929627.0
2015-05-13,47.62,47.9,47.2,47.29,10653548.0
2015-05-14,47.52,47.55,46.29,46.44,14036383.0
2015-05-15,46.31,46.88,45.78,46.7,10829979.0
2015-05-18,46.6,46.79,46.12,46.72,7456563.0
2015-05-19,46.08,46.3,45.02,45.07,15133273.0
2015-05-20,45.28,45.45,44.72,44.97,13406221.0
2015-05-21,45.33,46.36,45.29,46.16,15710640.0
2015-05-22,45.64,46.38,45.54,45.91,7731906.0
2015-05-26,45.27,45.91,45.24,45.45,9136410.0
2015-05-27,45.35,45.91,44.81,45.62,10319100.0
2015-05-28,45.5,45.59,44.91,45.35,7069035.0
2015-05-29,45.47,45.97,45.36,45.4,9413311.0
2015-06-01,45.35,45.54,45.04,45.24,7534214.0
2015-06-02,45.36,46.4,45.2,45.92,9752137.0
2015-06-03,45.85,46.58,45.57,45.62,7405272.0
2015-06-04,45.16,45.46,44.68,44.71,11908160.0
2015-06-05,44.56,46.13,44.37,45.73,12006092.0
2015-06-08,45.65,46.14,45.23,45.42,8775091.0
2015-06-09,45.8,46.07,45.26,45.28,8129905.0
2015-06-10,45.85,46.69,45.78,46.24,11692209.0
2015-06-11,46.59,46.6,45.57,45.62,6894182.0
2015-06-12,45.43,45.79,45.24,45.48,5391862.0
2015-06-15,45.01,45.89,44.66,45.55,9489599.0
2015-06-16,45.46,45.78,45.31,45.42,8295398.0
2015-06-17,45.87,46.38,45.42,45.71,8943322.0
2015-06-18,46.02,46.19,44.34,44.58,17803175.0
2015-06-19,44.28,44.65,43.56,43.85,16995933.0
2015-06-22,43.92,44.21,43.45,44.11,10626566.0
2015-06-23,43.85,44.56,43.83,44.49,10558830.0
2015-06-24,44.16,44.67,44.11,44.25,9816260.0
2015-06-25,44.16,44.23,43.5,43.5,8676028.0
2015-06-26,43.5,43.52,42.76,43.12,21848410.0
