Date,open,high,low,close,volume
2015-04-27,170.89,171.49,170.3,170.73,3168600.0
2015-04-28,170.83,174.69,170.02,173.92,5816700.0
2015-04-29,173.4,175.13,172.8,174.4,4518400.0
2015-04-30,173.77,174.28,170.3,171.29,5062900.0
2015-05-01,173.2,174.0,172.42,173.67,3312100.0
2015-05-04,174.47,176.3,173.7,173.97,4028000.0
2015-05-05,173.51,174.23,171.96,173.08,3593600.0
2015-05-06,172.9,174.05,168.86,170.05,3612600.0
2015-05-07,169.63,171.98,169.04,170.99,2472000.0
2015-05-08,172.94,173.33,172.24,172.68,3092600.0
2015-05-11,172.65,172.99,170.86,171.12,2661000.0
2015-05-12,170.55,171.49,168.84,170.55,2962400.0
2015-05-13,171.24,172.74,170.75,172.28,2457500.0
2015-05-14,173.5,174.4,173.22,174.05,2439100.0
2015-05-15,173.91,174.41,172.6,173.26,2916600.0
2015-05-18,173.44,173.49,172.3,173.06,1970600.0
2015-05-19,172.97,173.75,171.93,173.48,2523000.0
2015-05-20,173.33,174.44,172.46,173.76,2300300.0
2015-05-21,173.32,174.14,173.04,173.34,2295600.0
2015-05-22,173.04,173.39,172.19,172.22,2849700.0
2015-05-26,172.11,172.12,169.13,170.13,3854200.0
2015-05-27,171.16,172.48,170.49,172.0,2764400.0
2015-05-28,171.45,171.84,170.66,171.71,1731400.0
2015-05-29,171.35,171.35,169.65,169.65,4092000.0
2015-06-01,170.21,171.04,169.03,170.18,2985500.0
2015-06-02,169.66,170.45,168.43,169.65,2571400.0
2015-06-03,170.5,171.56,169.63,169.92,2131000.0
2015-06-04,169.53,170.6,167.93,168.38,3079300.0
2015-06-05,168.25,168.91,167.2,167.4,3100500.0
2015-06-08,167.17,167.28,165.02,165.34,3758700.0
2015-06-09,165.34,166.02,163.37,165.68,3395900.0
2015-06-10,166.49,169.39,166.06,168.92,4680500.0
2015-06-11,169.26,170.44,168.54,168.78,3464000.0
2015-06-12,168.23,168.3,166.69,166.99,3065100.0
2015-06-15,166.99,166.99,164.25,166.26,4245700.0
2015-06-16,166.33,167.4,165.91,166.84,3249800.0
2015-06-17,167.0,167.85,166.1,167.17,2863000.0
2015-06-18,167.05,168.72,167.05,168.25,3330900.0
2015-06-19,167.62,168.42,166.77,166.99,7074000.0
2015-06-22,167.65,168.34,167.2,167.73,2335800.0
2015-06-23,168.38,169.97,167.57,168.62,3701600.0
2015-06-24,168.71,168.84,166.83,166.97,3548100.0
2015-06-25,167.8,168.13,166.08,166.08,2408900.0
2015-06-26,166.23,166.81,165.23,165.46,8946000.0
2015-06-29,163.92,165.35,162.89,162.97,3314700.0
2015-06-30,163.99,164.0,162.12,162.66,3597300.0
2015-07-01,163.97,165.61,163.6,164.49,3214500.0
2015-07-02,165.05,165.32,164.42,165.09,2852700.0
2015-07-06,163.83,165.23,163.52,164.73,3079800.0
2015-07-07,164.94,165.35,162.23,165.0,3549900.0
2015-07-08,164.0,164.94,162.68,163.16,2776300.0
2015-07-09,165.34,165.51,163.7,163.85,4199700.0
2015-07-10,165.66,167.4,165.52,166.95,4538300.0
2015-07-13,167.93,169.89,167.52,169.38,4229000.0
2015-07-14,169.43,169.54,168.24,168.61,3025300.0
2015-07-15,168.48,169.27,168.0,168.53,1998000.0
2015-07-16,169.47,171.09,169.16,171.0,3529900.0
2015-07-17,170.33,172.52,170.1,172.51,4356400.0
2015-07-20,172.79,173.78,172.14,173.22,7377800.0
2015-07-21,164.34,166.35,162.02,163.07,13752300.0
2015-07-22,162.73,163.07,159.7,160.35,7181800.0
2015-07-23,160.27,162.75,159.83,161.73,5034200.0
2015-07-24,161.29,161.93,159.41,159.75,3778200.0
2015-07-27,159.0,160.18,158.6,159.07,3706200.0
2015-07-28,159.91,160.19,158.5,160.05,2721000.0
2015-07-29,160.0,161.5,159.39,161.09,3378400.0
