Date,open,high,low,close,volume
2017-11-09,59.11,59.11,58.14,58.79,290293.0
2017-11-10,58.87,58.93,58.12,58.21,337697.0
2017-11-13,58.5,59.15,58.29,58.99,453521.0
2017-11-14,58.73,58.99,57.63,57.91,448885.0
2017-11-15,57.52,58.61,56.99,58.57,640821.0
2017-11-16,59.08,59.98,59.01,59.84,620632.0
2017-11-17,60.06,60.48,59.82,60.12,297497.0
2017-11-20,60.58,61.0,60.39,60.57,868594.0
2017-11-21,61.15,61.57,60.96,61.11,712411.0
2017-11-22,61.39,61.59,61.13,61.26,815126.0
2017-11-24,60.72,60.84,60.3,60.53,314514.0
2017-11-27,60.35,60.4,59.34,59.35,868918.0
2017-11-28,59.61,59.7,58.73,58.95,674281.0
2017-11-29,58.74,58.74,56.05,56.98,1202692.0
2017-11-30,57.19,57.23,56.39,56.65,411303.0
2017-12-01,55.97,56.43,55.49,55.65,816535.0
2017-12-04,56.54,56.64,54.54,55.02,688753.0
2017-12-05,54.6,55.36,54.01,54.87,754594.0
2017-12-06,54.0,54.96,53.99,54.82,418719.0
2017-12-07,54.98,55.7,54.78,55.39,346808.0
2017-12-08,56.51,56.97,55.75,55.81,1437965.0
2017-12-11,56.39,57.07,56.3,57.06,574455.0
2017-12-12,56.47,56.55,55.52,55.76,1275360.0
2017-12-13,56.25,57.3,56.21,57.17,736770.0
2017-12-14,56.97,57.12,56.36,56.44,437172.0
2017-12-15,56.69,56.96,56.15,56.93,2899762.0
2017-12-18,58.48,59.07,58.29,59.0,870492.0
2017-12-19,58.77,59.0,58.27,58.41,560041.0
2017-12-20,58.48,58.58,57.63,58.1,177142.0
2017-12-21,58.53,59.25,58.41,58.98,417328.0
2017-12-22,59.09,59.16,58.63,58.87,165839.0
2017-12-26,58.77,58.89,58.1,58.49,158510.0
2017-12-27,58.54,59.01,58.3,58.78,278478.0
2017-12-28,59.11,59.18,58.52,58.57,129081.0
2017-12-29,58.92,58.92,58.42,58.61,186053.0
2018-01-02,59.28,61.37,59.28,61.32,780133.0
2018-01-03,61.85,61.93,61.37,61.69,604545.0
2018-01-04,62.25,62.61,61.92,62.28,629118.0
2018-01-05,62.61,63.4,62.58,63.39,530339.0
2018-01-08,63.44,64.25,63.41,64.15,945891.0
2018-01-09,64.53,64.7,63.68,64.23,511193.0
2018-01-10,63.6,63.68,62.92,63.34,417567.0
2018-01-11,63.49,63.66,63.28,63.65,323393.0
2018-01-12,63.91,64.24,63.7,64.08,453289.0
2018-01-16,64.72,65.39,63.49,63.74,681887.0
2018-01-17,64.25,65.02,63.88,64.81,555042.0
2018-01-18,64.95,65.0,64.35,64.73,769509.0
2018-01-19,65.22,65.42,64.8,65.11,320680.0
2018-01-22,65.11,65.44,64.66,65.32,544121.0
2018-01-23,65.4,65.97,65.06,65.95,453076.0
2018-01-24,66.22,66.95,65.4,66.15,1250951.0
2018-01-25,66.25,67.0,65.85,66.84,823893.0
2018-01-26,67.43,68.39,67.39,68.34,1039181.0
2018-01-29,67.94,67.99,67.09,67.09,624390.0
2018-01-30,65.8,65.8,64.76,65.35,856352.0
2018-01-31,66.51,66.71,65.71,66.05,551482.0
2018-02-01,64.74,65.89,64.31,64.57,734631.0
2018-02-02,64.36,64.42,62.48,62.52,755482.0
2018-02-05,61.69,63.46,60.36,60.49,1232831.0
2018-02-06,58.86,61.47,58.09,61.32,997770.0
2018-02-07,60.56,61.27,59.94,59.96,599927.0
2018-02-08,60.27,60.67,57.25,57.32,867814.0
2018-02-09,57.92,58.8,56.02,58.52,1015530.0
2018-02-12,59.33,60.13,58.76,59.98,1024424.0
2018-02-13,60.31,61.71,60.1,61.47,948009.0
2018-02-14,61.61,64.27,61.58,64.26,1331880.0
2018-02-15,65.14,65.59,63.77,65.01,825695.0
2018-02-16,64.91,65.11,64.08,64.22,454047.0
2018-02-20,64.08,65.2,63.85,64.81,1533921.0
2018-02-21,65.56,66.46,65.0,65.24,683540.0
2018-02-22,65.54,65.73,64.38,64.65,566495.0
2018-02-23,65.44,66.51,65.17,66.5,452400.0
2018-02-26,66.63,66.75,65.53,65.76,695521.0
2018-02-27,65.17,65.48,63.75,63.79,646327.0
2018-02-28,64.23,64.3,63.26,63.39,412827.0
2018-03-01,64.18,64.45,62.18,62.83,464461.0
2018-03-02,62.0,64.02,61.27,63.99,476980.0
2018-03-05,63.19,64.21,62.74,64.03,317456.0
2018-03-06,65.12,65.18,63.97,64.74,305420.0
2018-03-07,64.3,65.6,64.2,65.51,431868.0
2018-03-08,66.0,66.38,65.29,65.74,228679.0
