Date,open,high,low,close,volume
2015-04-27,71.93,72.17,70.63,70.89,5317154.0
2015-04-28,70.62,71.28,70.2,71.18,4545042.0
2015-04-29,71.86,72.82,71.84,72.28,6761470.0
2015-04-30,71.96,72.6,71.43,71.87,5432199.0
2015-05-01,72.26,73.33,71.25,73.12,6533163.0
2015-05-04,73.25,73.59,72.85,73.05,4031322.0
2015-05-05,72.83,72.97,71.82,71.91,3574230.0
2015-05-06,71.97,72.28,71.54,72.05,3562706.0
2015-05-07,71.75,72.29,71.71,71.82,3625168.0
2015-05-08,72.5,73.7,72.5,73.26,2818278.0
2015-05-11,73.26,73.99,73.19,73.47,2953490.0
2015-05-12,73.14,73.14,72.31,72.44,3149309.0
2015-05-13,72.76,73.23,72.48,72.8,2675812.0
2015-05-14,72.68,73.22,72.43,73.06,3360951.0
2015-05-15,73.23,73.42,72.59,72.9,3462223.0
2015-05-18,73.05,73.09,72.62,72.94,2160967.0
2015-05-19,72.82,73.58,72.63,73.45,3545319.0
2015-05-20,73.45,73.69,73.18,73.36,1975600.0
2015-05-21,73.34,74.35,73.18,74.27,3283198.0
2015-05-22,74.05,74.33,73.87,74.3,3020783.0
2015-05-26,73.96,74.37,73.82,74.31,4183186.0
2015-05-27,74.36,74.98,74.14,74.9,2895891.0
2015-05-28,74.8,76.48,74.74,76.41,4793094.0
2015-05-29,76.15,79.55,76.02,78.9,11837047.0
2015-06-01,78.92,79.85,78.78,79.0,4852973.0
2015-06-02,78.76,78.76,77.51,77.95,4456388.0
2015-06-03,78.0,78.17,77.28,77.83,3267142.0
2015-06-04,77.34,78.6,77.33,77.68,3777575.0
2015-06-05,77.56,78.26,76.99,78.12,2784281.0
2015-06-08,77.98,78.85,77.83,78.52,6056550.0
2015-06-09,78.37,82.89,78.01,82.77,10029434.0
2015-06-10,81.99,83.49,81.31,83.18,13157503.0
2015-06-11,83.11,87.24,83.08,86.59,16665838.0
2015-06-12,85.89,86.0,83.09,84.21,12582776.0
2015-06-15,83.57,84.61,83.09,84.08,5429022.0
2015-06-16,83.91,85.32,83.63,84.78,5694505.0
2015-06-17,84.68,84.68,83.01,83.53,5965447.0
2015-06-18,83.89,84.37,82.75,83.04,7249953.0
2015-06-19,82.47,83.21,82.32,82.63,6818973.0
2015-06-22,83.3,83.44,82.85,82.92,3516898.0
2015-06-23,83.75,83.75,82.45,82.67,3638469.0
2015-06-24,82.5,83.08,82.26,82.26,4204678.0
2015-06-25,84.16,86.9,84.08,84.8,9616796.0
2015-06-26,85.19,85.93,84.58,85.85,9238511.0
2015-06-29,85.35,85.58,83.73,83.78,4429934.0
2015-06-30,84.5,84.57,83.38,83.49,4239890.0
