Date,open,high,low,close,volume
2015-04-27,77.07,77.83,76.18,76.33,2481597.0
2015-04-28,76.21,76.86,75.33,76.39,1723285.0
2015-04-29,75.83,76.99,75.77,76.38,1793291.0
2015-04-30,76.03,76.6,75.02,75.58,1584215.0
2015-05-01,76.09,77.35,76.01,77.22,1482807.0
2015-05-04,77.2,77.42,76.76,76.89,1109595.0
2015-05-05,76.6,76.6,75.2,75.6,1731182.0
2015-05-06,75.78,76.48,74.53,75.2,1522047.0
2015-05-07,74.96,75.76,74.75,75.45,1717960.0
2015-05-08,75.97,77.15,75.76,77.02,1438028.0
2015-05-11,77.18,78.79,76.71,78.11,1937636.0
2015-05-12,77.8,77.8,75.84,76.8,1421670.0
2015-05-13,76.86,77.95,76.86,77.24,1182265.0
2015-05-14,77.68,78.55,77.29,78.24,1670909.0
2015-05-15,78.66,79.53,78.5,78.73,1329679.0
2015-05-18,79.41,79.74,78.77,79.46,1271790.0
2015-05-19,80.03,82.42,80.0,80.78,2436592.0
2015-05-20,80.78,81.18,80.11,80.36,1423154.0
2015-05-21,80.32,81.41,80.02,81.23,1178269.0
2015-05-22,80.99,81.99,80.98,81.08,1585141.0
2015-05-26,80.71,81.55,79.94,80.41,1468781.0
2015-05-27,80.57,82.93,80.33,82.66,2627282.0
2015-05-28,82.61,83.35,82.1,82.38,1229718.0
2015-05-29,82.38,83.15,81.9,82.2,1899643.0
2015-06-01,82.77,83.77,82.29,83.39,2971573.0
2015-06-02,82.93,84.02,82.3,83.28,2114053.0
2015-06-03,83.5,83.92,82.93,83.52,2160980.0
2015-06-04,82.89,83.46,82.31,82.97,1446647.0
2015-06-05,83.07,83.7,82.2,83.44,1085503.0
2015-06-08,84.0,84.01,81.97,82.26,1407270.0
2015-06-09,82.04,82.63,80.69,81.98,1939909.0
2015-06-10,82.55,82.84,82.02,82.63,1143083.0
2015-06-11,83.0,83.38,82.22,82.55,1018744.0
2015-06-12,82.03,82.3,81.22,81.46,1041034.0
2015-06-15,80.91,81.29,79.53,81.26,2442106.0
2015-06-16,81.16,82.59,80.97,82.55,1416814.0
2015-06-17,82.06,82.96,81.93,82.24,1816989.0
2015-06-18,82.62,84.15,82.52,83.84,1507625.0
2015-06-19,83.99,84.39,83.19,83.23,1719958.0
2015-06-22,83.77,84.23,82.79,83.67,1078797.0
2015-06-23,83.63,84.24,83.34,83.78,1203360.0
