Date,open,high,low,close,volume
2015-04-27,29.4,29.6,28.97,29.06,101692.0
2015-04-28,29.14,29.89,29.11,29.84,133372.0
2015-04-29,29.78,30.1,29.38,29.46,50322.0
2015-04-30,26.85,27.61,26.03,27.05,839845.0
2015-05-01,27.08,27.22,26.75,27.15,230778.0
2015-05-04,27.41,28.03,27.38,27.93,263077.0
2015-05-05,28.0,28.06,27.0,27.45,188056.0
2015-05-06,27.6,29.31,27.11,27.65,354190.0
2015-05-07,27.62,28.11,27.46,27.86,148051.0
2015-05-08,28.05,28.41,27.82,28.38,126281.0
2015-05-11,28.28,28.52,28.14,28.35,213713.0
2015-05-12,28.17,28.65,27.87,28.24,66751.0
2015-05-13,28.21,28.57,28.03,28.37,81743.0
2015-05-14,28.44,28.88,28.43,28.74,120766.0
2015-05-15,28.74,28.87,28.14,28.71,141541.0
2015-05-18,28.75,28.77,28.48,28.76,59804.0
2015-05-19,28.71,28.92,28.45,28.63,61028.0
2015-05-20,28.64,28.99,28.48,28.79,227376.0
2015-05-21,28.62,28.83,28.39,28.59,78179.0
2015-05-22,28.65,28.73,28.23,28.64,135198.0
2015-05-26,28.52,28.71,28.19,28.48,135457.0
2015-05-27,28.64,29.41,28.26,29.31,195451.0
2015-05-28,29.19,29.27,28.45,29.13,241897.0
2015-05-29,29.2,29.22,28.49,28.86,127427.0
2015-06-01,28.9,29.35,28.54,28.84,125444.0
2015-06-02,28.8,29.12,28.68,29.01,247759.0
2015-06-03,29.0,29.75,28.77,29.68,143387.0
2015-06-04,29.54,29.89,29.41,29.71,154428.0
2015-06-05,29.7,30.23,29.38,30.06,326888.0
2015-06-08,29.91,30.51,29.73,29.8,233876.0
2015-06-09,29.74,29.97,29.32,29.92,159487.0
2015-06-10,29.9,30.66,29.86,30.37,340283.0
2015-06-11,30.31,30.86,30.23,30.53,277566.0
2015-06-12,30.35,30.49,30.17,30.22,158442.0
2015-06-15,29.0,30.22,28.86,30.11,207396.0
2015-06-16,30.14,30.44,29.8,30.21,186540.0
2015-06-17,30.25,30.52,29.9,30.04,142620.0
2015-06-18,30.19,30.49,30.14,30.22,116128.0
2015-06-19,30.3,30.52,30.06,30.42,242867.0
2015-06-22,30.5,30.73,30.14,30.28,208575.0
2015-06-23,30.36,30.45,29.8,29.99,186505.0
2015-06-24,29.99,30.43,29.4,29.45,109669.0
2015-06-25,28.95,29.55,28.95,29.13,167110.0
2015-06-26,29.08,29.29,28.64,28.81,868027.0
2015-06-29,28.91,28.99,28.37,28.44,200395.0
2015-06-30,28.73,28.73,28.32,28.71,157181.0
2015-07-01,29.09,29.41,28.58,29.02,124106.0
2015-07-02,29.13,29.17,28.73,28.87,67357.0
2015-07-06,28.52,28.83,28.46,28.83,111908.0
2015-07-07,28.74,28.98,28.08,28.67,101258.0
2015-07-08,28.36,28.39,27.96,28.1,86856.0
