Date,open,high,low,close,volume
2015-04-27,52.14,52.15,51.3,51.4,6451800.0
2015-04-28,51.25,51.71,51.16,51.71,6596600.0
2015-04-29,51.39,51.56,50.06,50.2,11261300.0
2015-04-30,50.15,50.3,49.83,50.05,10130900.0
2015-05-01,50.12,50.67,50.11,50.66,5958300.0
2015-05-04,50.9,50.9,50.45,50.68,4963100.0
2015-05-05,50.5,50.58,50.15,50.35,4968700.0
2015-05-06,50.43,50.78,50.13,50.68,7011100.0
2015-05-07,50.48,51.36,50.42,51.24,5127300.0
2015-05-08,51.61,52.44,51.53,52.17,5545500.0
2015-05-11,52.2,52.31,51.29,51.34,5396500.0
2015-05-12,50.79,51.29,50.71,51.15,5850100.0
2015-05-13,51.23,51.48,50.89,51.0,5759100.0
2015-05-14,51.41,52.63,51.38,52.6,6822000.0
2015-05-15,52.56,52.88,52.56,52.82,5023000.0
2015-05-18,52.61,52.8,51.93,51.95,4937700.0
2015-05-19,52.03,52.03,51.63,51.78,4764700.0
2015-05-20,51.94,52.28,51.78,51.8,4430600.0
2015-05-21,51.84,51.84,51.22,51.64,6577600.0
2015-05-22,51.5,51.57,51.2,51.23,4141800.0
2015-05-26,51.23,51.45,50.99,51.28,5673300.0
2015-05-27,51.4,52.03,51.24,51.83,5564700.0
2015-05-28,51.94,52.01,51.5,51.62,4634400.0
2015-05-29,51.45,51.73,51.12,51.2,7490800.0
2015-06-01,51.29,51.48,50.85,51.2,3842200.0
2015-06-02,51.04,51.07,50.51,50.63,4778800.0
2015-06-03,50.91,50.93,50.25,50.35,5866300.0
2015-06-04,50.26,50.39,49.78,49.88,6077400.0
2015-06-05,49.71,49.71,48.1,48.21,10415100.0
2015-06-08,48.17,48.51,47.78,48.32,7983800.0
2015-06-09,48.35,48.77,48.12,48.56,6326300.0
2015-06-10,48.68,49.64,48.68,49.22,10217600.0
2015-06-11,48.7,48.81,48.27,48.33,7135100.0
2015-06-12,48.26,48.3,47.31,48.04,8740600.0
2015-06-15,47.71,48.12,47.52,47.54,6494900.0
2015-06-16,47.66,48.14,47.47,48.02,4561300.0
2015-06-17,48.01,48.73,47.99,48.56,5714500.0
2015-06-18,48.68,49.65,48.66,49.46,6494500.0
2015-06-19,49.29,49.64,49.23,49.32,8188700.0
2015-06-22,49.58,49.88,49.54,49.79,5805200.0
2015-06-23,49.99,49.99,49.04,49.08,5248100.0
2015-06-24,49.12,49.25,48.96,48.97,6505500.0
2015-06-25,49.06,49.27,48.96,49.16,5807800.0
2015-06-26,49.29,49.67,49.17,49.48,7631700.0
2015-06-29,49.25,49.51,48.64,48.67,7300100.0
2015-06-30,48.97,49.28,48.57,48.91,8247300.0
2015-07-01,49.09,49.26,48.74,49.1,4897100.0
2015-07-02,49.28,49.45,48.7,48.99,4575100.0
2015-07-06,48.88,49.89,48.76,49.87,7862700.0
2015-07-07,49.97,51.82,49.94,51.68,13341000.0
2015-07-08,51.32,51.49,50.95,51.03,8154600.0
2015-07-09,51.63,51.8,50.93,50.95,7010000.0
2015-07-10,51.48,51.78,51.23,51.31,7263100.0
2015-07-13,51.56,51.8,51.26,51.33,8124400.0
2015-07-14,51.33,51.46,51.21,51.35,7433200.0
2015-07-15,51.36,51.52,51.13,51.23,6862400.0
2015-07-16,51.58,53.36,51.52,52.91,12569300.0
2015-07-17,52.77,53.34,52.52,53.22,7806000.0
2015-07-20,53.24,53.84,53.23,53.71,6572600.0
