Date,open,high,low,close,volume
2021-10-29,11.05,11.25,10.2,10.95,304182.0
2021-11-01,10.6,13.4999,10.56,12.78,1908501.0
2021-11-02,13.54,15.32,9.141,9.97,2357555.0
2021-11-03,9.36,9.77,8.12,8.43,816666.0
2021-11-04,8.45,8.98,8.31,8.44,338614.0
2021-11-05,8.25,9.18,8.2,9.04,407498.0
2021-11-08,9.05,10.67,8.71,9.81,425478.0
2021-11-09,9.95,10.095,8.89,9.17,184867.0
2021-11-10,8.95,9.77,8.75,9.49,301550.0
2021-11-11,9.99,10.58,9.14,9.88,164340.0
2021-11-12,10.0,10.0,9.06,9.12,85915.0
2021-11-15,8.99,9.39,8.78,9.2,100294.0
2021-11-16,9.36,9.36,8.76,9.04,57481.0
2021-11-17,8.94,9.06,8.696,9.04,63599.0
2021-11-18,9.03,9.03,7.98,7.98,129737.0
2021-11-19,8.25,8.37,7.11,8.02,172661.0
2021-11-22,7.85,8.85,7.85,8.74,101655.0
2021-11-23,8.58,8.74,7.66,7.96,208906.0
2021-11-24,7.98,8.2,7.8,7.93,91082.0
2021-11-26,7.88,8.22,7.37,8.0,104685.0
2021-11-29,8.0,8.695,7.83,8.32,237506.0
2021-11-30,8.44,8.44,7.74,8.12,234671.0
2021-12-01,8.06,8.315,7.69,7.77,196355.0
2021-12-02,7.64,7.87,7.115,7.5,180212.0
2021-12-03,7.45,7.69,7.11,7.41,260223.0
2021-12-06,7.48,8.055,6.11,6.53,395732.0
2021-12-07,6.53,7.67,6.53,7.24,214862.0
2021-12-08,7.11,7.755,6.791,7.21,266513.0
2021-12-09,7.45,8.09,7.25,7.94,236035.0
2021-12-10,7.92,8.05,7.51,7.79,92654.0
2021-12-13,7.67,8.03,7.49,7.65,72434.0
2021-12-14,7.55,7.99,7.1335,7.52,118102.0
2021-12-15,7.5,7.84,7.32,7.81,283171.0
2021-12-16,7.95,8.49,7.715,8.22,350418.0
2021-12-17,8.15,8.83,8.0,8.16,1117595.0
2021-12-20,8.04,8.24,7.62,8.06,234114.0
2021-12-21,8.4,8.4,7.8055,8.05,210896.0
2021-12-22,8.12,8.35,8.01,8.27,38682.0
2021-12-23,8.35,8.88,8.02,8.83,210859.0
2021-12-27,8.9,9.32,8.685,9.31,181660.0
2021-12-28,9.3,9.5,9.13,9.29,61042.0
2021-12-29,9.24,9.24,8.82,8.92,27218.0
2021-12-30,8.89,9.3,8.72,9.17,94815.0
2021-12-31,9.18,9.21,8.755,8.76,77458.0
2022-01-03,8.69,9.26,8.69,9.25,77957.0
2022-01-04,9.29,9.29,8.83,8.99,45259.0
2022-01-05,9.0776,9.2,8.63,8.83,53248.0
2022-01-06,8.92,9.2398,8.52,8.67,93439.0
2022-01-07,8.77,8.91,8.5646,8.74,47556.0
2022-01-10,8.54,8.78,8.49,8.66,34758.0
2022-01-11,8.53,9.24,8.34,8.74,75125.0
2022-01-12,8.81,9.01,8.26,8.53,66619.0
2022-01-13,8.5774,8.8,8.5774,8.66,27467.0
2022-01-14,8.39,9.2,8.39,9.1,82509.0
2022-01-18,9.0,9.295,8.74,8.9,63326.0
2022-01-19,9.275,9.275,7.92,8.0,130677.0
2022-01-20,8.01,8.07,7.57,7.65,74801.0
2022-01-21,7.47,7.895,7.06,7.06,35416.0
2022-01-24,7.0,7.45,6.4655,7.37,98652.0
2022-01-25,7.31,7.495,6.91,7.2,31420.0
2022-01-26,7.28,7.57,7.0,7.26,16625.0
2022-01-27,7.31,7.33,6.7501,6.99,219560.0
2022-01-28,7.04,7.08,6.8,7.08,67468.0
2022-01-31,7.07,7.44,7.05,7.38,53421.0
2022-02-01,7.38,7.47,7.19,7.46,24294.0
2022-02-02,7.62,7.68,7.32,7.54,20513.0
2022-02-03,7.47,7.71,7.16,7.3,46470.0
2022-02-04,7.23,7.74,7.0,7.12,91124.0
2022-02-07,7.09,7.96,7.02,7.37,74766.0
2022-02-08,7.26,7.58,7.16,7.48,22510.0
2022-02-09,7.73,7.78,7.14,7.21,48327.0
2022-02-10,7.14,7.54,7.14,7.52,29823.0
2022-02-11,7.49,7.72,7.48,7.65,571669.0
2022-02-14,7.66,7.95,6.7,7.03,1147350.0
2022-02-15,7.08,7.08,6.14,6.59,372235.0
2022-02-16,6.51,6.75,6.35,6.48,93866.0
2022-02-17,6.39,6.43,6.1,6.15,99622.0
2022-02-18,6.15,6.4,6.03,6.15,90908.0
2022-02-22,6.12,6.43,5.78,6.15,88428.0
2022-02-23,6.14,6.25,5.92,5.99,48399.0
2022-02-24,5.69,6.2,5.69,6.13,56682.0
2022-02-25,6.15,6.49,6.11,6.35,32567.0
2022-02-28,6.35,6.49,5.99,6.08,82141.0
2022-03-01,6.04,6.4498,5.94,6.09,33571.0
2022-03-02,6.17,6.33,6.02,6.09,68638.0
2022-03-03,6.08,6.43,5.97,6.02,25170.0
2022-03-04,6.03,6.3,5.64,6.04,74110.0
2022-03-07,6.03,6.13,5.84,5.97,109259.0
2022-03-08,5.98,6.14,5.82,6.05,68290.0
2022-03-09,6.14,6.32,5.93,6.28,64681.0
2022-03-10,6.31,6.63,6.19,6.59,37166.0
2022-03-11,6.88,7.28,6.53,6.63,62195.0
2022-03-14,6.58,6.96,6.4,6.46,66397.0
2022-03-15,6.43,7.0,6.43,6.92,65801.0
2022-03-16,7.045,8.0,7.045,7.25,210396.0
2022-03-17,7.27,8.0,7.2401,7.71,86762.0
2022-03-18,7.53,8.0,7.37,7.89,205781.0
2022-03-21,7.76,8.21,7.59,8.16,140183.0
2022-03-22,8.2,8.47,8.12,8.37,92452.0
2022-03-23,8.23,8.23,7.31,7.94,120151.0
2022-03-24,7.31,8.0118,7.31,7.8,163461.0
2022-03-25,7.89,7.96,7.43,7.87,93068.0
2022-03-28,7.87,8.0,7.17,7.22,88413.0
2022-03-29,7.35,7.81,7.35,7.52,117030.0
2022-03-30,7.61,7.7156,7.41,7.6,49079.0
2022-03-31,7.46,7.9,7.45,7.49,79772.0
2022-04-01,7.61,7.87,7.37,7.66,59654.0
2022-04-04,7.78,7.88,7.45,7.47,88199.0
2022-04-05,7.58,7.74,7.49,7.67,133853.0
2022-04-06,7.66,7.69,7.47,7.48,65161.0
2022-04-07,7.37,7.47,7.27,7.36,37063.0
2022-04-08,7.44,7.5,7.23,7.37,55804.0
2022-04-11,7.38,7.53,7.22,7.52,49943.0
2022-04-12,7.5,7.7,7.17,7.3,93767.0
2022-04-13,7.23,7.63,7.19,7.52,75694.0
2022-04-14,7.5,7.525,7.385,7.49,84926.0
2022-04-18,7.38,7.74,7.24,7.5,138466.0
2022-04-19,7.44,7.72,7.44,7.5,116917.0
2022-04-20,7.54,7.8,7.47,7.65,246263.0
2022-04-21,7.61,7.77,7.44,7.44,160535.0
2022-04-22,7.45,7.5,7.25,7.35,85535.0
2022-04-25,7.4,7.74,7.27,7.62,343113.0
2022-04-26,7.49,7.54,7.3,7.41,107477.0
2022-04-27,7.32,7.4,6.44,6.47,311692.0
2022-04-28,6.5,6.59,6.42,6.48,165633.0
2022-04-29,6.38,6.52,6.2,6.23,214922.0
2022-05-02,6.3,6.34,6.04,6.17,146105.0
2022-05-03,6.13,6.32,6.08,6.2,155260.0
2022-05-04,6.14,6.39,5.89,6.04,241728.0
2022-05-05,6.08,6.08,5.84,5.93,149895.0
2022-05-06,5.9,5.91,5.65,5.81,156721.0
2022-05-09,5.7,5.76,5.53,5.56,153802.0
2022-05-10,5.59,5.66,4.87,5.28,754959.0
2022-05-11,5.31,5.41,5.11,5.12,180347.0
2022-05-12,5.04,5.145,4.69,4.82,389390.0
2022-05-13,5.25,5.25,4.36,4.97,614599.0
2022-05-16,4.9,4.995,4.66,4.71,257336.0
2022-05-17,4.78,4.96,4.51,4.68,672550.0
