Date,open,high,low,close,volume
2015-04-27,122.2,124.38,122.2,123.26,522550.0
2015-04-28,122.99,124.15,121.3,123.73,348957.0
2015-04-29,123.7,127.78,122.5,125.0,627588.0
2015-04-30,125.25,128.24,124.95,128.19,700925.0
2015-05-01,128.08,128.63,125.26,126.39,623941.0
2015-05-04,127.65,130.79,126.39,127.98,581856.0
2015-05-05,128.37,128.37,125.12,125.3,594893.0
2015-05-06,125.0,125.9,122.01,123.3,633913.0
2015-05-07,124.72,128.13,123.99,127.5,1034709.0
2015-05-08,130.0,130.39,126.52,129.23,573578.0
2015-05-11,129.5,129.95,127.04,128.89,561537.0
2015-05-12,129.64,129.99,127.59,127.75,567616.0
2015-05-13,127.93,131.52,127.41,130.0,1086593.0
2015-05-14,136.64,143.93,136.06,140.83,3053178.0
2015-05-15,140.34,142.57,139.18,141.12,885622.0
2015-05-18,141.55,142.45,139.5,141.32,597782.0
2015-05-19,142.99,143.4,140.06,140.32,592946.0
2015-05-20,141.04,145.11,141.04,144.13,1295570.0
2015-05-21,144.93,150.3,144.59,149.47,1133985.0
2015-05-22,149.78,149.95,146.0,146.2,998972.0
2015-05-26,148.6,149.36,144.11,144.39,1003017.0
2015-05-27,145.58,145.59,142.01,143.87,985029.0
2015-05-28,142.02,144.5,139.65,141.76,768149.0
2015-05-29,142.97,143.5,140.61,141.41,505831.0
2015-06-01,143.88,146.08,141.5,144.17,905406.0
2015-06-02,144.12,145.17,143.1,144.43,918009.0
2015-06-03,146.4,146.4,143.85,144.14,709117.0
2015-06-04,143.15,144.39,142.7,143.18,779370.0
2015-06-05,143.2,146.96,142.6,145.59,1426687.0
2015-06-08,145.71,150.02,142.92,144.07,894781.0
2015-06-09,144.42,145.08,140.89,144.21,434668.0
2015-06-10,145.47,147.47,144.0,147.1,596703.0
2015-06-11,146.51,150.68,146.51,148.53,1213360.0
2015-06-12,148.3,151.34,146.3,150.01,1273665.0
2015-06-15,149.4,150.35,146.27,148.19,950652.0
2015-06-16,148.71,151.42,146.84,149.86,618427.0
2015-06-17,151.66,154.88,151.01,151.27,928624.0
2015-06-18,151.86,151.86,149.5,150.74,608568.0
2015-06-19,149.71,150.16,147.16,149.38,611800.0
2015-06-22,149.6,151.19,144.61,144.89,1007133.0
2015-06-23,147.0,151.26,145.01,150.39,978135.0
2015-06-24,150.39,150.39,147.46,148.18,512716.0
2015-06-25,148.94,149.49,146.08,147.02,417640.0
2015-06-26,146.25,146.8,140.4,144.48,1166816.0
2015-06-29,143.05,143.67,140.36,140.61,714455.0
2015-06-30,143.44,145.46,142.71,144.87,1085799.0
2015-07-01,143.64,146.25,142.85,144.13,776633.0
2015-07-02,144.41,145.58,142.11,144.93,640430.0
2015-07-06,140.75,141.44,131.0,133.99,2034406.0
2015-07-07,130.5,131.95,116.08,129.78,3516357.0
2015-07-08,122.51,134.51,121.99,132.35,1506505.0
2015-07-09,137.68,143.94,137.68,140.96,2048258.0
2015-07-10,142.2,143.97,136.68,139.95,1122855.0
2015-07-13,142.32,142.99,139.27,141.04,817516.0
2015-07-14,139.62,149.27,139.61,145.21,1168848.0
2015-07-15,142.86,146.6,140.75,141.88,949105.0
2015-07-16,144.44,150.93,143.0,150.76,1019384.0
2015-07-17,153.0,154.52,149.52,150.94,1075460.0
2015-07-20,150.36,150.58,147.02,150.17,571583.0
