Date,open,high,low,close,volume
2015-04-27,57.67,57.68,56.66,56.78,2284986.0
2015-04-28,56.26,56.52,55.72,56.47,2705837.0
2015-04-29,55.57,56.09,55.3,55.59,2340851.0
2015-04-30,56.34,57.05,56.04,56.27,1155117.0
2015-05-01,56.31,57.22,56.31,57.16,939976.0
2015-05-04,57.04,57.26,56.67,56.93,976313.0
2015-05-05,56.15,56.23,55.47,55.61,1075563.0
2015-05-06,55.89,56.06,55.42,55.76,1452749.0
2015-05-07,55.31,56.01,55.22,55.92,1307178.0
2015-05-08,55.75,56.47,55.75,56.28,1068641.0
2015-05-11,55.85,56.33,55.8,56.22,1126974.0
2015-05-12,56.37,56.37,55.95,56.27,739192.0
2015-05-13,56.08,56.25,55.54,55.82,1189570.0
2015-05-14,56.47,56.69,56.2,56.69,613758.0
2015-05-15,56.89,56.89,56.49,56.75,474349.0
2015-05-18,56.76,56.98,56.54,56.92,657301.0
2015-05-19,56.61,57.35,56.6,57.25,603279.0
2015-05-20,56.6,57.25,56.57,57.12,576725.0
2015-05-21,57.13,57.7,57.11,57.63,776234.0
2015-05-22,57.19,57.64,57.04,57.54,1030610.0
2015-05-26,57.59,57.67,56.95,57.23,1425959.0
2015-05-27,57.0,57.58,56.92,57.52,1132997.0
2015-05-28,56.77,57.23,56.42,57.12,940293.0
2015-05-29,56.32,56.71,55.77,56.48,2289086.0
2015-06-01,57.05,57.37,56.77,56.94,1585497.0
2015-06-02,57.41,57.76,57.06,57.38,1337291.0
2015-06-03,57.5,57.85,57.38,57.65,802296.0
2015-06-04,57.17,57.9,57.02,57.27,670950.0
2015-06-05,57.16,57.21,56.47,56.89,564735.0
2015-06-08,56.15,56.32,55.74,56.17,1029435.0
2015-06-09,55.97,56.14,55.63,56.0,2040249.0
2015-06-10,57.5,58.09,57.36,58.02,2762944.0
2015-06-11,57.61,58.21,57.48,57.68,1534632.0
2015-06-12,57.57,57.72,57.12,57.43,778383.0
2015-06-15,56.2,56.39,55.86,56.23,700963.0
2015-06-16,55.77,56.03,55.57,55.77,1112871.0
2015-06-17,55.18,55.29,54.71,55.04,1787688.0
2015-06-18,55.24,56.4,55.1,55.84,1218221.0
2015-06-19,55.8,55.85,54.93,54.98,1640350.0
2015-06-22,57.11,57.72,57.04,57.22,1268485.0
2015-06-23,56.6,56.74,56.43,56.47,1168516.0
2015-06-24,56.08,56.81,56.08,56.33,729585.0
2015-06-25,56.71,56.85,56.36,56.47,762764.0
2015-06-26,56.19,56.81,55.67,55.96,1142458.0
2015-06-29,54.84,55.05,54.6,54.69,1652916.0
2015-06-30,55.01,55.05,54.29,54.76,2357241.0
2015-07-01,55.44,55.63,55.16,55.44,1468695.0
2015-07-02,54.92,55.45,54.86,55.18,925416.0
2015-07-06,54.55,55.2,54.47,54.78,678712.0
2015-07-07,54.32,54.46,53.5,54.28,2925822.0
2015-07-08,53.86,54.13,53.6,53.65,2010900.0
2015-07-09,55.33,55.43,54.77,54.77,1292732.0
2015-07-10,57.59,57.85,57.36,57.68,1257879.0
2015-07-13,58.18,58.24,57.77,58.04,763184.0
2015-07-14,58.12,58.34,57.77,58.14,695325.0
2015-07-15,58.25,58.76,58.08,58.19,911828.0
2015-07-16,58.65,59.05,58.54,58.73,1051095.0
2015-07-17,58.6,58.68,58.25,58.64,1562525.0
2015-07-20,59.36,59.37,58.78,58.88,787944.0
2015-07-21,58.88,58.89,58.13,58.35,1135882.0
2015-07-22,58.45,58.54,58.09,58.54,830770.0
2015-07-23,58.13,58.5,57.97,58.16,603889.0
2015-07-24,58.42,58.7,57.72,57.82,908060.0
2015-07-27,58.19,58.19,57.45,57.64,726212.0
2015-07-28,58.22,58.46,57.87,58.4,768553.0
2015-07-29,58.94,59.49,58.82,59.35,1475929.0
2015-07-30,58.4,58.45,57.92,58.28,704626.0
2015-07-31,59.33,59.35,58.79,58.96,1536985.0
2015-08-03,59.76,60.34,59.45,60.23,1174690.0
2015-08-04,59.92,60.01,59.6,59.86,1532579.0
2015-08-05,59.73,59.95,59.62,59.86,700954.0
2015-08-06,58.77,58.8,57.22,57.72,2880414.0
2015-08-07,57.08,57.72,56.45,57.67,3211609.0
2015-08-10,57.33,58.19,57.3,58.05,1147941.0
2015-08-11,57.88,58.02,56.94,57.29,803570.0
2015-08-12,57.27,57.28,56.4,57.11,900061.0
2015-08-13,56.97,57.14,56.42,56.47,1383568.0
2015-08-14,57.96,58.1,57.26,57.7,2558023.0
2015-08-17,57.62,58.5,57.5,58.48,792929.0
2015-08-18,58.51,58.82,58.48,58.61,1080568.0
2015-08-19,58.32,58.73,58.13,58.48,860055.0
2015-08-20,57.81,58.02,56.59,56.63,947621.0
2015-08-21,56.18,56.5,54.93,54.97,1295040.0
2015-08-24,53.75,54.62,52.35,52.8,2397934.0
2015-08-25,56.44,56.49,53.71,53.74,2931384.0
2015-08-26,55.04,55.38,53.72,55.37,1908488.0
2015-08-27,55.49,56.21,55.26,56.16,1375125.0
2015-08-28,55.76,55.87,55.29,55.73,894765.0
2015-08-31,56.15,56.25,55.13,55.27,1074045.0
2015-09-01,54.24,54.53,53.97,54.2,1068036.0
2015-09-02,54.91,55.37,54.44,55.35,764020.0
2015-09-03,55.57,55.85,54.95,55.16,854745.0
2015-09-04,54.49,54.55,53.9,54.31,667045.0
2015-09-08,55.78,55.98,55.29,55.98,670416.0
2015-09-09,56.48,56.52,55.72,55.79,891734.0
2015-09-10,56.17,56.71,55.99,56.58,875232.0
2015-09-11,56.02,56.95,55.97,56.95,1476696.0
2015-09-14,55.85,56.15,55.44,55.97,956683.0
2015-09-15,56.18,56.23,55.77,56.12,683801.0
2015-09-16,55.94,56.96,55.8,56.57,1163328.0
2015-09-17,56.46,57.3,56.17,56.69,1669873.0
2015-09-18,56.16,56.32,55.67,55.81,1339956.0
2015-09-21,56.91,56.93,55.62,55.87,1755431.0
2015-09-22,54.92,55.04,54.26,54.96,1092547.0
2015-09-23,55.49,55.73,54.97,55.18,1129857.0
2015-09-24,55.45,55.51,54.45,55.03,1253677.0
2015-09-25,56.14,56.21,54.18,54.93,2276302.0
2015-09-28,56.88,56.93,53.68,54.59,3729783.0
2015-09-29,53.72,54.08,52.76,53.42,2862486.0
2015-09-30,53.76,54.46,53.44,54.24,1689915.0
2015-10-01,54.37,54.98,54.21,54.89,1293816.0
2015-10-02,53.96,54.98,53.7,54.97,1882540.0
2015-10-05,55.06,55.49,54.71,55.25,1009583.0
2015-10-06,55.81,55.91,54.45,55.19,1695337.0
2015-10-07,54.41,54.81,54.08,54.6,1449931.0
2015-10-08,54.09,54.89,53.88,54.73,915601.0
2015-10-09,53.98,54.8,53.97,54.61,2216910.0
2015-10-12,54.99,55.77,54.94,55.68,939929.0
2015-10-13,54.33,54.72,53.57,53.64,1621554.0
2015-10-14,53.28,53.67,52.97,53.53,1734038.0
2015-10-15,52.91,53.82,52.89,53.79,3174618.0
2015-10-16,54.73,55.68,54.51,55.61,1967651.0
2015-10-19,55.98,56.48,55.53,56.03,2158256.0
2015-10-20,56.01,56.03,54.48,54.69,1261715.0
2015-10-21,54.66,54.82,53.6,54.41,1967282.0
2015-10-22,53.67,53.82,52.87,53.65,2758374.0
2015-10-23,54.63,56.4,54.46,55.72,2605619.0
2015-10-26,54.98,55.58,54.88,55.35,1019698.0
2015-10-27,55.22,56.12,55.17,56.04,2194477.0
2015-10-28,56.37,57.27,56.25,56.87,1655098.0
2015-10-29,53.5,54.26,52.95,53.06,3550878.0
2015-10-30,53.89,54.22,53.16,53.18,1247358.0
2015-11-02,53.63,53.86,53.49,53.66,1236564.0
2015-11-03,53.98,54.45,53.71,54.25,2191093.0
2015-11-04,54.26,54.44,53.21,53.59,2110628.0
2015-11-05,56.04,56.09,54.75,55.31,2879963.0
2015-11-06,54.52,54.92,54.5,54.92,1746550.0
2015-11-09,53.98,54.13,53.73,53.96,679601.0
2015-11-10,53.78,54.13,53.5,54.07,835888.0
2015-11-11,54.1,54.48,53.95,53.95,731418.0
2015-11-12,54.0,54.22,53.43,53.5,1435419.0
2015-11-13,52.77,53.36,52.74,52.93,1085029.0
2015-11-16,53.2,53.35,52.61,53.26,954671.0
2015-11-17,53.89,54.28,53.79,53.96,918867.0
2015-11-18,54.35,54.44,53.69,54.38,1103558.0
2015-11-19,54.73,54.86,54.18,54.82,1825902.0
2015-11-20,54.73,54.94,54.63,54.73,1209021.0
2015-11-23,54.19,54.48,53.23,53.47,1956169.0
2015-11-24,53.15,54.0,53.02,53.95,1194948.0
2015-11-25,54.29,54.52,54.16,54.24,592830.0
2015-11-27,54.65,54.82,54.57,54.74,426105.0
2015-11-30,55.23,55.27,54.61,54.97,1918786.0
2015-12-01,56.15,56.24,55.58,56.19,1842208.0
2015-12-02,56.61,56.65,55.74,56.0,1437262.0
2015-12-03,56.68,56.69,55.62,55.91,1628867.0
2015-12-04,56.64,57.28,56.33,57.03,1204224.0
2015-12-07,57.58,57.6,57.07,57.35,1660313.0
2015-12-08,56.85,57.14,56.56,57.01,969158.0
2015-12-09,57.27,57.34,56.32,56.76,1466569.0
2015-12-10,56.8,57.14,56.62,56.92,1049922.0
2015-12-11,56.04,56.16,55.47,55.54,800057.0
2015-12-14,55.56,56.0,55.01,55.96,963181.0
2015-12-15,55.66,56.46,55.61,56.11,996056.0
2015-12-16,56.89,57.23,56.1,57.2,1971215.0
2015-12-17,56.59,57.06,56.47,56.5,910908.0
2015-12-18,56.32,57.01,56.27,56.45,1031651.0
2015-12-21,57.39,57.59,56.71,57.12,1149490.0
2015-12-22,56.82,57.03,56.51,56.97,1008983.0
2015-12-23,57.46,57.8,57.36,57.69,793764.0
2015-12-24,57.7,57.89,57.52,57.75,194266.0
2015-12-28,58.3,58.41,57.94,58.29,696842.0
2015-12-29,58.43,58.86,58.33,58.77,793338.0
2015-12-30,58.69,59.0,58.43,58.72,795781.0
2015-12-31,58.3,58.53,58.05,58.08,530109.0
2016-01-04,57.79,57.81,56.74,57.3,1348507.0
2016-01-05,57.97,58.15,57.58,57.98,902603.0
2016-01-06,57.05,57.6,56.99,57.29,735556.0
2016-01-07,56.1,56.46,55.65,56.05,1139939.0
2016-01-08,56.03,56.14,54.62,54.76,1309633.0
2016-01-11,55.2,55.23,53.94,54.53,1194567.0
2016-01-12,55.56,55.68,54.82,55.43,1470777.0
2016-01-13,55.4,55.62,54.0,54.13,823403.0
2016-01-14,54.5,55.21,53.75,54.96,989778.0
2016-01-15,52.46,53.53,52.43,53.12,1567892.0
2016-01-19,53.68,53.78,52.88,53.2,2059281.0
2016-01-20,52.34,53.31,51.56,52.89,1910883.0
2016-01-21,53.43,53.72,52.77,53.32,1512454.0
2016-01-22,54.18,55.0,54.14,54.74,1185653.0
2016-01-25,55.1,55.84,54.89,55.26,1310319.0
2016-01-26,55.03,55.41,54.73,55.19,1253575.0
2016-01-27,56.31,56.31,55.22,55.62,1503178.0
2016-01-28,55.06,55.23,53.83,54.53,1563041.0
2016-01-29,55.21,55.88,54.86,55.87,1766716.0
2016-02-01,55.25,56.03,55.05,55.84,1089111.0
2016-02-02,55.07,55.38,54.94,55.06,1218258.0
2016-02-03,52.56,53.0,50.26,51.7,3956373.0
2016-02-04,49.74,50.37,49.16,49.65,2659142.0
2016-02-05,49.65,49.7,48.62,48.9,1982127.0
2016-02-08,47.08,47.23,46.39,47.02,2573534.0
2016-02-09,46.31,47.21,46.17,46.58,1979784.0
2016-02-10,48.55,49.2,47.64,47.91,4300742.0
2016-02-11,48.73,48.75,47.97,48.62,3575046.0
2016-02-12,48.85,48.91,48.04,48.8,1403708.0
2016-02-16,49.79,49.97,49.16,49.63,2171180.0
2016-02-17,50.18,50.76,49.97,50.69,3911639.0
2016-02-18,50.88,51.13,50.23,50.3,1247403.0
2016-02-19,50.54,51.06,50.2,50.91,1300968.0
2016-02-22,51.22,51.7,51.14,51.6,1484140.0
2016-02-23,52.33,52.38,51.86,51.93,2255962.0
2016-02-24,50.51,51.25,50.22,51.11,1425280.0
2016-02-25,51.74,52.08,51.53,52.02,1225685.0
2016-02-26,52.2,52.48,51.87,51.98,866412.0
2016-02-29,51.96,52.04,51.4,51.4,1335978.0
2016-03-01,52.33,53.19,52.17,53.15,2038080.0
2016-03-02,52.71,53.46,52.71,53.37,1778168.0
2016-03-03,51.76,52.64,51.74,52.6,2118557.0
2016-03-04,56.38,56.96,55.66,56.75,3744320.0
2016-03-07,56.26,57.46,56.05,57.23,1926269.0
2016-03-08,56.01,56.93,55.65,56.35,2914513.0
2016-03-09,55.8,56.11,55.52,55.64,2085180.0
2016-03-10,56.2,56.88,55.5,55.93,1211667.0
2016-03-11,56.33,57.08,56.18,57.02,1272377.0
2016-03-14,57.28,57.54,57.21,57.25,1005389.0
2016-03-15,56.56,56.65,56.03,56.22,1034909.0
2016-03-16,55.71,56.05,55.27,55.91,1255883.0
2016-03-17,55.72,55.77,55.07,55.42,1301686.0
2016-03-18,54.0,54.94,53.9,54.61,1500789.0
2016-03-21,54.43,54.99,54.36,54.45,970572.0
2016-03-22,54.05,54.81,53.97,54.61,1243610.0
2016-03-23,54.23,54.49,53.85,54.01,773991.0
2016-03-24,53.9,53.97,53.22,53.57,761816.0
2016-03-28,53.57,53.91,53.45,53.48,864634.0
2016-03-29,53.71,54.38,53.41,54.35,1429233.0
2016-03-30,54.78,54.97,54.15,54.25,1018062.0
2016-03-31,54.74,54.77,54.08,54.19,1166610.0
2016-04-01,53.96,55.06,53.87,54.94,978195.0
2016-04-04,56.53,56.54,55.68,55.75,1777377.0
2016-04-05,55.28,55.53,55.02,55.19,1036535.0
2016-04-06,55.71,56.91,55.7,56.88,1197285.0
2016-04-07,56.13,56.69,55.96,56.23,901900.0
2016-04-08,56.18,56.43,55.86,56.06,1106392.0
2016-04-11,56.22,56.35,55.75,55.87,976586.0
2016-04-12,55.57,55.96,55.2,55.91,543451.0
2016-04-13,55.35,56.06,55.35,55.93,957842.0
2016-04-14,55.76,56.04,55.52,55.75,1047678.0
2016-04-15,55.65,56.33,55.64,56.13,1033567.0
2016-04-18,55.66,56.72,55.64,56.65,1352659.0
2016-04-19,57.69,57.81,57.23,57.51,1205209.0
2016-04-20,56.62,56.97,56.47,56.84,1186036.0
2016-04-21,56.62,57.22,56.51,56.83,900054.0
2016-04-22,56.58,56.99,56.23,56.8,645214.0
2016-04-25,56.36,56.54,56.09,56.21,773173.0
2016-04-26,55.52,55.54,54.95,55.22,1163045.0
2016-04-27,55.23,55.45,54.97,55.23,891262.0
2016-04-28,56.31,56.47,55.6,56.04,1166344.0
2016-04-29,56.79,56.8,55.39,55.79,995649.0
2016-05-02,55.54,55.88,55.29,55.85,1350667.0
2016-05-03,55.25,55.47,54.6,54.71,885161.0
2016-05-04,54.32,54.35,53.65,53.79,843983.0
2016-05-05,53.89,53.89,53.17,53.54,1858030.0
2016-05-06,53.06,53.44,52.83,53.35,1990867.0
2016-05-09,54.91,55.37,54.66,54.85,1849160.0
2016-05-10,54.93,55.12,54.71,54.95,811383.0
2016-05-11,54.78,55.03,54.48,54.5,626667.0
2016-05-12,54.88,54.95,54.0,54.18,1015187.0
2016-05-13,53.99,54.33,53.84,54.08,991265.0
2016-05-16,54.01,54.91,54.01,54.87,780293.0
2016-05-17,54.27,54.76,54.14,54.25,1577114.0
2016-05-18,54.21,54.75,54.05,54.31,1061481.0
2016-05-19,54.05,54.12,53.45,53.7,2189034.0
2016-05-20,54.01,54.24,53.8,53.92,1019092.0
2016-05-23,53.77,54.06,53.46,53.76,784487.0
2016-05-24,54.18,55.01,53.97,54.97,2433376.0
2016-05-25,56.55,56.59,56.15,56.3,1435430.0
2016-05-26,55.93,56.13,55.79,56.05,2034549.0
2016-05-27,55.44,55.74,55.29,55.44,1364315.0
2016-05-31,55.56,56.24,55.39,56.04,3648387.0
2016-06-01,56.06,56.41,56.04,56.21,1248619.0
2016-06-02,55.68,56.0,55.54,56.0,989134.0
2016-06-03,56.1,56.76,55.85,56.59,698799.0
2016-06-06,56.45,57.34,56.45,57.09,1338758.0
2016-06-07,57.35,57.44,57.13,57.31,1626065.0
2016-06-08,57.1,57.3,56.93,57.18,1673786.0
2016-06-09,56.62,57.2,56.62,56.87,2189985.0
2016-06-10,55.25,55.61,55.12,55.36,2493738.0
2016-06-13,54.21,55.45,54.2,54.72,1042428.0
2016-06-14,52.35,52.8,51.68,52.12,4031184.0
2016-06-15,52.6,52.66,51.8,51.85,1426577.0
2016-06-16,50.97,51.65,50.61,51.56,1471713.0
2016-06-17,51.77,51.8,51.06,51.31,1112382.0
2016-06-20,52.68,52.69,51.6,51.61,1000182.0
2016-06-21,52.47,52.5,51.91,52.15,1653932.0
2016-06-22,52.21,52.86,52.17,52.42,1178192.0
2016-06-23,53.61,53.64,52.81,53.4,1438915.0
2016-06-24,50.85,52.07,50.83,51.06,1590121.0
2016-06-27,51.3,51.31,50.95,51.06,97386.0
2016-06-28,51.91,52.25,51.6,52.23,955734.0
2016-06-29,53.12,53.15,52.72,53.01,1274694.0
2016-06-30,53.51,54.02,52.96,53.78,2279487.0
2016-07-01,54.19,54.41,53.9,54.27,1459765.0
2016-07-05,54.87,54.94,54.11,54.23,1568157.0
2016-07-06,53.22,53.87,52.91,53.82,1106289.0
2016-07-07,54.07,54.38,53.95,54.07,1105212.0
2016-07-08,54.22,54.65,54.11,54.56,586116.0
2016-07-11,55.18,55.63,55.07,55.36,898490.0
2016-07-12,55.65,55.72,55.43,55.55,1060634.0
2016-07-13,55.35,55.79,55.27,55.33,614741.0
2016-07-14,55.58,55.62,55.21,55.39,624756.0
2016-07-15,55.22,55.58,55.05,55.13,814674.0
2016-07-18,55.23,55.38,55.04,55.23,1168351.0
2016-07-19,55.17,55.34,54.75,54.9,1037178.0
2016-07-20,55.1,55.46,55.08,55.3,658932.0
2016-07-21,54.76,55.28,54.75,55.02,1358491.0
2016-07-22,55.37,55.64,55.21,55.63,638844.0
2016-07-25,55.36,55.44,54.69,55.3,1477182.0
2016-07-26,56.37,56.46,56.04,56.29,1010689.0
2016-07-27,55.85,56.41,55.83,56.34,1460974.0
2016-07-28,56.86,57.07,56.32,56.54,786397.0
2016-07-29,56.73,57.08,56.65,56.97,780583.0
2016-08-01,57.09,57.41,56.87,57.05,1507067.0
2016-08-02,56.17,56.3,55.55,55.99,2977260.0
2016-08-03,54.93,55.45,54.92,55.35,2482061.0
2016-08-04,54.79,55.37,54.71,55.2,2829544.0
2016-08-05,49.68,50.3,48.88,49.87,7991070.0
2016-08-08,47.61,47.84,47.02,47.13,7073627.0
2016-08-09,48.02,48.58,47.7,48.05,5619378.0
2016-08-10,48.22,48.25,47.07,47.28,2116909.0
2016-08-11,46.58,46.77,46.23,46.46,2813136.0
2016-08-12,46.18,46.29,45.8,46.18,10078591.0
2016-08-15,46.8,46.99,46.58,46.6,5906432.0
2016-08-16,46.83,47.17,46.72,47.12,5300014.0
2016-08-17,46.79,47.29,46.63,47.17,2615138.0
2016-08-18,46.67,47.1,46.61,47.04,1302802.0
2016-08-19,46.9,46.99,46.66,46.88,991453.0
2016-08-22,47.97,47.98,47.33,47.49,3106364.0
2016-08-23,47.65,47.74,47.31,47.41,3381152.0
2016-08-24,47.46,47.65,46.81,46.88,2694306.0
2016-08-25,47.15,47.26,46.76,46.85,1575886.0
2016-08-26,46.88,47.18,46.62,46.89,1600893.0
2016-08-29,46.64,47.18,46.61,47.05,1588946.0
2016-08-30,46.92,47.32,46.9,47.13,1218626.0
2016-08-31,47.09,47.19,46.57,46.72,1282125.0
2016-09-01,46.18,46.4,46.13,46.34,2804918.0
2016-09-02,45.41,45.92,45.36,45.8,3972647.0
2016-09-06,45.79,46.08,45.75,46.0,3224434.0
2016-09-07,45.58,46.0,45.56,45.89,3252290.0
2016-09-08,45.75,46.14,45.51,45.95,4484134.0
2016-09-09,44.74,44.83,44.04,44.04,3953100.0
2016-09-12,44.76,46.24,44.63,46.1,4492616.0
2016-09-13,45.59,45.98,45.38,45.84,4662197.0
2016-09-14,46.11,46.37,45.87,46.05,1774320.0
2016-09-15,45.99,46.47,45.86,46.24,3050682.0
2016-09-16,46.54,46.55,46.0,46.12,1449309.0
2016-09-19,46.3,46.35,45.63,45.73,3583116.0
2016-09-20,46.31,46.41,46.03,46.23,3158295.0
2016-09-21,45.98,46.08,45.33,46.04,2541596.0
2016-09-22,45.81,45.92,45.41,45.57,2346257.0
2016-09-23,44.58,45.12,44.52,44.88,3873940.0
2016-09-26,44.77,44.84,44.29,44.43,1940698.0
2016-09-27,43.69,43.93,43.35,43.85,3149186.0
2016-09-28,43.92,43.97,43.44,43.74,2922164.0
2016-09-29,42.75,42.79,41.76,41.8,4791242.0
2016-09-30,41.58,41.86,41.27,41.59,5650527.0
2016-10-03,40.97,41.15,40.83,41.12,3580933.0
2016-10-04,40.46,40.84,40.37,40.63,5379355.0
2016-10-05,41.95,41.96,41.32,41.52,5016992.0
2016-10-06,41.21,41.24,40.6,40.86,3990568.0
2016-10-07,40.77,40.8,40.45,40.73,1854544.0
2016-10-10,40.11,40.9,40.11,40.58,4727340.0
2016-10-11,40.08,40.27,39.71,39.78,3409924.0
2016-10-12,39.66,39.73,39.33,39.58,3666059.0
2016-10-13,39.06,39.97,39.03,39.67,5581124.0
2016-10-14,40.34,40.34,39.58,39.58,3221632.0
2016-10-17,39.74,40.35,39.55,40.33,7257353.0
2016-10-18,40.79,40.81,40.51,40.56,2430113.0
2016-10-19,40.77,40.83,40.39,40.49,2767105.0
2016-10-20,40.73,41.1,40.68,41.04,1885957.0
2016-10-21,41.27,41.64,41.12,41.5,3774807.0
2016-10-24,41.17,41.3,40.69,40.81,2323797.0
2016-10-25,40.49,40.62,40.31,40.33,3173132.0
2016-10-26,40.62,40.62,40.11,40.24,3986630.0
2016-10-27,41.05,41.34,40.85,40.94,2968642.0
2016-10-28,35.35,35.93,34.55,35.66,11967782.0
2016-10-31,35.24,35.74,35.13,35.54,9083317.0
2016-11-01,35.73,35.96,35.59,35.77,4842994.0
2016-11-02,35.8,35.83,35.23,35.23,3988031.0
2016-11-03,35.45,35.52,34.69,34.73,5029071.0
2016-11-04,34.24,34.64,34.19,34.35,7462270.0
2016-11-07,34.12,34.38,34.01,34.16,8727545.0
2016-11-08,33.93,34.03,33.46,33.85,5392399.0
2016-11-09,34.52,35.15,34.21,34.56,10510591.0
2016-11-10,33.82,34.21,33.56,33.86,7349119.0
2016-11-11,33.69,33.77,33.27,33.45,5354629.0
2016-11-14,32.82,33.19,32.8,32.98,5232521.0
2016-11-15,33.24,33.49,33.02,33.4,3836653.0
2016-11-16,33.36,33.41,32.84,32.9,3179162.0
2016-11-17,32.9,33.04,32.77,32.84,2400460.0
2016-11-18,32.78,32.81,32.35,32.42,3781219.0
2016-11-21,32.57,32.61,32.19,32.25,3988308.0
2016-11-22,32.3,32.3,31.5,31.78,5456579.0
2016-11-23,31.07,31.61,30.89,31.57,7707394.0
2016-11-25,32.0,32.26,31.91,32.08,1964090.0
2016-11-28,32.76,32.78,32.44,32.54,3515030.0
2016-11-29,32.83,32.92,32.58,32.72,4347713.0
2016-11-30,33.96,34.0,33.47,33.6,8117570.0
2016-12-01,33.69,33.74,33.38,33.55,3970678.0
2016-12-02,33.87,34.0,33.67,33.93,3790173.0
2016-12-05,34.34,34.46,34.18,34.42,5548691.0
2016-12-06,34.82,35.31,34.45,35.26,6965234.0
2016-12-07,35.34,35.35,34.83,35.2,4918768.0
2016-12-08,34.59,35.03,34.41,34.97,3592404.0
2016-12-09,35.21,36.1,35.18,36.05,3973646.0
2016-12-12,35.77,36.03,35.52,35.65,3308448.0
2016-12-13,35.69,36.09,35.69,35.75,3108143.0
2016-12-14,35.51,35.78,35.02,35.11,2954019.0
2016-12-15,35.43,35.65,35.29,35.51,3082668.0
2016-12-16,35.6,35.7,35.42,35.62,2605364.0
2016-12-19,35.92,35.94,35.36,35.41,2182496.0
2016-12-20,35.55,35.67,35.38,35.64,2077287.0
2016-12-21,35.63,35.73,35.34,35.39,2273762.0
2016-12-22,35.63,35.79,35.43,35.54,2150884.0
2016-12-23,35.69,35.87,35.6,35.72,1121922.0
2016-12-27,35.81,35.86,35.55,35.57,1149622.0
2016-12-28,35.67,35.72,35.41,35.43,1425852.0
2016-12-29,35.83,36.1,35.76,35.82,2225574.0
2016-12-30,36.0,36.08,35.71,35.86,1757906.0
2017-01-03,36.23,36.3,35.72,35.92,4722933.0
2017-01-04,36.12,36.29,35.93,36.18,2571760.0
2017-01-05,36.79,37.08,36.66,37.06,2401714.0
2017-01-06,36.76,36.78,36.49,36.64,2614351.0
2017-01-09,36.39,36.61,36.16,36.5,1862248.0
