Date,open,high,low,close,volume
2015-04-27,230.0,230.0,224.82,225.13,497732.0
2015-04-28,225.2,226.56,223.55,226.26,706378.0
2015-04-29,225.46,225.8,220.57,220.96,674063.0
2015-04-30,220.87,222.86,216.72,217.76,647479.0
2015-05-01,219.0,222.48,218.21,222.27,691035.0
2015-05-04,221.85,223.51,220.61,222.79,406406.0
2015-05-05,221.82,223.1,218.76,219.52,573286.0
2015-05-06,220.26,220.6,216.41,217.38,668585.0
2015-05-07,217.88,220.66,217.84,219.38,579983.0
2015-05-08,221.03,223.86,220.39,221.09,581774.0
2015-05-11,220.81,222.61,220.0,220.48,628150.0
2015-05-12,219.35,221.31,218.58,220.19,499330.0
2015-05-13,220.01,222.02,218.6,219.53,505573.0
2015-05-14,221.23,222.62,218.86,222.28,452158.0
2015-05-15,222.78,223.45,221.77,223.05,483833.0
2015-05-18,223.05,225.0,222.81,224.27,440871.0
2015-05-19,224.6,225.93,223.62,223.93,394010.0
2015-05-20,224.54,224.98,222.11,222.35,339297.0
2015-05-21,220.98,225.46,220.98,224.94,465442.0
2015-05-22,224.37,226.0,223.62,224.4,356067.0
2015-05-26,224.23,225.87,222.46,222.83,553664.0
2015-05-27,223.25,223.85,222.37,222.54,358437.0
2015-05-28,222.72,223.58,221.26,222.67,435524.0
2015-05-29,221.68,222.92,219.27,219.49,741616.0
2015-06-01,220.8,223.18,218.82,222.49,568226.0
2015-06-02,221.14,223.79,221.14,222.9,577050.0
2015-06-03,223.78,225.0,222.9,224.24,336779.0
2015-06-04,223.11,224.86,221.87,222.14,431837.0
2015-06-05,221.61,223.11,221.02,222.09,349559.0
2015-06-08,221.61,223.14,221.61,221.84,425801.0
2015-06-09,221.41,223.95,220.78,222.93,324554.0
2015-06-10,223.53,226.21,222.93,225.68,388833.0
2015-06-11,226.47,227.67,225.57,226.11,405463.0
2015-06-12,225.1,226.33,224.71,225.45,410489.0
2015-06-15,223.8,224.83,222.18,223.32,507511.0
2015-06-16,223.56,226.46,223.24,225.86,377676.0
2015-06-17,227.09,227.73,224.08,226.22,374876.0
2015-06-18,226.52,229.98,226.52,229.36,581685.0
2015-06-19,229.43,231.38,228.03,229.55,909967.0
2015-06-22,230.57,230.95,229.34,230.64,426298.0
2015-06-23,230.95,232.24,230.28,231.76,388445.0
2015-06-24,230.83,231.8,229.84,230.19,421327.0
2015-06-25,230.96,233.45,230.61,231.75,496259.0
2015-06-26,232.93,233.84,231.5,232.39,493768.0
2015-06-29,231.08,231.13,226.26,226.46,567691.0
2015-06-30,228.65,229.17,225.0,226.06,735223.0
2015-07-01,228.01,231.38,227.77,230.98,678111.0
2015-07-02,231.98,232.58,230.15,231.25,377778.0
2015-07-06,229.3,233.68,229.0,232.51,351207.0
2015-07-07,233.25,234.2,230.97,234.03,612895.0
2015-07-08,232.41,233.39,230.35,230.77,483240.0
2015-07-09,233.51,233.96,230.47,231.43,497968.0
2015-07-10,234.29,236.63,233.19,235.96,444186.0
2015-07-13,238.27,240.2,236.93,239.8,443773.0
2015-07-14,240.52,240.52,236.41,237.28,507542.0
2015-07-15,237.29,239.0,237.08,237.69,424499.0
2015-07-16,239.2,239.3,237.32,238.97,493836.0
2015-07-17,238.92,238.97,236.1,238.69,445533.0
2015-07-20,238.69,241.5,238.26,240.2,610372.0
2015-07-21,240.56,240.82,239.62,239.71,560656.0
2015-07-22,239.83,241.51,239.66,240.65,431658.0
2015-07-23,241.04,244.31,240.03,240.67,540996.0
2015-07-24,240.6,242.9,240.01,241.78,645494.0
2015-07-27,240.97,242.6,237.17,239.82,799007.0
2015-07-28,240.19,242.06,238.03,240.98,616913.0
2015-07-29,240.95,242.44,238.42,241.54,886784.0
2015-07-30,246.41,247.0,236.79,238.15,926309.0
2015-07-31,239.43,242.79,238.46,240.57,815784.0
2015-08-03,241.3,241.93,238.27,241.51,657898.0
2015-08-04,240.55,243.62,240.51,243.37,470730.0
2015-08-05,245.0,245.71,243.28,244.17,558653.0
2015-08-06,244.13,245.12,240.58,241.18,463667.0
2015-08-07,241.96,244.48,240.49,244.46,416950.0
2015-08-10,246.53,248.39,245.95,247.69,627392.0
2015-08-11,247.53,247.75,245.06,247.58,490554.0
2015-08-12,246.01,247.74,242.78,247.24,493123.0
2015-08-13,247.22,256.51,246.33,253.92,977514.0
2015-08-14,254.22,255.61,252.45,254.37,466821.0
2015-08-17,254.37,255.28,252.23,254.56,341593.0
2015-08-18,254.81,256.39,252.75,254.45,371820.0
2015-08-19,254.45,258.15,252.56,256.47,474047.0
2015-08-20,253.82,255.27,251.32,251.42,545456.0
2015-08-21,249.22,249.74,237.74,238.3,1251311.0
2015-08-24,234.04,239.8,226.05,231.85,1391006.0
2015-08-25,236.88,241.45,231.47,231.69,1384394.0
2015-08-26,237.01,239.28,230.99,239.03,1123870.0
2015-08-27,240.76,244.74,238.76,242.84,813054.0
2015-08-28,241.57,244.04,240.5,240.99,620158.0
2015-08-31,239.78,242.78,239.4,240.07,591027.0
2015-09-01,235.69,239.0,230.91,231.7,1126476.0
2015-09-02,234.4,239.83,234.03,239.61,901215.0
2015-09-03,241.14,242.25,237.07,237.94,537698.0
2015-09-04,234.87,236.88,233.25,234.65,467613.0
2015-09-08,239.01,240.31,235.22,238.44,800934.0
