Date,open,high,low,close,volume
2015-04-27,80.91,81.2,80.47,80.6,9182150.0
2015-04-28,80.73,80.82,80.19,80.42,8350450.0
2015-04-29,80.0,80.31,79.72,79.85,11762714.0
2015-04-30,79.95,80.15,79.07,79.51,9196832.0
2015-05-01,79.76,80.32,79.63,80.29,7055572.0
2015-05-04,80.48,80.96,80.29,80.35,7188271.0
2015-05-05,80.5,80.65,79.78,80.07,6557922.0
2015-05-06,80.34,80.58,79.52,80.4,7327163.0
2015-05-07,80.37,80.55,80.0,80.2,7166953.0
2015-05-08,80.89,81.21,80.82,80.96,6899022.0
2015-05-11,80.95,80.99,80.26,80.27,5223775.0
2015-05-12,80.03,80.29,79.36,79.95,6284402.0
2015-05-13,80.16,80.59,79.55,79.7,6374801.0
2015-05-14,80.11,80.69,80.09,80.57,5618419.0
2015-05-15,80.83,81.12,80.73,81.05,7186480.0
2015-05-18,80.97,81.13,80.5,80.74,5574025.0
2015-05-19,80.75,80.95,80.33,80.83,5708120.0
2015-05-20,80.93,81.0,80.45,80.48,5414769.0
2015-05-21,80.17,80.58,79.84,80.41,6053369.0
2015-05-22,80.24,80.4,79.92,79.95,5978747.0
2015-05-26,79.97,80.06,78.94,79.14,6582248.0
2015-05-27,79.22,79.94,79.09,79.39,7555309.0
2015-05-28,79.43,79.45,79.02,79.33,5779571.0
2015-05-29,79.18,79.24,78.19,78.39,12224458.0
2015-06-01,78.65,79.07,78.27,78.85,7573134.0
2015-06-02,78.46,78.72,78.17,78.54,7352822.0
2015-06-03,78.91,78.93,78.27,78.56,5946347.0
2015-06-04,78.41,78.84,78.06,78.15,7570529.0
2015-06-05,78.04,78.12,77.37,77.43,9408169.0
2015-06-08,77.48,77.98,77.1,77.71,10885774.0
2015-06-09,77.97,79.33,77.82,78.9,11407987.0
2015-06-10,79.23,79.79,79.01,79.54,9450114.0
2015-06-11,79.93,79.93,79.24,79.41,7483283.0
2015-06-12,79.17,79.32,78.57,78.87,6150140.0
2015-06-15,78.33,78.45,77.93,78.12,7428448.0
2015-06-16,79.6,79.6,78.53,79.1,8267102.0
2015-06-17,79.2,80.19,79.16,80.08,9281310.0
2015-06-18,80.33,81.22,80.3,80.82,10635331.0
2015-06-19,80.71,81.2,80.48,80.54,13521729.0
2015-06-22,80.92,81.18,80.33,80.45,6829498.0
2015-06-23,80.33,80.45,79.62,79.79,7148239.0
2015-06-24,79.8,79.85,79.5,79.51,7207485.0
2015-06-25,79.71,79.9,79.39,79.39,5852763.0
2015-06-26,79.54,79.74,79.28,79.34,7061606.0
2015-06-29,78.95,79.37,78.26,78.32,7899732.0
2015-06-30,78.92,79.01,78.13,78.24,8366810.0
2015-07-01,78.39,79.76,78.12,79.72,8825816.0
2015-07-02,80.01,80.35,79.77,79.93,6554038.0
2015-07-06,79.61,80.22,79.5,80.05,6556437.0
2015-07-07,80.06,81.83,80.06,81.72,11574767.0
2015-07-08,81.21,81.69,80.89,80.99,6692596.0
2015-07-09,81.75,82.0,80.52,80.66,9769877.0
2015-07-10,81.23,81.36,80.76,80.95,6877862.0
2015-07-13,81.52,82.04,81.34,81.91,7238916.0
2015-07-14,82.04,82.46,81.98,82.04,6080656.0
2015-07-15,81.91,82.32,81.84,82.15,6664665.0
2015-07-16,82.45,82.55,82.1,82.3,6607362.0
2015-07-17,81.89,82.38,81.6,82.24,5824102.0
2015-07-20,82.09,82.35,82.0,82.19,4952135.0
2015-07-21,82.01,82.13,81.37,81.63,7397495.0
2015-07-22,81.03,81.3,80.67,80.83,6095465.0
2015-07-23,80.83,80.89,80.14,80.7,5316470.0
2015-07-24,80.51,80.73,80.23,80.29,5399106.0
2015-07-27,79.83,80.07,79.42,79.97,8556653.0
2015-07-28,80.14,80.66,79.91,80.23,8308933.0
2015-07-29,80.26,80.99,80.16,80.62,8826313.0
2015-07-30,79.4,79.48,77.15,77.39,22045696.0
2015-07-31,77.63,77.74,76.66,76.7,11835845.0
2015-08-03,76.51,77.09,76.01,76.4,9344603.0
2015-08-04,76.03,76.34,75.75,75.91,13175161.0
2015-08-05,76.05,76.54,75.75,75.77,10869710.0
2015-08-06,76.01,76.01,75.25,75.74,9349975.0
2015-08-07,75.59,75.72,75.34,75.48,9964766.0
2015-08-10,75.95,76.5,75.8,76.38,8134738.0
2015-08-11,76.04,76.45,75.81,76.22,7462033.0
2015-08-12,75.89,76.43,75.34,76.39,10397650.0
2015-08-13,76.49,76.51,75.63,75.78,5860745.0
2015-08-14,75.74,75.81,75.38,75.62,5580622.0
2015-08-17,75.81,75.81,74.75,75.53,8662461.0
2015-08-18,75.58,75.8,75.0,75.13,7421991.0
2015-08-19,74.93,74.93,74.02,74.12,9775226.0
2015-08-20,73.75,74.72,73.46,73.91,10683852.0
2015-08-21,73.55,73.9,71.83,71.84,15324183.0
2015-08-24,68.57,71.07,65.02,69.14,23445009.0
2015-08-25,72.18,72.23,68.3,68.42,20971199.0
2015-08-26,69.9,71.0,68.95,70.9,17393665.0
2015-08-27,71.4,71.75,70.02,71.48,12974781.0
2015-08-28,71.17,71.27,70.59,71.21,10005536.0
2015-08-31,71.0,71.0,70.3,70.67,9351805.0
2015-09-01,69.37,69.88,68.52,68.9,15317338.0
2015-09-02,69.65,69.85,69.22,69.81,8868834.0
2015-09-03,70.18,70.46,69.7,69.93,8186752.0
2015-09-04,69.28,69.28,68.5,68.76,11483588.0
2015-09-08,70.31,70.44,69.56,69.98,9116465.0
2015-09-09,70.44,70.54,68.37,68.48,10968018.0
2015-09-10,68.12,68.94,67.75,68.32,12514904.0
2015-09-11,68.06,68.51,67.73,68.42,10616914.0
2015-09-14,68.23,68.3,67.33,68.06,9658868.0
2015-09-15,68.02,69.74,67.9,69.45,10974535.0
2015-09-16,70.12,70.36,69.7,70.1,8684680.0
2015-09-17,70.0,71.27,69.86,70.24,10863097.0
2015-09-18,69.44,70.78,69.37,69.94,18003293.0
2015-09-21,70.15,70.88,70.01,70.65,7702270.0
2015-09-22,70.06,70.65,69.98,70.19,10159706.0
2015-09-23,70.18,70.49,69.96,70.26,5574343.0
2015-09-24,69.82,71.58,69.74,71.36,13217121.0
2015-09-25,72.39,73.38,71.95,72.67,15020178.0
2015-09-28,72.31,72.67,71.75,71.77,9070203.0
2015-09-29,71.77,72.41,71.35,72.28,8971562.0
2015-09-30,72.86,73.06,71.55,71.94,10860477.0
2015-10-01,71.76,72.18,71.39,71.95,8533382.0
2015-10-02,71.36,72.42,71.29,72.42,9037695.0
2015-10-05,72.97,73.43,72.5,73.22,9004972.0
2015-10-06,73.34,73.77,72.59,73.4,8774907.0
2015-10-07,73.72,73.87,73.32,73.72,8013224.0
2015-10-08,73.68,74.44,73.49,74.4,6836930.0
2015-10-09,74.59,74.91,74.32,74.48,6851810.0
2015-10-12,74.69,74.76,73.91,74.33,6227099.0
2015-10-13,74.24,74.28,73.66,74.11,7739161.0
2015-10-14,74.21,74.61,73.9,74.21,8296551.0
2015-10-15,74.64,74.84,74.03,74.27,8597034.0
2015-10-16,74.72,75.04,74.34,74.9,8959538.0
2015-10-19,74.65,75.19,74.53,75.16,7280819.0
2015-10-20,74.87,75.05,74.16,74.43,8507070.0
2015-10-21,73.75,74.54,73.5,73.59,8302061.0
2015-10-22,73.86,75.61,73.61,74.85,13963873.0
2015-10-23,76.76,78.45,76.31,77.03,16351460.0
