Date,open,high,low,close,volume
2015-04-27,81.0,81.66,80.16,80.22,1759953.0
2015-04-28,80.36,81.24,79.79,81.15,2052374.0
2015-04-29,81.28,82.96,81.21,82.52,2880624.0
2015-04-30,82.16,82.89,81.32,81.6,3233014.0
2015-05-01,82.4,83.42,81.99,83.36,2552403.0
2015-05-04,83.37,84.44,83.2,84.19,2404584.0
2015-05-05,84.26,84.86,83.31,83.4,2541721.0
2015-05-06,84.7,84.7,82.79,83.7,2449105.0
2015-05-07,85.0,85.58,82.98,85.17,3412445.0
2015-05-08,85.47,85.87,84.39,85.58,2134000.0
2015-05-11,85.71,87.25,85.45,86.77,3306256.0
2015-05-12,86.45,86.89,85.86,86.23,2251245.0
2015-05-13,86.45,86.78,85.75,86.08,2449547.0
2015-05-14,86.57,86.81,85.96,86.3,1852865.0
2015-05-15,86.16,86.28,84.88,85.46,2354910.0
2015-05-18,85.37,86.71,85.37,86.43,2231068.0
2015-05-19,86.76,87.12,85.96,86.28,2117146.0
2015-05-20,86.2,86.28,85.34,85.64,2093437.0
2015-05-21,85.2,86.03,84.96,85.63,1805521.0
2015-05-22,85.46,85.89,85.04,85.12,1464419.0
2015-05-26,85.0,85.12,83.74,83.97,2283680.0
2015-05-27,84.15,85.49,84.12,85.2,1724460.0
2015-05-28,84.74,85.17,84.2,85.07,1405320.0
2015-05-29,85.17,85.17,83.73,84.61,2611957.0
2015-06-01,84.86,85.21,83.66,84.32,1759123.0
2015-06-02,84.37,85.92,84.23,85.52,2376533.0
2015-06-03,86.01,87.45,85.95,86.99,2955193.0
2015-06-04,86.28,87.34,86.23,86.6,2702915.0
2015-06-05,88.11,89.22,87.42,88.24,3527837.0
2015-06-08,88.0,88.62,87.4,87.58,2019045.0
2015-06-09,87.59,88.57,87.15,87.97,1919352.0
2015-06-10,89.69,90.98,88.86,90.55,4093444.0
2015-06-11,90.04,90.94,89.75,89.93,2943658.0
2015-06-12,89.55,90.0,88.91,89.24,1667045.0
2015-06-15,88.26,89.05,87.84,88.58,1846822.0
2015-06-16,88.58,89.93,88.27,89.73,2037964.0
2015-06-17,90.09,90.22,88.93,89.14,2252206.0
2015-06-18,89.52,90.35,88.83,89.76,2509614.0
2015-06-19,89.43,89.85,88.96,89.29,2507838.0
2015-06-22,90.07,91.07,89.95,90.98,2623167.0
2015-06-23,91.74,91.82,90.81,91.47,2441119.0
2015-06-24,91.3,91.66,90.6,90.7,2035536.0
2015-06-25,91.08,91.35,89.7,89.73,1664906.0
2015-06-26,90.21,90.93,90.07,90.72,1991317.0
2015-06-29,89.37,89.77,87.2,87.29,3038117.0
2015-06-30,88.29,89.07,86.85,87.52,5033359.0
2015-07-01,88.79,89.63,88.58,88.98,2477083.0
2015-07-02,88.81,89.06,87.8,88.17,1391684.0
2015-07-06,86.92,88.16,86.57,87.51,2042094.0
2015-07-07,87.5,87.58,84.12,87.0,3420275.0
2015-07-08,85.95,86.24,84.66,84.86,2485859.0
2015-07-09,86.48,87.03,85.55,85.72,2168374.0
2015-07-10,86.97,87.66,86.62,87.36,1706336.0
2015-07-13,88.16,89.03,88.16,88.61,2429655.0
2015-07-14,88.39,89.28,88.01,88.75,2007044.0
2015-07-15,88.8,89.0,88.19,88.68,3340190.0
2015-07-16,89.26,89.82,89.04,89.53,1926435.0
2015-07-17,89.35,89.4,88.25,88.76,1573473.0
2015-07-20,89.07,89.39,88.4,88.65,1218048.0
2015-07-21,88.75,89.52,88.22,88.71,1302196.0
2015-07-22,88.7,89.0,88.27,88.75,1396009.0
2015-07-23,88.74,89.36,87.96,88.37,1738098.0
2015-07-24,88.27,89.08,87.52,87.85,2211648.0
2015-07-27,87.0,87.21,86.0,87.03,1668857.0
2015-07-28,87.85,88.33,87.03,88.0,1648183.0
2015-07-29,88.02,89.94,87.91,89.56,2177118.0
2015-07-30,89.11,89.81,88.54,89.67,1887868.0
2015-07-31,89.39,89.71,88.11,88.36,1850105.0
2015-08-03,88.54,89.39,88.26,89.14,2025574.0
2015-08-04,88.96,89.96,88.96,89.84,2242087.0
2015-08-05,90.04,91.27,89.75,89.86,2634684.0
2015-08-06,91.35,92.6,90.34,90.66,3350650.0
2015-08-07,90.63,91.25,88.91,89.41,2371025.0
2015-08-10,90.61,91.92,90.53,91.68,2005622.0
2015-08-11,90.21,90.69,89.02,89.45,2320628.0
2015-08-12,88.54,88.6,86.23,88.48,2641226.0
2015-08-13,88.77,89.6,88.42,89.27,1573875.0
2015-08-14,89.43,90.11,89.01,90.1,1218604.0
2015-08-17,89.25,89.77,88.56,89.31,1379843.0
2015-08-18,89.38,89.67,88.94,89.13,919469.0
2015-08-19,88.5,88.63,87.08,87.7,1923900.0
2015-08-20,86.88,86.95,84.88,84.89,2939622.0
2015-08-21,83.75,83.92,80.71,80.77,3904853.0
2015-08-24,76.0,79.58,74.65,75.91,6299872.0
2015-08-25,78.75,78.94,74.05,74.22,5974818.0
2015-08-26,77.25,77.64,74.89,77.46,5201983.0
2015-08-27,78.92,81.42,78.75,81.12,4273755.0
2015-08-28,80.2,81.59,79.86,81.2,2775128.0
2015-08-31,80.23,81.03,79.85,80.7,2140248.0
2015-09-01,78.18,78.8,76.59,77.12,2933513.0
2015-09-02,78.84,78.96,77.53,78.94,2134897.0
2015-09-03,79.09,80.29,78.7,79.01,2144490.0
2015-09-04,78.0,78.04,76.4,77.1,2671192.0
2015-09-08,78.79,79.96,78.28,79.89,3022374.0
2015-09-09,81.14,81.57,78.28,78.49,2697676.0
2015-09-10,78.03,79.59,77.75,78.95,1991886.0
2015-09-11,78.19,79.03,77.52,78.99,1763146.0
2015-09-14,78.78,78.98,78.11,78.51,1526781.0
2015-09-15,78.95,80.74,78.16,80.46,2327130.0
2015-09-16,80.35,81.09,80.04,80.88,1683759.0
2015-09-17,80.78,81.21,77.91,78.19,3271930.0
2015-09-18,76.99,77.1,75.55,75.83,4418661.0
2015-09-21,76.73,77.64,76.46,77.15,2538320.0
2015-09-22,75.9,76.21,75.07,75.84,2402805.0
2015-09-23,76.16,76.84,75.76,76.23,2374220.0
2015-09-24,75.39,76.23,74.64,76.03,2811076.0
2015-09-25,77.21,78.03,76.77,77.25,2598763.0
2015-09-28,76.66,76.66,74.43,74.54,2723874.0
2015-09-29,74.8,75.3,73.95,74.99,2300303.0
2015-09-30,76.33,76.59,75.12,76.21,2411637.0
2015-10-01,76.38,76.9,75.06,76.3,1913027.0
2015-10-02,73.67,75.4,73.19,75.4,3095088.0
2015-10-05,75.79,77.43,75.79,77.28,2131840.0
2015-10-06,76.96,77.42,76.37,76.71,1571631.0
2015-10-07,77.21,78.39,76.92,77.78,2051999.0
2015-10-08,77.29,78.55,77.19,78.28,1919889.0
2015-10-09,78.35,79.03,77.38,78.08,1735492.0
2015-10-12,77.91,78.35,77.54,77.94,1169071.0
2015-10-13,77.2,78.11,77.01,77.15,1497060.0
2015-10-14,76.96,77.64,75.89,76.5,1914001.0
2015-10-15,77.31,78.5,76.41,78.39,2222234.0
2015-10-16,78.78,79.34,78.24,79.27,2120068.0
2015-10-19,78.72,79.43,78.61,79.21,1252569.0
2015-10-20,79.2,80.02,79.05,79.77,1798414.0
2015-10-21,80.0,80.78,79.24,79.36,1881590.0
2015-10-22,80.18,82.23,80.12,81.4,2568218.0
2015-10-23,82.49,82.52,81.42,82.48,2920776.0
2015-10-26,82.27,82.5,81.51,82.08,1403013.0
2015-10-27,81.19,81.5,80.15,80.51,2345192.0
2015-10-28,81.09,84.02,80.77,83.96,2542631.0
2015-10-29,84.04,84.92,82.89,83.41,2481638.0
2015-10-30,83.42,83.58,82.48,82.5,1955728.0
2015-11-02,82.82,84.55,82.51,84.17,2700109.0
2015-11-03,83.68,85.68,83.68,85.02,2868150.0
2015-11-04,85.03,85.52,84.09,84.42,2610832.0
2015-11-05,84.79,85.4,83.48,84.35,2889068.0
2015-11-06,86.28,88.77,86.14,87.69,3897970.0
2015-11-09,87.63,88.08,85.63,86.02,3208086.0
2015-11-10,85.86,86.52,85.21,86.32,2048135.0
2015-11-11,86.58,87.46,85.99,86.75,2562375.0
2015-11-12,86.08,86.51,84.63,84.69,2337800.0
2015-11-13,84.44,85.33,83.88,84.29,2002040.0
2015-11-16,84.08,85.66,83.9,85.65,1850783.0
2015-11-17,85.97,86.67,85.23,85.46,1487935.0
2015-11-18,85.91,87.55,85.85,87.38,2142900.0
2015-11-19,87.17,87.63,86.52,87.4,1763167.0
2015-11-20,87.21,87.42,86.46,86.53,1797426.0
2015-11-23,86.51,86.88,85.88,86.14,1423123.0
2015-11-24,85.18,86.22,85.01,85.92,1710821.0
2015-11-25,86.0,86.18,85.49,85.78,1204850.0
2015-11-27,85.81,86.44,85.57,86.28,522022.0
2015-11-30,86.55,86.88,85.79,86.55,2479023.0
2015-12-01,87.0,87.6,86.54,87.49,2555695.0
2015-12-02,87.6,87.95,86.12,86.25,2514255.0
2015-12-03,86.71,86.76,84.13,84.53,2226613.0
2015-12-04,85.08,86.95,84.42,86.72,2130374.0
2015-12-07,86.44,86.67,85.29,86.09,1610360.0
2015-12-08,85.23,85.63,84.44,84.84,1942508.0
2015-12-09,84.56,86.1,83.48,84.08,2092273.0
2015-12-10,84.3,85.85,83.37,83.79,3190519.0
2015-12-11,82.39,82.7,80.06,80.69,3342385.0
2015-12-14,80.95,81.97,79.6,80.69,3212929.0
2015-12-15,81.71,83.89,81.67,83.06,3578461.0
2015-12-16,83.86,84.53,82.62,84.19,3547162.0
2015-12-17,84.46,84.49,81.61,81.85,2958159.0
2015-12-18,81.2,81.44,79.44,79.55,4181203.0
2015-12-21,80.15,80.86,79.17,80.05,2203263.0
2015-12-22,80.98,81.78,80.15,81.49,2334191.0
2015-12-23,81.91,83.11,81.67,82.96,1995481.0
2015-12-24,82.79,83.26,82.53,82.55,480807.0
2015-12-28,82.17,82.53,81.63,82.45,1074268.0
2015-12-29,83.13,83.54,82.57,83.21,1625338.0
2015-12-30,83.0,83.12,82.01,82.17,1122847.0
2015-12-31,81.73,82.45,81.14,81.41,1214122.0
2016-01-04,79.55,79.88,78.37,79.84,2913411.0
2016-01-05,79.85,80.34,78.83,79.57,2137772.0
2016-01-06,78.06,78.29,76.37,76.92,3137694.0
2016-01-07,75.05,75.96,73.49,73.79,3953299.0
2016-01-08,74.9,75.42,72.85,73.05,3584027.0
2016-01-11,73.42,73.82,71.74,72.89,2810129.0
2016-01-12,74.02,74.17,71.95,73.12,2686134.0
2016-01-13,74.9,75.67,71.18,71.82,5032225.0
2016-01-14,72.16,73.06,70.27,72.07,4165765.0
2016-01-15,69.18,70.48,68.64,70.17,4422793.0
2016-01-19,71.24,71.55,68.84,69.29,3400208.0
2016-01-20,67.15,68.22,65.07,67.36,5075061.0
2016-01-21,67.75,69.35,67.6,68.13,3662958.0
2016-01-22,69.43,70.3,69.0,69.87,3497141.0
2016-01-25,69.52,70.12,67.78,67.88,2669208.0
2016-01-26,68.2,69.75,68.12,69.11,2437644.0
2016-01-27,69.09,70.37,67.91,68.51,2771307.0
2016-01-28,69.46,69.53,67.91,68.84,2383890.0
2016-01-29,69.05,70.08,68.36,70.08,4239152.0
2016-02-01,69.34,69.95,68.34,69.57,3155383.0
2016-02-02,68.15,68.15,66.77,67.23,3850116.0
2016-02-03,67.8,67.85,65.09,66.79,4003738.0
2016-02-04,66.42,67.77,66.03,66.98,3292762.0
2016-02-05,67.02,67.81,65.0,65.35,4615741.0
2016-02-08,64.81,64.97,62.52,63.33,3594589.0
2016-02-09,62.15,64.13,61.38,63.59,4453474.0
2016-02-10,64.76,65.47,63.77,64.06,5123936.0
2016-02-11,60.69,60.84,57.19,58.0,8850978.0
2016-02-12,58.63,62.48,58.54,61.64,6458849.0
2016-02-16,62.66,63.86,61.74,63.44,4026763.0
2016-02-17,64.88,67.19,64.85,66.6,5792756.0
2016-02-18,66.64,66.92,65.52,66.14,3578078.0
2016-02-19,64.98,65.44,63.96,65.36,3114760.0
2016-02-22,66.19,66.83,65.68,66.08,2616454.0
2016-02-23,65.85,66.08,64.03,64.59,3313699.0
2016-02-24,63.63,64.85,62.62,64.71,3728994.0
2016-02-25,64.95,66.1,64.64,66.07,1959035.0
2016-02-26,66.83,68.27,66.56,66.99,3145155.0
2016-02-29,66.65,67.11,65.99,66.09,2920684.0
2016-03-01,67.2,70.34,67.04,70.31,4489912.0
2016-03-02,70.23,71.2,69.91,70.76,3166679.0
2016-03-03,70.39,71.97,70.37,71.87,2646571.0
2016-03-04,72.24,72.65,70.8,71.47,2550348.0
2016-03-07,70.8,72.17,70.68,72.13,2152604.0
2016-03-08,70.98,71.49,69.44,70.31,2895352.0
2016-03-09,70.97,71.27,69.91,70.41,2271787.0
2016-03-10,71.04,72.05,69.33,70.56,3103457.0
2016-03-11,71.61,73.7,71.61,73.55,2992050.0
2016-03-14,73.16,73.62,72.74,73.0,2836449.0
2016-03-15,72.2,72.42,71.36,72.42,2318038.0
2016-03-16,72.36,73.36,71.76,72.56,2271479.0
2016-03-17,72.57,73.91,71.44,73.36,2472626.0
2016-03-18,73.96,75.41,73.84,74.94,3792736.0
2016-03-21,74.95,75.57,74.05,74.55,2171417.0
2016-03-22,73.31,74.4,73.0,74.12,2513077.0
2016-03-23,73.83,74.0,72.59,72.83,2065729.0
2016-03-24,70.0,70.78,69.35,70.76,6005280.0
2016-03-28,71.13,72.33,71.03,72.01,3020050.0
2016-03-29,71.5,71.67,70.33,71.52,2563459.0
2016-03-30,72.26,74.73,71.86,72.95,4185996.0
2016-03-31,72.85,73.4,71.87,72.22,2550871.0
2016-04-01,71.52,73.33,70.81,73.25,2486025.0
2016-04-04,73.12,73.28,72.11,72.28,1800924.0
2016-04-05,71.41,71.82,70.87,71.2,2147103.0
2016-04-06,71.33,72.28,71.06,71.84,2485585.0
2016-04-07,70.98,71.47,69.32,70.01,2895790.0
2016-04-08,71.08,71.32,69.77,70.17,3562878.0
2016-04-11,70.89,72.28,70.84,71.54,2115629.0
2016-04-12,71.98,73.53,71.74,73.27,2463043.0
2016-04-13,74.2,75.83,74.2,75.77,2553717.0
2016-04-14,75.57,76.59,75.23,76.29,1904036.0
2016-04-15,76.21,76.34,75.56,76.01,1995615.0
2016-04-18,75.68,76.65,75.36,76.65,1865533.0
2016-04-19,76.99,77.95,76.81,77.5,1928731.0
2016-04-20,77.94,79.1,77.53,78.89,2157541.0
2016-04-21,78.91,79.45,78.46,78.59,1817137.0
2016-04-22,78.81,79.97,78.76,79.58,1699223.0
2016-04-25,78.94,79.36,78.01,78.85,1644259.0
2016-04-26,79.19,79.74,78.77,79.71,1960612.0
2016-04-27,79.67,80.45,79.2,79.65,2590946.0
2016-04-28,78.74,79.12,77.66,77.94,2631945.0
2016-04-29,77.66,78.13,76.87,77.64,2524981.0
2016-05-02,78.28,78.8,77.34,78.67,1543640.0
2016-05-03,77.35,77.52,75.96,77.47,2347326.0
2016-05-04,76.84,77.08,75.78,76.27,4065198.0
2016-05-05,74.93,76.83,74.93,75.83,2620947.0
2016-05-06,75.34,76.36,75.01,76.05,2122134.0
2016-05-09,76.03,76.31,75.33,75.63,1598082.0
2016-05-10,76.17,77.47,75.91,77.16,2285645.0
2016-05-11,76.78,77.54,76.21,76.21,1787440.0
2016-05-12,76.83,77.13,75.64,76.43,2050136.0
2016-05-13,76.17,77.31,75.21,75.4,1941948.0
2016-05-16,75.66,76.43,75.41,75.95,1736152.0
2016-05-17,76.02,76.86,75.59,75.91,1582800.0
2016-05-18,75.95,79.31,75.74,79.02,3668304.0
2016-05-19,78.7,79.33,77.11,77.8,2743841.0
2016-05-20,77.79,78.91,77.47,77.67,2383231.0
2016-05-23,77.27,77.94,76.78,77.2,1507177.0
2016-05-24,78.06,79.18,77.78,78.72,1639970.0
2016-05-25,79.15,80.49,79.11,79.69,1697621.0
2016-05-26,79.61,79.81,78.41,78.47,2247169.0
2016-05-27,78.81,79.54,78.36,79.54,1534216.0
2016-05-31,80.0,80.0,78.69,79.25,2515679.0
2016-06-01,78.09,79.18,77.28,78.82,2210340.0
2016-06-02,78.73,78.9,78.31,78.73,1994346.0
2016-06-03,77.19,77.35,75.29,76.12,4225091.0
2016-06-06,76.5,77.72,76.25,77.27,2131314.0
2016-06-07,77.55,77.56,76.8,76.82,1547510.0
2016-06-08,76.64,77.3,76.55,76.81,1505430.0
2016-06-09,76.19,76.25,74.89,75.15,2716650.0
2016-06-10,74.25,74.35,73.34,73.54,2490398.0
2016-06-13,73.09,73.94,72.73,73.12,2560195.0
2016-06-14,73.0,73.51,71.4,71.98,2140921.0
2016-06-15,72.41,73.2,71.69,71.77,2980974.0
2016-06-16,70.85,71.77,70.04,71.74,3689776.0
2016-06-17,71.76,72.47,71.48,72.19,3343477.0
2016-06-20,73.63,74.62,73.16,73.21,2812675.0
2016-06-21,73.83,74.03,72.98,73.72,2205660.0
2016-06-22,73.95,74.9,73.87,74.03,2181352.0
2016-06-23,75.38,76.97,75.3,76.95,2904748.0
2016-06-24,71.78,72.82,70.65,70.91,6561630.0
2016-06-27,69.29,69.53,68.12,68.23,298669.0
2016-06-28,69.02,69.07,67.3,68.7,3152756.0
2016-06-29,69.17,70.15,68.21,70.14,4229698.0
2016-06-30,70.42,71.34,69.69,71.34,2758557.0
2016-07-01,70.11,71.85,70.11,71.0,2097890.0
2016-07-05,69.71,70.1,68.06,68.74,2633250.0
2016-07-06,68.13,69.18,67.51,69.14,2361519.0
2016-07-07,69.17,70.47,68.56,69.04,2405858.0
2016-07-08,70.25,71.33,70.0,70.99,2057571.0
2016-07-11,71.76,72.27,71.4,71.81,2050127.0
2016-07-12,73.0,73.91,72.88,73.49,2639241.0
2016-07-13,73.29,73.78,72.26,73.1,1678088.0
2016-07-14,74.9,75.49,74.56,75.02,2698196.0
2016-07-15,75.57,75.71,74.71,75.11,2104836.0
2016-07-18,74.88,75.86,74.54,75.4,2086728.0
2016-07-19,74.78,75.31,74.54,75.17,1541868.0
2016-07-20,75.61,75.66,74.82,75.54,1836792.0
2016-07-21,75.73,75.93,75.12,75.43,1279470.0
2016-07-22,75.75,75.86,75.13,75.76,1183893.0
2016-07-25,75.52,75.76,75.06,75.54,1366628.0
2016-07-26,75.44,76.0,75.44,75.89,1037987.0
2016-07-27,75.77,76.17,74.9,75.42,1841658.0
2016-07-28,75.29,75.94,74.71,75.77,1185667.0
2016-07-29,75.07,75.9,75.01,75.29,2558224.0
2016-08-01,75.59,75.84,74.56,74.85,1993428.0
2016-08-02,74.9,75.32,73.2,73.97,2657086.0
2016-08-03,74.29,76.51,74.25,76.15,2732714.0
2016-08-04,74.56,75.0,72.25,72.84,4007094.0
2016-08-05,73.93,76.21,73.93,76.03,3533695.0
2016-08-08,76.36,77.46,76.16,77.3,3486165.0
2016-08-09,77.27,77.64,76.93,77.48,2411137.0
2016-08-10,77.46,77.62,76.07,76.18,2775292.0
2016-08-11,76.21,76.9,76.02,76.51,2302967.0
2016-08-12,75.49,75.8,74.85,75.52,3053060.0
2016-08-15,76.33,76.96,76.2,76.71,1945540.0
2016-08-16,76.48,76.95,76.2,76.73,1986444.0
2016-08-17,76.75,77.15,76.63,77.04,1986752.0
2016-08-18,77.02,77.13,76.3,76.52,1793171.0
2016-08-19,75.7,76.34,75.2,76.18,1586240.0
2016-08-22,75.82,76.2,75.5,76.07,1428191.0
2016-08-23,76.44,77.13,76.37,76.46,1376005.0
2016-08-24,76.72,77.04,76.53,76.71,1231236.0
2016-08-25,76.62,77.34,76.62,77.29,1599809.0
2016-08-26,77.49,78.44,77.01,77.57,2004729.0
2016-08-29,77.77,79.05,77.77,78.61,1625592.0
2016-08-30,78.75,79.71,78.61,79.56,1986232.0
2016-08-31,79.62,79.97,78.57,79.38,2660542.0
2016-09-01,79.62,79.98,77.97,78.84,2207957.0
2016-09-02,79.14,79.94,78.76,79.49,2146201.0
2016-09-06,79.42,79.42,77.95,78.59,2171588.0
2016-09-07,78.37,78.75,78.01,78.51,1962221.0
2016-09-08,78.77,79.05,78.17,78.69,2052595.0
