Date,open,high,low,close,volume
2015-04-27,68.77,69.68,68.61,69.23,11803059.0
2015-04-28,69.04,69.82,69.01,69.65,8272458.0
2015-04-29,69.19,69.34,68.0,68.67,7585742.0
2015-04-30,68.33,68.59,67.61,68.0,8058484.0
2015-05-01,68.31,68.54,67.95,68.41,7140671.0
2015-05-04,68.45,69.36,68.22,69.05,6959579.0
2015-05-05,68.85,69.0,68.13,68.37,8541873.0
2015-05-06,68.2,68.85,67.5,67.81,7780117.0
2015-05-07,67.8,68.45,67.79,68.43,6417598.0
2015-05-08,68.85,69.41,68.55,69.41,7261588.0
2015-05-11,69.17,69.35,68.82,69.05,6262121.0
2015-05-12,68.7,69.02,68.1,68.78,8000445.0
2015-05-13,69.23,70.5,69.0,69.73,11922379.0
2015-05-14,69.99,70.66,69.81,70.52,10776198.0
2015-05-15,70.61,71.09,70.43,71.06,9778636.0
2015-05-18,70.99,71.13,70.25,70.42,5306372.0
2015-05-19,70.33,70.42,69.47,69.62,7559765.0
2015-05-20,69.8,69.84,69.22,69.28,7330584.0
2015-05-21,69.63,70.95,69.03,70.09,26172449.0
2015-05-22,69.57,69.94,69.44,69.51,13157769.0
2015-05-26,69.53,69.62,68.75,69.36,13971442.0
2015-05-27,69.4,71.14,69.1,71.02,16751416.0
2015-05-28,70.95,71.31,70.51,70.6,11879475.0
2015-05-29,70.69,70.9,69.6,69.69,15784787.0
2015-06-01,69.51,69.9,69.11,69.41,8581786.0
2015-06-02,69.36,69.66,69.06,69.35,11416383.0
2015-06-03,69.8,70.05,69.45,69.86,6501634.0
2015-06-04,69.36,69.51,68.76,68.9,9884952.0
2015-06-05,68.96,68.96,68.22,68.25,7963428.0
2015-06-08,68.03,68.2,67.25,67.27,9001248.0
2015-06-09,67.38,67.47,66.77,66.84,7550495.0
2015-06-10,66.91,67.69,66.91,67.31,12078411.0
2015-06-11,67.59,67.81,67.38,67.61,6671576.0
2015-06-12,67.06,67.55,66.79,67.02,6803836.0
2015-06-15,66.54,66.84,66.06,66.62,6716632.0
2015-06-16,66.45,66.63,65.93,66.46,6451497.0
2015-06-17,66.69,67.08,66.08,66.55,9532861.0
2015-06-18,66.72,67.66,66.67,67.36,10321271.0
2015-06-19,67.41,67.51,66.64,66.82,11894303.0
2015-06-22,67.04,67.63,67.0,67.36,11702915.0
2015-06-23,67.54,67.62,66.76,66.98,11768738.0
2015-06-24,67.08,67.13,65.29,65.34,15238150.0
2015-06-25,65.51,65.87,65.02,65.26,9821915.0
2015-06-26,65.38,65.56,64.6,64.67,18450958.0
2015-06-29,63.4,64.03,62.58,62.62,16405789.0
2015-06-30,62.75,63.15,62.45,62.63,12511444.0
2015-07-01,63.1,63.28,62.01,62.9,12610076.0
2015-07-02,63.01,63.65,62.99,63.1,11265004.0
2015-07-06,62.66,63.55,62.65,63.12,10056146.0
2015-07-07,63.27,63.38,61.48,62.8,13566422.0
2015-07-08,62.45,62.6,61.7,61.92,13730691.0
