Date,open,high,low,close,volume
2015-04-27,7.31,7.37,7.28,7.29,5334270.0
2015-04-28,7.46,7.52,7.45,7.48,6278483.0
2015-04-29,7.51,7.57,7.45,7.49,7601097.0
2015-04-30,7.54,7.59,7.5,7.52,5249414.0
2015-05-01,7.49,7.58,7.49,7.54,6262232.0
2015-05-04,7.55,7.57,7.49,7.49,2613399.0
2015-05-05,7.4,7.41,7.26,7.28,5996654.0
2015-05-06,7.39,7.5,7.38,7.41,5793396.0
2015-05-07,7.38,7.45,7.33,7.36,4155714.0
2015-05-08,7.48,7.62,7.47,7.61,6475481.0
2015-05-11,7.53,7.57,7.5,7.52,3270176.0
2015-05-12,7.51,7.53,7.47,7.52,6723594.0
2015-05-13,7.57,7.61,7.5,7.52,13133955.0
2015-05-14,7.63,7.66,7.59,7.59,6075210.0
2015-05-15,7.55,7.6,7.51,7.58,3381958.0
2015-05-18,7.43,7.47,7.42,7.47,5056343.0
2015-05-19,7.41,7.46,7.4,7.46,4665819.0
2015-05-20,7.45,7.49,7.42,7.46,3247325.0
2015-05-21,7.45,7.5,7.43,7.5,3241353.0
2015-05-22,7.44,7.44,7.37,7.38,8631004.0
2015-05-26,7.16,7.18,7.04,7.06,11556836.0
2015-05-27,7.09,7.26,7.07,7.19,6111139.0
2015-05-28,7.15,7.21,7.08,7.19,5017337.0
2015-05-29,7.16,7.17,7.06,7.1,3415968.0
2015-06-01,7.08,7.09,6.97,7.05,8356975.0
2015-06-02,7.27,7.29,7.22,7.25,9224834.0
2015-06-03,7.31,7.43,7.31,7.35,4046257.0
2015-06-04,7.36,7.49,7.21,7.23,7118459.0
2015-06-05,7.19,7.3,7.15,7.22,7298997.0
2015-06-08,7.22,7.22,7.16,7.2,4354798.0
2015-06-09,7.2,7.25,7.13,7.19,4773042.0
2015-06-10,7.3,7.43,7.28,7.37,6419289.0
2015-06-11,7.36,7.4,7.29,7.38,3599239.0
2015-06-12,7.21,7.29,7.15,7.26,4992540.0
2015-06-15,7.07,7.17,7.04,7.16,7149579.0
2015-06-16,7.04,7.14,7.01,7.12,5336262.0
2015-06-17,7.13,7.14,7.02,7.08,5175459.0
2015-06-18,7.18,7.42,7.16,7.26,9662247.0
2015-06-19,7.27,7.28,7.21,7.24,5085696.0
2015-06-22,7.59,7.72,7.58,7.6,11431003.0
2015-06-23,7.62,7.64,7.54,7.55,4334200.0
2015-06-24,7.46,7.51,7.44,7.46,3909298.0
2015-06-25,7.47,7.5,7.4,7.46,3542736.0
2015-06-26,7.54,7.61,7.48,7.53,4388337.0
2015-06-29,7.1,7.17,6.99,7.0,18583239.0
2015-06-30,7.14,7.16,6.95,7.01,18621013.0
2015-07-01,7.1,7.11,7.01,7.04,6543166.0
2015-07-02,7.04,7.07,7.01,7.05,3601925.0
2015-07-06,6.72,6.85,6.7,6.78,14885837.0
2015-07-07,6.65,6.85,6.54,6.79,15248344.0
2015-07-08,6.7,6.72,6.62,6.64,7428021.0
2015-07-09,6.91,6.93,6.8,6.82,9503271.0
2015-07-10,7.24,7.26,7.16,7.22,16936484.0
2015-07-13,7.28,7.29,7.21,7.24,5758596.0
2015-07-14,7.17,7.22,7.14,7.2,3563500.0
2015-07-15,7.21,7.23,7.16,7.18,3427604.0
2015-07-16,7.3,7.34,7.27,7.31,4532409.0
2015-07-17,7.29,7.3,7.21,7.24,2778727.0
2015-07-20,7.26,7.29,7.24,7.27,4051735.0
2015-07-21,7.25,7.3,7.22,7.25,6004018.0
2015-07-22,7.26,7.31,7.23,7.28,4697930.0
2015-07-23,7.29,7.32,7.21,7.24,4276833.0
2015-07-24,7.16,7.19,7.07,7.09,4735004.0
2015-07-27,7.1,7.12,7.01,7.03,5546898.0
2015-07-28,7.1,7.12,7.05,7.1,2545371.0
2015-07-29,7.0,7.11,6.99,7.09,4310012.0
2015-07-30,6.83,6.84,6.72,6.78,10402329.0
2015-07-31,6.78,6.87,6.75,6.81,6775860.0
2015-08-03,6.85,6.87,6.78,6.8,4468331.0
2015-08-04,6.74,6.76,6.7,6.72,4294238.0
2015-08-05,6.78,6.83,6.73,6.76,2955581.0
2015-08-06,6.77,6.8,6.74,6.78,4198039.0
2015-08-07,6.73,6.79,6.72,6.76,3126496.0
2015-08-10,6.83,6.92,6.82,6.92,3868110.0
2015-08-11,6.87,6.88,6.75,6.8,19417190.0
