Date,open,high,low,close,volume
2015-04-27,76.62,77.11,76.33,76.39,1239923.0
2015-04-28,76.83,76.99,76.2,76.54,994480.0
2015-04-29,76.87,77.07,75.86,76.22,1260752.0
2015-04-30,76.25,76.53,75.47,75.69,1048586.0
2015-05-01,75.9,76.86,75.89,76.4,766616.0
2015-05-04,76.48,76.65,76.21,76.21,1398223.0
2015-05-05,75.29,75.34,74.26,74.47,1324983.0
2015-05-06,75.07,75.39,74.45,74.72,1415462.0
2015-05-07,75.08,75.89,74.97,75.31,1241159.0
2015-05-08,75.69,76.35,75.65,76.01,510739.0
2015-05-11,75.53,75.87,75.42,75.49,770269.0
2015-05-12,75.22,75.6,74.91,75.27,1034140.0
2015-05-13,76.21,76.65,75.61,75.72,782870.0
2015-05-14,76.62,77.36,76.41,77.27,1299313.0
2015-05-15,76.88,77.08,76.56,76.83,797591.0
2015-05-18,75.74,76.05,75.43,75.63,837231.0
2015-05-19,75.4,75.81,75.28,75.6,556696.0
2015-05-20,75.33,75.85,75.21,75.7,643803.0
2015-05-21,75.48,75.98,75.41,75.8,627294.0
2015-05-22,75.13,75.16,74.69,74.71,488882.0
2015-05-26,74.08,74.14,73.03,73.5,887393.0
2015-05-27,73.26,74.29,73.13,74.19,1136888.0
2015-05-28,74.56,74.61,73.86,74.26,807569.0
2015-05-29,74.26,74.46,73.75,73.9,824128.0
2015-06-01,74.08,74.17,73.28,73.86,465575.0
2015-06-02,74.63,75.09,74.39,74.68,680532.0
2015-06-03,75.21,75.97,75.18,75.66,516275.0
2015-06-04,75.2,76.11,74.68,74.84,568715.0
2015-06-05,73.63,74.15,73.2,73.64,771576.0
2015-06-08,73.62,73.75,73.1,73.42,718802.0
2015-06-09,72.77,73.02,72.29,72.73,721147.0
2015-06-10,73.59,74.38,73.17,74.09,636745.0
2015-06-11,74.46,74.73,73.8,74.2,566199.0
2015-06-12,73.42,73.92,72.94,73.55,630887.0
2015-06-15,72.05,72.76,71.93,72.47,660430.0
2015-06-16,72.15,73.17,72.04,72.96,666333.0
2015-06-17,72.88,73.2,72.25,72.89,794228.0
2015-06-18,72.57,74.08,72.47,73.26,1235400.0
2015-06-19,72.71,72.85,72.35,72.66,842091.0
2015-06-22,74.68,75.57,74.53,74.81,1259412.0
2015-06-23,74.87,74.93,74.42,74.48,555510.0
2015-06-24,73.92,74.12,73.4,73.51,679525.0
2015-06-25,73.83,73.93,73.2,73.5,677087.0
2015-06-26,73.69,73.75,72.67,72.97,603083.0
2015-06-29,71.77,72.0,70.52,70.68,1251426.0
2015-06-30,70.93,70.95,69.65,70.23,1517314.0
2015-07-01,70.8,70.99,70.17,70.37,1240240.0
2015-07-02,70.37,70.38,69.72,69.96,668455.0
2015-07-06,67.81,68.85,67.73,68.26,1637440.0
2015-07-07,67.87,69.06,67.02,68.84,2377260.0
2015-07-08,68.75,69.19,68.28,68.48,950913.0
2015-07-09,70.16,70.54,69.76,69.81,993998.0
2015-07-10,72.84,72.87,72.06,72.27,1457599.0
2015-07-13,72.82,73.06,72.51,72.6,994593.0
2015-07-14,73.1,73.48,72.96,73.21,771803.0
2015-07-15,73.63,74.76,73.37,74.15,1808430.0
2015-07-16,74.69,74.84,74.43,74.6,938313.0
2015-07-17,74.68,74.7,73.91,74.17,684594.0
2015-07-20,75.04,75.08,74.29,74.46,1474600.0
2015-07-21,74.52,74.73,71.9,72.8,3496695.0
2015-07-22,72.87,73.24,72.37,72.56,2116609.0
2015-07-23,73.31,73.74,73.08,73.42,1215393.0
2015-07-24,73.51,73.64,72.23,72.43,2554381.0
2015-07-27,72.49,72.53,71.57,71.69,1817529.0
2015-07-28,71.55,72.39,71.43,72.26,2261671.0
2015-07-29,71.74,72.57,71.64,72.09,867113.0
2015-07-30,71.16,71.77,70.75,71.64,1265810.0
2015-07-31,71.87,72.1,71.46,71.67,513057.0
2015-08-03,72.45,72.45,71.35,71.62,977041.0
2015-08-04,72.15,72.31,71.77,71.92,870264.0
2015-08-05,72.22,72.78,72.14,72.35,443948.0
2015-08-06,72.86,72.96,72.14,72.26,772332.0
2015-08-07,71.81,72.07,71.46,72.0,580870.0
2015-08-10,72.26,73.28,72.25,73.08,483567.0
2015-08-11,72.32,72.41,71.27,71.62,572349.0
2015-08-12,70.98,71.6,70.23,71.58,1114481.0
