Date,open,high,low,close,volume
2015-04-27,5.0,5.0,4.92,5.0,111600.0
2015-04-28,5.0,5.09,4.95,5.03,170400.0
2015-04-29,5.04,5.1,5.04,5.1,138800.0
2015-04-30,5.12,5.14,5.06,5.1,116400.0
2015-05-01,5.12,5.12,4.85,5.03,506700.0
2015-05-04,5.09,5.1,4.91,4.99,320200.0
2015-05-05,5.01,5.09,4.93,4.95,225000.0
2015-05-06,5.01,5.07,4.95,4.95,199200.0
2015-05-07,5.0,5.02,4.85,4.87,310400.0
2015-05-08,4.9,5.0,4.85,4.96,213500.0
2015-05-11,4.97,4.99,4.9,4.94,209600.0
2015-05-12,4.96,5.02,4.94,5.0,373100.0
2015-05-13,4.57,4.89,4.43,4.73,487800.0
2015-05-14,4.8,4.8,4.65,4.69,190900.0
2015-05-15,4.67,4.68,4.6,4.62,153700.0
2015-05-18,4.6,4.6,4.31,4.33,353100.0
2015-05-19,4.33,4.36,4.21,4.28,151600.0
2015-05-20,4.3,4.32,4.14,4.27,186200.0
2015-05-21,4.3,4.4,4.25,4.3,179900.0
2015-05-22,4.32,4.54,4.31,4.45,159500.0
2015-05-26,4.52,4.7,4.46,4.63,164600.0
2015-05-27,4.65,4.68,4.47,4.48,98100.0
2015-05-28,4.42,4.49,4.31,4.39,95900.0
2015-05-29,4.49,4.64,4.36,4.43,280900.0
2015-06-01,4.45,4.53,4.41,4.5,164900.0
2015-06-02,4.49,4.54,4.48,4.52,90400.0
2015-06-03,4.5,4.62,4.5,4.6,79500.0
2015-06-04,4.55,4.6,4.52,4.54,90100.0
2015-06-05,4.49,4.53,4.39,4.51,154100.0
2015-06-08,4.51,4.51,4.41,4.44,85700.0
2015-06-09,4.38,4.48,4.38,4.46,70100.0
2015-06-10,4.43,4.53,4.36,4.47,147100.0
2015-06-11,4.47,4.48,4.35,4.38,149600.0
2015-06-12,4.43,4.48,4.31,4.45,111900.0
2015-06-15,4.39,4.39,4.32,4.35,82100.0
2015-06-16,4.32,4.34,4.3,4.33,75800.0
2015-06-17,4.32,4.37,4.31,4.35,62900.0
2015-06-18,4.36,4.43,4.3,4.32,82800.0
2015-06-19,4.29,4.33,4.24,4.28,127200.0
2015-06-22,4.34,4.36,4.24,4.27,134400.0
2015-06-23,4.25,4.28,4.22,4.25,141700.0
2015-06-24,4.23,4.25,4.22,4.23,65500.0
2015-06-25,4.23,4.25,4.2,4.23,112200.0
2015-06-26,4.21,4.24,4.2,4.23,77000.0
2015-06-29,4.2,4.22,4.19,4.22,116100.0
