Date,open,high,low,close,volume
2015-04-27,13.62,13.82,13.27,13.48,1097300.0
2015-04-28,13.47,14.18,13.31,14.13,1765600.0
2015-04-29,14.07,15.01,13.94,14.6,1948100.0
2015-04-30,14.86,14.88,14.18,14.69,1548000.0
2015-05-01,14.5,14.79,14.07,14.45,1323300.0
2015-05-04,14.5,14.57,13.75,14.03,1477600.0
2015-05-05,14.5,14.55,13.94,14.2,2114600.0
2015-05-06,14.42,14.52,13.45,13.65,2377700.0
2015-05-07,13.09,13.39,12.37,12.65,4285800.0
2015-05-08,12.78,12.93,11.89,12.91,3405600.0
2015-05-11,13.35,13.61,12.38,12.39,2208100.0
2015-05-12,12.51,12.85,12.32,12.81,2145100.0
2015-05-13,12.89,12.89,12.08,12.11,2331300.0
2015-05-14,12.1,12.42,11.5,11.66,3026900.0
2015-05-15,11.43,11.81,11.08,11.67,2522600.0
2015-05-18,11.64,11.82,11.27,11.32,2176700.0
2015-05-19,11.13,11.19,10.6,11.11,3114900.0
2015-05-20,11.21,11.22,10.51,11.14,2176900.0
2015-05-21,11.29,11.44,11.07,11.15,2315800.0
2015-05-22,11.01,11.31,10.87,11.08,1965200.0
2015-05-26,10.8,10.94,10.43,10.6,1525300.0
2015-05-27,10.5,11.06,10.38,10.96,1637100.0
2015-05-28,10.72,10.75,10.14,10.16,3007800.0
2015-05-29,10.3,10.37,10.06,10.08,2605500.0
2015-06-01,10.03,10.07,9.59,9.8,1996500.0
2015-06-02,10.15,10.62,9.96,10.46,2123200.0
2015-06-03,10.35,10.97,10.35,10.56,1790100.0
2015-06-04,10.45,10.56,10.22,10.32,1307200.0
2015-06-05,10.26,10.97,10.15,10.44,1793700.0
2015-06-08,10.42,10.5,9.85,10.07,1723100.0
2015-06-09,10.26,10.56,10.22,10.26,1571700.0
2015-06-10,10.57,10.74,10.39,10.47,1726900.0
2015-06-11,10.45,10.51,9.9,9.91,1341200.0
2015-06-12,9.86,9.97,9.45,9.73,2723700.0
