Date,open,high,low,close,volume
2021-04-01,106.56,107.12,105.51,106.86,450246.0
2021-04-05,110.8,111.84,109.82,111.39,832558.0
2021-04-06,110.12,110.28,109.33,109.9,439400.0
2021-04-07,110.55,111.34,109.64,110.86,489371.0
2021-04-08,109.3,109.96,109.0,109.82,562597.0
2021-04-09,111.51,112.06,110.51,111.79,823435.0
2021-04-12,111.49,112.3,111.13,111.39,444857.0
2021-04-13,111.98,112.36,111.47,111.88,534889.0
2021-04-14,112.49,112.81,111.71,111.78,410812.0
2021-04-15,112.75,113.5,112.12,112.77,508255.0
2021-04-16,111.65,111.67,110.71,111.1,642424.0
2021-04-19,111.05,111.24,109.41,109.98,413892.0
2021-04-20,109.65,110.1,108.0,108.61,489224.0
2021-04-21,107.23,108.59,106.7,108.44,559232.0
2021-04-22,109.03,110.05,108.54,108.94,906496.0
2021-04-23,109.79,110.33,109.39,109.94,428470.0
2021-04-26,109.0,109.7,108.85,108.92,536876.0
2021-04-27,106.5,107.7,105.36,106.67,1559187.0
2021-04-28,106.4,106.42,103.13,104.49,1735236.0
2021-04-29,105.42,105.49,104.11,104.85,908809.0
2021-04-30,101.33,102.3,100.0,100.16,1080541.0
2021-05-03,100.97,101.19,98.65,99.37,1026858.0
2021-05-04,98.92,99.23,96.49,96.79,1378454.0
2021-05-05,97.69,98.07,97.22,97.63,944248.0
2021-05-06,98.18,98.27,97.06,97.75,826133.0
2021-05-07,97.0,97.95,96.74,97.04,878457.0
2021-05-10,99.25,99.49,97.21,97.4,1045790.0
2021-05-11,95.55,96.22,94.43,96.05,976219.0
2021-05-12,95.14,95.32,92.84,93.05,1099206.0
2021-05-13,92.18,93.36,91.75,92.97,1242515.0
2021-05-14,93.67,94.3,93.11,94.15,696742.0
2021-05-17,94.27,94.63,93.47,93.92,662862.0
2021-05-18,94.16,96.09,94.16,95.0,912415.0
2021-05-19,94.53,95.38,93.83,95.31,534403.0
2021-05-20,95.99,97.3,95.99,96.9,518687.0
2021-05-21,97.32,97.44,96.36,96.38,491947.0
2021-05-24,96.84,97.0,96.57,96.78,380397.0
2021-05-25,98.51,98.79,97.92,98.35,895508.0
2021-05-26,98.47,99.47,98.41,98.42,577752.0
2021-05-27,99.2,99.79,98.49,99.57,549763.0
2021-05-28,100.09,100.53,99.5,99.61,425762.0
2021-06-01,99.86,99.86,98.8,99.18,546883.0
2021-06-02,98.73,98.97,97.59,98.06,545093.0
2021-06-03,97.77,99.31,97.1,98.75,754770.0
2021-06-04,99.71,101.05,99.58,100.69,891427.0
2021-06-07,99.7,100.31,99.62,100.15,1206270.0
2021-06-08,100.28,100.65,99.35,99.61,959937.0
2021-06-09,98.62,98.83,97.61,97.72,515646.0
2021-06-10,98.07,98.8,97.84,98.6,569440.0
2021-06-11,98.98,99.72,98.6,99.6,601892.0
2021-06-14,98.88,99.87,98.81,99.43,486579.0
2021-06-15,99.99,99.99,98.69,99.05,593914.0
2021-06-16,97.82,97.91,96.5,96.84,591543.0
2021-06-17,94.76,96.18,94.6,96.1,734293.0
2021-06-18,95.0,95.38,94.42,94.77,663158.0
2021-06-21,96.02,97.04,96.0,96.91,1062827.0
2021-06-22,97.65,98.23,97.5,97.7,717480.0
