Date,open,high,low,close,volume
2015-04-27,68.27,69.65,67.0,67.32,1814057.0
2015-04-28,67.15,67.62,64.89,66.63,1372546.0
2015-04-29,66.36,69.0,66.01,67.92,1753698.0
2015-04-30,67.13,67.66,65.35,66.36,1695164.0
2015-05-01,66.62,67.41,65.52,66.71,1507480.0
2015-05-04,66.7,67.82,66.61,67.17,1103078.0
2015-05-05,66.8,67.37,65.1,65.71,1602338.0
2015-05-06,66.0,66.65,64.83,66.06,1230411.0
2015-05-07,66.0,67.38,65.6,66.59,1359981.0
2015-05-08,68.01,69.9,67.96,68.55,2424148.0
2015-05-11,69.0,69.0,67.28,67.38,1375369.0
2015-05-12,67.23,68.3,66.1,67.67,1018713.0
2015-05-13,67.65,70.0,67.39,69.71,2124707.0
2015-05-14,69.99,70.62,68.62,70.42,2107610.0
2015-05-15,70.33,70.97,69.88,70.23,1978111.0
2015-05-18,68.9,69.0,66.7,67.03,3906436.0
2015-05-19,67.75,68.47,67.33,67.94,1930095.0
2015-05-20,69.33,69.68,67.61,68.02,2048332.0
2015-05-21,68.39,69.79,68.02,69.35,1863871.0
2015-05-22,69.29,69.52,68.24,68.94,1518419.0
2015-05-26,68.46,69.28,67.95,68.3,2672575.0
2015-05-27,67.51,69.37,66.22,69.35,2611750.0
2015-05-28,69.0,71.5,68.29,71.07,5065796.0
2015-05-29,68.64,69.85,65.81,67.58,12701315.0
2015-06-01,67.07,68.0,66.18,66.46,2831029.0
2015-06-02,66.39,67.43,65.18,66.16,2122553.0
2015-06-03,67.05,67.65,66.07,66.79,1724563.0
2015-06-04,66.21,66.73,64.7,65.39,2146896.0
2015-06-05,65.36,68.99,65.06,68.66,2923925.0
2015-06-08,68.28,69.4,67.46,67.95,2173252.0
2015-06-09,68.08,68.17,66.45,67.39,1472899.0
2015-06-10,67.93,69.75,67.72,69.43,1553517.0
2015-06-11,69.88,70.0,68.67,69.16,2094398.0
2015-06-12,67.63,70.4,67.6,68.91,2462447.0
2015-06-15,68.04,70.47,67.6,70.25,2159068.0
2015-06-16,70.09,70.99,69.35,70.58,1402309.0
2015-06-17,70.71,72.35,70.64,71.54,2342199.0
2015-06-18,71.87,73.48,71.18,73.07,2486854.0
2015-06-19,73.24,73.42,72.67,73.15,2187369.0
2015-06-22,73.76,74.13,72.85,73.6,1224082.0
2015-06-23,73.42,73.83,72.35,72.9,1356656.0
2015-06-24,72.92,73.04,70.72,71.31,1509921.0
2015-06-25,71.89,72.61,71.54,72.35,942272.0
2015-06-26,72.29,72.37,69.39,70.38,2347805.0
2015-06-29,68.66,70.27,67.85,68.06,1775077.0
2015-06-30,69.0,69.84,68.14,69.63,1296112.0
2015-07-01,71.41,71.49,69.03,69.48,997773.0
2015-07-02,69.78,70.26,68.6,69.72,936872.0
2015-07-06,68.76,69.43,68.08,68.56,1184632.0
2015-07-07,68.52,68.68,65.88,68.33,2050867.0
2015-07-08,67.27,68.49,66.95,67.36,1429657.0
2015-07-09,68.4,70.0,68.14,69.01,1415500.0
2015-07-10,70.87,72.54,70.09,71.85,1634229.0
2015-07-13,72.52,72.88,70.94,71.17,1394444.0
2015-07-14,71.41,72.67,70.8,72.22,1101035.0
2015-07-15,71.7,72.82,71.27,71.62,1119714.0
2015-07-16,71.87,73.47,71.5,72.6,1562136.0
2015-07-17,73.77,73.8,71.94,72.88,1150945.0
2015-07-20,73.16,73.94,72.46,73.2,845526.0
2015-07-21,73.13,73.68,71.81,73.01,989510.0
2015-07-22,72.44,74.0,72.06,73.27,960037.0
2015-07-23,73.75,76.29,73.34,74.82,1819701.0
2015-07-24,75.42,76.85,72.9,73.89,1691580.0
2015-07-27,72.83,72.95,70.21,70.6,1514663.0
2015-07-28,71.2,71.52,68.83,70.89,1685498.0
2015-07-29,67.3,69.42,67.3,68.97,2472305.0
2015-07-30,69.4,69.68,67.41,69.26,1190016.0
2015-07-31,69.3,70.81,68.63,69.94,1219235.0
2015-08-03,69.91,69.99,67.44,68.86,1916846.0
2015-08-04,68.15,69.39,67.51,68.11,1484561.0
2015-08-05,68.68,70.29,68.68,69.3,1288651.0
2015-08-06,69.05,69.95,67.12,68.31,2456348.0
2015-08-07,68.43,68.45,66.06,67.67,1595080.0
2015-08-10,68.19,70.3,67.96,69.38,1210408.0
2015-08-11,68.84,70.68,67.14,68.04,1312230.0
2015-08-12,67.53,68.33,66.66,68.03,1434097.0
2015-08-13,68.13,69.62,67.78,68.97,831261.0
2015-08-14,68.99,70.0,68.06,69.78,867949.0
2015-08-17,69.31,70.76,68.69,70.73,654638.0
2015-08-18,70.67,71.75,69.59,69.92,808096.0
2015-08-19,69.8,70.19,68.16,68.78,856877.0
2015-08-20,68.15,69.0,64.33,64.39,1943842.0
2015-08-21,63.34,64.75,61.64,62.14,2635296.0
2015-08-24,55.01,63.39,55.01,59.63,2929081.0
2015-08-25,62.74,62.99,59.16,59.18,1702819.0
2015-08-26,61.39,61.79,58.9,61.45,1548164.0
2015-08-27,62.2,64.89,60.84,64.25,3856621.0
2015-08-28,65.78,66.81,60.01,62.76,6217359.0
2015-08-31,62.21,63.76,61.78,62.01,2054403.0
2015-09-01,60.21,61.44,59.19,59.6,2461698.0
2015-09-02,60.3,60.6,55.47,59.1,2511270.0
2015-09-03,59.5,61.61,59.5,59.92,2279451.0
2015-09-04,58.84,59.51,58.01,58.27,1252660.0
2015-09-08,59.57,61.08,58.87,60.95,1277851.0
2015-09-09,61.48,61.87,59.01,59.2,1597976.0
2015-09-10,58.99,60.71,58.32,60.06,1044402.0
2015-09-11,59.48,59.98,58.5,59.61,1478416.0
2015-09-14,59.57,59.68,58.51,59.35,926802.0
2015-09-15,59.28,59.71,58.4,59.43,1305923.0
2015-09-16,59.32,59.62,58.55,59.21,1023709.0
2015-09-17,59.24,59.5,58.14,58.65,1385197.0
2015-09-18,57.22,59.88,57.22,58.54,1985572.0
2015-09-21,58.84,61.14,58.77,59.51,1262097.0
2015-09-22,58.78,58.91,56.28,57.63,1539615.0
2015-09-23,57.34,59.09,57.12,58.61,1752179.0
2015-09-24,58.25,58.41,56.35,57.87,2100269.0
2015-09-25,58.61,59.86,56.8,57.21,1581175.0
2015-09-28,56.78,57.0,53.64,54.02,2075167.0
2015-09-29,53.87,54.62,51.71,54.46,2178003.0
2015-09-30,54.73,56.2,54.37,55.36,2041111.0
2015-10-01,55.33,55.99,54.1,55.92,1465682.0
2015-10-02,55.01,56.59,54.24,56.33,1900155.0
2015-10-05,56.36,56.36,53.8,55.3,3278620.0
2015-10-06,55.48,56.99,54.66,55.29,1856172.0
2015-10-07,55.42,57.48,54.33,57.48,1817253.0
2015-10-08,57.36,57.36,54.81,56.37,1516481.0
2015-10-09,56.8,58.3,56.04,58.21,1246309.0
2015-10-12,57.87,58.05,56.78,57.25,1077647.0
2015-10-13,56.99,58.02,55.81,55.95,848571.0
2015-10-14,55.8,56.92,54.85,54.96,1189949.0
2015-10-15,55.14,56.69,54.66,56.19,1652798.0
2015-10-16,56.32,57.77,55.82,57.68,1194118.0
2015-10-19,57.62,60.0,57.55,58.79,1429035.0
2015-10-20,58.87,59.62,57.28,57.76,1033135.0
2015-10-21,57.84,58.05,54.86,54.96,1642744.0
2015-10-22,55.18,57.82,54.88,57.06,1615072.0
2015-10-23,57.06,57.26,55.11,56.27,1818335.0
2015-10-26,56.49,56.53,54.65,55.04,4683219.0
2015-10-27,54.99,55.03,53.75,54.64,1676910.0
2015-10-28,54.98,57.63,54.08,57.23,1678903.0
2015-10-29,57.07,58.33,55.87,55.98,1176245.0
2015-10-30,56.79,56.81,55.38,56.16,1109031.0
2015-11-02,56.42,57.43,56.0,56.81,1158017.0
2015-11-03,56.57,57.67,56.44,57.14,1214730.0
2015-11-04,57.17,58.55,57.09,57.46,1667656.0
2015-11-05,57.2,57.5,55.27,55.35,1827168.0
2015-11-06,57.7,61.09,57.31,60.17,2640894.0
2015-11-09,60.17,60.44,58.17,59.07,1028131.0
2015-11-10,58.59,58.93,56.59,57.67,1274580.0
2015-11-11,58.04,58.32,56.24,57.17,900811.0
2015-11-12,56.88,61.38,56.88,58.78,1870541.0
2015-11-13,58.63,59.6,57.45,59.0,1706208.0
2015-11-16,59.17,60.41,58.66,60.03,1714314.0
2015-11-17,60.45,61.9,60.12,61.22,1971088.0
2015-11-18,61.26,62.09,60.8,61.92,1741945.0
2015-11-19,62.36,63.29,61.54,62.76,2891277.0
2015-11-20,64.88,66.9,60.15,60.54,7394826.0
2015-11-23,58.92,60.5,58.33,58.49,3666778.0
2015-11-24,57.97,59.84,57.77,59.5,1767724.0
2015-11-25,59.1,59.97,59.04,59.14,1111023.0
2015-11-27,58.93,59.97,58.76,59.84,681677.0
