Date,open,high,low,close,volume
2015-04-27,55.97,59.22,55.55,58.6,1150900.0
2015-04-28,58.44,59.53,58.31,59.04,1013300.0
2015-04-29,58.89,60.6,58.73,59.79,1895400.0
2015-04-30,59.46,59.66,58.13,58.45,926600.0
2015-05-01,58.86,58.88,57.89,58.5,830400.0
2015-05-04,58.65,59.42,58.6,59.18,661700.0
2015-05-05,58.91,59.79,58.8,59.21,710400.0
2015-05-06,59.5,59.5,58.73,59.16,801800.0
2015-05-07,59.24,59.77,58.67,59.72,665600.0
2015-05-08,60.18,60.5,59.95,60.07,522400.0
2015-05-11,60.05,60.65,60.0,60.26,478100.0
2015-05-12,59.9,60.15,59.12,59.56,392200.0
2015-05-13,59.65,60.36,59.64,60.12,388500.0
2015-05-14,60.43,60.9,60.18,60.33,280100.0
2015-05-15,60.37,60.47,59.82,59.99,319200.0
2015-05-18,59.88,60.41,59.79,60.16,435600.0
2015-05-19,60.0,60.1,59.24,59.7,290000.0
2015-05-20,60.15,60.25,59.66,59.89,312000.0
2015-05-21,59.94,60.38,59.77,60.0,345700.0
2015-05-22,59.96,60.42,59.55,59.75,162000.0
2015-05-26,59.61,59.69,58.73,58.93,277800.0
2015-05-27,59.35,59.65,58.91,59.56,394700.0
2015-05-28,59.42,59.62,58.92,59.22,424400.0
2015-05-29,59.24,59.32,58.29,58.72,530000.0
2015-06-01,58.87,59.39,58.11,59.17,538600.0
2015-06-02,58.8,60.46,58.67,60.03,506300.0
2015-06-03,60.19,61.2,59.74,61.1,543900.0
2015-06-04,60.62,61.31,60.29,60.73,795300.0
2015-06-05,60.84,60.84,59.96,60.68,484500.0
2015-06-08,60.46,60.9,60.26,60.3,548700.0
2015-06-09,60.27,60.86,59.54,59.79,410400.0
2015-06-10,60.41,60.95,59.89,60.36,447600.0
2015-06-11,60.31,60.59,60.01,60.23,198600.0
2015-06-12,59.87,60.18,59.57,59.86,238300.0
2015-06-15,59.2,61.59,58.42,60.0,808700.0
2015-06-16,59.95,60.36,59.66,60.16,466500.0
2015-06-17,60.23,60.72,59.74,60.1,466500.0
2015-06-18,60.35,60.97,59.86,60.9,455500.0
2015-06-19,60.82,61.2,60.33,60.85,453800.0
2015-06-22,61.12,61.4,60.96,61.17,300000.0
2015-06-23,61.37,61.73,61.07,61.53,339200.0
2015-06-24,61.48,61.66,60.61,60.71,275200.0
2015-06-25,60.98,61.12,60.33,60.45,272000.0
2015-06-26,60.64,60.75,60.04,60.17,439900.0
2015-06-29,59.71,59.71,57.35,57.41,746200.0
2015-06-30,58.0,58.0,57.05,57.44,324300.0
2015-07-01,57.79,58.2,56.94,57.06,725300.0
2015-07-02,57.12,57.19,56.39,56.91,451100.0
2015-07-06,56.12,56.79,55.92,56.0,387600.0
2015-07-07,56.01,56.05,54.26,55.08,992300.0
2015-07-08,54.21,54.75,51.82,52.1,1312600.0
2015-07-09,53.29,53.38,52.25,52.43,933700.0
2015-07-10,53.0,53.26,52.68,53.12,444900.0
2015-07-13,53.57,54.29,53.36,54.14,706900.0
2015-07-14,54.02,54.47,53.86,54.09,431900.0
2015-07-15,54.08,54.14,53.12,53.15,481300.0
2015-07-16,53.2,53.57,50.06,50.26,1576700.0
2015-07-17,50.14,51.2,49.49,50.42,1181900.0
2015-07-20,50.4,50.73,49.86,50.21,824900.0
2015-07-21,50.24,50.54,49.97,50.11,572500.0
2015-07-22,50.0,50.01,49.29,49.4,668100.0
2015-07-23,49.85,50.05,49.17,49.28,787500.0
2015-07-24,51.0,51.0,48.62,48.82,1463100.0
2015-07-27,48.72,49.63,48.26,48.79,984400.0
2015-07-28,49.57,49.64,48.52,49.47,809900.0
2015-07-29,49.5,50.26,49.3,50.12,752000.0
