Date,open,high,low,close,volume
2015-04-27,35.24,35.84,34.87,35.16,341575.0
2015-04-28,35.21,35.79,34.94,35.43,258522.0
2015-04-29,35.41,35.73,35.02,35.04,315216.0
2015-04-30,34.97,35.45,34.56,35.02,457666.0
2015-05-01,34.61,36.46,34.48,36.01,608742.0
2015-05-04,35.96,36.59,35.96,36.45,404080.0
2015-05-05,36.41,36.52,34.32,34.43,796658.0
2015-05-06,29.87,29.93,27.28,28.76,4646965.0
2015-05-07,28.58,29.03,27.95,28.98,1290867.0
2015-05-08,29.27,30.04,28.85,28.87,649287.0
2015-05-11,28.82,30.09,28.82,29.57,543439.0
2015-05-12,29.4,29.4,28.67,29.06,459681.0
2015-05-13,29.0,29.65,28.91,29.42,355398.0
2015-05-14,29.51,29.95,29.2,29.72,251588.0
2015-05-15,29.67,30.05,29.37,29.7,374274.0
2015-05-18,29.54,29.98,29.25,29.89,315878.0
2015-05-19,29.95,30.35,29.78,30.0,774161.0
2015-05-20,29.97,30.05,29.42,29.53,420754.0
2015-05-21,29.59,29.99,29.46,29.73,220814.0
2015-05-22,29.43,29.79,29.12,29.44,291536.0
2015-05-26,29.27,29.76,29.08,29.18,342903.0
2015-05-27,29.23,29.35,28.9,29.23,808205.0
2015-05-28,29.23,29.47,28.88,29.44,591686.0
2015-05-29,29.37,29.95,29.09,29.93,600968.0
2015-06-01,29.16,29.97,28.81,29.74,546940.0
2015-06-02,29.61,29.71,29.28,29.28,395244.0
2015-06-03,29.35,29.49,28.91,29.35,352097.0
2015-06-04,29.25,29.39,28.74,28.81,319005.0
2015-06-05,28.82,29.08,28.68,28.78,504325.0
2015-06-08,28.79,28.98,28.55,28.71,570636.0
2015-06-09,28.74,28.83,28.43,28.55,541970.0
2015-06-10,28.68,28.91,28.56,28.72,1050059.0
2015-06-11,28.8,28.85,28.62,28.7,441646.0
2015-06-12,28.64,28.69,28.35,28.51,285430.0
2015-06-15,28.28,28.5,28.09,28.26,453708.0
2015-06-16,28.26,28.38,28.09,28.17,420562.0
2015-06-17,28.15,28.24,27.73,27.74,419397.0
2015-06-18,27.8,28.03,27.61,27.62,831580.0
2015-06-19,27.63,27.78,27.02,27.12,783966.0
2015-06-22,27.2,27.33,26.73,26.74,1441753.0
2015-06-23,26.79,27.01,26.38,26.42,1142021.0
2015-06-24,26.45,26.47,25.78,26.19,1530981.0
2015-06-25,26.2,26.3,25.37,25.74,790874.0
2015-06-26,25.75,25.88,25.38,25.41,2722149.0
2015-06-29,25.27,25.59,25.13,25.23,783700.0
2015-06-30,25.97,26.13,25.32,25.35,1201986.0
2015-07-01,25.42,25.75,25.27,25.62,853680.0
2015-07-02,25.66,25.9,25.37,25.78,682408.0
2015-07-06,25.65,25.79,25.26,25.62,728231.0
2015-07-07,25.57,25.66,25.18,25.46,592390.0
2015-07-08,25.26,25.59,25.1,25.21,527398.0
2015-07-09,25.43,25.54,25.17,25.23,419193.0
2015-07-10,25.53,25.53,25.35,25.41,282396.0
2015-07-13,25.49,25.54,25.37,25.44,309790.0
2015-07-14,25.45,25.81,25.31,25.76,615273.0
2015-07-15,25.77,25.83,25.33,25.39,401710.0
2015-07-16,25.54,25.71,25.37,25.64,640586.0
2015-07-17,25.74,25.97,25.53,25.74,408147.0
2015-07-20,25.76,25.76,25.18,25.24,200355.0
2015-07-21,25.19,25.38,25.0,25.18,369817.0
2015-07-22,25.0,25.39,25.0,25.23,395335.0
2015-07-23,25.23,25.36,24.73,24.93,313436.0
2015-07-24,25.0,25.4,24.81,25.35,896009.0
2015-07-27,25.29,25.29,24.85,25.04,685818.0
2015-07-28,25.14,25.72,24.71,25.61,471205.0
2015-07-29,25.59,26.18,25.44,26.05,491491.0
2015-07-30,25.94,26.39,25.88,26.25,476525.0
2015-07-31,26.33,26.98,26.27,26.88,549905.0
2015-08-03,26.64,26.99,25.92,26.69,1737031.0
2015-08-04,17.25,18.11,14.82,16.33,11983106.0
2015-08-05,16.32,17.68,16.02,17.59,3283344.0
2015-08-06,17.58,17.85,16.9,17.4,1533665.0
2015-08-07,17.16,18.78,17.12,18.52,1757223.0
2015-08-10,18.58,18.99,17.86,18.54,1449324.0
2015-08-11,18.43,18.9,18.31,18.82,1241038.0
2015-08-12,18.62,18.99,18.4,18.75,1325612.0
2015-08-13,18.74,19.3,18.71,18.89,1072407.0
2015-08-14,18.89,19.26,18.89,19.15,789058.0
2015-08-17,18.97,19.02,18.48,18.85,757118.0
2015-08-18,18.83,18.9,18.4,18.43,659297.0
2015-08-19,18.36,18.76,17.93,18.44,658811.0
2015-08-20,18.27,18.27,17.86,17.97,636610.0
2015-08-21,17.79,18.0,17.52,17.71,998390.0
2015-08-24,16.8,17.27,16.5,16.74,1191855.0
2015-08-25,17.12,17.37,16.56,16.7,770348.0
2015-08-26,17.02,17.02,16.09,16.82,1287666.0
2015-08-27,16.97,17.26,16.66,17.06,1186121.0
2015-08-28,16.95,17.06,16.81,16.95,1223014.0
2015-08-31,16.92,17.09,16.75,16.84,849410.0
2015-09-01,16.5,16.93,16.45,16.64,622082.0
2015-09-02,16.72,16.92,16.39,16.71,551950.0
2015-09-03,16.75,16.95,16.61,16.85,578025.0
2015-09-04,16.68,16.98,16.54,16.66,438586.0
2015-09-08,16.79,17.12,16.69,17.0,690593.0
2015-09-09,17.15,17.3,16.85,16.89,1108030.0
2015-09-10,16.89,17.11,16.54,16.98,934111.0
2015-09-11,16.9,17.47,16.81,17.4,1175025.0
2015-09-14,17.39,17.41,16.9,17.1,804106.0
2015-09-15,17.13,17.65,17.09,17.49,545132.0
2015-09-16,17.49,18.0,17.19,17.91,700697.0
2015-09-17,17.97,18.64,17.88,18.38,845428.0
2015-09-18,18.19,18.48,17.84,18.16,1242920.0
2015-09-21,18.29,18.49,18.0,18.18,521745.0
2015-09-22,17.96,18.34,17.77,18.33,735913.0
2015-09-23,18.31,18.44,17.48,17.75,1158396.0
