Date,open,high,low,close,volume
2015-04-27,91.23,91.58,90.21,90.65,901306.0
2015-04-28,90.43,90.43,89.01,89.6,1057981.0
2015-04-29,89.6,90.14,88.05,88.45,802864.0
2015-04-30,88.23,88.6,85.34,86.05,1185324.0
2015-05-01,86.25,87.55,86.25,87.16,921080.0
2015-05-04,87.4,88.11,86.67,87.33,653615.0
2015-05-05,86.85,87.51,85.67,85.89,764886.0
2015-05-06,85.61,86.06,84.08,84.65,1278999.0
2015-05-07,84.38,85.95,84.17,85.69,686358.0
2015-05-08,86.46,88.29,86.46,86.89,660065.0
2015-05-11,86.87,87.63,86.66,87.12,661073.0
2015-05-12,86.69,87.53,86.38,86.82,676436.0
2015-05-13,86.93,87.19,85.93,86.43,629858.0
2015-05-14,86.76,87.73,85.69,87.66,617579.0
2015-05-15,88.1,88.51,87.24,88.48,499149.0
2015-05-18,88.39,90.35,88.39,90.13,693918.0
2015-05-19,90.35,90.69,89.42,90.07,630596.0
2015-05-20,90.16,90.52,89.36,89.91,628052.0
2015-05-21,89.86,90.74,89.63,90.59,436473.0
2015-05-22,90.41,90.86,90.0,90.52,570507.0
2015-05-26,90.3,90.55,88.18,88.33,556102.0
2015-05-27,88.52,89.57,88.4,89.0,556624.0
2015-05-28,88.71,89.35,88.17,88.37,444800.0
2015-05-29,88.27,88.47,86.91,87.14,727272.0
2015-06-01,87.54,88.36,86.58,87.75,801967.0
2015-06-02,87.46,88.95,87.17,88.58,453209.0
2015-06-03,88.71,90.28,88.47,90.25,569269.0
2015-06-04,89.68,89.8,87.98,88.19,783154.0
2015-06-05,87.93,88.47,87.06,87.98,733574.0
2015-06-08,87.75,88.43,87.53,87.59,561745.0
2015-06-09,87.39,88.06,86.89,87.3,672062.0
2015-06-10,87.68,89.34,87.63,88.94,612815.0
2015-06-11,89.43,90.47,89.43,90.15,614693.0
2015-06-12,89.33,90.49,89.33,90.19,776941.0
2015-06-15,89.57,90.59,89.31,90.31,829679.0
2015-06-16,90.19,91.58,90.19,91.13,615215.0
2015-06-17,91.55,92.27,91.22,91.73,726216.0
2015-06-18,92.07,93.94,92.07,92.94,667907.0
2015-06-19,93.06,93.47,92.26,92.44,829441.0
2015-06-22,93.04,93.53,92.64,93.05,552043.0
2015-06-23,93.28,93.99,92.83,92.89,487892.0
2015-06-24,92.6,93.18,91.63,91.88,411556.0
2015-06-25,92.12,92.86,91.4,92.7,584543.0
2015-06-26,92.94,93.62,92.36,92.75,575095.0
2015-06-29,92.1,92.51,90.0,90.1,532428.0
2015-06-30,91.3,91.3,89.61,89.97,1115779.0
2015-07-01,91.24,91.83,89.76,90.74,716848.0
2015-07-02,91.09,91.39,89.4,90.32,589167.0
2015-07-06,89.53,91.25,89.53,91.07,435914.0
2015-07-07,91.47,91.61,89.27,90.74,1399886.0
2015-07-08,89.9,91.09,87.48,87.61,1686003.0
2015-07-09,88.72,89.47,88.46,88.74,1247274.0
2015-07-10,90.2,91.35,89.64,91.16,522044.0
2015-07-13,91.74,92.71,91.68,92.52,647857.0
2015-07-14,92.59,93.67,92.27,93.3,667036.0
2015-07-15,92.9,93.86,92.59,93.42,690814.0
2015-07-16,94.0,94.67,93.3,93.92,624580.0
2015-07-17,94.63,95.04,94.0,94.5,964915.0
2015-07-20,93.7,94.0,92.8,93.13,1389769.0
2015-07-21,93.6,94.4,93.15,93.53,1043085.0
2015-07-22,93.61,94.94,93.37,94.78,1146717.0
2015-07-23,94.6,96.28,93.5,95.46,2742007.0
2015-07-24,95.9,96.08,92.69,93.56,1290876.0
2015-07-27,93.69,93.84,91.48,92.08,784198.0
2015-07-28,92.54,92.76,91.2,91.73,825615.0
2015-07-29,91.87,92.6,91.69,92.25,707499.0
2015-07-30,92.05,92.49,91.43,91.96,503577.0
2015-07-31,92.04,93.44,91.71,92.52,685832.0
2015-08-03,92.75,93.07,90.47,91.34,511239.0
2015-08-04,91.09,92.48,91.09,92.27,488699.0
2015-08-05,93.54,93.87,92.76,93.29,984893.0
2015-08-06,93.5,93.99,91.07,91.17,808541.0
2015-08-07,90.96,91.82,90.42,91.7,537644.0
2015-08-10,92.68,93.72,92.47,93.11,566613.0
2015-08-11,92.54,93.62,92.19,93.47,648599.0
2015-08-12,92.77,93.08,91.25,92.76,615666.0
2015-08-13,92.47,94.73,92.42,93.2,662528.0
2015-08-14,92.93,94.74,92.39,93.1,533319.0
2015-08-17,93.02,94.09,92.37,93.94,639438.0
2015-08-18,93.85,94.52,93.18,94.09,670791.0
2015-08-19,93.7,94.31,92.5,93.35,582889.0
2015-08-20,92.65,93.09,89.65,89.7,998883.0
2015-08-21,88.83,88.99,85.52,85.63,1586708.0
2015-08-24,79.7,86.39,75.0,83.58,2715069.0
2015-08-25,85.25,86.39,83.04,83.04,1451581.0
2015-08-26,85.28,85.94,82.59,85.04,1195505.0
2015-08-27,85.79,88.95,85.12,87.11,1480034.0
2015-08-28,86.94,87.27,84.67,85.33,1624319.0
2015-08-31,85.13,86.54,84.79,85.31,1179388.0
2015-09-01,83.27,84.32,81.68,82.23,1220837.0
2015-09-02,83.58,84.15,82.41,83.67,1431805.0
2015-09-03,84.0,85.67,83.22,83.95,1557518.0
2015-09-04,83.02,84.39,82.65,83.19,755287.0
2015-09-08,85.06,86.49,84.27,86.36,703862.0
2015-09-09,86.62,87.61,85.61,85.81,1031046.0
2015-09-10,85.36,87.38,85.05,86.69,909809.0
2015-09-11,86.41,88.06,85.91,87.95,836171.0
2015-09-14,87.59,87.59,85.8,86.11,967911.0
2015-09-15,86.37,87.19,85.31,86.5,698960.0
2015-09-16,86.48,88.33,86.24,87.96,1074736.0
