Date,open,high,low,close,volume
2015-04-27,50.84,52.54,50.82,51.66,23991900.0
2015-04-28,52.16,52.22,38.38,42.27,77336600.0
2015-04-29,40.21,41.09,38.07,38.49,120488600.0
2015-04-30,39.28,39.74,38.48,38.96,46651500.0
2015-05-01,39.19,39.24,37.37,37.84,37785500.0
2015-05-04,38.72,38.96,37.55,37.88,27622500.0
2015-05-05,38.0,38.61,37.36,37.42,22605000.0
2015-05-06,37.69,37.78,36.52,37.26,29107900.0
2015-05-07,37.24,37.88,36.95,37.71,21258800.0
2015-05-08,38.02,38.2,37.55,37.59,14395800.0
2015-05-11,37.58,37.86,37.2,37.31,12329500.0
2015-05-12,37.29,37.8,37.06,37.48,11792900.0
2015-05-13,37.66,38.2,37.53,37.72,14075300.0
2015-05-14,37.93,38.09,37.27,37.33,14259600.0
2015-05-15,37.36,37.8,37.0,37.1,16799100.0
2015-05-18,37.1,37.57,36.9,37.28,11237300.0
2015-05-19,37.14,37.88,36.9,37.5,26942000.0
2015-05-20,37.49,37.94,36.54,36.78,23404500.0
2015-05-21,36.81,36.94,36.39,36.68,17447700.0
2015-05-22,36.7,36.98,36.57,36.6,9861800.0
2015-05-26,36.67,36.83,36.37,36.51,13068500.0
2015-05-27,36.5,36.65,36.1,36.41,14463600.0
2015-05-28,36.49,37.33,36.37,36.83,17912100.0
2015-05-29,37.05,37.07,36.53,36.67,16849100.0
2015-06-01,36.69,36.83,36.43,36.63,10008300.0
2015-06-02,36.45,36.6,36.16,36.4,13128300.0
2015-06-03,36.51,37.17,36.48,37.0,14023500.0
2015-06-04,37.17,37.79,36.51,36.71,23762900.0
2015-06-05,36.79,37.23,36.65,37.0,11854300.0
2015-06-08,36.91,36.98,36.41,36.46,11767100.0
2015-06-09,36.5,36.5,35.57,35.88,14034500.0
2015-06-10,36.01,36.17,35.6,35.85,12634800.0
2015-06-11,35.92,36.17,35.79,35.84,20547000.0
2015-06-12,36.9,37.25,35.55,35.9,60914400.0
2015-06-15,35.24,35.26,34.31,34.67,32932100.0
2015-06-16,34.23,35.2,33.51,34.82,49856100.0
2015-06-17,34.99,35.12,34.17,34.69,27278500.0
2015-06-18,34.63,35.04,34.45,34.66,19447100.0
2015-06-19,34.97,36.28,34.85,35.86,33674900.0
2015-06-22,35.95,36.0,35.34,35.55,21456400.0
2015-06-23,35.78,36.2,34.96,35.37,25891400.0
2015-06-24,35.4,35.75,35.1,35.17,13021000.0
2015-06-25,35.36,35.36,34.97,35.17,10756800.0
2015-06-26,34.97,35.33,34.67,35.26,17388000.0
2015-06-29,34.47,35.09,34.15,34.21,25220700.0
2015-06-30,34.5,36.42,34.44,36.22,25979100.0
2015-07-01,36.05,36.11,35.24,35.4,23674600.0
2015-07-02,35.4,35.97,35.1,35.72,17664000.0
2015-07-06,35.17,35.69,35.0,35.43,11325400.0
2015-07-07,35.35,35.72,34.55,35.52,14203200.0
2015-07-08,35.41,36.05,34.67,34.76,15522300.0
2015-07-09,35.17,35.43,34.31,34.36,14099300.0
2015-07-10,34.68,35.12,34.46,34.91,10639700.0
2015-07-13,34.99,36.14,34.75,35.78,17118200.0
2015-07-14,35.78,38.82,35.77,36.72,50102500.0
2015-07-15,36.66,37.09,35.55,35.66,18296800.0
2015-07-16,35.89,36.45,35.75,36.1,11367700.0
2015-07-17,36.46,36.66,35.6,35.67,12838500.0
2015-07-20,35.75,35.99,35.21,35.81,9889700.0
2015-07-21,35.82,36.75,35.71,36.63,12536200.0
2015-07-22,36.23,36.37,35.51,36.09,11772300.0
2015-07-23,36.0,36.73,35.95,36.19,10407800.0
2015-07-24,36.41,36.41,35.3,35.42,13000800.0
2015-07-27,35.11,35.15,33.88,34.7,24629100.0
2015-07-28,34.7,36.67,34.14,36.54,57688600.0
2015-07-29,32.59,33.24,31.06,31.24,92939900.0
2015-07-30,31.1,31.83,31.05,31.47,29438800.0
2015-07-31,31.38,31.62,30.85,31.01,18150300.0
2015-08-03,30.85,31.09,28.69,29.27,46637100.0
2015-08-04,29.11,29.9,28.9,29.34,21900300.0
2015-08-05,29.41,29.5,28.43,28.48,21223300.0
2015-08-06,28.4,28.43,27.23,27.54,27612200.0
2015-08-07,27.8,27.9,26.87,27.04,18392600.0
2015-08-10,28.09,29.63,27.82,29.5,42547100.0
2015-08-11,29.01,29.89,28.53,29.62,27827600.0
2015-08-12,29.11,29.5,28.51,29.39,18513100.0
2015-08-13,29.6,29.6,28.44,28.54,15004000.0
2015-08-14,28.5,29.27,28.45,29.06,16716300.0
2015-08-17,29.19,29.34,28.93,29.06,9557300.0
2015-08-18,28.91,29.0,28.3,28.3,9662800.0
2015-08-19,28.06,28.09,27.16,27.61,19964000.0
2015-08-20,27.15,27.48,25.92,26.0,25257800.0
2015-08-21,25.65,26.74,25.51,25.87,23733200.0
2015-08-24,23.61,26.23,21.01,25.17,30106400.0
2015-08-25,26.29,26.33,24.38,24.38,19918700.0
2015-08-26,24.8,25.29,23.83,25.03,20576600.0
2015-08-27,25.44,26.8,25.24,26.46,22493000.0
2015-08-28,26.19,26.93,26.06,26.83,12426200.0
2015-08-31,27.64,28.49,27.35,27.79,30752000.0
2015-09-01,27.23,28.12,26.77,27.03,21163500.0
