Date,open,high,low,close,volume
2015-04-27,42.84,43.03,42.54,42.56,5699401.0
2015-04-28,42.56,42.96,42.4,42.87,5800645.0
2015-04-29,42.7,43.22,42.69,42.98,5604568.0
2015-04-30,42.94,43.18,42.59,42.87,6337741.0
2015-05-01,43.0,43.19,42.76,42.91,3735504.0
2015-05-04,43.07,43.59,42.97,43.54,5117889.0
2015-05-05,43.35,43.79,43.24,43.25,5413612.0
2015-05-06,43.65,43.65,42.83,43.1,4791487.0
2015-05-07,43.09,43.22,42.81,43.1,4666781.0
2015-05-08,43.35,43.88,43.18,43.86,5144633.0
2015-05-11,43.77,43.98,43.71,43.75,3934850.0
2015-05-12,43.5,43.95,43.23,43.9,6695468.0
2015-05-13,43.85,44.24,43.72,44.14,5964655.0
2015-05-14,44.36,44.45,44.07,44.38,4129198.0
2015-05-15,44.4,44.47,43.73,43.93,4935005.0
2015-05-18,43.97,44.28,43.92,44.2,5043336.0
2015-05-19,44.41,44.73,44.28,44.69,4540446.0
2015-05-20,44.6,44.65,44.0,44.09,8028306.0
2015-05-21,44.01,44.1,43.83,43.86,5941320.0
2015-05-22,43.86,43.96,43.54,43.57,6132510.0
2015-05-26,43.54,43.6,43.23,43.37,7509094.0
2015-05-27,43.58,44.06,43.46,43.86,5783586.0
2015-05-28,43.75,43.82,43.46,43.7,4839048.0
2015-05-29,43.76,43.78,43.06,43.11,7757962.0
2015-06-01,43.25,43.39,42.77,42.97,5241951.0
2015-06-02,42.87,43.29,42.7,43.13,4290594.0
2015-06-03,43.32,44.04,43.2,43.97,8248584.0
2015-06-04,43.79,43.93,43.41,43.49,6952179.0
2015-06-05,43.87,44.49,43.83,43.99,7421621.0
2015-06-08,43.88,44.15,43.64,43.66,5806230.0
2015-06-09,43.77,44.37,43.59,44.07,6441564.0
2015-06-10,44.28,45.03,44.27,44.81,7864486.0
2015-06-11,44.85,45.11,44.68,44.85,6997335.0
2015-06-12,44.75,44.87,44.5,44.78,4753010.0
2015-06-15,44.32,44.6,44.13,44.4,6180610.0
2015-06-16,44.28,44.64,44.27,44.59,5831672.0
2015-06-17,44.76,45.07,44.56,44.64,8000060.0
2015-06-18,44.71,45.06,44.41,44.78,8873151.0
2015-06-19,44.59,44.82,44.33,44.64,13405874.0
2015-06-22,44.96,45.2,44.83,44.98,5204000.0
2015-06-23,45.18,45.29,44.96,45.1,4536690.0
2015-06-24,44.84,45.09,44.7,44.74,4782845.0
2015-06-25,44.8,45.04,44.55,44.56,5686763.0
2015-06-26,44.53,44.79,44.45,44.51,6356987.0
2015-06-29,43.91,44.2,43.39,43.41,7167152.0
2015-06-30,43.84,44.19,43.31,43.4,7522073.0
2015-07-01,43.92,44.18,43.74,44.15,6005991.0
2015-07-02,44.09,44.14,43.47,43.62,4798493.0
2015-07-06,43.15,43.65,43.05,43.6,6135828.0
2015-07-07,43.48,43.55,42.92,43.47,8575074.0
2015-07-08,43.24,43.24,42.64,42.67,6108452.0
2015-07-09,43.29,43.44,42.93,42.96,6403175.0
2015-07-10,43.76,43.81,43.26,43.44,5283416.0
2015-07-13,43.74,43.9,43.57,43.83,6037162.0
2015-07-14,43.71,43.95,43.53,43.88,8708316.0
2015-07-15,43.96,45.81,43.9,45.53,16025285.0
2015-07-16,45.88,46.26,45.77,45.86,10750351.0
2015-07-17,45.62,46.01,45.53,45.85,7143200.0
2015-07-20,45.96,46.14,45.78,45.84,5566444.0
2015-07-21,45.88,46.03,45.61,45.74,5492108.0
2015-07-22,45.68,46.11,45.63,45.95,7008098.0
2015-07-23,45.91,46.2,45.58,45.66,7513991.0
2015-07-24,45.56,45.71,45.24,45.28,6767861.0
2015-07-27,44.98,45.02,44.7,44.8,5929112.0
2015-07-28,45.03,45.07,44.56,44.73,7259200.0
2015-07-29,44.73,45.11,44.68,45.01,7075674.0
2015-07-30,44.8,45.14,44.8,45.06,6029317.0
2015-07-31,45.12,45.28,44.92,45.21,6584876.0
2015-08-03,45.13,45.24,44.79,45.08,5955396.0
2015-08-04,45.05,45.48,44.97,45.22,4692974.0
2015-08-05,45.53,45.73,45.26,45.43,3742169.0
2015-08-06,45.54,45.7,45.12,45.21,3553056.0
2015-08-07,45.22,45.49,44.83,45.11,4607940.0
2015-08-10,45.46,46.02,45.44,46.02,4901887.0
2015-08-11,45.5,45.72,45.25,45.4,5294623.0
2015-08-12,45.12,45.12,44.26,44.89,5657211.0
2015-08-13,44.97,45.18,44.79,45.07,3362045.0
2015-08-14,45.07,45.64,45.0,45.6,4546218.0
2015-08-17,45.3,45.86,45.21,45.65,4527232.0
2015-08-18,45.67,45.84,45.54,45.75,3747895.0
2015-08-19,45.54,45.81,45.26,45.36,6010905.0
2015-08-20,44.88,44.9,44.1,44.1,7632846.0
2015-08-21,43.64,43.82,42.76,42.78,9997861.0
2015-08-24,40.32,41.97,38.8,40.75,19213450.0
2015-08-25,42.04,42.14,39.72,39.76,16105351.0
2015-08-26,40.66,41.48,40.13,41.41,12499951.0
2015-08-27,41.89,42.63,41.72,42.58,9769885.0
2015-08-28,42.43,42.74,42.26,42.59,5999772.0
2015-08-31,42.3,42.57,42.2,42.35,6280723.0
2015-09-01,41.34,41.41,40.0,40.27,12020603.0
2015-09-02,40.96,41.1,40.43,41.02,6012087.0
2015-09-03,41.17,41.93,41.1,41.44,6685912.0
2015-09-04,40.86,41.0,40.21,40.55,8036895.0
2015-09-08,41.4,41.46,40.8,41.43,10999150.0
2015-09-09,41.91,42.02,40.79,40.88,7746462.0
2015-09-10,40.69,41.43,40.65,41.1,9574962.0
2015-09-11,40.94,41.09,40.54,41.06,8316794.0
2015-09-14,40.91,41.16,40.74,40.92,8839538.0
2015-09-15,41.14,42.19,41.1,42.0,11566753.0
2015-09-16,41.96,42.41,41.75,42.36,7664206.0
2015-09-17,42.41,42.69,41.46,41.66,15437450.0
2015-09-18,41.1,41.28,40.74,41.17,32966149.0
2015-09-21,41.47,41.66,41.1,41.52,8452192.0
2015-09-22,40.78,41.21,40.69,41.1,8773102.0
2015-09-23,41.06,41.24,40.84,41.06,3892196.0
2015-09-24,40.59,40.85,40.2,40.76,8230259.0
2015-09-25,41.47,42.0,41.29,41.67,8771953.0
2015-09-28,41.15,41.34,40.3,40.42,9129925.0
2015-09-29,40.52,40.72,40.18,40.65,6389636.0
2015-09-30,41.14,41.26,40.76,41.01,8788098.0
2015-10-01,41.02,41.31,40.53,41.13,6243827.0
2015-10-02,39.98,40.75,39.27,40.75,15238640.0
2015-10-05,41.14,41.64,41.07,41.56,6445478.0
2015-10-06,41.45,41.69,41.32,41.49,5308809.0
2015-10-07,41.79,42.07,41.55,41.79,4870397.0
2015-10-08,41.56,41.96,41.39,41.9,5001355.0
2015-10-09,42.03,42.1,41.34,41.58,4281367.0
2015-10-12,41.67,41.8,41.42,41.63,3770823.0
2015-10-13,41.48,41.61,41.33,41.43,4300117.0
2015-10-14,41.33,41.37,40.38,40.5,9975072.0
2015-10-15,41.22,41.64,40.68,41.01,12225776.0
2015-10-16,41.19,41.54,40.68,40.77,12446363.0
2015-10-19,40.64,41.11,40.63,40.73,7747956.0
2015-10-20,40.84,41.51,40.75,41.25,6648142.0
2015-10-21,41.49,41.74,41.07,41.1,8864497.0
2015-10-22,41.36,42.28,41.36,41.84,7941523.0
2015-10-23,42.15,42.67,41.84,42.62,9870965.0
2015-10-26,42.54,42.78,42.23,42.52,5262014.0
2015-10-27,42.26,42.46,41.89,42.1,5781023.0
2015-10-28,42.2,43.23,42.09,43.06,9440225.0
2015-10-29,42.98,43.22,42.81,43.0,5420471.0
2015-10-30,42.98,42.99,42.07,42.18,9060654.0
2015-11-02,42.24,42.84,42.24,42.59,5518198.0
2015-11-03,42.6,42.87,42.23,42.7,3553199.0
2015-11-04,42.73,42.92,42.49,42.62,4047707.0
2015-11-05,42.62,42.82,42.36,42.63,6182346.0
2015-11-06,43.72,44.24,43.5,43.72,12041168.0
2015-11-09,43.74,43.86,43.03,43.34,6779468.0
2015-11-10,43.19,43.53,43.08,43.36,6134197.0
2015-11-11,43.62,43.74,43.2,43.33,4857621.0
2015-11-12,43.04,43.07,42.67,42.72,6783891.0
2015-11-13,42.49,42.81,42.24,42.38,6617923.0
2015-11-16,42.37,43.13,42.26,43.11,6022618.0
2015-11-17,43.18,43.49,42.83,43.02,6458758.0
2015-11-18,43.11,43.98,42.94,43.89,8487007.0
2015-11-19,43.91,44.27,43.74,44.15,6404050.0
2015-11-20,44.39,44.41,43.94,44.04,6971725.0
2015-11-23,44.06,44.18,43.69,43.78,6025152.0
2015-11-24,43.57,43.99,43.39,43.86,5947289.0
2015-11-25,43.9,43.94,43.64,43.77,4284636.0
2015-11-27,43.87,43.99,43.57,43.9,2093464.0
2015-11-30,43.93,44.12,43.74,43.89,6558972.0
2015-12-01,44.14,44.42,43.89,44.31,4905378.0
2015-12-02,44.36,44.45,43.68,43.77,6292276.0
2015-12-03,43.97,43.97,43.05,43.2,5539719.0
2015-12-04,43.46,44.42,43.37,44.34,8384561.0
2015-12-07,44.14,44.37,43.76,44.11,5721821.0
2015-12-08,43.83,44.02,43.36,43.55,6735545.0
2015-12-09,43.24,43.81,42.72,43.01,6712893.0
2015-12-10,43.06,43.59,42.79,43.18,6256641.0
2015-12-11,42.51,42.77,41.94,42.22,6518543.0
2015-12-14,42.3,42.56,41.84,42.43,6965714.0
2015-12-15,42.99,43.84,42.92,43.67,6884644.0
2015-12-16,43.93,44.49,43.41,44.36,9994020.0
2015-12-17,44.52,44.58,43.83,43.83,6866877.0
2015-12-18,43.54,43.58,42.35,42.36,14572268.0
2015-12-21,42.66,42.98,42.16,42.59,5610549.0
2015-12-22,42.91,42.92,42.17,42.7,5033388.0
2015-12-23,43.09,43.49,42.87,43.48,4822763.0
2015-12-24,43.38,43.59,43.35,43.42,2170105.0
2015-12-28,43.24,43.35,42.73,43.05,5805281.0
2015-12-29,43.15,43.61,43.14,43.52,4883586.0
2015-12-30,43.37,43.51,42.97,43.01,4735450.0
2015-12-31,42.79,43.14,42.65,42.67,4483847.0
2016-01-04,41.75,41.82,41.11,41.48,9212791.0
2016-01-05,41.47,41.72,41.19,41.68,7640258.0
