model,horizon,split,mse,rmse,mae,dir_acc
HAR-RV,10,val,0.1174317677613954,0.3426831886179937,0.1197928538184597,0.6566207245874544
HAR-RV,10,test,0.1801537570340329,0.424445234434353,0.1380471183014036,0.6559871151582729
HAR-RV,20,val,0.1108364757491781,0.3329211254173849,0.1134126740608598,0.6249633440857348
HAR-RV,20,test,0.1667046170714816,0.4082947673819512,0.1338442033788027,0.643238555411014
HAR-RV,30,val,0.1072465540976626,0.3274851967611095,0.1114053980822082,0.60227666551145
HAR-RV,30,test,0.1587558933002637,0.398441831765019,0.1327880772512512,0.6388279749736728
HAR-RV,40,val,0.1050803918902373,0.3241610585653949,0.1110314775370596,0.5719388979232758
HAR-RV,40,test,0.1530489746203112,0.3912147423350904,0.1324674741882983,0.623713064486155
HAR-RV,50,val,0.1037582806871671,0.3221153220310502,0.1116766323396042,0.5506251499560129
HAR-RV,50,test,0.148134644838389,0.3848826377460914,0.1329505038368938,0.6132317413120237
HAR-RV,60,val,0.1018874390648493,0.3191981188303737,0.1124231187990287,0.539415104902562
HAR-RV,60,test,0.144417722090749,0.3800233178250369,0.1340867910484121,0.6137397014185715
LightGBM,10,val,0.1034079285202967,0.3215710318425725,0.1225863625589707,0.6532350510516916
LightGBM,10,test,0.1653601485971646,0.4066449908669288,0.1361388044366986,0.6559003902620331
LightGBM,20,val,0.1011356290469517,0.3180182841393742,0.1154004671850127,0.6185652208685453
LightGBM,20,test,0.1491242430543608,0.3861660822163967,0.130195158528082,0.6411943257139318
LightGBM,30,val,0.0916966910056125,0.3028146149141625,0.1073249098946802,0.6064354456026232
LightGBM,30,test,0.1353994836547279,0.3679666882405634,0.1228295007163053,0.6443659790621322
LightGBM,40,val,0.0835498168213466,0.2890498517926391,0.1049650247136186,0.5813094825517848
LightGBM,40,test,0.1293052832740998,0.3595904382406459,0.1216618398033597,0.6354457040203184
LightGBM,50,val,0.0761755318422778,0.2759991518868814,0.1016701888358655,0.5659539868305297
LightGBM,50,test,0.122365395506256,0.3498076550138033,0.1177482138951322,0.6316669763984389
LightGBM,60,val,0.0729182355974448,0.2700337675133332,0.09929604512651,0.5509450561168724
LightGBM,60,test,0.1159159319788526,0.3404642888451778,0.1148233174167711,0.6324227219228148
LSTM,10,val,0.1099286898970604,0.3315549575817867,0.096697948873043,0.8289645210161012
LSTM,20,val,0.0994529575109481,0.3153616297379061,0.0897077545523643,0.8379487721523448
LSTM,30,val,0.0942098870873451,0.3069362915774951,0.0874028578400611,0.8390409752316528
LSTM,40,val,0.0904968827962875,0.3008269981173357,0.0872587040066719,0.8368918014304337
LSTM,50,val,0.088098756968975,0.2968143476467657,0.0883070603013038,0.8340732128386711
LSTM,60,val,0.0829965621232986,0.2880912392338556,0.087245799601078,0.8427051404009442
LSTM,10,test,0.1901122480630874,0.4360186327017315,0.1216223984956741,0.8304602296350785
LSTM,20,test,0.1755279153585434,0.4189605176607259,0.1165282726287841,0.8453641219176767
LSTM,30,test,0.1659382879734039,0.4073552356032802,0.1144080758094787,0.8559823456039914
LSTM,40,test,0.1566704213619232,0.3958161459085811,0.1131532713770866,0.8611635270412895
LSTM,50,test,0.1499778032302856,0.3872696776540679,0.1136880218982696,0.8642178654811783
LSTM,60,test,0.1437231302261352,0.3791083357381307,0.1156787648797035,0.8588447884350913
Transformer,10,val,0.108768031001091,0.3297999863570206,0.1137938722968101,0.7938554768699574
Transformer,20,val,0.0960835739970207,0.3099735053146006,0.0936205089092254,0.8294577740196597
Transformer,30,val,0.0885704755783081,0.2976079225731534,0.0880543142557144,0.8379663883310432
Transformer,40,val,0.0843182876706123,0.290376114153028,0.086898922920227,0.8362400028185886
Transformer,50,val,0.0822993144392967,0.2868785708959397,0.087230309844017,0.8287355106930204
Transformer,60,val,0.0780849903821945,0.2794369166416537,0.0889428034424781,0.8268329633935807
Transformer,10,test,0.1886502504348755,0.4343388659041181,0.1350093632936477,0.8070329740621102
Transformer,20,test,0.1715196669101715,0.4141493292402772,0.1198209449648857,0.8381040713851665
Transformer,30,test,0.162969559431076,0.403694884078404,0.1167119741439819,0.8467073911791985
Transformer,40,test,0.1551377922296524,0.3938753511323759,0.1146655604243278,0.851664694406243
Transformer,50,test,0.1491098254919052,0.3861474141981339,0.1141241788864135,0.85337576358461
Transformer,60,test,0.1409802883863449,0.3754734190143756,0.1147326827049255,0.851584737902581
