model,horizon,split,mse,rmse,mae,dir_acc
HAR-RV,10,val,0.11743176776139545,0.3426831886179937,0.11979285381845978,0.6566207245874544
HAR-RV,10,test,0.1801537570340329,0.42444523443435306,0.13804711830140362,0.6559871151582729
HAR-RV,20,val,0.11083647574917815,0.33292112541738494,0.11341267406085986,0.6249633440857348
HAR-RV,20,test,0.16670461707148168,0.40829476738195125,0.1338442033788027,0.643238555411014
HAR-RV,30,val,0.10724655409766264,0.32748519676110954,0.11140539808220826,0.60227666551145
HAR-RV,30,test,0.15875589330026374,0.39844183176501907,0.13278807725125127,0.6388279749736728
HAR-RV,40,val,0.10508039189023739,0.3241610585653949,0.11103147753705962,0.5719388979232758
HAR-RV,40,test,0.15304897462031122,0.39121474233509046,0.13246747418829835,0.623713064486155
HAR-RV,50,val,0.10375828068716719,0.32211532203105026,0.11167663233960423,0.5506251499560129
HAR-RV,50,test,0.148134644838389,0.3848826377460914,0.13295050383689389,0.6132317413120237
HAR-RV,60,val,0.10188743906484937,0.3191981188303737,0.11242311879902872,0.539415104902562
HAR-RV,60,test,0.144417722090749,0.3800233178250369,0.13408679104841217,0.6137397014185715
