model,horizon,split,rmse_log,mae_log,rmse_rv,mae_rv,dir_acc
LightGBM-log,10,val,0.40400493167747653,0.30573488248541636,0.30976021831062095,0.09731282547909448,0.7172296126469568
LightGBM-log,10,test,0.43997890892476177,0.3299251799833782,0.40109932021966377,0.11282902897686795,0.7095583224927213
LightGBM-log,20,val,0.34721276654641275,0.26003068059952467,0.29145939898569556,0.089808922639443,0.6835328303697582
LightGBM-log,20,test,0.38473762836108927,0.2799139592282491,0.37596019126905594,0.1059821167739004,0.7060521588304528
LightGBM-log,30,val,0.325000995193136,0.24169090826463974,0.2905938208555919,0.08645676707113298,0.6686971821598998
LightGBM-log,30,test,0.3660217351245643,0.25942240011870726,0.364830435688947,0.1035185390753528,0.697131883788639
LightGBM-log,40,val,0.3128731841034829,0.23237632968199454,0.27264098718473223,0.08387311914448299,0.6434779131454773
LightGBM-log,40,test,0.35721822390957403,0.24704042595612422,0.35359542451569226,0.10248413132828929,0.6718453818992752
LightGBM-log,50,val,0.3087333833075754,0.2272216431938406,0.2623660533757224,0.08262983364112297,0.6268028045106768
LightGBM-log,50,test,0.3522051981351083,0.23997700115321446,0.34447241598020206,0.10197407014203234,0.6534225360837514
LightGBM-log,60,val,0.3054361203585281,0.22349941270938983,0.2553839041702184,0.08194161203029653,0.6161659246620991
LightGBM-log,60,test,0.35290970003315186,0.2386438330021844,0.33893860563783135,0.10358103545701013,0.6432757232236883
