model,horizon,split,mse,rmse,mae,dir_acc
LightGBM,10,val,0.10340792852029677,0.3215710318425725,0.12258636255897072,0.6532350510516916
LightGBM,10,test,0.16536014859716464,0.40664499086692885,0.13613880443669862,0.6559003902620331
LightGBM,20,val,0.10113562904695177,0.3180182841393742,0.11540046718501276,0.6185652208685453
LightGBM,20,test,0.14912424305436084,0.3861660822163967,0.130195158528082,0.6411943257139318
LightGBM,30,val,0.09169669100561258,0.30281461491416256,0.10732490989468026,0.6064354456026232
LightGBM,30,test,0.13539948365472798,0.3679666882405634,0.12282950071630538,0.6443659790621322
LightGBM,40,val,0.08354981682134664,0.28904985179263915,0.10496502471361865,0.5813094825517848
LightGBM,40,test,0.12930528327409982,0.35959043824064596,0.12166183980335973,0.6354457040203184
LightGBM,50,val,0.07617553184227785,0.27599915188688146,0.10167018883586557,0.5659539868305297
LightGBM,50,test,0.12236539550625603,0.3498076550138033,0.11774821389513226,0.6316669763984389
LightGBM,60,val,0.07291823559744487,0.2700337675133332,0.09929604512651001,0.5509450561168724
LightGBM,60,test,0.11591593197885267,0.3404642888451778,0.11482331741677118,0.6324227219228148
