model,horizon,split,mse,rmse,mae,dir_acc
LSTM,10,val,0.1099286898970604,0.3315549575817867,0.09669794887304306,0.8289645210161012
LSTM,20,val,0.09945295751094818,0.3153616297379061,0.08970775455236435,0.8379487721523448
LSTM,30,val,0.09420988708734512,0.30693629157749514,0.08740285784006119,0.8390409752316528
LSTM,40,val,0.09049688279628754,0.30082699811733576,0.0872587040066719,0.8368918014304337
LSTM,50,val,0.08809875696897507,0.2968143476467657,0.08830706030130386,0.8340732128386711
LSTM,60,val,0.08299656212329865,0.28809123923385566,0.08724579960107803,0.8427051404009442
LSTM,10,test,0.19011224806308746,0.4360186327017315,0.12162239849567413,0.8304602296350785
LSTM,20,test,0.1755279153585434,0.4189605176607259,0.11652827262878418,0.8453641219176767
LSTM,30,test,0.16593828797340393,0.4073552356032802,0.11440807580947876,0.8559823456039914
LSTM,40,test,0.15667042136192322,0.39581614590858116,0.11315327137708664,0.8611635270412895
LSTM,50,test,0.14997780323028564,0.3872696776540679,0.11368802189826965,0.8642178654811783
LSTM,60,test,0.14372313022613525,0.37910833573813074,0.11567876487970352,0.8588447884350913
