model,horizon,split,mse,rmse,mae,dir_acc
Transformer,10,val,0.108768031001091,0.3297999863570206,0.11379387229681015,0.7938554768699574
Transformer,20,val,0.09608357399702072,0.3099735053146006,0.09362050890922546,0.8294577740196597
Transformer,30,val,0.0885704755783081,0.29760792257315344,0.08805431425571442,0.8379663883310432
Transformer,40,val,0.08431828767061234,0.290376114153028,0.08689892292022705,0.8362400028185886
Transformer,50,val,0.08229931443929672,0.2868785708959397,0.08723030984401703,0.8287355106930204
Transformer,60,val,0.07808499038219452,0.2794369166416537,0.08894280344247818,0.8268329633935807
Transformer,10,test,0.1886502504348755,0.4343388659041181,0.13500936329364777,0.8070329740621102
Transformer,20,test,0.1715196669101715,0.4141493292402772,0.11982094496488571,0.8381040713851665
Transformer,30,test,0.16296955943107605,0.403694884078404,0.11671197414398193,0.8467073911791985
Transformer,40,test,0.1551377922296524,0.3938753511323759,0.11466556042432785,0.851664694406243
Transformer,50,test,0.1491098254919052,0.3861474141981339,0.11412417888641357,0.85337576358461
Transformer,60,test,0.1409802883863449,0.37547341901437564,0.11473268270492554,0.851584737902581
