ticker,asset_class
BTC,crypto
SOL,crypto
ARKK,etf
BITO,etf
DIA,etf
EEM,etf
EFA,etf
FXI,stock
GDX,etf
GLD,etf
IVV,etf
IWM,etf
QQQ,etf
SLV,etf
SPY,etf
SQQQ,etf
TQQQ,etf
UNG,etf
USO,etf
VXX,etf
XLE,etf
XLF,etf
XLI,etf
XLK,etf
XLP,etf
XLU,etf
XLV,etf
AAL,stock
AAL.OQ,stock
AAPL,stock
ABBV,stock
ABNB,stock
ABT,stock
ADBE,stock
ADI,stock
ADM,stock
ADP,stock
ADS,stock
ADSK,stock
AEP,stock
AGN,stock
AHT,stock
AIG,stock
AIR,stock
ALGN,stock
ALL,stock
ALV,stock
ALV.PA,stock
AMAT,stock
AMD,stock
AMGN,stock
AMZN,stock
ANSS,stock
ARGX,stock
ASML,stock
ASML.OQ,stock
ATVI,stock
AVGO,stock
AXP,stock
AZN,stock
AZN.N,stock
BA,stock
BA.N,stock
BABA,stock
BAC,stock
BAS,stock
BBVA,stock
BDX,stock
BHP,stock
BIDU,stock
BIIB,stock
BKNG,stock
BLND,stock
BP,stock
BT,stock
C,stock
CAT,stock
CB,stock
CCL,stock
CDNS,stock
CDW,stock
CERN,stock
CGC,stock
CHKP,stock
CHTR,stock
CMCSA,stock
CNA,stock
COST,stock
CPG,stock
CPRT,stock
CQQQ,stock
CRH,stock
CRON,stock
CRWD,stock
CS,stock
CSCO,stock
CTAS,stock
CTSH,stock
CVS,stock
CVX,stock
DD,stock
DE,stock
DELL,stock
DHR,stock
DIS,stock
DLTR,stock
DOCU,stock
DOW,stock
DSM,stock
DTE,stock
DXCM,stock
EA,stock
EBAY,stock
EBR,stock
EL,stock
EMR,stock
EXC,stock
EZJ,stock
F,stock
FAST,stock
FB,stock
FCA,stock
FCX,stock
FDX,stock
FER,stock
FISV,stock
FLOW,stock
FLTR,stock
FOX,stock
FRES,stock
FTNT,stock
G,stock
GD,stock
GE,stock
GILD,stock
GM,stock
GOOG,stock
GOOGL,stock
GRF,stock
GS,stock
GSK,stock
GSK.N,stock
HAL,stock
HAS,stock
HD,stock
HEI,stock
HL,stock
HLT,stock
HON,stock
HPQ,stock
HSIC,stock
IAG,stock
IBM,stock
IDXX,stock
ILMN,stock
INCY,stock
INTC,stock
INTU,stock
ISP,stock
ISRG,stock
JCI,stock
JD,stock
JD.OQ,stock
JNJ,stock
JPM,stock
K,stock
KDP,stock
KHC,stock
KLAC,stock
KO,stock
KONE,stock
KWEB,stock
LAND,stock
LIN,stock
LLY,stock
LMT,stock
LOW,stock
LRCX,stock
LULU,stock
MA,stock
MAR,stock
MC,stock
MCD,stock
MCHI,stock
MCHP,stock
MDLZ,stock
MDLZ.OQ,stock
MELI,stock
MMM,stock
MNST,stock
MO,stock
MRK,stock
MRK.N,stock
MRNA,stock
MRO,stock
MRVL,stock
MS,stock
MSFT,stock
MT,stock
MTCH,stock
MU,stock
NEE,stock
NFLX,stock
NG,stock
NIO,stock
NKE,stock
NN,stock
NOC,stock
NTES,stock
NVDA,stock
NVO,stock
NXPI,stock
NXT,stock
OKTA,stock
OR,stock
ORCL,stock
ORLY,stock
OXY,stock
PAYX,stock
PCAR,stock
PDD,stock
PEP,stock
PEP.OQ,stock
PFE,stock
PFG,stock
PG,stock
PNC,stock
POLY,stock
PRU,stock
PSN,stock
PSX,stock
PTON,stock
PUB,stock
PYPL,stock
QCOM,stock
RACE,stock
RACE.N,stock
RAND,stock
REE,stock
REGN,stock
RIO,stock
ROST,stock
RTX,stock
SAN,stock
SAN.PA,stock
SAP,stock
SBUX,stock
SDR,stock
SGEN,stock
SHEL,stock
SIRI,stock
SMIN,stock
SMT,stock
SN,stock
SNPS,stock
SNY,stock
SO,stock
SONY,stock
SPLK,stock
STLA,stock
STM,stock
SU,stock
SWKS,stock
SYK,stock
T,stock
TCEHY,stock
TCOM,stock
TEAM,stock
TEF,stock
TEN,stock
TMO,stock
TMUS,stock
TNET,stock
TRN,stock
TRN.MI,stock
TSCO,stock
TSLA,stock
TW,stock
TWTR,stock
TXN,stock
UBER,stock
ULTA,stock
UNH,stock
UNP,stock
UP,stock
UPS,stock
USB,stock
V,stock
VIE,stock
VIV,stock
VOD,stock
VRSK,stock
VRTX,stock
VZ,stock
WBA,stock
WBA.OQ,stock
WDAY,stock
WFC,stock
WHR,stock
WHR.N,stock
WMT,stock
WPG,stock
WPP,stock
XEL,stock
XEL.OQ,stock
XOM,stock
ZM,stock
ZS,stock
ZTS,stock
