,mean_vol_21d,mean_vol_63d
BTC,0.7277236024417127,0.7472301491541328
SOL,0.5764731425675413,0.5903846644900611
ARKK,0.34728867466121566,0.3531058013126721
BITO,0.5764731425675413,0.5903846644900611
DIA,0.14436120886469264,0.15027031088805826
EEM,0.19075735853687917,0.19508657184811531
EFA,0.15437140451451445,0.15939461290336415
FXI,0.26175530050013185,0.26772990523630497
GDX,0.3463133046855413,0.3531507194276775
GLD,0.13385575984271858,0.1361215490408052
IVV,0.15205260391081224,0.15749185324396336
IWM,0.20357623068522193,0.20835141757814793
QQQ,0.1969807526167416,0.2021020795410251
SLV,0.24569938889406417,0.25072825606967214
SPY,0.15177983982930293,0.15700633713685114
SQQQ,0.7855553393190063,0.9216232828974085
TQQQ,0.6665575196466123,0.7223248194808597
UNG,0.5555440762434829,0.6106203930822256
USO,0.39518036995971245,0.43909255082086557
VXX,0.8147323864438726,0.9471106938061404
XLE,0.25906748126277457,0.2656030149874291
XLF,0.1961641158918048,0.20556925840926976
XLI,0.1705729382104466,0.17572147553597992
XLK,0.2099280485561377,0.21496712758456646
XLP,0.128236772910454,0.13261991705895532
XLU,0.16584207678103222,0.170946482484583
XLV,0.14767221969344127,0.1519835291055149
AAL,0.44459812411287203,0.45497224489032145
AAL.OQ,0.44459812411287203,0.45497224489032145
AAPL,0.29742932279249235,0.32713851792122356
ABBV,0.24000489511328457,0.25137417022134273
ABNB,0.4621300944591866,0.4711533751164055
ABT,0.21691259680998473,0.22418515170100087
ADBE,0.3034639411747274,0.31562094323763296
ADI,0.29341380691646113,0.29825894019949556
ADM,0.2446378152244734,0.2533790240853063
ADP,0.2111972111427163,0.21962333690066926
ADS,0.402363893252739,0.42423929754663514
ADSK,0.335402991613629,0.34857092973583204
AEP,0.19525271835601885,0.19855988003728484
AGN,0.2667178312352315,0.28303415992478953
AHT,0.8892237412441079,1.0289460488835382
AIG,0.2670224527095644,0.2776265246091283
AIR,0.3670995803638047,0.38197244664651103
ALGN,0.4173801531341805,0.43891470813540445
ALL,0.21620416415947544,0.2232408411522243
ALV,0.32111621101010523,0.3330771544477135
ALV.PA,0.32111621101010523,0.3330771544477135
AMAT,0.37692775357903724,0.3846056259800711
AMD,0.5404392853816142,0.555809226850531
AMGN,0.22886876826011734,0.23667394473878187
AMZN,0.3800188621239793,0.4436655806351016
ANSS,0.27055388154655824,0.27967848954165736
ARGX,0.41894233457579033,0.44367888455736365
ASML,0.3437731897267933,0.35026098018110563
ASML.OQ,0.3437731897267933,0.35026098018110563
ATVI,0.29066187383934744,0.3053187363974389
AVGO,0.4093026469873394,0.46185446885538617
AXP,0.26015645514898145,0.26988180308554816
AZN,0.22880619878164876,0.23502840456714383
AZN.N,0.22880619878164876,0.23502840456714383
BA,0.33735081913308557,0.34907703539563645
BA.N,0.33735081913308557,0.34907703539563645
BABA,0.38451388138442083,0.3925106240383082
BAC,0.277967877512552,0.28632025609022554
BAS,1.2109526430886208,1.399178358716173
BBVA,0.33010122942341885,0.33960128259365585
BDX,0.20482040541784535,0.21067189226945002
BHP,0.3161608445050488,0.3227398541453137
BIDU,0.41244142053020516,0.42432398566778834
BIIB,0.33800752474877216,0.36639210509405096
BKNG,0.3121977618988004,0.32347385901206505
BLND,0.8415386139063288,0.8684470791979607
BP,0.27679307916096035,0.28461856205428687
BT,0.29883762351309845,0.3403277251169122
C,0.2857952806088712,0.2941166727889923
CAT,0.2805150674380594,0.28733436748134483
CB,0.2097814748467698,0.22090437959262418
CCL,0.4484275037638871,0.46483678714472526
CDNS,0.2932108760953661,0.30221739851460305
CDW,0.26320548934706045,0.2713058001376965
CERN,0.2218596260435573,0.23078653206008257
CGC,1.1182862618837,1.2512710701289342
CHKP,0.2210846800597709,0.22992166192282903
CHTR,0.2922717741446219,0.30270598857580466
CMCSA,0.25612474802371954,0.27474563768701843
CNA,0.2264117954573549,0.2328336156422872
COST,0.20048136502559893,0.20686525378622622
CPG,0.5531514364144623,0.569092550418612
CPRT,0.29403965242344005,0.33822830255640585
CQQQ,0.3063199180855286,0.313266935304927
CRH,0.2750090534474143,0.28169341335044085
CRON,0.6454565839982099,0.6657047806893555
CRWD,0.5425207546623552,0.5548739443308153
CS,0.36720880279983154,0.3914423432766827
CSCO,0.2234116990112105,0.23327331272017826
CTAS,0.26686052903176555,0.3027544648276201
CTSH,0.2511567342484762,0.2610334678443566
CVS,0.2591683633035933,0.2679428769515854
CVX,0.2529870489883335,0.26131182152613736
DD,0.2766319215651872,0.2850968189742053
DE,0.2738790419468905,0.2826159812350093
DELL,0.42483059108910703,0.4537070617153003
DHR,0.22943788516820368,0.23898538170503056
DIS,0.24727188723789237,0.25630537327379344
DLTR,0.31660992258574455,0.3365155461300993
