Date,open,high,low,close,volume
2021-10-19,40.88,42.15,40.07,41.94,24417166.0
2021-10-20,42.22,43.95,42.1,43.28,29871893.0
2021-10-21,42.65,42.79,40.41,40.83,20499692.0
2021-10-22,41.26,41.3,38.9,39.51,11914389.0
2021-10-25,40.91,41.31,40.53,40.58,7522915.0
2021-10-26,40.45,40.65,39.99,40.06,6142350.0
2021-10-27,38.07,38.35,37.5,38.06,6526984.0
2021-10-28,39.69,39.88,37.34,39.57,7176595.0
2021-10-29,39.44,40.72,39.35,40.39,7049009.0
2021-11-01,39.88,40.05,38.62,39.53,6042058.0
2021-11-02,40.75,41.42,40.57,40.98,6106359.0
2021-11-03,40.17,40.76,39.11,40.4,5159969.0
2021-11-04,39.83,40.2,38.96,39.3,4282300.0
2021-11-05,39.61,39.85,39.02,39.26,3021953.0
2021-11-08,42.15,42.92,41.97,42.56,8171796.0
2021-11-09,43.69,43.85,42.55,43.32,7763013.0
2021-11-10,43.92,44.29,41.84,42.31,9954393.0
2021-11-11,41.57,42.14,41.45,41.62,3247204.0
2021-11-12,40.88,41.29,39.95,41.12,7672645.0
2021-11-15,41.79,41.86,40.73,40.89,6204297.0
2021-11-16,38.92,39.36,37.91,38.22,8119286.0
2021-11-17,38.64,38.89,38.03,38.69,7245815.0
2021-11-18,37.81,38.0,36.26,37.11,11930404.0
2021-11-19,37.0,37.39,36.91,37.01,6827928.0
2021-11-22,37.35,37.47,35.61,35.69,10940492.0
2021-11-23,36.48,37.05,36.21,37.01,6429618.0
2021-11-24,35.83,36.7,35.72,36.69,5460241.0
2021-11-26,34.8,34.88,34.32,34.44,5211562.0
2021-11-29,36.5,37.59,36.21,37.07,6689975.0
2021-11-30,37.26,37.85,35.98,36.59,6746781.0
2021-12-01,37.34,37.72,36.02,36.08,6720438.0
2021-12-02,35.97,36.58,35.61,36.29,4670620.0
2021-12-03,36.06,36.12,32.69,33.89,14049097.0
2021-12-06,30.71,31.43,30.34,31.05,8017281.0
2021-12-07,32.44,33.08,31.92,32.13,5064626.0
2021-12-08,31.95,32.55,31.67,32.25,6224879.0
2021-12-09,31.16,31.19,30.0,30.21,7156568.0
2021-12-10,31.47,31.58,30.01,30.75,8618733.0
2021-12-13,30.35,30.43,28.97,29.56,9171395.0
2021-12-14,29.74,30.37,29.43,30.32,7042557.0
2021-12-15,30.24,31.42,29.51,31.25,9616843.0
2021-12-16,30.89,31.02,30.13,30.36,5015414.0
2021-12-17,29.53,30.02,28.78,29.29,6895153.0
2021-12-20,28.98,29.94,28.83,29.78,4705379.0
2021-12-21,30.85,31.02,30.62,30.84,3273949.0
2021-12-22,30.91,31.23,30.73,31.09,3629581.0
2021-12-23,30.78,32.59,30.72,32.34,5727706.0
2021-12-27,32.49,33.04,32.27,32.46,4773695.0
2021-12-28,31.06,31.16,29.94,30.24,7170744.0
2021-12-29,29.99,30.41,29.71,29.89,4398620.0
2021-12-30,29.83,30.29,29.74,29.81,4659760.0
2021-12-31,30.36,30.47,28.85,28.9,5522188.0
2022-01-03,29.75,29.87,28.82,28.95,5205605.0
2022-01-04,29.67,30.07,28.7,29.22,6253947.0
2022-01-05,29.26,29.57,27.51,27.64,10718682.0
2022-01-06,27.0,27.48,26.8,27.28,6675292.0
2022-01-07,26.38,26.6,25.55,26.41,9618092.0
2022-01-10,25.08,26.53,24.88,26.31,12742502.0
