Date,open,high,low,close,volume
2015-04-27,213.77,213.88,211.95,212.24,2233531.0
2015-04-28,212.16,212.92,210.75,212.82,4873830.0
2015-04-29,211.75,212.71,211.03,211.99,3652617.0
2015-04-30,211.3,211.76,209.02,209.85,3187109.0
2015-05-01,210.81,212.19,210.7,212.12,2683435.0
2015-05-04,212.65,213.42,212.53,212.8,1833967.0
2015-05-05,212.43,212.85,210.13,210.34,2541473.0
2015-05-06,210.94,211.33,208.14,209.47,3331860.0
2015-05-07,209.31,210.76,208.92,210.29,5452841.0
2015-05-08,212.28,213.28,212.22,213.03,5096469.0
2015-05-11,213.0,213.3,211.94,212.0,4540299.0
2015-05-12,211.0,212.04,210.02,211.35,3801880.0
2015-05-13,211.92,212.64,211.14,211.43,2720749.0
2015-05-14,212.7,213.75,212.34,213.69,2629768.0
2015-05-15,213.89,214.03,213.3,213.91,2994357.0
2015-05-18,213.7,214.86,213.62,214.54,3439394.0
2015-05-19,214.7,215.0,214.12,214.5,1715471.0
2015-05-20,214.59,215.23,213.95,214.29,1734729.0
2015-05-21,214.17,215.18,213.95,214.91,1341018.0
2015-05-22,214.47,214.98,214.35,214.46,1840230.0
2015-05-26,213.84,213.94,211.63,212.13,3069817.0
2015-05-27,212.7,214.42,212.28,214.16,2495952.0
2015-05-28,213.77,214.03,213.05,213.88,2973190.0
2015-05-29,213.8,213.86,212.25,212.58,3282407.0
2015-06-01,213.35,213.77,212.05,212.95,3509864.0
2015-06-02,212.45,213.6,211.68,212.78,2790806.0
2015-06-03,213.39,214.1,212.76,213.38,3367334.0
2015-06-04,212.49,213.19,211.16,211.66,2920365.0
2015-06-05,211.3,211.98,210.38,211.19,2507292.0
2015-06-08,211.05,211.2,209.78,209.89,2830146.0
2015-06-09,209.91,210.47,209.1,209.82,2581433.0
2015-06-10,210.94,212.82,210.66,212.36,3304702.0
2015-06-11,212.93,213.5,212.64,213.09,3431329.0
2015-06-12,212.08,212.23,211.1,211.41,4894307.0
2015-06-15,209.97,210.85,209.19,210.53,2875507.0
2015-06-16,210.32,211.75,210.13,211.7,3104015.0
2015-06-17,212.01,212.72,210.77,212.02,2361018.0
2015-06-18,212.71,214.76,212.56,214.12,3003044.0
2015-06-19,213.97,214.02,212.8,212.8,3144945.0
2015-06-22,214.4,215.07,214.12,214.37,2918792.0
2015-06-23,214.63,214.91,214.05,214.46,3072851.0
2015-06-24,212.97,213.45,211.75,211.78,2055085.0
2015-06-25,212.42,212.53,211.05,211.11,2924608.0
2015-06-26,211.58,211.84,210.45,211.1,3168667.0
2015-06-29,209.31,210.08,206.59,206.65,4847528.0
2015-06-30,208.5,208.51,206.55,207.06,4625181.0
2015-07-01,209.08,209.32,207.86,208.84,4939268.0
2015-07-02,209.34,209.57,208.1,208.59,2880681.0
2015-07-06,207.02,208.94,206.81,208.04,4561530.0
2015-07-07,208.24,209.46,205.37,209.32,5829361.0
2015-07-08,207.7,208.05,205.52,205.86,5091904.0
2015-07-09,208.36,208.63,206.08,206.08,4394901.0
2015-07-10,208.6,209.25,207.77,208.75,4197390.0
2015-07-13,210.28,211.2,210.25,211.09,3000854.0
2015-07-14,210.98,212.34,210.96,212.0,4364045.0
2015-07-15,212.04,212.58,211.36,211.95,3225090.0
2015-07-16,213.19,213.61,212.9,213.55,4310852.0
2015-07-17,213.6,213.85,213.12,213.78,2326477.0
2015-07-20,214.03,214.46,213.54,213.87,2361012.0
2015-07-21,213.69,214.0,212.69,213.03,2925736.0
2015-07-22,212.2,213.05,212.18,212.59,3075122.0
2015-07-23,212.83,212.91,211.04,211.47,2799631.0
2015-07-24,211.56,211.64,208.86,209.25,3534495.0
2015-07-27,208.18,208.8,207.51,207.99,4497151.0
2015-07-28,209.06,210.76,208.07,210.58,2765638.0
