Date,open,high,low,close,volume
2015-04-27,110.95,111.16,110.02,110.26,27806154.0
2015-04-28,110.34,110.55,109.11,110.04,34409898.0
2015-04-29,109.43,110.07,108.75,109.35,33487803.0
2015-04-30,108.73,109.17,107.06,107.63,39915160.0
2015-05-01,108.05,109.12,108.03,109.08,31935809.0
2015-05-04,109.4,109.91,109.17,109.23,21057957.0
2015-05-05,108.8,109.0,107.4,107.47,43844595.0
2015-05-06,107.64,107.95,105.99,106.71,40494578.0
2015-05-07,106.68,107.65,106.6,107.35,29037524.0
2015-05-08,108.46,108.92,108.3,108.66,32750728.0
2015-05-11,108.76,108.98,108.19,108.27,19299223.0
2015-05-12,107.63,108.33,106.8,107.78,31759115.0
2015-05-13,108.25,108.81,107.84,108.0,19646823.0
2015-05-14,108.88,109.67,108.48,109.58,23173863.0
2015-05-15,109.86,110.01,109.31,109.58,23626155.0
2015-05-18,109.4,110.28,109.32,110.06,17455824.0
2015-05-19,110.18,110.35,109.76,109.94,14165746.0
2015-05-20,110.02,110.67,109.42,110.01,20045114.0
2015-05-21,109.82,110.73,109.66,110.57,16629520.0
2015-05-22,110.45,110.87,110.38,110.47,13416327.0
2015-05-26,110.23,110.38,108.76,109.2,24251704.0
2015-05-27,109.53,111.08,109.29,110.96,28891972.0
2015-05-28,110.75,111.01,110.37,110.71,16168935.0
2015-05-29,110.64,110.79,109.79,110.08,23562144.0
2015-06-01,110.64,110.72,109.52,110.42,23650581.0
2015-06-02,110.01,110.61,109.47,110.07,19323681.0
2015-06-03,110.57,110.81,110.13,110.36,19332991.0
2015-06-04,109.78,110.48,109.21,109.56,28839419.0
2015-06-05,109.43,109.69,108.63,109.3,22148832.0
2015-06-08,109.25,109.33,107.97,108.17,23785061.0
2015-06-09,107.93,108.4,107.2,108.01,26675522.0
2015-06-10,108.38,109.81,108.26,109.44,27756602.0
2015-06-11,109.86,110.15,109.46,109.64,16872597.0
2015-06-12,109.07,109.3,108.6,108.75,26891912.0
2015-06-15,107.94,108.38,107.31,108.21,30153890.0
2015-06-16,108.1,108.98,108.05,108.8,16351521.0
2015-06-17,108.98,109.45,108.43,109.1,22719087.0
2015-06-18,109.5,110.88,109.44,110.61,36860759.0
2015-06-19,110.49,110.57,109.81,109.87,24879521.0
2015-06-22,110.7,111.03,110.45,110.67,18303190.0
2015-06-23,110.82,110.89,110.33,110.79,18067104.0
2015-06-24,110.66,111.13,110.19,110.24,15628012.0
2015-06-25,110.65,110.76,109.81,110.0,18191389.0
2015-06-26,109.98,110.23,108.86,109.3,31099538.0
2015-06-29,108.06,108.66,106.64,106.73,48881147.0
2015-06-30,107.49,107.72,106.74,107.11,32865289.0
2015-07-01,108.13,108.34,107.42,107.91,20679191.0
2015-07-02,108.23,108.32,107.62,107.97,17800241.0
2015-07-06,107.27,108.32,107.04,107.71,23886984.0
2015-07-07,107.82,108.07,105.83,107.94,44155473.0
2015-07-08,107.2,107.33,105.89,106.08,39019502.0
2015-07-09,107.5,107.59,106.02,106.06,27087230.0
2015-07-10,107.44,108.05,107.05,107.68,25742081.0
2015-07-13,108.58,109.63,108.57,109.5,25459873.0
2015-07-14,109.69,110.56,109.63,110.24,21683788.0
2015-07-15,110.47,110.81,110.07,110.38,27052624.0
2015-07-16,111.29,111.96,111.07,111.93,27730659.0
2015-07-17,112.84,113.59,112.65,113.56,33106148.0
2015-07-20,113.83,114.39,113.48,113.98,25918425.0
2015-07-21,114.02,114.2,113.58,113.91,31403811.0
