Date,open,high,low,close,volume
2015-04-27,22.93,23.51,22.8,23.36,4541476.0
2015-04-28,23.32,24.09,23.19,23.51,5918708.0
2015-04-29,23.9,24.33,23.49,23.94,8142706.0
2015-04-30,24.35,25.44,24.06,25.09,7938814.0
2015-05-01,24.76,24.79,24.03,24.05,6717700.0
2015-05-04,23.84,24.0,23.51,23.97,5861066.0
2015-05-05,24.25,25.15,24.11,25.11,7238431.0
2015-05-06,25.02,26.15,24.79,25.64,7680989.0
2015-05-07,25.66,25.71,24.97,25.17,4725665.0
2015-05-08,24.39,24.52,24.08,24.25,5771043.0
2015-05-11,24.21,24.57,24.06,24.53,4740265.0
2015-05-12,24.98,25.51,24.49,24.88,6633893.0
2015-05-13,24.54,24.81,24.15,24.71,5041940.0
2015-05-14,24.1,24.38,23.56,23.63,7118231.0
2015-05-15,23.41,23.79,23.33,23.59,3597125.0
2015-05-18,23.73,23.78,23.17,23.33,3062278.0
2015-05-19,23.24,23.49,23.12,23.4,3808478.0
2015-05-20,23.35,23.7,22.92,23.34,3814652.0
2015-05-21,23.47,23.56,22.88,22.95,3156683.0
2015-05-22,23.07,23.09,22.8,23.04,3360483.0
2015-05-26,23.19,24.1,23.09,23.85,7972517.0
2015-05-27,23.63,23.77,22.61,22.67,9798765.0
2015-05-28,22.82,23.04,22.65,22.82,4477444.0
2015-05-29,22.9,23.39,22.78,23.22,8551776.0
2015-06-01,22.87,23.57,22.81,23.02,6952360.0
2015-06-02,23.28,23.59,22.88,23.24,6859679.0
2015-06-03,22.89,23.18,22.75,23.03,6272475.0
2015-06-04,23.4,23.75,22.97,23.53,6916003.0
2015-06-05,23.64,24.13,23.45,23.69,5076743.0
2015-06-08,23.75,24.56,23.69,24.43,4288657.0
2015-06-09,24.6,25.1,24.29,24.54,4613424.0
2015-06-10,24.31,24.39,23.33,23.58,3870329.0
2015-06-11,23.29,23.57,23.12,23.44,4430055.0
2015-06-12,23.81,24.11,23.67,24.0,4451468.0
2015-06-15,24.55,24.96,24.26,24.34,10270261.0
2015-06-16,24.47,24.48,23.86,24.0,4701589.0
2015-06-17,23.86,24.22,23.55,23.77,5542855.0
2015-06-18,23.55,23.56,22.63,22.77,9736973.0
2015-06-19,22.7,23.12,22.66,23.09,4912412.0
2015-06-22,22.56,22.73,22.36,22.59,4296507.0
2015-06-23,22.49,22.79,22.45,22.5,4119691.0
2015-06-24,22.58,22.87,22.31,22.85,4256222.0
2015-06-25,22.59,23.1,22.52,23.01,5491600.0
2015-06-26,23.0,23.7,22.86,23.42,9081321.0
2015-06-29,24.24,25.14,23.83,25.08,9523931.0
2015-06-30,24.54,25.08,24.38,24.78,8680845.0
2015-07-01,24.11,24.59,23.96,24.27,5976752.0
2015-07-02,24.04,24.45,23.99,24.2,5535146.0
2015-07-06,24.73,24.84,23.99,24.4,6870929.0
2015-07-07,24.3,25.67,24.15,24.24,10355769.0
2015-07-08,24.76,25.62,24.65,25.49,8934019.0
2015-07-09,24.45,25.55,24.39,25.54,7566655.0
2015-07-10,24.51,24.79,24.07,24.34,6822728.0
2015-07-13,23.71,23.72,23.01,23.08,7577671.0
2015-07-14,23.0,23.01,22.43,22.63,4513292.0
2015-07-15,22.49,22.74,22.28,22.55,5850490.0
2015-07-16,21.99,22.12,21.58,21.61,8073034.0
2015-07-17,21.08,21.16,20.64,20.64,7913067.0
2015-07-20,20.53,20.69,20.19,20.42,8341055.0
2015-07-21,20.4,20.62,20.3,20.48,5628388.0
2015-07-22,21.41,21.41,20.85,21.12,6455453.0
2015-07-23,21.07,21.54,20.88,21.38,4976404.0
2015-07-24,21.04,22.1,21.0,22.01,6840267.0
2015-07-27,22.41,22.68,22.1,22.55,8315111.0
2015-07-28,22.23,22.79,21.83,21.97,10027706.0
2015-07-29,21.83,22.08,21.57,21.68,5480124.0
2015-07-30,21.87,22.24,21.3,21.4,7192021.0
2015-07-31,21.21,21.61,21.17,21.48,5360662.0
2015-08-03,21.47,22.11,21.29,21.65,5503626.0
2015-08-04,21.71,22.07,21.6,21.82,5977782.0
2015-08-05,21.43,21.51,20.87,21.32,10148768.0
2015-08-06,21.26,22.6,21.16,22.3,7615522.0
2015-08-07,22.5,22.96,22.25,22.41,7127908.0
2015-08-10,21.96,21.96,21.48,21.63,4359427.0
2015-08-11,21.98,22.83,21.73,22.45,5471085.0
2015-08-12,22.93,23.64,22.1,22.24,7701157.0
2015-08-13,22.16,22.49,21.85,22.36,5477073.0
2015-08-14,22.51,22.64,22.15,22.23,6956207.0
2015-08-17,22.39,22.56,21.67,21.7,5752469.0
2015-08-18,21.78,22.1,21.71,22.0,4075502.0
2015-08-19,22.22,22.83,21.87,22.42,7787759.0
2015-08-20,23.07,24.33,22.86,24.33,9194252.0
2015-08-21,25.37,27.42,24.73,27.39,18971404.0
2015-08-24,35.79,45.0,27.42,30.61,24563993.0
2015-08-25,27.33,31.17,26.74,31.1,15106535.0
2015-08-26,28.33,30.27,26.17,26.38,17774184.0
2015-08-27,25.16,26.16,24.31,24.36,15154967.0
2015-08-28,24.74,24.89,24.1,24.35,11791505.0
2015-08-31,24.78,25.45,24.38,25.25,10207772.0
2015-09-01,27.16,27.94,26.01,27.57,15955658.0
2015-09-02,26.14,27.11,25.31,25.37,12559214.0
2015-09-03,25.0,25.9,24.5,25.73,10196673.0
2015-09-04,26.71,27.04,26.09,26.58,11662713.0
2015-09-08,25.08,25.4,24.26,24.34,11515541.0
2015-09-09,23.48,25.35,23.47,25.15,12967987.0
2015-09-10,25.26,25.34,23.85,24.39,14173095.0
2015-09-11,24.69,24.89,23.94,23.97,9161030.0
2015-09-14,23.66,24.43,23.66,24.17,5436491.0
2015-09-15,23.95,24.24,23.08,23.29,9413841.0
2015-09-16,23.3,23.52,22.84,22.94,10286743.0
2015-09-17,22.98,23.18,21.85,22.86,12484156.0
2015-09-18,23.92,23.96,23.05,23.85,9815154.0
2015-09-21,23.47,24.27,23.04,23.64,10553701.0
2015-09-22,24.74,25.33,24.47,24.67,7647905.0
2015-09-23,24.51,25.02,24.3,24.69,6826266.0
2015-09-24,25.35,25.98,24.62,24.86,9989670.0
2015-09-25,24.06,25.99,24.02,25.54,10334982.0
2015-09-28,25.86,27.93,25.82,27.77,11531715.0
2015-09-29,27.52,28.75,26.66,28.12,13901080.0
2015-09-30,26.94,27.28,26.12,26.22,12560153.0
2015-10-01,26.05,27.11,25.85,25.89,9380378.0
2015-10-02,26.94,27.15,24.48,24.52,12366094.0
2015-10-05,24.0,24.1,23.24,23.43,11485780.0
2015-10-06,23.6,24.31,23.36,23.77,9244154.0
2015-10-07,23.32,24.25,23.18,23.35,11365291.0
2015-10-08,23.63,24.28,22.94,23.07,11750827.0
2015-10-09,23.0,23.21,22.61,22.74,7506303.0
2015-10-12,22.64,22.86,22.45,22.6,6028406.0
2015-10-13,22.96,23.08,22.28,23.04,9628522.0
2015-10-14,23.01,23.41,22.67,23.12,7518434.0
2015-10-15,22.85,22.95,21.98,21.99,12553633.0
2015-10-16,21.83,22.15,21.66,21.67,6108865.0
2015-10-19,21.8,21.93,21.28,21.32,4949739.0
2015-10-20,21.45,21.86,21.31,21.66,4909516.0
2015-10-21,21.31,22.08,21.26,22.02,6260162.0
2015-10-22,21.45,21.65,20.66,20.7,9690977.0
2015-10-23,19.04,19.37,18.71,18.99,12086867.0
2015-10-26,19.03,19.22,18.82,18.93,5525243.0
2015-10-27,19.08,19.09,18.73,18.82,4819105.0
2015-10-28,18.71,19.18,18.35,18.36,7503388.0
2015-10-29,18.6,18.65,18.34,18.45,4887820.0
2015-10-30,18.41,18.68,18.31,18.68,4558194.0
2015-11-02,18.54,18.64,17.98,18.04,5720452.0
2015-11-03,18.15,18.24,17.66,17.85,5800514.0
2015-11-04,17.67,18.06,17.63,17.85,5244775.0
2015-11-05,17.77,18.27,17.67,18.0,5670372.0
2015-11-06,18.1,18.43,17.89,17.95,5479256.0
2015-11-09,18.15,18.85,18.08,18.51,6163071.0
2015-11-10,18.86,18.99,18.62,18.66,5072641.0
2015-11-11,18.49,18.83,18.24,18.73,5222722.0
2015-11-12,19.0,19.32,18.69,19.3,7025901.0
2015-11-13,19.52,20.45,19.46,20.41,9913821.0
2015-11-16,20.48,20.62,19.52,19.56,8399395.0
2015-11-17,19.43,19.65,19.08,19.51,6115566.0
2015-11-18,19.26,19.33,18.32,18.37,6865774.0
2015-11-19,18.35,18.45,18.09,18.36,5946702.0
2015-11-20,18.08,18.13,17.93,17.97,4622945.0
2015-11-23,17.85,18.34,17.75,18.12,4362963.0
2015-11-24,18.49,18.74,18.04,18.15,5844304.0
2015-11-25,18.08,18.24,18.01,18.13,2258558.0
2015-11-27,18.0,18.22,17.93,18.01,1684125.0
2015-11-30,17.9,18.35,17.88,18.2,3601761.0
2015-12-01,17.96,18.02,17.63,17.63,4980225.0
2015-12-02,17.6,18.04,17.36,17.95,4990670.0
2015-12-03,17.8,19.18,17.72,18.86,9582742.0
2015-12-04,18.7,18.81,17.45,17.55,10723618.0
2015-12-07,17.51,18.03,17.48,17.78,5777740.0
2015-12-08,18.32,18.35,17.6,17.75,7859492.0
2015-12-09,18.02,18.89,17.71,18.57,9261217.0
2015-12-10,18.45,18.61,17.95,18.32,4605158.0
2015-12-11,18.94,19.62,18.82,19.57,9170214.0
2015-12-14,19.53,20.34,19.12,19.16,10144064.0
2015-12-15,18.63,18.86,18.3,18.81,6558409.0
2015-12-16,18.41,18.99,17.87,17.98,7910475.0
2015-12-17,17.72,18.75,17.72,18.75,7059395.0
2015-12-18,18.93,19.8,18.81,19.78,7202534.0
2015-12-21,19.28,19.71,19.16,19.16,4292755.0
2015-12-22,18.88,19.18,18.72,18.82,3748570.0
2015-12-23,18.52,18.61,18.35,18.39,3774656.0
2015-12-24,18.4,18.42,18.25,18.37,1484769.0
2015-12-28,18.52,18.92,18.41,18.41,3498724.0
2015-12-29,18.1,18.14,17.44,17.58,5128684.0
2015-12-30,17.61,18.04,17.59,18.04,4099369.0
2015-12-31,18.23,18.72,18.12,18.7,5610050.0
2016-01-04,19.97,20.58,19.82,19.83,9145324.0
2016-01-05,19.57,20.27,19.52,20.04,6050622.0
2016-01-06,21.05,21.05,20.24,20.58,6343382.0
2016-01-07,21.89,22.52,21.11,22.48,12523188.0
2016-01-08,22.02,23.12,21.58,23.03,11215930.0
2016-01-11,22.55,23.9,22.36,22.86,10244091.0
2016-01-12,22.18,23.01,21.69,21.99,10335481.0
2016-01-13,21.77,24.43,21.63,24.33,12008454.0
2016-01-14,24.05,25.22,22.12,22.75,17116994.0
2016-01-15,25.02,25.75,24.16,24.87,14951369.0
2016-01-19,23.89,25.6,23.76,24.77,14807981.0
2016-01-20,25.91,27.52,24.17,24.96,20832905.0
2016-01-21,24.65,25.65,23.78,24.85,15296245.0
2016-01-22,23.4,23.64,22.71,22.73,13413727.0
2016-01-25,22.98,23.81,22.59,23.73,9836501.0
2016-01-26,23.45,24.06,22.8,23.1,7733903.0
2016-01-27,23.5,25.12,23.21,24.83,12426250.0
2016-01-28,23.63,25.06,23.56,23.81,12268094.0
2016-01-29,23.75,23.82,22.26,22.28,10667975.0
2016-02-01,22.61,22.86,21.84,22.13,7625644.0
2016-02-02,22.39,23.74,22.39,23.5,9202168.0
2016-02-03,23.05,25.1,23.05,23.87,18082335.0
2016-02-04,24.08,24.73,23.32,23.88,12497256.0
2016-02-05,24.13,26.66,24.12,26.36,14763523.0
2016-02-08,27.84,29.03,27.25,27.58,20165102.0
2016-02-09,28.69,28.82,26.59,27.86,17704101.0
2016-02-10,26.83,27.59,25.8,27.52,15790953.0
2016-02-11,28.59,28.8,26.98,27.57,15800927.0
2016-02-12,26.7,27.49,26.31,26.39,9848671.0
2016-02-16,25.19,25.7,24.67,24.68,9435927.0
2016-02-17,24.04,24.26,22.83,22.95,11345771.0
2016-02-18,22.74,23.81,22.71,23.71,9577678.0
2016-02-19,24.01,24.22,23.29,23.48,7361424.0
2016-02-22,22.81,22.91,22.29,22.36,7019135.0
2016-02-23,22.77,23.5,22.57,23.44,7528430.0
2016-02-24,24.27,24.72,22.7,22.78,12550231.0
2016-02-25,22.68,23.27,22.14,22.14,7985877.0
2016-02-26,21.68,22.36,21.6,22.21,7909482.0
2016-02-29,22.29,22.82,21.77,22.82,6656120.0
2016-03-01,22.16,22.36,20.61,20.61,11801586.0
2016-03-02,20.7,21.07,20.58,20.59,6748199.0
2016-03-03,20.66,21.14,20.63,20.71,6876625.0
2016-03-04,20.63,21.08,20.28,20.69,8988459.0
2016-03-07,20.99,21.5,20.63,21.06,9081464.0
2016-03-08,21.54,21.69,20.94,21.58,11214027.0
2016-03-09,21.35,21.7,21.15,21.18,7176561.0
2016-03-10,20.84,22.09,20.54,21.25,11717720.0
2016-03-11,20.59,20.77,20.15,20.16,8805242.0
2016-03-14,20.33,20.39,19.9,20.05,7033941.0
2016-03-15,20.28,20.45,20.0,20.06,6368571.0
2016-03-16,20.22,20.22,19.37,19.52,9992120.0
2016-03-17,19.73,19.92,19.43,19.58,6102259.0
2016-03-18,19.45,19.79,19.32,19.45,7561997.0
2016-03-21,19.6,19.61,19.19,19.25,5876807.0
2016-03-22,19.54,19.57,18.94,19.08,6501876.0
2016-03-23,19.15,19.66,19.14,19.54,6928874.0
2016-03-24,19.89,19.93,19.5,19.51,6129986.0
2016-03-28,19.37,19.71,19.36,19.61,3947183.0
2016-03-29,19.72,19.81,18.62,18.67,7485820.0
2016-03-30,18.34,18.51,18.04,18.39,10760858.0
2016-03-31,18.43,18.55,18.22,18.49,5467315.0
2016-04-01,18.79,18.88,17.86,17.87,7421080.0
2016-04-04,17.94,18.21,17.84,18.1,5793882.0
2016-04-05,18.51,18.68,18.3,18.59,6878115.0
2016-04-06,18.56,18.56,17.68,17.69,8801409.0
2016-04-07,17.98,18.67,17.9,18.47,8638025.0
2016-04-08,18.11,18.69,17.97,18.51,9667418.0
2016-04-11,18.25,18.7,17.98,18.7,8245076.0
2016-04-12,18.68,19.0,18.12,18.22,12446423.0
2016-04-13,17.81,17.88,17.45,17.53,8765287.0
2016-04-14,17.52,17.67,17.33,17.53,6363342.0
2016-04-15,17.6,17.79,17.45,17.66,5632273.0
2016-04-18,17.8,17.84,17.35,17.38,5007354.0
2016-04-19,17.28,17.96,17.25,17.7,6713157.0
2016-04-20,17.7,17.87,17.4,17.65,5887446.0
2016-04-21,17.66,17.88,17.45,17.65,6643834.0
