Date,open,high,low,close,volume
2015-04-27,24.31,24.41,24.15,24.19,23270582.0
2015-04-28,24.15,24.33,24.05,24.33,25760435.0
2015-04-29,24.19,24.43,24.09,24.32,40283691.0
2015-04-30,24.25,24.38,24.04,24.13,34630986.0
2015-05-01,24.26,24.37,24.23,24.34,17893016.0
2015-05-04,24.44,24.59,24.39,24.58,22071468.0
2015-05-05,24.51,24.65,24.34,24.36,30535138.0
2015-05-06,24.46,24.5,24.07,24.24,29471211.0
2015-05-07,24.14,24.47,24.14,24.41,31465977.0
2015-05-08,24.54,24.76,24.54,24.76,32887625.0
2015-05-11,24.76,24.81,24.63,24.67,31071832.0
2015-05-12,24.56,24.64,24.38,24.58,39527008.0
2015-05-13,24.58,24.68,24.53,24.59,23859263.0
2015-05-14,24.71,24.82,24.66,24.81,21473358.0
2015-05-15,24.82,24.83,24.62,24.7,23119584.0
2015-05-18,24.71,24.86,24.68,24.84,15982295.0
2015-05-19,24.89,25.06,24.87,24.98,25733621.0
2015-05-20,25.03,25.04,24.87,24.91,30283336.0
2015-05-21,24.86,24.91,24.82,24.85,18404979.0
2015-05-22,24.8,24.92,24.8,24.86,13130595.0
2015-05-26,24.82,24.82,24.56,24.58,42584706.0
2015-05-27,24.65,24.88,24.62,24.85,25550504.0
2015-05-28,24.79,24.84,24.67,24.82,17372749.0
2015-05-29,24.82,24.82,24.54,24.6,24587289.0
2015-06-01,24.73,24.76,24.55,24.62,18656980.0
2015-06-02,24.6,24.75,24.5,24.66,21295410.0
2015-06-03,24.75,24.94,24.7,24.87,32986583.0
2015-06-04,24.8,24.85,24.61,24.65,29523570.0
2015-06-05,24.83,24.95,24.72,24.79,42435239.0
2015-06-08,24.83,24.86,24.63,24.64,22769657.0
2015-06-09,24.66,24.81,24.56,24.7,25252516.0
2015-06-10,24.84,25.14,24.8,25.05,43788639.0
2015-06-11,25.16,25.2,25.06,25.15,46356241.0
2015-06-12,25.09,25.14,24.96,25.04,34245237.0
2015-06-15,24.88,25.02,24.77,24.93,32689365.0
2015-06-16,24.94,25.09,24.86,25.07,26597931.0
2015-06-17,25.15,25.18,24.98,25.04,45005649.0
2015-06-18,25.15,25.31,25.04,25.27,56328166.0
2015-06-19,25.09,25.12,24.74,24.74,34675098.0
2015-06-22,25.1,25.22,25.09,25.12,28144968.0
2015-06-23,25.19,25.25,25.13,25.17,27012674.0
2015-06-24,25.13,25.17,24.96,24.96,21463587.0
2015-06-25,25.03,25.04,24.79,24.81,35394938.0
2015-06-26,24.92,24.96,24.82,24.89,24400309.0
2015-06-29,24.62,24.73,24.28,24.29,42506682.0
2015-06-30,24.53,24.59,24.3,24.38,62758412.0
2015-07-01,24.76,24.81,24.6,24.75,42255417.0
2015-07-02,24.74,24.8,24.54,24.64,19314248.0
2015-07-06,24.36,24.6,24.33,24.54,26589694.0
2015-07-07,24.5,24.61,24.13,24.59,50618416.0
2015-07-08,24.26,24.42,24.12,24.16,45913507.0
2015-07-09,24.5,24.54,24.3,24.35,24572050.0
2015-07-10,24.69,24.7,24.53,24.64,28880952.0
2015-07-13,24.85,24.94,24.8,24.94,32422509.0
2015-07-14,24.86,25.05,24.81,25.0,22314860.0
2015-07-15,25.12,25.25,25.03,25.21,44965751.0
2015-07-16,25.4,25.46,25.37,25.46,32250889.0
2015-07-17,25.44,25.47,25.28,25.39,17786453.0
2015-07-20,25.46,25.5,25.35,25.42,20289562.0
2015-07-21,25.43,25.53,25.33,25.41,19554914.0
2015-07-22,25.4,25.61,25.37,25.58,28983594.0
2015-07-23,25.6,25.62,25.31,25.36,27972042.0
2015-07-24,25.33,25.35,25.08,25.12,25205168.0
2015-07-27,24.95,25.0,24.85,24.94,27742795.0
2015-07-28,25.14,25.14,24.88,25.04,23790275.0
2015-07-29,25.12,25.3,25.06,25.29,26538226.0
2015-07-30,25.25,25.31,25.15,25.29,16593233.0
2015-07-31,25.26,25.32,25.14,25.21,19060348.0
2015-08-03,25.21,25.24,25.01,25.18,33529118.0
2015-08-04,25.2,25.27,25.1,25.15,24372968.0
2015-08-05,25.31,25.39,25.17,25.23,19757677.0
2015-08-06,25.26,25.3,25.06,25.15,19196582.0
2015-08-07,25.13,25.23,24.99,25.17,24415835.0
2015-08-10,25.37,25.45,25.3,25.43,24315102.0
2015-08-11,25.2,25.29,25.11,25.2,51510921.0
2015-08-12,25.0,25.02,24.6,24.99,62210811.0
2015-08-13,25.04,25.16,24.88,25.07,21990327.0
2015-08-14,25.04,25.25,25.03,25.25,26734449.0
2015-08-17,25.14,25.31,25.05,25.3,23349267.0
2015-08-18,25.27,25.34,25.22,25.28,16435082.0
2015-08-19,25.21,25.27,24.95,25.06,46308151.0
2015-08-20,24.79,24.82,24.52,24.53,53071247.0
2015-08-21,24.21,24.39,23.64,23.76,100949854.0
2015-08-24,22.19,23.43,18.52,22.65,113445926.0
2015-08-25,23.46,23.48,22.25,22.28,68028506.0
2015-08-26,22.85,23.17,22.43,23.13,114903297.0
2015-08-27,23.47,23.78,23.28,23.73,76083391.0
2015-08-28,23.65,23.71,23.48,23.65,32070760.0
2015-08-31,23.48,23.58,23.41,23.47,47686340.0
2015-09-01,22.93,23.05,22.5,22.65,67961752.0
2015-09-02,22.97,23.04,22.68,22.99,41325680.0
2015-09-03,23.05,23.34,23.01,23.09,44464928.0
2015-09-04,22.78,22.85,22.5,22.65,41419788.0
2015-09-08,23.09,23.25,22.93,23.23,38076478.0
2015-09-09,23.44,23.54,22.86,22.92,34668678.0
2015-09-10,22.89,23.19,22.82,23.01,34785966.0
2015-09-11,22.91,23.12,22.86,23.1,21468099.0
2015-09-14,23.07,23.13,22.98,23.05,25843585.0
2015-09-15,23.16,23.47,23.07,23.39,31240291.0
2015-09-16,23.42,23.59,23.29,23.53,22083475.0
2015-09-17,23.53,23.69,23.17,23.23,59563691.0
2015-09-18,22.79,22.9,22.62,22.67,66615697.0
2015-09-21,22.81,23.0,22.77,22.92,38065309.0
