Date,open,high,low,close,volume
2015-04-27,56.4,56.54,56.22,56.3,8308207.0
2015-04-28,56.15,56.41,55.79,56.4,8348795.0
2015-04-29,56.63,56.63,55.79,56.12,9971339.0
2015-04-30,55.86,56.11,55.43,55.63,12922891.0
2015-05-01,55.89,56.36,55.81,56.33,11017598.0
2015-05-04,56.35,56.74,56.35,56.42,6073482.0
2015-05-05,56.23,56.52,55.6,55.66,9991631.0
2015-05-06,55.92,55.98,55.32,55.63,8227373.0
2015-05-07,55.46,56.05,55.46,55.92,10643205.0
2015-05-08,56.52,56.74,56.36,56.58,6993982.0
2015-05-11,56.56,56.76,56.48,56.53,5139046.0
2015-05-12,56.36,56.66,56.1,56.47,7540079.0
2015-05-13,56.68,56.97,56.51,56.59,7691861.0
2015-05-14,56.84,57.22,56.79,57.16,8695113.0
2015-05-15,57.14,57.27,56.94,57.11,6265248.0
2015-05-18,57.26,57.29,56.98,57.22,6633250.0
2015-05-19,57.01,57.29,56.98,57.06,6178055.0
2015-05-20,57.1,57.13,56.76,56.85,7058604.0
2015-05-21,56.78,57.28,56.78,57.16,6246739.0
2015-05-22,57.13,57.19,56.88,56.9,5818020.0
2015-05-26,56.81,56.81,56.14,56.28,7841872.0
2015-05-27,56.47,56.71,56.29,56.64,5469304.0
2015-05-28,56.5,56.54,56.16,56.37,5699717.0
2015-05-29,56.32,56.34,55.7,55.81,11744654.0
2015-06-01,55.99,56.25,55.67,56.06,8703721.0
2015-06-02,55.87,56.4,55.73,56.17,6113729.0
2015-06-03,56.31,56.63,56.13,56.45,7889060.0
2015-06-04,56.16,56.33,55.73,55.82,10164115.0
2015-06-05,55.71,55.92,55.5,55.86,9067343.0
2015-06-08,55.77,55.86,55.44,55.45,5883460.0
2015-06-09,55.39,55.68,55.3,55.44,5616085.0
2015-06-10,55.64,56.14,55.58,55.99,7232787.0
2015-06-11,56.14,56.34,56.05,56.31,5199876.0
2015-06-12,56.01,56.17,55.83,55.98,7735285.0
2015-06-15,55.56,55.73,55.25,55.51,8794051.0
2015-06-16,55.44,55.65,55.33,55.56,7514398.0
2015-06-17,55.59,55.83,55.26,55.71,10306539.0
2015-06-18,55.58,56.47,55.58,56.27,9435695.0
2015-06-19,55.88,56.09,55.72,55.74,8751255.0
2015-06-22,56.03,56.2,55.94,56.05,4900877.0
2015-06-23,56.14,56.17,55.84,55.92,3830908.0
2015-06-24,55.8,55.89,55.39,55.4,5955411.0
2015-06-25,55.35,55.57,54.96,54.97,8312754.0
2015-06-26,55.13,55.24,54.95,55.09,6267254.0
2015-06-29,54.63,54.84,54.0,54.04,13096355.0
2015-06-30,54.57,54.57,53.97,54.09,12472267.0
2015-07-01,54.6,54.7,54.06,54.33,10970809.0
2015-07-02,54.48,54.52,54.12,54.23,10460541.0
2015-07-06,53.86,54.38,53.77,54.02,10674957.0
2015-07-07,53.94,54.49,53.44,54.46,16495814.0
2015-07-08,53.92,54.08,53.35,53.48,12506453.0
2015-07-09,54.01,54.26,53.61,53.63,8903866.0
2015-07-10,54.14,54.37,53.96,54.17,8284774.0
2015-07-13,54.53,54.8,54.53,54.75,6732341.0
2015-07-14,54.71,55.01,54.61,54.92,9119381.0
2015-07-15,54.93,54.94,54.58,54.69,7245326.0
2015-07-16,55.0,55.11,54.84,54.94,8273040.0
2015-07-17,55.03,55.15,54.77,54.92,5506049.0
2015-07-20,54.92,55.05,54.84,54.93,5156332.0
2015-07-21,54.52,54.71,54.28,54.37,7264778.0
2015-07-22,54.25,54.52,53.96,54.07,7513708.0
2015-07-23,53.91,54.19,53.46,53.6,11531987.0
2015-07-24,53.58,53.62,52.81,52.9,10830284.0
2015-07-27,52.54,52.8,52.45,52.64,11673587.0
2015-07-28,52.84,53.74,52.84,53.66,15440621.0
2015-07-29,53.56,54.36,53.53,54.32,13081536.0
2015-07-30,54.03,54.32,53.97,54.27,5884196.0
2015-07-31,54.49,54.5,54.16,54.22,7397010.0
2015-08-03,54.12,54.23,53.69,53.98,14242605.0
2015-08-04,53.93,54.26,53.8,53.91,8611501.0
2015-08-05,54.21,54.57,54.15,54.2,8000089.0
2015-08-06,54.24,54.32,53.84,53.98,5623751.0
2015-08-07,53.84,53.95,53.52,53.7,8185572.0
2015-08-10,54.14,54.77,54.09,54.72,9082142.0
2015-08-11,54.08,54.32,53.85,54.08,10184973.0
2015-08-12,53.61,54.18,53.23,54.05,8040736.0
2015-08-13,54.11,54.22,53.82,54.05,4727890.0
2015-08-14,53.98,54.41,53.96,54.38,6528852.0
2015-08-17,54.12,54.65,53.87,54.63,5491243.0
2015-08-18,54.35,54.64,54.35,54.54,3834824.0
2015-08-19,54.38,54.52,53.85,54.06,9048891.0
2015-08-20,53.58,53.71,52.91,52.94,18271903.0
2015-08-21,52.33,52.57,51.46,51.48,26591428.0
2015-08-24,47.91,51.06,47.6,49.68,65787470.0
2015-08-25,50.62,51.49,48.95,49.0,25524809.0
2015-08-26,49.95,50.57,49.15,50.5,26108545.0
2015-08-27,50.98,51.77,50.47,51.7,21133733.0
2015-08-28,51.54,51.81,51.26,51.76,7873743.0
2015-08-31,51.39,51.72,51.11,51.3,13418725.0
2015-09-01,50.21,50.78,49.68,49.97,14266460.0
2015-09-02,50.69,51.05,50.21,51.03,17783880.0
2015-09-03,51.16,51.58,50.93,51.08,10384114.0
2015-09-04,50.66,50.66,50.18,50.38,9900980.0
2015-09-08,51.12,51.78,51.02,51.76,8373120.0
2015-09-09,52.19,53.05,51.12,51.21,8843111.0
2015-09-10,51.05,51.59,50.99,51.23,9659102.0
2015-09-11,51.18,51.51,50.99,51.49,6118695.0
2015-09-14,51.61,51.61,51.14,51.26,8416677.0
2015-09-15,51.46,52.24,51.35,52.12,7705494.0
2015-09-16,52.17,52.62,52.06,52.52,19158888.0
2015-09-17,52.45,53.11,52.16,52.28,18684705.0
2015-09-18,51.21,51.47,50.77,50.91,20169575.0
2015-09-21,51.14,51.45,50.87,51.11,9389602.0
2015-09-22,50.39,50.54,50.04,50.37,10060134.0
2015-09-23,50.38,50.49,49.84,50.02,7848069.0
2015-09-24,49.43,49.83,49.04,49.68,13720368.0
2015-09-25,50.22,50.22,49.6,49.81,10205462.0
2015-09-28,49.53,49.59,48.83,48.83,14088431.0
2015-09-29,49.09,49.33,48.81,49.15,15145093.0
2015-09-30,49.55,49.95,49.27,49.89,17543287.0
2015-10-01,49.82,50.13,49.31,49.78,10296212.0
2015-10-02,49.12,50.41,48.98,50.41,11714231.0
2015-10-05,51.15,51.95,50.71,51.84,10126898.0
2015-10-06,51.75,52.11,51.72,51.79,11534771.0
2015-10-07,52.06,52.71,51.95,52.47,15417643.0
2015-10-08,52.2,53.36,52.18,53.2,21630168.0
2015-10-09,53.76,53.76,53.2,53.38,33133076.0
2015-10-12,53.34,53.44,53.12,53.39,8948700.0
2015-10-13,53.0,53.31,52.8,52.82,10222485.0
2015-10-14,52.65,52.91,52.17,52.27,11785777.0
2015-10-15,52.63,52.85,52.2,52.79,13609908.0
2015-10-16,53.0,53.0,52.32,52.55,13678915.0
2015-10-19,52.35,52.68,52.27,52.62,8072586.0
2015-10-20,52.44,53.14,52.33,52.97,11240510.0
2015-10-21,53.03,53.58,52.9,52.98,16074475.0
2015-10-22,53.19,54.66,53.11,54.46,20540287.0
2015-10-23,54.78,54.86,54.31,54.66,13353377.0
2015-10-26,54.54,54.82,54.42,54.54,11268974.0
2015-10-27,54.09,54.2,53.83,53.94,14214782.0
2015-10-28,54.14,54.4,53.7,54.37,13883239.0
2015-10-29,54.05,54.42,54.03,54.34,13324098.0
2015-10-30,54.36,54.56,54.25,54.27,14572395.0
2015-11-02,54.28,55.01,54.28,54.9,15304028.0
2015-11-03,54.85,55.09,54.73,54.9,7435317.0
2015-11-04,54.91,55.1,54.68,54.79,9465100.0
2015-11-05,54.77,55.0,54.47,54.86,11524563.0
2015-11-06,54.54,54.87,54.28,54.86,15227773.0
2015-11-09,54.59,54.69,53.92,54.44,13568130.0
2015-11-10,54.22,54.61,53.98,54.44,18949847.0
2015-11-11,54.56,54.79,54.38,54.5,12534655.0
2015-11-12,54.12,54.48,53.75,53.76,19033813.0
2015-11-13,53.55,53.96,53.43,53.52,13774726.0
2015-11-16,53.24,54.24,53.24,54.21,13136706.0
2015-11-17,54.28,54.48,53.94,54.1,15561418.0
2015-11-18,54.15,54.87,54.15,54.85,10430169.0
2015-11-19,54.72,55.14,54.72,55.09,12244482.0
2015-11-20,55.31,55.56,55.16,55.37,9012881.0
2015-11-23,55.42,55.48,54.94,55.09,9945412.0
2015-11-24,54.73,55.12,54.54,55.0,15079853.0
2015-11-25,55.15,55.16,54.9,55.0,6406759.0
2015-11-27,54.96,55.17,54.86,55.09,4454510.0
2015-11-30,55.1,55.14,54.7,54.74,11003165.0
2015-12-01,54.76,55.17,54.69,55.0,11467829.0
2015-12-02,54.91,55.06,54.32,54.44,13131576.0
2015-12-03,54.58,54.61,53.56,53.76,15999355.0
2015-12-04,53.84,54.57,53.72,54.56,13889871.0
2015-12-07,54.39,54.56,54.1,54.29,9665464.0
2015-12-08,53.58,53.84,53.32,53.42,15506631.0
2015-12-09,53.22,53.9,52.91,53.26,16784001.0
2015-12-10,53.21,53.86,53.21,53.51,13225221.0
2015-12-11,53.07,53.21,52.52,52.61,24571910.0
2015-12-14,52.63,52.88,52.12,52.8,27361553.0
2015-12-15,52.9,53.15,52.68,52.81,17052125.0
2015-12-16,53.11,53.87,52.96,53.75,18949693.0
2015-12-17,53.94,54.01,52.86,52.86,15862546.0
2015-12-18,52.43,52.43,51.7,51.74,18533706.0
2015-12-21,52.2,52.36,51.83,52.14,9336439.0
2015-12-22,52.35,52.98,52.23,52.86,11814454.0
2015-12-23,53.1,53.52,52.96,53.48,9596229.0
2015-12-24,53.29,53.6,53.29,53.46,2040512.0
2015-12-28,53.25,53.45,52.98,53.34,4687580.0
2015-12-29,53.59,53.95,53.53,53.85,5025514.0
2015-12-30,53.75,53.84,53.33,53.4,10947884.0
2015-12-31,53.15,53.45,52.92,53.01,6778540.0
2016-01-04,52.11,52.32,51.71,52.3,16395766.0
2016-01-05,52.43,52.53,51.97,52.44,8711433.0
2016-01-06,51.72,52.06,51.31,51.63,9969736.0
2016-01-07,50.8,51.1,50.09,50.23,17224186.0
2016-01-08,50.71,50.71,49.65,49.72,17197497.0
2016-01-11,50.05,50.09,49.28,49.75,18962436.0
2016-01-12,50.09,50.24,49.51,50.15,19272784.0
2016-01-13,50.38,50.48,48.79,48.94,18939802.0
2016-01-14,49.1,49.86,48.6,49.52,18831031.0
2016-01-15,48.14,48.84,48.02,48.64,20429003.0
2016-01-19,49.18,49.27,48.19,48.64,14835261.0
2016-01-20,47.95,48.43,46.82,48.01,26092675.0
2016-01-21,48.01,48.68,47.66,48.22,18589806.0
2016-01-22,48.84,48.99,48.22,48.64,12780961.0
2016-01-25,48.56,48.65,47.96,48.04,14526857.0
2016-01-26,48.15,48.97,48.14,48.95,12038307.0
2016-01-27,48.69,49.28,48.14,48.4,16437248.0
2016-01-28,48.64,48.81,48.18,48.68,12553037.0
2016-01-29,49.0,50.01,48.88,49.99,14570355.0
2016-02-01,49.59,50.11,49.27,49.87,15940477.0
2016-02-02,49.38,49.42,48.7,48.87,15284769.0
2016-02-03,49.26,49.74,48.35,49.66,25732880.0
2016-02-04,49.59,50.91,49.55,50.52,18452296.0
2016-02-05,50.25,50.54,49.8,50.04,15518119.0
2016-02-08,49.49,49.76,48.97,49.62,19999058.0
2016-02-09,49.04,50.26,49.04,49.92,15369951.0
2016-02-10,50.04,50.51,49.64,49.68,15079367.0
2016-02-11,48.82,49.36,48.1,48.69,19180314.0
2016-02-12,48.98,49.68,48.87,49.67,19249081.0
2016-02-16,50.3,50.73,49.87,50.67,15037927.0
2016-02-17,51.0,51.63,50.85,51.45,15619908.0
2016-02-18,51.5,51.61,51.23,51.42,9587830.0
2016-02-19,50.98,51.37,50.89,51.32,12613634.0
2016-02-22,51.8,52.44,51.8,52.19,12143817.0
2016-02-23,51.97,52.15,51.55,51.67,9727887.0
2016-02-24,51.06,51.83,50.73,51.7,17347268.0
2016-02-25,51.85,52.4,51.69,52.38,9312686.0
2016-02-26,52.51,52.85,52.44,52.45,8312343.0
2016-02-29,52.45,52.72,52.1,52.12,13823027.0
2016-03-01,52.33,53.21,52.33,53.14,13424822.0
2016-03-02,53.0,53.24,52.91,53.18,8877784.0
2016-03-03,53.15,53.61,53.06,53.56,9808973.0
2016-03-04,53.53,54.1,53.41,53.78,10006912.0
2016-03-07,53.5,53.95,53.42,53.94,11753981.0
2016-03-08,53.5,53.54,53.1,53.18,12241121.0
2016-03-09,53.32,53.5,53.17,53.35,11060113.0
2016-03-10,53.47,53.71,52.81,53.27,12693338.0
2016-03-11,53.76,54.16,53.72,54.04,11059850.0
2016-03-14,53.84,54.23,53.84,54.09,6946730.0
2016-03-15,53.7,54.06,53.53,54.06,6948723.0
2016-03-16,53.94,54.56,53.81,54.25,11447432.0
2016-03-17,54.59,55.62,54.26,55.44,17009422.0
2016-03-18,55.3,55.75,55.24,55.63,17059773.0
2016-03-21,55.56,55.96,55.48,55.96,7150439.0
2016-03-22,55.41,55.81,55.4,55.64,7570862.0
2016-03-23,55.52,55.59,55.23,55.28,10833202.0
2016-03-24,54.96,55.12,54.74,55.12,10403297.0
2016-03-28,55.13,55.27,54.89,55.14,6591652.0
2016-03-29,55.03,55.51,54.72,55.5,9271815.0
2016-03-30,55.99,56.02,55.6,55.6,8197593.0
2016-03-31,55.71,55.79,55.4,55.47,12949115.0
2016-04-01,55.15,55.73,54.75,55.73,16184493.0
2016-04-04,55.54,55.6,55.0,55.1,12014932.0
2016-04-05,54.73,55.01,54.56,54.76,11244893.0
2016-04-06,54.74,55.03,54.25,55.03,10958941.0
2016-04-07,54.57,54.86,54.33,54.5,13364507.0
2016-04-08,54.84,55.31,54.67,54.71,9188866.0
2016-04-11,54.98,55.34,54.71,54.73,7710122.0
2016-04-12,54.75,55.33,54.66,55.05,10724259.0
2016-04-13,55.56,56.02,55.49,55.87,13215527.0
2016-04-14,56.14,56.2,55.88,55.97,13195189.0
2016-04-15,56.07,56.1,55.9,56.05,10781632.0
2016-04-18,55.8,56.29,55.71,56.1,8618994.0
2016-04-19,56.4,56.72,56.28,56.5,9317330.0
2016-04-20,56.52,56.7,56.26,56.41,13632607.0
2016-04-21,56.39,56.6,56.21,56.27,11941696.0
2016-04-22,56.31,56.5,56.14,56.41,14750055.0
2016-04-25,56.36,56.38,55.87,56.14,10224099.0
2016-04-26,56.27,56.64,56.24,56.64,10139889.0
2016-04-27,56.71,57.18,56.48,57.04,9254703.0
2016-04-28,56.65,57.14,56.35,56.49,19551870.0
2016-04-29,56.17,56.4,55.82,56.16,16369932.0
2016-05-02,56.27,56.49,56.02,56.45,10145145.0
2016-05-03,56.08,56.08,55.6,55.99,11171359.0
2016-05-04,55.69,55.73,55.06,55.3,22102725.0
2016-05-05,55.45,55.59,55.15,55.27,12840952.0
2016-05-06,55.04,55.67,54.94,55.64,9934378.0
2016-05-09,55.52,55.63,55.27,55.39,7763706.0
2016-05-10,55.55,56.35,55.55,56.34,14983063.0
2016-05-11,56.3,56.48,55.87,55.87,12801978.0
2016-05-12,55.88,56.13,55.41,55.75,13992392.0
2016-05-13,55.66,55.88,54.9,55.05,13017911.0
2016-05-16,55.05,55.9,55.05,55.73,9210833.0
2016-05-17,55.55,56.04,55.27,55.46,11830078.0
2016-05-18,55.31,55.76,54.96,55.27,13609444.0
2016-05-19,54.83,55.03,54.39,54.75,15143060.0
2016-05-20,54.97,55.32,54.96,55.03,9397852.0
2016-05-23,54.96,55.15,54.74,54.93,7604903.0
2016-05-24,55.16,55.66,55.14,55.5,7274461.0
2016-05-25,55.6,56.02,55.6,55.88,11183819.0
2016-05-26,55.91,56.11,55.72,55.72,6108372.0
2016-05-27,55.84,55.95,55.78,55.93,6250015.0
2016-05-31,56.0,56.16,55.71,55.92,11290310.0
2016-06-01,55.63,56.0,55.41,55.97,11013018.0
2016-06-02,55.85,56.07,55.72,56.04,6113502.0
2016-06-03,55.92,56.13,55.55,55.99,11946096.0
2016-06-06,56.12,56.57,56.08,56.52,8881514.0
2016-06-07,56.63,56.96,56.53,56.79,8372740.0
2016-06-08,56.97,57.22,56.86,57.15,9195794.0
2016-06-09,56.84,57.17,56.78,57.14,9971414.0
2016-06-10,56.68,56.81,56.32,56.47,13721672.0
2016-06-13,56.45,56.52,55.86,55.86,18829946.0
2016-06-14,55.79,56.04,55.54,55.87,12839024.0
2016-06-15,56.03,56.32,55.84,55.89,10429620.0
2016-06-16,55.63,56.13,55.21,55.99,14811112.0
