Date,open,high,low,close,volume
2015-04-27,43.29,43.43,43.16,43.25,9170266.0
2015-04-28,43.29,43.55,42.95,43.39,9123576.0
2015-04-29,43.18,43.44,42.91,43.18,8549560.0
2015-04-30,42.96,43.09,42.41,42.58,8454339.0
2015-05-01,42.84,43.12,42.72,43.1,10468316.0
2015-05-04,43.2,43.36,43.12,43.14,7621462.0
2015-05-05,43.03,43.1,42.44,42.47,7914394.0
2015-05-06,42.63,42.71,41.86,42.11,9724103.0
2015-05-07,42.18,42.57,42.09,42.42,5552021.0
2015-05-08,42.85,43.06,42.78,43.03,9657233.0
2015-05-11,43.0,43.05,42.77,42.81,5972285.0
2015-05-12,42.58,42.77,42.21,42.58,6485601.0
2015-05-13,42.76,43.01,42.67,42.76,9258168.0
2015-05-14,43.1,43.47,43.06,43.45,6945177.0
2015-05-15,43.54,43.58,43.21,43.31,8396660.0
2015-05-18,43.25,43.6,43.19,43.52,3336811.0
2015-05-19,43.57,43.62,43.36,43.41,4531666.0
2015-05-20,43.44,43.67,43.28,43.44,10979644.0
2015-05-21,43.38,43.68,43.32,43.63,3700558.0
2015-05-22,43.49,43.71,43.49,43.6,3937784.0
2015-05-26,43.47,43.5,42.84,42.97,7783937.0
2015-05-27,43.13,43.81,43.1,43.78,12347966.0
2015-05-28,43.64,43.77,43.56,43.69,4626577.0
2015-05-29,43.69,43.71,43.26,43.37,7688988.0
2015-06-01,43.62,43.64,43.22,43.49,6852780.0
2015-06-02,43.33,43.6,43.11,43.4,5623357.0
2015-06-03,43.47,43.73,43.4,43.49,5582066.0
2015-06-04,43.25,43.5,42.99,43.09,8323443.0
2015-06-05,43.04,43.13,42.76,42.95,7710125.0
2015-06-08,42.94,42.95,42.39,42.47,8307475.0
2015-06-09,42.4,42.53,42.08,42.38,7684551.0
2015-06-10,42.47,43.12,42.47,43.03,8918312.0
2015-06-11,43.18,43.29,42.99,43.05,5602675.0
2015-06-12,42.84,42.91,42.63,42.67,6108466.0
2015-06-15,42.39,42.46,42.09,42.42,9125440.0
2015-06-16,42.39,42.74,42.32,42.69,9110007.0
2015-06-17,42.72,42.88,42.46,42.71,10973770.0
2015-06-18,42.69,43.16,42.68,43.09,8908184.0
2015-06-19,42.81,42.91,42.54,42.54,13282353.0
2015-06-22,42.9,43.02,42.78,42.88,5316239.0
2015-06-23,42.98,42.99,42.82,42.92,3936681.0
2015-06-24,42.82,43.07,42.72,42.72,4796785.0
2015-06-25,42.95,42.98,42.61,42.62,4902088.0
2015-06-26,42.59,42.64,42.13,42.26,9243375.0
2015-06-29,41.81,42.06,41.35,41.36,12864780.0
2015-06-30,41.67,41.69,41.29,41.4,11242739.0
2015-07-01,41.77,41.86,41.49,41.68,8045596.0
2015-07-02,41.8,41.88,41.57,41.74,5101678.0
2015-07-06,41.45,41.76,41.33,41.57,7368554.0
2015-07-07,41.65,41.69,40.85,41.63,19587674.0
2015-07-08,41.29,41.38,40.93,40.95,16021158.0
2015-07-09,41.42,41.53,40.79,40.79,8839360.0
2015-07-10,41.31,41.58,41.21,41.44,6682425.0
2015-07-13,41.7,42.1,41.69,42.07,6873687.0
2015-07-14,42.08,42.34,42.06,42.23,5936788.0
2015-07-15,42.21,42.37,42.12,42.24,6391349.0
2015-07-16,42.57,42.8,42.49,42.78,5191696.0
2015-07-17,43.15,43.44,43.09,43.44,7705192.0
2015-07-20,43.59,43.81,43.43,43.67,8970166.0
2015-07-21,43.45,43.6,43.34,43.34,5845385.0
2015-07-22,42.53,42.89,42.5,42.68,8406621.0
2015-07-23,42.8,42.97,42.49,42.59,6247960.0
2015-07-24,42.8,42.86,42.32,42.36,9565373.0
2015-07-27,42.02,42.28,41.92,41.98,8568704.0
2015-07-28,42.16,42.44,41.86,42.36,7851784.0
2015-07-29,42.36,42.73,42.21,42.64,8297918.0
2015-07-30,42.46,42.79,42.26,42.72,6776738.0
2015-07-31,42.77,42.84,42.5,42.58,10862717.0
2015-08-03,42.56,42.62,42.08,42.36,8765545.0
2015-08-04,42.31,42.35,41.94,42.09,7335959.0
2015-08-05,42.37,42.81,42.28,42.51,10353711.0
2015-08-06,42.51,42.68,41.94,42.1,6386467.0
2015-08-07,41.99,42.18,41.83,42.11,7802948.0
2015-08-10,42.31,42.82,42.31,42.77,5356730.0
2015-08-11,42.66,42.72,42.01,42.15,27254530.0
2015-08-12,41.83,42.41,41.44,42.33,9976320.0
2015-08-13,42.36,42.49,42.12,42.21,6600175.0
2015-08-14,42.1,42.46,42.07,42.41,5915234.0
2015-08-17,42.26,42.66,42.11,42.65,5431264.0
2015-08-18,42.56,42.62,42.39,42.44,4675074.0
2015-08-19,42.31,42.52,41.92,42.15,9165523.0
2015-08-20,41.71,41.89,41.13,41.16,13518897.0
2015-08-21,40.69,41.0,39.56,39.6,22744937.0
2015-08-24,37.01,39.61,31.32,38.14,35539691.0
2015-08-25,39.47,39.54,37.66,37.71,18381051.0
2015-08-26,38.45,39.66,38.12,39.6,33994873.0
2015-08-27,40.14,40.53,39.62,40.52,19756192.0
2015-08-28,40.34,40.67,40.25,40.58,13680084.0
2015-08-31,40.27,40.67,40.13,40.25,11000924.0
2015-09-01,39.38,39.72,38.75,38.97,21092103.0
2015-09-02,39.52,39.92,39.14,39.92,12431350.0
2015-09-03,40.1,40.42,39.79,39.91,9677536.0
2015-09-04,39.38,39.58,39.11,39.31,13707492.0
2015-09-08,40.05,40.43,39.95,40.38,9261908.0
2015-09-09,40.66,40.86,39.78,39.88,9573715.0
2015-09-10,39.81,40.5,39.79,40.23,13902002.0
2015-09-11,39.99,40.46,39.98,40.45,6842032.0
2015-09-14,40.63,40.67,40.26,40.36,7343376.0
2015-09-15,40.49,40.99,40.38,40.86,8625869.0
2015-09-16,40.83,41.09,40.78,41.04,7624483.0
2015-09-17,40.88,41.4,40.63,40.77,16720550.0
2015-09-18,40.11,40.48,39.97,40.07,17959280.0
2015-09-21,40.13,40.58,40.09,40.46,6900519.0
2015-09-22,39.81,39.97,39.53,39.78,10458553.0
2015-09-23,39.92,40.02,39.66,39.88,5612754.0
2015-09-24,39.43,39.99,39.22,39.88,10984877.0
2015-09-25,40.25,40.3,39.63,39.81,10797876.0
2015-09-28,39.64,39.7,38.88,38.9,12328301.0
2015-09-29,39.0,39.26,38.45,38.73,12758748.0
2015-09-30,39.2,39.56,39.09,39.51,12253587.0
2015-10-01,39.5,39.64,38.99,39.52,13423006.0
2015-10-02,39.06,40.08,38.92,40.08,14828613.0
2015-10-05,40.33,40.97,40.25,40.85,7985852.0
2015-10-06,40.73,41.01,40.72,40.94,9822850.0
2015-10-07,41.14,41.27,40.61,41.11,15194192.0
2015-10-08,40.95,41.38,40.75,41.3,15222371.0
2015-10-09,41.42,41.51,41.25,41.48,11169651.0
2015-10-12,41.57,41.59,41.35,41.53,6307909.0
2015-10-13,41.31,41.69,41.3,41.44,8905864.0
2015-10-14,41.32,41.61,41.25,41.36,11975588.0
2015-10-15,41.53,41.91,41.51,41.88,8044939.0
2015-10-16,42.0,42.0,41.72,41.99,7422986.0
2015-10-19,41.88,42.13,41.76,42.12,6556117.0
2015-10-20,41.96,42.13,41.85,42.02,5856755.0
2015-10-21,42.11,42.22,41.65,41.7,9378890.0
2015-10-22,42.0,42.73,42.0,42.64,14189683.0
2015-10-23,43.7,44.0,43.56,43.83,15675922.0
2015-10-26,43.79,43.79,43.5,43.66,8003329.0
2015-10-27,43.56,43.68,43.36,43.41,7587501.0
2015-10-28,43.61,44.06,43.47,44.06,14746246.0
2015-10-29,43.8,44.0,43.67,43.94,7565255.0
2015-10-30,44.01,44.02,43.64,43.65,9309637.0
2015-11-02,43.73,44.06,43.62,44.04,13743094.0
2015-11-03,43.9,44.43,43.82,44.27,6858371.0
2015-11-04,44.37,44.44,44.21,44.32,7297911.0
2015-11-05,44.36,44.57,44.1,44.19,6718458.0
2015-11-06,44.14,44.36,43.98,44.34,6868946.0
2015-11-09,44.21,44.21,43.7,43.91,10130449.0
2015-11-10,43.66,43.67,43.44,43.62,17252943.0
2015-11-11,43.72,43.94,43.53,43.6,8201149.0
2015-11-12,43.39,43.6,43.21,43.22,8019045.0
2015-11-13,43.07,43.12,42.36,42.37,15001858.0
2015-11-16,42.3,43.03,42.28,43.02,9079200.0
2015-11-17,43.11,43.36,42.94,43.03,9394355.0
2015-11-18,43.23,43.71,43.18,43.68,10166809.0
2015-11-19,43.72,44.09,43.71,43.88,9350376.0
2015-11-20,44.06,44.21,44.01,44.2,7277327.0
2015-11-23,44.23,44.25,43.78,43.94,7226177.0
2015-11-24,43.61,44.08,43.51,43.95,11221327.0
2015-11-25,43.96,43.97,43.8,43.81,6576566.0
2015-11-27,43.86,43.99,43.79,43.91,3800711.0
2015-11-30,43.97,44.1,43.81,43.96,17025593.0
2015-12-01,44.14,44.36,44.04,44.35,7779038.0
2015-12-02,44.4,44.56,44.02,44.07,9697068.0
2015-12-03,44.19,44.32,43.29,43.5,11840866.0
2015-12-04,43.63,44.64,43.54,44.57,12823403.0
2015-12-07,44.52,44.55,44.14,44.35,12799750.0
2015-12-08,43.97,44.36,43.84,44.24,11378344.0
2015-12-09,44.05,44.38,43.38,43.59,16254221.0
2015-12-10,43.71,44.04,43.58,43.71,9062416.0
2015-12-11,43.23,43.33,42.77,42.8,16959220.0
2015-12-14,42.79,43.14,42.34,43.13,21001540.0
2015-12-15,43.46,43.62,43.26,43.32,16993636.0
2015-12-16,43.59,43.98,43.15,43.91,18112920.0
2015-12-17,44.09,44.09,43.21,43.22,12084094.0
2015-12-18,42.88,42.97,42.1,42.17,22003055.0
2015-12-21,42.52,42.63,42.23,42.6,11033186.0
2015-12-22,42.76,42.98,42.56,42.91,9419503.0
2015-12-23,43.14,43.31,43.0,43.27,7984029.0
2015-12-24,43.3,43.36,43.2,43.25,2457019.0
2015-12-28,43.09,43.25,42.85,43.22,7147422.0
2015-12-29,43.48,43.92,43.39,43.81,6789394.0
2015-12-30,43.79,43.79,43.44,43.44,7126048.0
2015-12-31,43.29,43.31,42.83,42.83,8772590.0
2016-01-04,42.06,42.28,41.61,42.27,21544621.0
2016-01-05,42.4,42.5,41.97,42.16,15983348.0
