Date,open,high,low,close,volume
2015-04-27,45.27,45.34,44.47,44.61,10505855.0
2015-04-28,44.42,44.93,44.26,44.93,9747708.0
2015-04-29,44.6,44.89,44.37,44.74,13330960.0
2015-04-30,44.64,44.65,43.88,44.22,17491454.0
2015-05-01,44.12,44.49,43.94,44.47,12504967.0
2015-05-04,44.48,45.14,44.41,44.8,13306118.0
2015-05-05,44.73,44.73,43.68,43.8,18267976.0
2015-05-06,43.79,44.0,43.13,43.56,16943089.0
2015-05-07,43.71,44.01,43.6,43.72,12592760.0
2015-05-08,44.28,44.52,43.85,44.03,14378335.0
2015-05-11,44.02,44.39,43.69,43.73,12603979.0
2015-05-12,43.5,43.73,43.24,43.68,13531454.0
2015-05-13,43.83,43.97,43.1,43.25,13960984.0
2015-05-14,43.47,43.87,43.43,43.75,12223495.0
2015-05-15,43.87,44.41,43.8,44.32,17769096.0
2015-05-18,44.1,44.57,44.1,44.49,10207733.0
2015-05-19,44.29,44.7,44.14,44.59,12847609.0
2015-05-20,44.59,44.97,44.49,44.66,9056461.0
2015-05-21,44.77,44.82,44.43,44.64,8051606.0
2015-05-22,44.48,44.7,44.28,44.57,8922363.0
2015-05-26,44.5,44.55,44.0,44.29,10559778.0
2015-05-27,44.33,44.55,44.24,44.47,7627480.0
2015-05-28,44.45,44.68,44.29,44.57,9898009.0
2015-05-29,44.48,44.7,44.33,44.5,9159053.0
2015-06-01,44.62,44.83,44.42,44.56,8830624.0
2015-06-02,44.32,44.36,43.66,43.97,12149545.0
2015-06-03,43.8,43.98,43.08,43.32,23328663.0
2015-06-04,43.37,43.56,43.17,43.26,12894345.0
2015-06-05,42.7,42.9,42.55,42.72,15892056.0
2015-06-08,42.76,42.76,42.44,42.47,7910708.0
2015-06-09,42.4,42.63,42.37,42.37,10259146.0
2015-06-10,42.75,42.9,42.57,42.58,10897975.0
2015-06-11,42.93,43.01,42.74,42.92,8935851.0
2015-06-12,42.74,42.88,42.53,42.54,8348009.0
2015-06-15,42.42,42.67,42.29,42.47,10072455.0
2015-06-16,42.39,42.67,42.21,42.67,8024863.0
2015-06-17,42.69,43.1,42.56,43.03,18279197.0
2015-06-18,43.08,43.71,43.08,43.6,20706780.0
2015-06-19,43.29,43.32,42.77,42.79,11489762.0
2015-06-22,42.86,42.96,42.63,42.73,10265040.0
2015-06-23,42.57,42.66,42.09,42.15,16257589.0
2015-06-24,42.2,42.28,41.8,41.82,12224159.0
2015-06-25,41.85,41.95,41.53,41.54,11580906.0
2015-06-26,41.45,41.86,41.31,41.79,8646604.0
2015-06-29,41.72,42.26,41.54,41.55,16154848.0
2015-06-30,41.77,41.81,41.37,41.46,11018748.0
2015-07-01,41.51,41.72,41.4,41.71,11248171.0
2015-07-02,41.99,42.35,41.9,42.23,9548257.0
2015-07-06,42.17,42.51,42.02,42.4,13894929.0
2015-07-07,42.54,43.62,42.54,43.45,26066831.0
2015-07-08,43.3,43.57,43.14,43.22,15484641.0
2015-07-09,43.35,43.45,42.6,42.74,15553255.0
2015-07-10,42.76,43.28,42.62,42.97,12395108.0
2015-07-13,43.09,43.27,42.73,42.99,8569527.0
2015-07-14,42.94,43.23,42.8,42.93,6811437.0
2015-07-15,42.88,43.15,42.69,43.14,9900203.0
2015-07-16,43.14,43.85,43.08,43.78,12518783.0
2015-07-17,43.78,43.84,43.33,43.36,10434684.0
2015-07-20,43.17,43.37,42.91,43.13,9805019.0
2015-07-21,43.05,43.15,42.56,42.75,10221679.0
2015-07-22,42.81,43.15,42.7,42.93,8250010.0
2015-07-23,42.89,42.92,42.08,42.29,13914290.0
2015-07-24,42.31,42.48,42.18,42.33,8588899.0
2015-07-27,42.33,43.06,42.21,42.87,11922746.0
2015-07-28,42.87,43.11,42.71,43.07,8742440.0
2015-07-29,43.07,43.27,42.75,43.21,13486426.0
2015-07-30,43.19,43.69,43.0,43.55,11262561.0
2015-07-31,43.95,44.33,43.9,43.99,11814644.0
2015-08-03,44.05,44.47,44.0,44.22,13135296.0
2015-08-04,44.11,44.17,43.42,43.5,12001069.0
2015-08-05,43.68,43.93,43.49,43.62,11149273.0
2015-08-06,43.73,43.89,43.23,43.87,17138609.0
2015-08-07,43.81,44.58,43.58,44.4,21146666.0
2015-08-10,44.4,44.61,44.12,44.21,12065648.0
2015-08-11,44.38,44.77,44.1,44.44,15121510.0
2015-08-12,44.38,45.3,44.28,45.22,21756618.0
2015-08-13,45.04,45.36,44.7,45.23,10777093.0
2015-08-14,45.05,45.6,44.95,45.57,10327753.0
2015-08-17,45.72,45.99,45.49,45.8,9157667.0
2015-08-18,45.64,45.76,45.49,45.67,11740933.0
2015-08-19,45.57,46.01,45.33,45.87,9240803.0
2015-08-20,45.68,46.14,45.44,45.6,12752631.0
2015-08-21,45.45,45.65,45.02,45.04,18585880.0
2015-08-24,44.16,44.57,43.15,43.36,34983017.0
