Date,open,high,low,close,volume
2015-04-27,74.57,74.64,72.94,73.04,17847268.0
2015-04-28,73.25,73.53,72.2,73.4,15798380.0
2015-04-29,72.89,73.41,72.25,72.73,13656875.0
2015-04-30,72.42,72.78,71.33,71.7,14436291.0
2015-05-01,72.2,72.72,72.19,72.68,11508325.0
2015-05-04,72.96,73.43,72.79,73.14,8539522.0
2015-05-05,72.99,73.0,72.15,72.22,11354340.0
2015-05-06,72.41,72.45,71.42,71.94,10144918.0
2015-05-07,71.84,72.53,71.73,72.28,8999029.0
2015-05-08,73.02,73.65,72.96,73.45,11217571.0
2015-05-11,73.71,73.84,73.42,73.49,7937792.0
2015-05-12,72.96,73.32,72.68,73.02,6800451.0
2015-05-13,73.26,73.64,72.97,73.1,5970678.0
2015-05-14,73.49,74.14,73.19,74.11,6444503.0
2015-05-15,74.24,74.35,74.03,74.26,3871637.0
2015-05-18,74.21,74.79,74.17,74.7,6595608.0
2015-05-19,74.8,75.24,74.61,75.05,5861550.0
2015-05-20,75.18,75.47,74.85,75.15,10241590.0
2015-05-21,75.13,75.23,74.88,75.16,4526844.0
2015-05-22,75.03,75.34,74.92,74.98,4610295.0
2015-05-26,74.75,74.83,74.07,74.22,9139450.0
2015-05-27,74.48,75.16,74.28,75.08,12654952.0
2015-05-28,75.07,75.34,74.77,75.13,5754516.0
2015-05-29,75.01,75.62,74.71,74.94,9775469.0
2015-06-01,75.37,75.53,74.74,75.24,7404305.0
2015-06-02,75.0,75.09,74.46,74.75,5156093.0
2015-06-03,75.0,75.07,74.68,74.89,5357593.0
2015-06-04,74.61,74.91,74.11,74.37,6250290.0
2015-06-05,74.27,74.39,73.74,74.34,7396931.0
2015-06-08,74.36,74.52,73.97,73.97,6571987.0
2015-06-09,74.21,74.21,73.66,73.95,8280633.0
2015-06-10,74.12,74.95,73.98,74.86,7299337.0
2015-06-11,75.44,75.49,74.97,75.37,4659864.0
2015-06-12,75.0,75.11,74.34,74.44,5912890.0
2015-06-15,73.97,74.68,73.59,74.53,7149084.0
2015-06-16,74.49,74.93,74.33,74.89,5882401.0
2015-06-17,74.99,75.16,74.5,74.97,5131842.0
2015-06-18,75.11,76.27,75.08,76.03,9361030.0
2015-06-19,75.84,76.0,75.66,75.71,10287475.0
2015-06-22,76.27,76.66,76.21,76.29,6351491.0
2015-06-23,76.41,76.65,76.18,76.45,4561471.0
2015-06-24,76.35,76.42,75.68,75.68,6948645.0
2015-06-25,75.91,76.46,75.71,76.1,9215472.0
2015-06-26,76.21,76.5,75.72,75.99,5998724.0
2015-06-29,75.33,75.71,74.09,74.15,12777310.0
2015-06-30,74.93,74.95,74.15,74.42,8328926.0
2015-07-01,75.16,75.26,74.75,75.19,7756318.0
2015-07-02,75.36,75.41,74.69,74.87,5674730.0
2015-07-06,74.14,75.27,74.14,74.81,9349562.0
2015-07-07,74.91,75.17,73.88,75.13,10640809.0
2015-07-08,74.57,74.8,73.86,73.88,12457498.0
2015-07-09,74.68,74.87,74.24,74.28,6446431.0
2015-07-10,75.21,75.37,74.78,75.28,8057489.0
2015-07-13,75.82,76.08,75.61,75.88,7511540.0
2015-07-14,75.96,76.78,75.79,76.68,5803655.0
2015-07-15,76.92,77.26,76.56,76.78,6991951.0
2015-07-16,77.06,77.25,76.84,77.14,5073522.0
2015-07-17,77.05,77.07,76.66,76.97,3795071.0
2015-07-20,77.07,77.4,76.99,77.22,3760971.0
2015-07-21,77.19,77.39,76.53,76.88,8117533.0
2015-07-22,76.67,77.12,76.55,77.02,5586972.0
2015-07-23,77.19,77.35,76.62,76.76,5510038.0
2015-07-24,76.0,76.05,74.71,74.85,12823416.0
2015-07-27,74.67,74.93,74.39,74.78,11036825.0
2015-07-28,75.2,76.15,74.82,76.13,11439805.0
2015-07-29,76.46,76.61,75.94,76.26,9349339.0
2015-07-30,76.19,76.33,75.55,76.15,5013057.0
2015-07-31,76.44,76.93,76.39,76.59,7824730.0
2015-08-03,76.67,76.9,76.01,76.54,8445615.0
2015-08-04,76.91,76.95,76.25,76.51,10654093.0
2015-08-05,76.96,77.26,76.83,77.13,5363566.0
2015-08-06,77.2,77.27,75.37,75.48,13316453.0
2015-08-07,75.43,75.57,74.53,75.31,10852202.0
2015-08-10,75.57,76.26,75.57,75.9,7933628.0
2015-08-11,75.41,75.69,74.91,75.31,7864636.0
2015-08-12,74.72,75.42,73.9,75.34,9412094.0
2015-08-13,75.4,75.68,74.98,75.16,6313198.0
2015-08-14,74.96,75.42,74.79,75.37,5490768.0
2015-08-17,75.13,76.16,74.83,76.14,5794593.0
2015-08-18,76.06,76.44,75.91,76.03,5390905.0
2015-08-19,75.62,76.24,75.18,75.71,10057223.0
2015-08-20,75.16,75.44,73.96,73.98,12953830.0
2015-08-21,73.22,73.85,71.69,71.71,23840613.0
2015-08-24,67.39,71.07,56.63,68.86,31859158.0
2015-08-25,70.8,71.34,67.86,67.91,17501502.0
2015-08-26,69.84,70.9,68.17,70.84,24567113.0
2015-08-27,71.75,72.31,70.69,72.16,18639852.0
2015-08-28,71.85,72.24,71.23,71.84,9982292.0
2015-08-31,71.48,72.1,70.31,70.52,15098944.0
2015-09-01,68.64,69.76,68.32,68.64,21701494.0
2015-09-02,69.78,70.05,68.91,70.04,12443117.0
2015-09-03,70.45,70.84,69.39,69.57,12944303.0
2015-09-04,68.49,69.27,68.18,68.68,15971278.0
2015-09-08,69.94,70.7,69.52,70.64,11658677.0
2015-09-09,71.42,71.47,69.33,69.5,12023590.0
2015-09-10,69.54,70.71,69.32,70.18,17281034.0
2015-09-11,69.89,70.66,69.69,70.64,7606054.0
2015-09-14,70.65,70.78,70.09,70.42,6232241.0
2015-09-15,70.76,71.59,70.5,71.41,8411955.0
2015-09-16,71.45,71.75,70.91,71.61,11987838.0
2015-09-17,71.55,73.26,71.55,72.27,19136112.0
2015-09-18,71.02,71.67,70.81,70.93,23599135.0
2015-09-21,71.4,71.57,69.5,69.97,23801934.0
2015-09-22,69.01,69.65,68.76,69.54,22508152.0
2015-09-23,69.6,70.12,69.11,69.47,9551293.0
2015-09-24,68.9,69.17,67.98,68.74,20014032.0
2015-09-25,69.31,69.52,66.34,66.88,30824272.0
2015-09-28,66.46,66.6,63.73,64.29,53698737.0
2015-09-29,64.46,65.98,64.07,64.88,31405006.0
