Date,open,high,low,close,volume
2015-04-27,48.28,48.4,47.38,47.49,5152493.0
2015-04-28,47.62,47.73,47.01,47.59,3638956.0
2015-04-29,47.28,47.64,46.88,47.17,3486590.0
2015-04-30,46.93,47.2,46.26,46.42,5777748.0
2015-05-01,46.71,46.93,46.4,46.69,3379687.0
2015-05-04,46.78,47.34,46.78,47.0,3065040.0
2015-05-05,47.02,47.21,46.78,46.85,4340899.0
2015-05-06,46.85,46.98,46.23,46.54,3778103.0
2015-05-07,46.44,46.72,46.37,46.5,4475876.0
2015-05-08,47.1,47.7,47.03,47.57,4040919.0
2015-05-11,47.28,47.74,47.23,47.33,3493956.0
2015-05-12,47.03,47.28,46.89,47.13,3486118.0
2015-05-13,47.2,47.37,46.88,47.03,2634915.0
2015-05-14,47.38,48.79,47.29,48.67,8225851.0
2015-05-15,48.56,48.84,48.47,48.71,5114362.0
2015-05-18,48.78,49.08,48.77,48.84,4203330.0
2015-05-19,48.78,49.15,48.67,49.01,4101271.0
2015-05-20,49.08,49.35,48.93,49.14,3676916.0
2015-05-21,49.06,49.43,48.9,49.34,4164428.0
2015-05-22,49.1,49.43,48.91,49.03,3328604.0
2015-05-26,49.1,49.23,48.39,48.6,3725468.0
2015-05-27,48.87,49.06,48.59,49.01,4264001.0
2015-05-28,48.88,49.38,48.84,49.26,5943219.0
2015-05-29,49.18,49.26,48.53,48.6,8082745.0
2015-06-01,48.77,49.2,48.57,48.94,5028118.0
2015-06-02,48.65,49.18,48.32,48.94,4885054.0
2015-06-03,48.96,49.13,48.74,48.86,3279035.0
2015-06-04,48.98,49.17,48.53,48.68,4641195.0
2015-06-05,48.59,48.63,48.01,48.45,3523063.0
2015-06-08,48.37,48.56,48.2,48.44,4349310.0
2015-06-09,48.52,48.53,48.01,48.18,3331000.0
2015-06-10,48.36,48.69,48.3,48.5,5409232.0
2015-06-11,48.7,49.25,48.51,49.06,7042589.0
2015-06-12,48.91,48.96,48.64,48.67,3435503.0
2015-06-15,48.3,48.36,47.72,48.07,4711966.0
2015-06-16,48.07,48.54,47.9,48.48,3869110.0
2015-06-17,48.5,48.74,48.33,48.57,3719422.0
2015-06-18,48.69,50.16,48.65,49.94,7912631.0
2015-06-19,49.9,50.1,49.74,49.89,9319564.0
2015-06-22,49.96,50.36,49.84,50.03,4590054.0
2015-06-23,50.22,50.47,49.69,49.88,3252405.0
2015-06-24,49.59,49.84,49.48,49.5,4391229.0
2015-06-25,49.65,49.87,49.28,49.33,3607880.0
2015-06-26,49.47,49.98,49.27,49.97,6416359.0
2015-06-29,49.54,49.85,48.96,49.01,5277314.0
2015-06-30,49.51,49.55,48.91,49.08,4478650.0
2015-07-01,49.4,49.63,49.08,49.52,3321583.0
2015-07-02,49.8,49.82,49.16,49.41,2717537.0
2015-07-06,49.02,50.12,48.92,49.74,5751243.0
2015-07-07,49.96,50.24,49.1,50.21,6054004.0
2015-07-08,49.74,50.09,49.17,49.25,5755001.0
2015-07-09,49.8,49.93,49.18,49.19,5574457.0
2015-07-10,49.63,50.12,49.39,49.93,4795245.0
2015-07-13,50.0,50.11,49.58,49.72,5466290.0
2015-07-14,49.81,50.38,49.7,50.2,4120812.0
2015-07-15,49.84,49.99,49.14,49.31,6527573.0
2015-07-16,49.82,49.84,49.54,49.77,3753102.0
2015-07-17,49.52,49.97,49.45,49.9,5402261.0
2015-07-20,50.01,50.33,49.98,50.06,5389780.0
2015-07-21,49.91,50.27,49.76,49.76,6350237.0
2015-07-22,49.87,51.09,49.25,50.98,10279642.0
2015-07-23,51.33,51.74,50.94,51.2,5946369.0
2015-07-24,50.85,51.47,50.84,51.05,5943957.0
2015-07-27,50.64,50.85,50.21,50.69,5479109.0
2015-07-28,51.09,51.24,50.65,50.94,5649599.0
2015-07-29,50.98,51.17,50.76,51.06,3487029.0
2015-07-30,50.95,51.05,50.54,50.77,3637545.0
2015-07-31,51.07,51.13,50.6,50.69,5528911.0
2015-08-03,50.89,50.91,50.14,50.5,3500965.0
2015-08-04,50.75,50.81,50.29,50.51,3485743.0
2015-08-05,50.98,51.0,50.39,50.48,5000101.0
2015-08-06,50.52,51.0,50.07,50.32,6170945.0
2015-08-07,50.4,50.44,49.36,50.11,4334796.0
2015-08-10,50.42,51.17,50.39,50.66,3698386.0
2015-08-11,50.18,50.52,49.99,50.39,4017741.0
2015-08-12,50.43,50.49,49.22,50.09,5395124.0
2015-08-13,50.02,50.11,49.61,49.84,4032258.0
2015-08-14,49.82,50.31,49.72,50.23,2810088.0
2015-08-17,50.01,50.41,49.75,50.38,3107987.0
2015-08-18,50.31,50.59,50.25,50.44,3055262.0
2015-08-19,50.14,50.17,49.41,49.84,5963453.0
2015-08-20,49.4,49.51,48.51,48.53,5856702.0
2015-08-21,48.03,48.43,47.13,47.13,9063885.0
2015-08-24,44.51,45.81,42.73,43.7,18352204.0
2015-08-25,44.87,45.1,42.88,42.9,14160049.0
2015-08-26,43.86,44.12,42.3,43.98,12392986.0
2015-08-27,45.6,46.04,44.67,45.64,14237346.0
2015-08-28,45.61,46.11,45.21,46.02,9154555.0
2015-08-31,45.91,46.63,45.12,45.29,7393029.0
2015-09-01,44.22,44.5,43.37,43.57,8895479.0
2015-09-02,44.31,44.44,43.62,44.24,7415352.0
2015-09-03,44.52,44.78,43.95,44.14,5999616.0
2015-09-04,43.5,43.71,42.72,43.07,7012675.0
2015-09-08,43.66,44.06,43.5,44.04,5425620.0
2015-09-09,44.36,44.51,43.12,43.23,5223771.0
2015-09-10,43.02,43.48,42.68,43.12,6942047.0
2015-09-11,43.13,43.44,42.74,43.41,5658357.0
2015-09-14,43.6,43.61,42.9,43.17,4414831.0
2015-09-15,43.28,43.92,43.11,43.81,5015797.0
